|6.6.6
Archiving\03_Data\eqfrac/QFM_m2.5/EETA/EETA_3.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Sp(TH)         O(HP)          an             San(TH)        ilm            q             
  1461.54        2500.00        99.8714       0.128556                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1460.38        2500.00        99.4421       0.277920       0.279884                 NaN  0.976024E-004  0.148029E-005            NaN            NaN            NaN            NaN
  1459.23        2500.00        99.3801       0.425482       0.194454                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1458.07        2500.00        99.3838       0.422806       0.193440                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1456.91        2500.00        99.3871       0.417739       0.194466                 NaN  0.683451E-003            NaN            NaN            NaN            NaN            NaN
  1455.76        2500.00        99.3906       0.417743       0.191683                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1454.60        2500.00        99.3936       0.415979       0.190398                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1453.44        2500.00        99.3961       0.412503       0.191163                 NaN  0.260239E-003            NaN            NaN            NaN            NaN            NaN
  1452.29        2500.00        99.3757       0.428611       0.195681                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1451.13        2500.00        99.4296       0.180662       0.389396                 NaN  0.351497E-003            NaN            NaN            NaN            NaN            NaN
  1449.97        2500.00        99.4070       0.188087       0.404440                 NaN  0.458345E-003            NaN            NaN            NaN            NaN            NaN
  1448.82        2500.00        99.4087       0.403739       0.187137                 NaN  0.426028E-003            NaN            NaN            NaN            NaN            NaN
  1447.66        2500.00        99.3972       0.191327       0.411077                 NaN  0.430107E-003  0.120717E-005            NaN            NaN            NaN            NaN
  1446.50        2500.00        99.4320       0.387983       0.179602                 NaN  0.389326E-003            NaN            NaN            NaN            NaN            NaN
  1445.35        2500.00        99.4198       0.184468       0.395396                 NaN  0.374477E-003            NaN            NaN            NaN            NaN            NaN
  1444.19        2500.00        99.4228       0.183283       0.393561                 NaN  0.364023E-003  0.253475E-005            NaN            NaN            NaN            NaN
  1443.03        2500.00        99.4173       0.184294       0.398094                 NaN  0.352260E-003            NaN            NaN            NaN            NaN            NaN
  1441.88        2500.00        99.4349       0.178986       0.385762                 NaN  0.320969E-003            NaN            NaN            NaN            NaN            NaN
  1440.72        2500.00        99.4305       0.388576       0.180588                 NaN  0.302012E-003            NaN            NaN            NaN            NaN            NaN
  1439.56        2500.00        99.4330       0.179409       0.387255                 NaN  0.289097E-003            NaN            NaN            NaN            NaN            NaN
  1438.41        2500.00        99.3825       0.421726       0.195437                 NaN  0.313030E-003            NaN            NaN            NaN            NaN            NaN
  1437.25        2500.00        99.4919       0.347063       0.160881                 NaN  0.202776E-003            NaN            NaN            NaN            NaN            NaN
  1436.09        2500.00        99.4419       0.377716       0.179154                 NaN  0.120680E-002            NaN            NaN            NaN            NaN            NaN
  1434.93        2500.00        99.4433       0.381401       0.175337                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1433.78        2500.00        99.3671       0.432231       0.200454                 NaN  0.257913E-003            NaN            NaN            NaN            NaN            NaN
  1432.62        2500.00        99.5285       0.320091       0.150695                 NaN  0.694858E-003            NaN            NaN            NaN            NaN            NaN
  1431.46        2500.00        99.4497       0.172687       0.377622                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1430.31        2500.00        98.8384       0.819539       0.331161                 NaN            NaN  0.109252E-001            NaN            NaN            NaN            NaN
  1429.15        2500.00        99.9951                 NaN            NaN            NaN  0.143873E-003  0.272401E-005  0.479683E-002            NaN            NaN            NaN
  1427.99        2500.00        98.9429       0.326847       0.422343                 NaN  0.488588E-003  0.752290E-005  0.307454                 NaN            NaN            NaN
  1426.84        2500.00        98.5846       0.405684       0.500477                 NaN            NaN  0.399845E-001  0.469266                 NaN            NaN            NaN
  1425.68        2500.00        98.5782       0.471102       0.247539                 NaN            NaN  0.197761       0.505349                 NaN            NaN            NaN
  1424.52        2500.00        98.5881       0.266205       0.462539                 NaN            NaN  0.183771       0.499433                 NaN            NaN            NaN
  1423.37        2500.00        98.6042       0.461854       0.248825                 NaN            NaN  0.189758       0.495340                 NaN            NaN            NaN
  1422.21        2500.00        98.6242       0.240911       0.457166                 NaN            NaN  0.189116       0.488639                 NaN            NaN            NaN
  1421.05        2500.00        98.6397       0.454513       0.233769                 NaN            NaN  0.188617       0.483411                 NaN            NaN            NaN
  1419.90        2500.00        98.6589       0.449542       0.225404                 NaN            NaN  0.188908       0.477200                 NaN            NaN            NaN
