|6.6.6
Archiving\03_Data\eqfrac/QFM_m3.75/TIS/TIS_1.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        O(HP)          an             San(TH)        ilm            q             
  1461.54        2500.00       0.282972E-001   99.8628                 NaN  0.108858                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1460.38        2500.00       0.571210E-003   99.7499                 NaN  0.189082       0.570916E-001            NaN            NaN  0.332779E-002            NaN            NaN            NaN            NaN
  1459.23        2500.00       0.757494E-003   98.8481                 NaN  0.809307E-001   1.07020                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1458.07        2500.00       0.543544E-002   99.0944                 NaN  0.461769       0.295210                 NaN            NaN  0.143149                 NaN            NaN            NaN            NaN
  1456.91        2500.00                 NaN   99.3962                 NaN  0.550666                 NaN            NaN            NaN  0.531039E-001            NaN            NaN            NaN            NaN
  1455.76        2500.00                 NaN   99.3931                 NaN  0.606872                 NaN            NaN            NaN  0.282114E-004            NaN            NaN            NaN            NaN
  1454.60        2500.00       0.285938E-002   99.2969                 NaN  0.195698       0.504529                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1453.44        2500.00                 NaN   99.2944                 NaN  0.499756       0.205880                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1452.29        2500.00                 NaN   99.2715                 NaN  0.515774       0.212714                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1451.13        2500.00       0.964860E-002   99.3518                 NaN  0.507535                 NaN            NaN            NaN  0.131057                 NaN            NaN            NaN            NaN
  1449.97        2500.00                 NaN   99.3097                 NaN  0.495100       0.195228                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1448.82        2500.00                 NaN   99.3077                 NaN  0.490517       0.201767                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1447.66        2500.00                 NaN   99.3118                 NaN  0.486715       0.201501                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1446.50        2500.00                 NaN   99.3149                 NaN  0.484919       0.200219                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1445.35        2500.00                 NaN   99.3183                 NaN  0.485800       0.191216                 NaN            NaN  0.467304E-002            NaN            NaN            NaN            NaN
  1444.19        2500.00                 NaN   99.3203                 NaN  0.187866       0.484836                 NaN            NaN  0.704395E-002            NaN            NaN            NaN            NaN
  1443.03        2500.00                 NaN   99.3271                 NaN  0.481539       0.182472                 NaN            NaN  0.886982E-002            NaN            NaN            NaN            NaN
  1441.88        2500.00                 NaN   99.3309                 NaN  0.489555       0.155712                 NaN            NaN  0.238607E-001            NaN            NaN            NaN            NaN
  1440.72        2500.00                 NaN   99.3338                 NaN  0.156350       0.486771                 NaN            NaN  0.231290E-001            NaN            NaN            NaN            NaN
  1439.56        2500.00                 NaN   98.6344                 NaN   1.02196       0.300117                 NaN            NaN  0.435107E-001            NaN            NaN            NaN            NaN
  1438.41        2500.00                 NaN   99.9809                 NaN  0.143058E-001  0.332675E-002            NaN            NaN  0.150876E-002            NaN            NaN            NaN            NaN
  1437.25        2500.00                 NaN   99.3987                 NaN  0.143538       0.438379                 NaN            NaN  0.194005E-001            NaN            NaN            NaN            NaN
  1436.09        2500.00       0.313715E-003   99.3440                 NaN  0.476692       0.158481                 NaN            NaN  0.205593E-001            NaN            NaN            NaN            NaN
  1434.93        2500.00                 NaN   99.3465                 NaN  0.476107       0.157239                 NaN            NaN  0.201302E-001            NaN            NaN            NaN            NaN
  1433.78        2500.00                 NaN   99.2561                 NaN  0.543503       0.178086                 NaN            NaN  0.223220E-001            NaN            NaN            NaN            NaN
  1432.62        2500.00                 NaN   99.1813                 NaN  0.176481       0.441171                 NaN            NaN  0.733419E-001  0.127663                 NaN            NaN            NaN
  1431.46        2500.00                 NaN   98.2645                 NaN  0.621067       0.322957                 NaN            NaN  0.258983       0.532489                 NaN            NaN            NaN
  1430.31        2500.00                 NaN   98.2748                 NaN  0.626752       0.307136                 NaN            NaN  0.261240       0.530042                 NaN            NaN            NaN
  1429.15        2500.00                 NaN   98.2752                 NaN  0.314367       0.618659                 NaN            NaN  0.262693       0.529113                 NaN            NaN            NaN
  1427.99        2500.00                 NaN   98.3812                 NaN  0.283540       0.588381                 NaN            NaN  0.249861       0.497068                 NaN            NaN            NaN
  1426.84        2500.00                 NaN   98.3503                 NaN  0.603951       0.281230                 NaN            NaN  0.257759       0.506781                 NaN            NaN            NaN
  1425.68        2500.00                 NaN   98.3746                 NaN  0.269198       0.600157                 NaN            NaN  0.256411       0.499609                 NaN            NaN            NaN
  1424.52        2500.00                 NaN   98.3918                 NaN  0.261350       0.595758                 NaN            NaN  0.256472       0.494578                 NaN            NaN            NaN
