|6.6.6
Archiving\03_Data\eqfrac/QFM_m3.75/TIS/TIS_3.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        O(HP)          an             San(TH)        ilm            q             
  1461.54        2500.00       0.185220E-001   99.8869                 NaN  0.945759E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1460.38        2500.00       0.374355E-003   99.7851                 NaN  0.162304       0.495824E-001            NaN            NaN  0.268095E-002            NaN            NaN            NaN            NaN
  1459.23        2500.00       0.496931E-003   98.9998                 NaN  0.695627E-001  0.930163                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1458.07        2500.00       0.356937E-002   99.2268                 NaN  0.400926       0.253475                 NaN            NaN  0.115194                 NaN            NaN            NaN            NaN
  1456.91        2500.00                 NaN   99.4796                 NaN  0.477674                 NaN            NaN            NaN  0.426762E-001            NaN            NaN            NaN            NaN
  1455.76        2500.00                 NaN   99.4735                 NaN  0.526434                 NaN            NaN            NaN  0.226542E-004            NaN            NaN            NaN            NaN
  1454.60        2500.00       0.187785E-002   99.3929                 NaN  0.167738       0.437505                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1453.44        2500.00                 NaN   99.3904                 NaN  0.433232       0.176388                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1452.29        2500.00                 NaN   99.3709                 NaN  0.446955       0.182167                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1451.13        2500.00       0.634611E-002   99.4491                 NaN  0.439574                 NaN            NaN            NaN  0.104953                 NaN            NaN            NaN            NaN
  1449.97        2500.00                 NaN   99.4044                 NaN  0.428636       0.166993                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1448.82        2500.00                 NaN   99.4030                 NaN  0.424482       0.172491                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1447.66        2500.00                 NaN   99.4068                 NaN  0.421055       0.172173                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1446.50        2500.00                 NaN   99.4097                 NaN  0.419307       0.171008                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1445.35        2500.00                 NaN   99.4132                 NaN  0.419884       0.163231                 NaN            NaN  0.372767E-002            NaN            NaN            NaN            NaN
  1444.19        2500.00                 NaN   99.4151                 NaN  0.160314       0.418930                 NaN            NaN  0.561384E-002            NaN            NaN            NaN            NaN
  1443.03        2500.00                 NaN   99.4215                 NaN  0.415861       0.155608                 NaN            NaN  0.706368E-002            NaN            NaN            NaN            NaN
  1441.88        2500.00                 NaN   99.4257                 NaN  0.422611       0.132720                 NaN            NaN  0.189873E-001            NaN            NaN            NaN            NaN
  1440.72        2500.00                 NaN   99.4284                 NaN  0.133183       0.419991                 NaN            NaN  0.183870E-001            NaN            NaN            NaN            NaN
  1439.56        2500.00                 NaN   98.8287                 NaN  0.881442       0.255401                 NaN            NaN  0.344743E-001            NaN            NaN            NaN            NaN
  1438.41        2500.00                 NaN   99.9837                 NaN  0.123213E-001  0.282812E-002            NaN            NaN  0.119645E-002            NaN            NaN            NaN            NaN
  1437.25        2500.00                 NaN   99.4849                 NaN  0.122061       0.377697                 NaN            NaN  0.153847E-001            NaN            NaN            NaN            NaN
  1436.09        2500.00       0.207618E-003   99.4383                 NaN  0.410534       0.134700                 NaN            NaN  0.162938E-001            NaN            NaN            NaN            NaN
  1434.93        2500.00                 NaN   99.4406                 NaN  0.409889       0.133585                 NaN            NaN  0.159385E-001            NaN            NaN            NaN            NaN
  1433.78        2500.00                 NaN   99.3635                 NaN  0.467621       0.151186                 NaN            NaN  0.176561E-001            NaN            NaN            NaN            NaN
  1432.62        2500.00                 NaN   99.2784                 NaN  0.149749       0.379411                 NaN            NaN  0.579590E-001  0.134514                 NaN            NaN            NaN
  1431.46        2500.00                 NaN   98.4263                 NaN  0.534017       0.273953                 NaN            NaN  0.204464       0.561237                 NaN            NaN            NaN
  1430.31        2500.00                 NaN   98.4368                 NaN  0.538516       0.260314                 NaN            NaN  0.205882       0.558452                 NaN            NaN            NaN
  1429.15        2500.00                 NaN   98.4388                 NaN  0.266159       0.531087                 NaN            NaN  0.206711       0.557266                 NaN            NaN            NaN
  1427.99        2500.00                 NaN   98.5361                 NaN  0.239832       0.504604                 NaN            NaN  0.196208       0.523273                 NaN            NaN            NaN
  1426.84        2500.00                 NaN   98.5096                 NaN  0.517407       0.237663                 NaN            NaN  0.202053       0.533308                 NaN            NaN            NaN
  1425.68        2500.00                 NaN   98.5328                 NaN  0.227274       0.513742                 NaN            NaN  0.200683       0.525540                 NaN            NaN            NaN
  1424.52        2500.00                 NaN   98.5496                 NaN  0.220442       0.509599                 NaN            NaN  0.200381       0.520028                 NaN            NaN            NaN
  1423.37        2500.00                 NaN   98.5752                 NaN  0.502375       0.212474                 NaN            NaN  0.199221       0.510749                 NaN            NaN            NaN
  1422.21        2500.00                 NaN   98.5940                 NaN  0.498218       0.204726                 NaN            NaN  0.198643       0.504445                 NaN            NaN            NaN
  1421.05        2500.00                 NaN   98.6094                 NaN  0.496030       0.196399                 NaN            NaN  0.198801       0.499335                 NaN            NaN            NaN
  1419.90        2500.00                 NaN   98.6040                 NaN  0.499313       0.193987                 NaN            NaN  0.201026       0.501680                 NaN            NaN            NaN
  1418.74        2500.00                 NaN   98.6713                 NaN  0.178827       0.479121                 NaN            NaN  0.193154       0.477548                 NaN            NaN            NaN
  1417.58        2500.00                 NaN   98.6630                 NaN  0.174439       0.485086                 NaN            NaN  0.196459       0.481055                 NaN            NaN            NaN
  1416.43        2500.00                 NaN   97.5036                 NaN  0.315973       0.910210                 NaN            NaN  0.370433       0.899778                 NaN            NaN            NaN
  1415.27        2500.00                 NaN   99.8863                 NaN  0.945396E-002  0.447784E-001            NaN            NaN  0.187191E-001  0.407711E-001            NaN            NaN            NaN
  1414.11        2500.00                 NaN   98.7132                 NaN  0.152780       0.476041                 NaN            NaN  0.194203       0.463736                 NaN            NaN            NaN
  1412.96        2500.00                 NaN   98.7296                 NaN  0.146186       0.472329                 NaN            NaN  0.193798       0.458054                 NaN            NaN            NaN
  1411.80        2500.00                 NaN   98.7454                 NaN  0.469162       0.139492                 NaN            NaN  0.193259       0.452723                 NaN            NaN            NaN
  1410.64        2500.00                 NaN   98.7584                 NaN  0.467857       0.132848                 NaN            NaN  0.192768       0.448087                 NaN            NaN            NaN
  1409.49        2500.00                 NaN   98.7748                 NaN  0.464530       0.126210                 NaN            NaN  0.191930       0.442490                 NaN            NaN            NaN
  1408.33        2500.00                 NaN   98.7891                 NaN  0.461100       0.120585                 NaN            NaN  0.191551       0.437649                 NaN            NaN            NaN
  1407.17        2500.00                 NaN   98.8048                 NaN  0.113758       0.458649                 NaN            NaN  0.190625       0.432122                 NaN            NaN            NaN
  1406.02        2500.00                 NaN   98.8088                 NaN  0.459724       0.108275                 NaN            NaN  0.192182       0.430975                 NaN            NaN            NaN
  1404.86        2500.00                 NaN   98.8360                 NaN  0.453791       0.101263                 NaN            NaN  0.187981       0.421015                 NaN            NaN            NaN
  1403.70        2500.00                 NaN   98.8409                 NaN  0.448159       0.105043                 NaN            NaN  0.186690       0.419221                 NaN            NaN            NaN
  1402.55        2500.00                 NaN   98.8683                 NaN  0.780120E-001  0.454349                 NaN            NaN  0.189583       0.409750                 NaN            NaN            NaN
  1401.39        2500.00                 NaN   98.8702                 NaN  0.908159E-001  0.446712                 NaN            NaN  0.183894       0.408409                 NaN            NaN            NaN
  1400.23        2500.00                 NaN   98.8860                 NaN  0.705196E-001  0.448669                 NaN            NaN  0.190269       0.404545                 NaN            NaN            NaN
  1399.08        2500.00                 NaN   98.8969                 NaN  0.724715E-001  0.445075                 NaN            NaN  0.185819       0.399775                 NaN            NaN            NaN
  1397.92        2500.00                 NaN   98.9091                 NaN  0.444853       0.652305E-001            NaN            NaN  0.185228       0.395630                 NaN            NaN            NaN
  1396.76        2500.00                 NaN   98.9222                 NaN  0.624274E-001  0.440327                 NaN            NaN  0.184172       0.390873                 NaN            NaN            NaN
  1395.61        2500.00                 NaN   98.9341                 NaN  0.564289E-001  0.438967                 NaN            NaN  0.183748       0.386741                 NaN            NaN            NaN
  1394.45        2500.00                 NaN   98.9450                 NaN  0.438671       0.503239E-001            NaN            NaN  0.183182       0.382855                 NaN            NaN            NaN
  1393.29        2500.00                 NaN   98.9585                 NaN  0.475096E-001  0.434367                 NaN            NaN  0.181683       0.377944                 NaN            NaN            NaN
  1392.14        2500.00                 NaN   98.9692                 NaN  0.418576E-001  0.433356                 NaN            NaN  0.181307       0.374258                 NaN            NaN            NaN
  1390.98        2500.00                 NaN   98.9781                 NaN  0.434605       0.356705E-001            NaN            NaN  0.180488       0.371180                 NaN            NaN            NaN
  1389.82        2500.00                 NaN   98.9931                 NaN  0.322929E-001  0.429820                 NaN            NaN  0.179199       0.365584                 NaN            NaN            NaN
  1388.67        2500.00                 NaN   99.0022                 NaN  0.274703E-001  0.429289                 NaN            NaN  0.178631       0.362400                 NaN            NaN            NaN
  1387.51        2500.00                 NaN   99.0128                 NaN  0.428423       0.223733E-001            NaN            NaN  0.177810       0.358564                 NaN            NaN            NaN
  1386.35        2500.00                 NaN   99.0224                 NaN  0.427485       0.183492E-001            NaN            NaN  0.176753       0.355016                 NaN            NaN            NaN
  1385.20        2500.00                 NaN   99.0322                 NaN  0.426591       0.126716E-001            NaN            NaN  0.176794       0.351696                 NaN            NaN            NaN
  1384.04        2500.00                 NaN   99.0370                 NaN  0.426533                 NaN            NaN            NaN  0.183960       0.352523                 NaN            NaN            NaN
  1382.88        2500.00                 NaN   99.0635                 NaN  0.407146       0.275712E-001            NaN            NaN  0.164096       0.337692                 NaN            NaN            NaN
  1381.72        2500.00                 NaN   99.0612                 NaN  0.416391       0.128589E-001            NaN            NaN  0.169365       0.340221                 NaN            NaN            NaN
  1380.57        2500.00                 NaN   99.0618                 NaN  0.377507       0.721254E-001            NaN            NaN  0.152255       0.336332                 NaN            NaN            NaN
  1379.41        2500.00                 NaN   99.0831                 NaN  0.412259                 NaN            NaN            NaN  0.171491       0.333112                 NaN            NaN            NaN
  1378.25        2500.00                 NaN   99.0897                 NaN  0.413673                 NaN            NaN            NaN  0.166903       0.329733                 NaN            NaN            NaN
  1377.10        2500.00                 NaN   99.0864                 NaN  0.355863       0.903517E-001            NaN            NaN  0.141503       0.325882                 NaN            NaN            NaN
