|6.6.6
Archiving\03_Data\frac/QFM_m4.75/KHA22/KHA22_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          17
T(K)           P(bar)         melt(TH)       mang           Ni             iron           O(HP)          O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            ne             lc            
  2000.00        2500.00        99.5968       0.364508       0.387067E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1997.49        2500.00        99.5968       0.364508       0.387066E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1994.99        2500.00        99.5968       0.364508       0.387066E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1992.48        2500.00        99.5968       0.364508       0.387066E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1989.97        2500.00        99.5968       0.364508       0.387066E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.47        2500.00        99.5968       0.364508       0.387066E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1984.96        2500.00        99.5968       0.364508       0.387066E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1982.46        2500.00        99.5968       0.364508       0.387066E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1979.95        2500.00        99.5968       0.364507       0.387066E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.44        2500.00        99.5968       0.364507       0.387066E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.94        2500.00        99.5968       0.364507       0.387066E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1972.43        2500.00        99.5968       0.364507       0.387065E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1969.92        2500.00        99.5968       0.364507       0.387065E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.42        2500.00        99.5968       0.364507       0.387065E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.91        2500.00        99.5968       0.364507       0.387065E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1962.41        2500.00        99.5968       0.364507       0.387065E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1959.90        2500.00        99.5968       0.364507       0.387065E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1957.39        2500.00        99.5932       0.364510       0.387069E-001  0.353791E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1954.89        2500.00        99.5785       0.364526       0.387085E-001  0.182406E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1952.38        2500.00        99.5540       0.364551       0.387112E-001  0.427053E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1949.87        2500.00        99.5296       0.364577       0.387139E-001  0.671197E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1947.37        2500.00        99.5052       0.364602       0.387166E-001  0.914673E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1944.86        2500.00        99.4809       0.364628       0.387193E-001  0.115768                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.36        2500.00        99.4566       0.364653       0.387220E-001  0.140025                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.85        2500.00        99.4324       0.364678       0.387247E-001  0.164226                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1937.34        2500.00        99.4082       0.364704       0.387274E-001  0.188366                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1934.84        2500.00        99.3840       0.364729       0.387301E-001  0.212495                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.33        2500.00        99.3600       0.364754       0.387327E-001  0.236506                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.82        2500.00        99.3360       0.364779       0.387354E-001  0.260478                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1927.32        2500.00        99.3121       0.364804       0.387381E-001  0.284378                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1924.81        2500.00        99.2882       0.364829       0.387407E-001  0.308272                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1922.31        2500.00        99.2643       0.364854       0.387434E-001  0.332090                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.80        2500.00        98.7611       0.364860       0.382614E-001  0.338173       0.497616                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1917.29        2500.00        99.5589                 NaN            NaN  0.818719E-002  0.432877                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1914.79        2500.00        99.3722                 NaN            NaN  0.651548E-003  0.627192                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1912.28        2500.00        99.3753                 NaN            NaN  0.234962E-003  0.624448                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1909.77        2500.00        99.3156                 NaN            NaN  0.321585E-002  0.681158                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.27        2500.00        99.8198                 NaN            NaN  0.185022E-001  0.161725                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1904.76        2500.00        99.0121                 NaN            NaN            NaN  0.987861                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1902.26        2500.00        99.3918                 NaN            NaN            NaN  0.608173                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1899.75        2500.00        99.3908                 NaN            NaN  0.984967E-002  0.599374                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.24        2500.00        99.3983                 NaN            NaN  0.270696E-003  0.601384                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.74        2500.00        99.4028                 NaN            NaN            NaN  0.597193                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1892.23        2500.00        99.4052                 NaN            NaN            NaN  0.594772                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1889.72        2500.00        99.4086                 NaN            NaN            NaN  0.591371                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.22        2500.00        99.4108                 NaN            NaN            NaN  0.589172                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.71        2500.00        99.4146                 NaN            NaN            NaN  0.585392                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        2500.00        99.5494                 NaN            NaN  0.242934E-002  0.424731                 NaN  0.234844E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        2500.00        99.2612                 NaN            NaN            NaN  0.738802                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        2500.00        99.4230                 NaN            NaN            NaN  0.577029                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        2500.00        99.4244                 NaN            NaN            NaN  0.575553                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        2500.00        99.4258                 NaN            NaN            NaN  0.574187                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        2500.00        99.4308                 NaN            NaN            NaN  0.569174                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        2500.00        99.4265                 NaN            NaN            NaN  0.568262                 NaN  0.527943E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        2500.00        99.4169                 NaN            NaN            NaN  0.566946                 NaN  0.161865E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        2500.00        99.4209                 NaN            NaN            NaN  0.563050                 NaN  0.160952E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        2500.00        99.4214                 NaN            NaN            NaN  0.562488                 NaN  0.160837E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        2500.00        99.4232                 NaN            NaN            NaN  0.560834                 NaN  0.160114E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        2500.00        99.4254                 NaN            NaN            NaN  0.558643                 NaN  0.159781E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        2500.00        99.4270                 NaN            NaN            NaN  0.557067                 NaN  0.159276E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        2500.00        99.4276                 NaN            NaN            NaN  0.556552                 NaN  0.158887E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        2500.00        99.4298                 NaN            NaN            NaN  0.554374                 NaN  0.158305E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        2500.00        99.4315                 NaN            NaN            NaN  0.552767                 NaN  0.157652E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        2500.00        98.8962                 NaN            NaN            NaN   1.07304                 NaN  0.307800E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        2500.00        99.9762                 NaN            NaN            NaN  0.232141E-001            NaN  0.631677E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        2500.00        99.5759                 NaN            NaN            NaN  0.412288                 NaN  0.117831E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        2500.00        99.2962                 NaN            NaN            NaN  0.684382                 NaN  0.194144E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        2500.00        99.6683                 NaN            NaN            NaN  0.322195                 NaN  0.948337E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        2500.00        99.1586                 NaN            NaN            NaN  0.818389                 NaN  0.229877E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        2500.00        99.4848                 NaN            NaN            NaN  0.501037                 NaN  0.141503E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        2500.00        99.4387                 NaN            NaN            NaN  0.545816                 NaN  0.154345E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        2500.00        99.4393                 NaN            NaN            NaN  0.545286                 NaN  0.153732E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        2500.00        99.4411                 NaN            NaN            NaN  0.543626                 NaN  0.152872E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        2500.00        99.4397                 NaN            NaN            NaN  0.544986                 NaN  0.153125E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        2500.00        99.4383                 NaN            NaN            NaN  0.546350                 NaN  0.153346E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        2500.00        99.4435                 NaN            NaN            NaN  0.541391                 NaN  0.151174E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        2500.00        99.4330                 NaN            NaN            NaN  0.551624                 NaN  0.153454E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        2500.00        99.4490                 NaN            NaN            NaN  0.536048                 NaN  0.149087E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        2500.00        99.4409                 NaN            NaN            NaN  0.544082                 NaN  0.150664E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        2500.00        99.4403                 NaN            NaN            NaN  0.544624                 NaN  0.150590E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        2500.00        99.4416                 NaN            NaN            NaN  0.543447                 NaN  0.149567E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        2500.00        99.4398                 NaN            NaN            NaN  0.545281                 NaN  0.149626E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        2500.00        99.4394                 NaN            NaN            NaN  0.545691                 NaN  0.149514E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        2500.00        99.4387                 NaN            NaN            NaN  0.546427                 NaN  0.149050E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        2500.00        99.4401                 NaN            NaN            NaN  0.545112                 NaN  0.147897E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        2500.00        99.4380                 NaN            NaN            NaN  0.547196                 NaN  0.147880E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        2500.00        99.4359                 NaN            NaN            NaN  0.549274                 NaN  0.148097E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        2500.00        99.4372                 NaN            NaN            NaN  0.548069                 NaN  0.146955E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        2500.00        99.1456                 NaN            NaN            NaN  0.832220                 NaN  0.222171E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        2500.00        99.8338                 NaN            NaN            NaN  0.161913                 NaN  0.424326E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        2500.00        99.8310                 NaN            NaN            NaN  0.164572                 NaN  0.438901E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        2500.00        98.1839                 NaN            NaN            NaN   1.76904                 NaN  0.470185E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        2500.00        99.6114                 NaN            NaN            NaN  0.379125                 NaN  0.950469E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        2500.00        99.4288                 NaN            NaN            NaN  0.556709                 NaN  0.145082E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        2500.00        99.4271                 NaN            NaN            NaN  0.558425                 NaN  0.144641E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        2500.00        99.4275                 NaN            NaN            NaN  0.558117                 NaN  0.144016E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        2500.00        99.4259                 NaN            NaN            NaN  0.559743                 NaN  0.143337E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        2500.00        99.4197                 NaN            NaN            NaN  0.565898                 NaN  0.144333E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        2500.00        99.4233                 NaN            NaN            NaN  0.562430                 NaN  0.142603E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        2500.00        99.4202                 NaN            NaN            NaN  0.565564                 NaN  0.142511E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        2500.00        99.4168                 NaN            NaN            NaN  0.568918                 NaN  0.142587E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        2500.00        99.4085                 NaN            NaN            NaN  0.576962                 NaN  0.145312E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        2500.00        99.4248                 NaN            NaN            NaN  0.561290                 NaN  0.139091E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        2500.00        99.4134                 NaN            NaN            NaN  0.572500                 NaN  0.141414E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        2500.00        99.4573                 NaN            NaN            NaN  0.529668                 NaN  0.130431E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        2500.00        99.3642                 NaN            NaN            NaN  0.620596                 NaN  0.151943E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        2500.00        99.4080                 NaN            NaN            NaN  0.577902                 NaN  0.140585E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        2500.00        99.4036                 NaN            NaN            NaN  0.582263                 NaN  0.141051E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        2500.00        99.4056                 NaN            NaN            NaN  0.580412                 NaN  0.139696E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        2500.00        99.3992                 NaN            NaN            NaN  0.586720                 NaN  0.140707E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        2500.00        99.4032                 NaN            NaN            NaN  0.582902                 NaN  0.138965E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        2500.00        99.3986                 NaN            NaN            NaN  0.587482                 NaN  0.139473E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        2500.00        99.3976                 NaN            NaN            NaN  0.588456                 NaN  0.138948E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        2500.00        99.3919                 NaN            NaN            NaN  0.594151                 NaN  0.139141E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        2500.00        99.3944                 NaN            NaN            NaN  0.591826                 NaN  0.138122E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        2500.00        99.3913                 NaN            NaN            NaN  0.594865                 NaN  0.138198E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        2500.00        99.3887                 NaN            NaN            NaN  0.597527                 NaN  0.138204E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        2500.00        99.3884                 NaN            NaN            NaN  0.597824                 NaN  0.137498E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        2500.00        99.3861                 NaN            NaN            NaN  0.600123                 NaN  0.137519E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        2500.00        99.3854                 NaN            NaN            NaN  0.600946                 NaN  0.137043E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        2500.00        99.3826                 NaN            NaN            NaN  0.603724                 NaN  0.136991E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        2500.00        99.3807                 NaN            NaN            NaN  0.605629                 NaN  0.136764E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        2500.00        99.3702                 NaN            NaN            NaN  0.615820                 NaN  0.139420E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        2500.00        99.3885                 NaN            NaN            NaN  0.598112                 NaN  0.133568E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        2500.00        99.3777                 NaN            NaN            NaN  0.608677                 NaN  0.135848E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        2500.00        99.6427                 NaN            NaN            NaN  0.349403                 NaN  0.787043E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        2500.00        99.7760                 NaN            NaN            NaN  0.218961                 NaN  0.506164E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        2500.00        98.7068                 NaN            NaN            NaN   1.26556                 NaN  0.276468E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        2500.00        99.3726                 NaN            NaN            NaN  0.613877                 NaN  0.134987E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        2500.00        99.3709                 NaN            NaN            NaN  0.615688                 NaN  0.134613E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        2500.00        99.3718                 NaN            NaN            NaN  0.614780                 NaN  0.134036E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        2500.00        98.7680                 NaN            NaN            NaN   1.20690                 NaN  0.251316E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        2500.00        99.9709                 NaN            NaN            NaN  0.275044E-001            NaN  0.164294E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
