|6.6.6
Archiving\03_Data\eqfrac/QFM_m0.25/YM20/YM20_1.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        Sp(TH)         Sp(TH)         Sp(TH)         ne             lc             ilm           
  1573.72        2500.00        99.6837       0.312132       0.418388E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.28        2500.00        99.6916       0.276232       0.321893E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.84        2500.00        98.9810       0.909272       0.109744                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.41        2500.00        99.3421       0.587673       0.702113E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.97        2500.00        99.3501       0.581656       0.682815E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.53        2500.00        99.3562       0.576410       0.673606E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1565.09        2500.00        99.3555       0.576963       0.675094E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.65        2500.00        99.3641       0.569829       0.660282E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1562.22        2500.00        99.3698       0.564830       0.653939E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.78        2500.00        99.3719       0.563940       0.642081E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.34        2500.00        99.3798       0.556765       0.634407E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.90        2500.00        99.3837       0.553896       0.624237E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.47        2500.00        99.3766       0.559422       0.640021E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.03        2500.00        99.4050       0.535557       0.594654E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.59        2500.00        99.3964       0.544357       0.592192E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.15        2500.00        99.4025       0.538170       0.593614E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1550.71        2500.00        99.3912       0.548594       0.602363E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.28        2500.00        99.4266       0.512103       0.612549E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.84        2500.00        99.4143       0.533781       0.519367E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.40        2500.00        99.4186       0.527383       0.540624E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.96        2500.00        99.4228       0.523115       0.541320E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.52        2500.00        99.4276       0.518389       0.540501E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.09        2500.00        99.4303       0.516813       0.529096E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.65        2500.00        99.4355       0.511452       0.530474E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.21        2500.00        99.4392       0.510006       0.507657E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.77        2500.00        99.4416       0.508803       0.495732E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.33        2500.00        99.4463       0.504202       0.495199E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.90        2500.00        99.4502       0.500844       0.489204E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.46        2500.00        99.4538       0.497874       0.483640E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.02        2500.00        99.5736       0.389412       0.370075E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.58        2500.00        99.3437       0.600284       0.560571E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.15        2500.00        99.4589       0.497621       0.434923E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.71        2500.00        99.4685       0.489033       0.425034E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.27        2500.00        99.4710       0.485646       0.433250E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.83        2500.00        99.4736       0.483808       0.426032E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.39        2500.00        99.4780       0.479336       0.426809E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.96        2500.00        99.4796       0.479605       0.407682E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.52        2500.00        99.4840       0.475232       0.407315E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.08        2500.00        99.4861       0.474781       0.390865E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.64        2500.00        99.4879       0.475114       0.369742E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.20        2500.00        99.4937       0.467845       0.384625E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.77        2500.00        99.4946       0.468957       0.364042E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.33        2500.00        99.4992       0.464523       0.362526E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.89        2500.00        99.5014       0.463117       0.354444E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.45        2500.00        99.4240       0.538493       0.375395E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.01        2500.00        99.7712       0.213177       0.156333E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.58        2500.00        99.3212       0.634068       0.446963E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.14        2500.00        99.5108       0.457622       0.315955E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.70        2500.00        99.5140       0.455744       0.302954E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.26        2500.00        99.5181       0.451591       0.303079E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.83        2500.00        99.5166       0.451326       0.320454E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.39        2500.00        99.5250       0.448115       0.268642E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.95        2500.00        99.5240       0.448492       0.275093E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.51        2500.00        99.5251       0.449521       0.253906E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.07        2500.00        99.5275       0.446932       0.255816E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.64        2500.00        99.5290       0.447818       0.232226E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.20        2500.00        99.5318       0.445638       0.226075E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.76        2500.00        99.6915       0.295583       0.129428E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.32        2500.00        99.3748       0.595752       0.294521E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1488.88        2500.00        99.0476       0.913817       0.385778E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.45        2500.00        99.9998       0.168608E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.01        2500.00        99.5747       0.408615       0.166957E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.57        2500.00        99.5451       0.388383       0.665107E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.13        2500.00        99.5126       0.481020       0.634780E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1481.69        2500.00        99.1710       0.285128       0.136070E-001  0.530298                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1480.26        2500.00        99.0908       0.248517       0.587363E-001  0.601908                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1478.82        2500.00        99.1020       0.245520       0.572922E-001  0.595220                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1477.38        2500.00        99.1071       0.245516       0.557839E-001  0.591567                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1475.94        2500.00        99.1158       0.242107       0.551595E-001  0.586917                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1474.51        2500.00        99.1220       0.241754       0.533428E-001  0.582929                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1473.07        2500.00        99.1262       0.240188       0.528410E-001  0.580724                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1471.63        2500.00        99.1387       0.238335       0.504390E-001  0.572513                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1470.19        2500.00        99.1433       0.237053       0.495717E-001  0.570037                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1468.75        2500.00        99.1502       0.234040       0.494483E-001  0.566310                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1467.32        2500.00        99.1549       0.231343       0.493201E-001  0.564389                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1465.88        2500.00        99.1655       0.232091       0.458684E-001  0.556590                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1464.44        2500.00        98.6006       0.212879       0.234547E-001  0.859684       0.303346                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1463.00        2500.00        99.9693                 NaN  0.145633E-001  0.160966E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1461.56        2500.00        98.8746       0.322782       0.459678E-001  0.756623                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1460.13        2500.00        99.1876       0.227047       0.424825E-001  0.542836                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1458.69        2500.00        99.1938       0.225816       0.414248E-001  0.538974                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1457.25        2500.00        99.1985       0.225758       0.397295E-001  0.536032                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1455.81        2500.00        99.1778       0.903659E-001  0.220708E-001  0.506285       0.203500                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1454.37        2500.00        99.1731       0.390459E-001  0.144377E-001  0.280475       0.492966                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1452.94        2500.00        99.1797       0.492812E-001  0.126244E-001  0.268301       0.490098                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1451.50        2500.00        99.1847       0.431060E-001  0.120171E-001  0.486485       0.273684                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1450.06        2500.00        99.1898       0.430177E-001  0.110554E-001  0.272742       0.483401                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1448.62        2500.00        99.1947       0.435988E-001  0.101073E-001  0.271136       0.480426                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1447.19        2500.00        99.1994       0.419053E-001  0.924980E-002  0.272134       0.477297                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1445.75        2500.00        99.4319       0.205752E-001  0.690306E-002  0.338002       0.202583                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1444.31        2500.00        99.9303                 NaN  0.256163E-001  0.441301E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1442.87        2500.00        98.2671       0.986938E-001            NaN   1.03437       0.599815                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1441.43        2500.00        99.2197       0.522484E-001  0.693457E-002  0.254304       0.466768                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1440.00        2500.00        99.4048       0.137573E-001  0.249824E-001  0.195516       0.360989                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1438.56        2500.00        99.0465       0.614072E-001            NaN  0.324044       0.568037                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1437.12        2500.00        99.2309       0.488974E-001            NaN  0.458757       0.261404                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1435.68        2500.00        99.2354       0.543438E-001            NaN  0.456835       0.253393                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1434.24        2500.00        99.2398       0.503938E-001  0.277351E-002  0.455216       0.251848                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
