|6.6.6
Archiving\03_Data\eqfracLP/QFM_m2.25/EETA/EETA_1.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             O(HP)          San(TH)        ilm            q             
  1423.08        500.000        99.9093       0.448023E-001  0.459160E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1422.02        500.000        99.5045       0.194910       0.300623                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1420.96        500.000        99.3945       0.385633       0.219909                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1419.90        500.000        99.4039       0.379251       0.216849                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1418.84        500.000        99.4033       0.216776       0.379924                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1417.78        500.000        99.4062       0.378185       0.215649                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1416.72        500.000        99.4098       0.375455       0.214708                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1415.66        500.000        99.4126       0.374007       0.213351                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1414.60        500.000        99.3964       0.219197       0.384448                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1413.54        500.000        98.5868       0.590534       0.445378                 NaN            NaN  0.377330                 NaN            NaN            NaN            NaN
  1412.48        500.000        98.4850       0.636373       0.460319                 NaN            NaN  0.418338                 NaN            NaN            NaN            NaN
  1411.42        500.000        98.5012       0.455528       0.629318                 NaN            NaN  0.413930                 NaN            NaN            NaN            NaN
  1410.36        500.000        98.4049       0.483625       0.670827                 NaN            NaN  0.440634                 NaN            NaN            NaN            NaN
  1409.30        500.000        98.6547       0.565555       0.408447                 NaN            NaN  0.371269                 NaN            NaN            NaN            NaN
  1408.24        500.000        98.5515       0.608406       0.440703                 NaN            NaN  0.399433                 NaN            NaN            NaN            NaN
  1407.17        500.000        98.5815       0.596381       0.431130                 NaN            NaN  0.391030                 NaN            NaN            NaN            NaN
  1406.11        500.000        98.4683       0.465352       0.643963                 NaN            NaN  0.422409                 NaN            NaN            NaN            NaN
  1405.05        500.000        98.7393       0.530200       0.382972                 NaN            NaN  0.347537       0.117330E-004            NaN            NaN            NaN
  1403.99        500.000        98.6291       0.483668       0.437430                 NaN            NaN  0.386957       0.628127E-001            NaN            NaN            NaN
  1402.93        500.000        98.6497       0.450099       0.387953                 NaN            NaN  0.389579       0.122681                 NaN            NaN            NaN
  1401.87        500.000        98.5049       0.501342       0.423776                 NaN            NaN  0.431187       0.138801                 NaN            NaN            NaN
  1400.81        500.000        98.8364       0.388798       0.329447                 NaN            NaN  0.336440       0.108965                 NaN            NaN            NaN
  1399.75        500.000        98.6977       0.439049       0.360763                 NaN            NaN  0.376480       0.126028                 NaN            NaN            NaN
  1398.69        500.000        98.7035       0.356474       0.438156                 NaN            NaN  0.375233       0.126683                 NaN            NaN            NaN
  1397.63        500.000        98.7289       0.345735       0.429254                 NaN            NaN  0.368171       0.127937                 NaN            NaN            NaN
  1396.57        500.000        98.7467       0.339793       0.425117                 NaN            NaN  0.362216       0.126179                 NaN            NaN            NaN
  1395.51        500.000        98.7543       0.332449       0.423649                 NaN            NaN  0.360753       0.128800                 NaN            NaN            NaN
  1394.45        500.000        98.7736       0.323272       0.418355                 NaN            NaN  0.355412       0.129320                 NaN            NaN            NaN
  1393.39        500.000        98.7418       0.327883       0.430105                 NaN            NaN  0.364974       0.135258                 NaN            NaN            NaN
  1392.33        500.000        98.8408       0.398357       0.297879                 NaN            NaN  0.336374       0.126609                 NaN            NaN            NaN
  1391.27        500.000        98.8135       0.302123       0.408343                 NaN            NaN  0.344411       0.131610                 NaN            NaN            NaN
  1390.21        500.000        98.8243       0.405852       0.295222                 NaN            NaN  0.341583       0.133035                 NaN            NaN            NaN
  1389.15        500.000        98.8401       0.287971       0.401656                 NaN            NaN  0.337014       0.133285                 NaN            NaN            NaN
  1388.09        500.000        98.8485       0.399647       0.282240                 NaN            NaN  0.334833       0.134736                 NaN            NaN            NaN
  1387.03        500.000        98.8634       0.275495       0.395616                 NaN            NaN  0.330618       0.134852                 NaN            NaN            NaN
  1385.97        500.000        98.8773       0.392429       0.268394                 NaN            NaN  0.326586       0.135282                 NaN            NaN            NaN
