|6.6.6
Archiving\03_Data\eqfracLP/QFM_m2.25/EETA/EETA_3.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             O(HP)          San(TH)        ilm            q             
  1423.08        500.000        99.9233       0.376072E-001  0.390563E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1422.02        500.000        99.5806       0.163609       0.255754                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1420.96        500.000        99.4874       0.328049       0.184516                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1419.90        500.000        99.4957       0.322417       0.181854                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1418.84        500.000        99.4954       0.181698       0.322854                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1417.78        500.000        99.4981       0.321244       0.180656                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1416.72        500.000        99.5014       0.318792       0.179772                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1415.66        500.000        99.5040       0.317421       0.178540                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1414.60        500.000        99.4906       0.183317       0.326121                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1413.54        500.000        98.7389       0.493798       0.377808                 NaN            NaN  0.389538                 NaN            NaN            NaN            NaN
  1412.48        500.000        98.6462       0.531764       0.390264                 NaN            NaN  0.431790                 NaN            NaN            NaN            NaN
  1411.42        500.000        98.6615       0.385942       0.525439                 NaN            NaN  0.427112                 NaN            NaN            NaN            NaN
  1410.36        500.000        98.5765       0.409407       0.559552                 NaN            NaN  0.454574                 NaN            NaN            NaN            NaN
  1409.30        500.000        98.8003       0.471333       0.345549                 NaN            NaN  0.382808                 NaN            NaN            NaN            NaN
  1408.24        500.000        98.7091       0.506566       0.372574                 NaN            NaN  0.411772                 NaN            NaN            NaN            NaN
  1407.17        500.000        98.7365       0.496238       0.364257                 NaN            NaN  0.402975                 NaN            NaN            NaN            NaN
  1406.11        500.000        98.6364       0.392926       0.535468                 NaN            NaN  0.435222                 NaN            NaN            NaN            NaN
