|6.6.6
Archiving\03_Data\eqfrac/QFM_m0.5/KHA22/KHA22_1.tab                       
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ne             lc             ilm           
  1583.33        2500.00       0.488001E-002            NaN   99.6222       0.369250       0.368155E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.87        2500.00                 NaN            NaN   99.3005       0.637610       0.618654E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1580.41        2500.00                 NaN            NaN   99.3071       0.626073       0.667950E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.94        2500.00                 NaN            NaN   99.3121       0.622220       0.656764E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1577.48        2500.00                 NaN            NaN   99.2949       0.638856       0.662767E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.02        2500.00                 NaN            NaN   99.3483       0.590712       0.609672E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1574.56        2500.00                 NaN            NaN   99.2456       0.726519       0.279307E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.10        2500.00                 NaN            NaN   99.4231       0.478443       0.984747E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.63        2500.00                 NaN            NaN   99.3412       0.598135       0.606270E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.17        2500.00                 NaN            NaN   99.5748       0.385253       0.398997E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.71        2500.00                 NaN            NaN   99.1238       0.796877       0.792934E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.25        2500.00                 NaN            NaN   99.3572       0.585312       0.574457E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1565.79        2500.00                 NaN            NaN   99.3625       0.580408       0.571096E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.32        2500.00                 NaN            NaN   99.3677       0.575823       0.565111E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1562.86        2500.00                 NaN            NaN   99.3745       0.568601       0.569203E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        2500.00                 NaN            NaN   99.3777       0.569210       0.531156E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.94        2500.00                 NaN            NaN   99.3799       0.567402       0.526665E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.48        2500.00                 NaN            NaN   99.3887       0.558823       0.525170E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.01        2500.00                 NaN            NaN   99.3909       0.556020       0.530411E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.55        2500.00                 NaN            NaN   99.4016       0.546142       0.522423E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.09        2500.00                 NaN            NaN   99.3536       0.592345       0.540781E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.63        2500.00                 NaN            NaN   99.4544       0.500705       0.449308E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.17        2500.00                 NaN            NaN   99.4099       0.541218       0.488971E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.70        2500.00                 NaN            NaN   99.4154       0.537384       0.471789E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.24        2500.00                 NaN            NaN   99.4210       0.531753       0.472925E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.78        2500.00                 NaN            NaN   99.6470       0.323425       0.295824E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.32        2500.00                 NaN            NaN   99.2067       0.729640       0.636619E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        2500.00                 NaN            NaN   99.4335       0.521722       0.447459E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.39        2500.00                 NaN            NaN   99.4366       0.519463       0.439436E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.93        2500.00                 NaN            NaN   99.4421       0.513378       0.445329E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.47        2500.00                 NaN            NaN   99.4170       0.540003       0.429552E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.01        2500.00                 NaN            NaN   99.4770       0.481184       0.418001E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.55        2500.00                 NaN            NaN   99.4520       0.508362       0.396878E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.08        2500.00                 NaN            NaN   99.4570       0.502913       0.401135E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.62        2500.00                 NaN            NaN   99.4595       0.501306       0.392363E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.16        2500.00                 NaN            NaN   99.4639       0.498010       0.380501E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.70        2500.00                 NaN            NaN   99.4590       0.502130       0.389137E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.24        2500.00                 NaN            NaN   99.4790       0.484603       0.363511E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.77        2500.00                 NaN            NaN   99.4763       0.486127       0.375591E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.31        2500.00                 NaN            NaN   99.4786       0.486029       0.353859E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.85        2500.00                 NaN            NaN   99.4676       0.496980       0.353841E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.39        2500.00                 NaN            NaN   99.4990       0.467443       0.335137E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.93        2500.00                 NaN            NaN   99.4871       0.481022       0.318834E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.46        2500.00                 NaN            NaN   99.4912       0.476274       0.325680E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.00        2500.00                 NaN            NaN   99.4093       0.555774       0.349754E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.54        2500.00                 NaN            NaN   99.7205       0.253950       0.255036E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.08        2500.00                 NaN            NaN   99.3586       0.614807       0.266255E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.62        2500.00                 NaN            NaN   99.5039       0.467167       0.289079E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.15        2500.00                 NaN            NaN   99.5053       0.466521       0.281504E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.69        2500.00                 NaN            NaN   99.5100       0.463230       0.267916E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.23        2500.00                 NaN            NaN   99.5109       0.463786       0.253182E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.77        2500.00                 NaN            NaN   99.5160       0.457465       0.265739E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.31        2500.00                 NaN            NaN   99.5171       0.458487       0.244062E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.85        2500.00                 NaN            NaN   99.5210       0.453887       0.251313E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.38        2500.00                 NaN            NaN   98.4204        1.52011       0.594457E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.92        2500.00                 NaN            NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.46        2500.00                 NaN            NaN   99.9945                 NaN  0.546715E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.00        2500.00                 NaN            NaN   99.7711       0.226244       0.265947E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.54        2500.00                 NaN            NaN   99.4460       0.530735       0.233065E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.07        2500.00                 NaN            NaN   99.5364       0.443815       0.198079E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.61        2500.00                 NaN            NaN   99.3125       0.650435       0.370472E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.15        2500.00                 NaN            NaN   99.7679       0.229596       0.250375E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1492.69        2500.00                 NaN            NaN   99.5434       0.438154       0.184146E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.23        2500.00                 NaN            NaN   99.5444       0.440298       0.152723E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1489.76        2500.00                 NaN            NaN   99.5464       0.438139       0.154538E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1488.30        2500.00                 NaN            NaN   99.5490       0.436932       0.140296E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.84        2500.00                 NaN            NaN   99.5517       0.423414       0.248758E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1485.38        2500.00                 NaN            NaN   99.5554       0.412436       0.321173E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.92        2500.00                 NaN            NaN   99.5539       0.438900       0.717040E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.45        2500.00                 NaN            NaN   99.4611                 NaN  0.367690E-005  0.538922                 NaN            NaN            NaN            NaN            NaN            NaN
  1480.99        2500.00                 NaN            NaN   99.1876                 NaN            NaN  0.541409       0.270984                 NaN            NaN            NaN            NaN            NaN
  1479.53        2500.00                 NaN            NaN   99.1048       0.437238E-002            NaN  0.507754       0.383067                 NaN            NaN            NaN            NaN            NaN
  1478.07        2500.00                 NaN            NaN   99.1132       0.857571E-001            NaN  0.289718       0.511277                 NaN            NaN            NaN            NaN            NaN
  1476.61        2500.00                 NaN            NaN   99.1228       0.772756E-001  0.139411E-001  0.510580       0.275428                 NaN            NaN            NaN            NaN            NaN
  1475.14        2500.00                 NaN            NaN   99.1292       0.746958E-001  0.105498E-001  0.280208       0.505325                 NaN            NaN            NaN            NaN            NaN
  1473.68        2500.00                 NaN            NaN   99.1391       0.664998E-001  0.255910E-001  0.263870       0.504949                 NaN            NaN            NaN            NaN            NaN
  1472.22        2500.00                 NaN            NaN   99.1454       0.649713E-001  0.244149E-001  0.501049       0.264173                 NaN            NaN            NaN            NaN            NaN
  1470.76        2500.00                 NaN            NaN   99.1527       0.601259E-001  0.234091E-001  0.267783       0.496018                 NaN            NaN            NaN            NaN            NaN
  1469.30        2500.00                 NaN            NaN   99.1593       0.596341E-001  0.221450E-001  0.491888       0.267058                 NaN            NaN            NaN            NaN            NaN
  1467.83        2500.00                 NaN            NaN   99.1671       0.528836E-001  0.278251E-001  0.263293       0.488879                 NaN            NaN            NaN            NaN            NaN
  1466.37        2500.00                 NaN            NaN   99.1707       0.573822E-001  0.137100E-001  0.275771       0.482410                 NaN            NaN            NaN            NaN            NaN
  1464.91        2500.00                 NaN            NaN   99.1789       0.529754E-001  0.189047E-001  0.270080       0.479095                 NaN            NaN            NaN            NaN            NaN
  1463.45        2500.00                 NaN            NaN   99.1847       0.502150E-001  0.181128E-001  0.271525       0.475408                 NaN            NaN            NaN            NaN            NaN
