|6.6.6
Archiving\03_Data\eqfrac/QFM_m4.75/TIS/TIS_3.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       iron           Cpx(TH)        Cpx(TH)        O(HP)          an             San(TH)        ilm            q             
  1394.45        2500.00                 NaN   98.9943                 NaN  0.200919E-001  0.313694       0.317234                 NaN  0.354682                 NaN            NaN            NaN
  1393.29        2500.00                 NaN   99.0104                 NaN  0.195858E-001  0.312326       0.308941                 NaN  0.348778                 NaN            NaN            NaN
  1392.14        2500.00                 NaN   99.0255                 NaN  0.191243E-001  0.303438       0.308586                 NaN  0.343316                 NaN            NaN            NaN
  1390.98        2500.00                 NaN   99.0380                 NaN  0.187221E-001  0.304740       0.299570                 NaN  0.338961                 NaN            NaN            NaN
  1389.82        2500.00                 NaN   99.0576                 NaN  0.181110E-001  0.292260       0.300598                 NaN  0.331456                 NaN            NaN            NaN
  1388.67        2500.00                 NaN   99.0693                 NaN  0.177512E-001  0.288270       0.297332                 NaN  0.327309                 NaN            NaN            NaN
  1387.51        2500.00                 NaN   99.0827                 NaN  0.173205E-001  0.283638       0.293827                 NaN  0.322482                 NaN            NaN            NaN
  1386.35        2500.00                 NaN   99.0966                 NaN  0.168961E-001  0.290359       0.278700                 NaN  0.317401                 NaN            NaN            NaN
  1385.20        2500.00                 NaN   99.1098                 NaN  0.165092E-001  0.273924       0.287167                 NaN  0.312552                 NaN            NaN            NaN
  1384.04        2500.00                 NaN   99.1222                 NaN  0.161054E-001  0.284075       0.269561                 NaN  0.308023                 NaN            NaN            NaN
  1382.88        2500.00                 NaN   99.1350                 NaN  0.156942E-001  0.265190       0.280825                 NaN  0.303339                 NaN            NaN            NaN
  1381.72        2500.00                 NaN   99.1470                 NaN  0.153197E-001  0.261121       0.277636                 NaN  0.298949                 NaN            NaN            NaN
  1380.57        2500.00                 NaN   99.1587                 NaN  0.149403E-001  0.256790       0.274949                 NaN  0.294669                 NaN            NaN            NaN
  1379.41        2500.00                 NaN   99.1704                 NaN  0.145895E-001  0.253244       0.271441                 NaN  0.290369                 NaN            NaN            NaN
  1378.25        2500.00                 NaN   99.1814                 NaN  0.141635E-001  0.248526       0.269631                 NaN  0.286251                 NaN            NaN            NaN
  1377.10        2500.00                 NaN   99.1927                 NaN  0.138357E-001  0.244561       0.266750                 NaN  0.282134                 NaN            NaN            NaN
  1375.94        2500.00                 NaN   99.2033                 NaN  0.134771E-001  0.240608       0.264393                 NaN  0.278229                 NaN            NaN            NaN
  1374.78        2500.00                 NaN   99.2138                 NaN  0.131052E-001  0.236635       0.262131                 NaN  0.274378                 NaN            NaN            NaN
  1373.63        2500.00                 NaN   98.8972                 NaN  0.185126E-001  0.366311       0.332466                 NaN  0.385528                 NaN            NaN            NaN
  1372.47        2500.00                 NaN   99.5652                 NaN  0.698165E-002  0.148328       0.128381                 NaN  0.151152                 NaN            NaN            NaN
  1371.31        2500.00                 NaN   99.2441                 NaN  0.121151E-001  0.254929       0.225804                 NaN  0.263089                 NaN            NaN            NaN
  1370.16        2500.00                 NaN   99.2535                 NaN  0.118021E-001  0.222332       0.252708                 NaN  0.259647                 NaN            NaN            NaN
  1369.00        2500.00                 NaN   99.2627                 NaN  0.114866E-001  0.218614       0.250913                 NaN  0.256241                 NaN            NaN            NaN
  1367.84        2500.00                 NaN   99.2719                 NaN  0.111911E-001  0.215264       0.248756                 NaN  0.252858                 NaN            NaN            NaN
  1366.69        2500.00                 NaN   99.2808                 NaN  0.108815E-001  0.211828       0.246936                 NaN  0.249522                 NaN            NaN            NaN
  1365.53        2500.00                 NaN   99.2896                 NaN  0.105787E-001  0.208327       0.245171                 NaN  0.246281                 NaN            NaN            NaN
  1364.37        2500.00                 NaN   99.2982                 NaN  0.102766E-001  0.243384       0.205044                 NaN  0.243100                 NaN            NaN            NaN
  1363.22        2500.00                 NaN   99.3063                 NaN  0.100033E-001  0.201890       0.241755                 NaN  0.240074                 NaN            NaN            NaN
  1362.06        2500.00                 NaN   99.3148                 NaN  0.969951E-002  0.240271       0.198322                 NaN  0.236922                 NaN            NaN            NaN
  1360.90        2500.00                 NaN   99.3212                 NaN  0.942981E-002  0.196118       0.238691                 NaN  0.234522                 NaN            NaN            NaN
  1359.75        2500.00                 NaN   99.3314                 NaN  0.910780E-002  0.236875       0.191925                 NaN  0.230651                 NaN            NaN            NaN
  1358.59        2500.00                 NaN   99.3370                 NaN  0.888971E-002  0.235761       0.189661                 NaN  0.228676                 NaN            NaN            NaN
  1357.43        2500.00                 NaN   99.3460                 NaN  0.857418E-002  0.234096       0.186153                 NaN  0.225133                 NaN            NaN            NaN
  1356.28        2500.00                 NaN   99.3526                 NaN  0.832993E-002  0.183557       0.232755                 NaN  0.222737                 NaN            NaN            NaN
  1355.12        2500.00                 NaN   99.3603                 NaN  0.803522E-002  0.231649       0.180173                 NaN  0.219816                 NaN            NaN            NaN
  1353.96        2500.00                 NaN   99.3667                 NaN  0.780009E-002  0.230122       0.177989                 NaN  0.217413                 NaN            NaN            NaN
  1352.81        2500.00                 NaN   99.3738                 NaN  0.754431E-002  0.174532       0.229308                 NaN  0.214819                 NaN            NaN            NaN
  1351.65        2500.00                 NaN   99.3798                 NaN  0.730699E-002  0.171796       0.228567                 NaN  0.212565                 NaN            NaN            NaN
  1350.49        2500.00                 NaN   99.3875                 NaN  0.701723E-002  0.168713       0.227150                 NaN  0.209595                 NaN            NaN            NaN
  1349.34        2500.00                 NaN   99.3940                 NaN  0.680830E-002  0.166144       0.225895                 NaN  0.207195                 NaN            NaN            NaN
  1348.18        2500.00                 NaN   99.3996                 NaN  0.655655E-002  0.225244       0.163552                 NaN  0.205067                 NaN            NaN            NaN
  1347.02        2500.00                 NaN   99.4061                 NaN  0.631362E-002  0.160652       0.224322                 NaN  0.202608                 NaN            NaN            NaN
  1345.87        2500.00                 NaN   99.4115                 NaN  0.622165E-002  0.159431       0.222042                 NaN  0.200809                 NaN            NaN            NaN
  1344.71        2500.00                 NaN   99.4180                 NaN  0.586203E-002  0.154648       0.223334                 NaN  0.198165                 NaN            NaN            NaN
  1343.55        2500.00                 NaN   99.4251                 NaN  0.557649E-002  0.221825       0.152198                 NaN  0.195275                 NaN            NaN            NaN
  1342.40        2500.00                 NaN   99.4291                 NaN  0.539000E-002  0.221246       0.150396                 NaN  0.193859                 NaN            NaN            NaN
  1341.24        2500.00                 NaN   99.4351                 NaN  0.516106E-002  0.147473       0.220654                 NaN  0.191624                 NaN            NaN            NaN
  1340.08        2500.00                 NaN   99.4403                 NaN  0.493034E-002  0.144740       0.220399                 NaN  0.189650                 NaN            NaN            NaN
  1338.93        2500.00                 NaN   99.4459                 NaN  0.471598E-002  0.142147       0.219731                 NaN  0.187537                 NaN            NaN            NaN
  1337.77        2500.00                 NaN   99.4509                 NaN  0.448731E-002  0.219347       0.139712                 NaN  0.185590                 NaN            NaN            NaN
  1336.61        2500.00                 NaN   99.4562                 NaN  0.427608E-002  0.136434       0.219399                 NaN  0.183669                 NaN            NaN            NaN
  1335.46        2500.00                 NaN   99.4611                 NaN  0.406050E-002  0.218613       0.134492                 NaN  0.181685                 NaN            NaN            NaN
  1334.30        2500.00                 NaN   99.4657                 NaN  0.387341E-002  0.218448       0.131953                 NaN  0.179977                 NaN            NaN            NaN
  1333.14        2500.00                 NaN   99.4712                 NaN  0.364308E-002  0.129149       0.218143                 NaN  0.177881                 NaN            NaN            NaN
  1331.98        2500.00                 NaN   99.4754                 NaN  0.341883E-002  0.218325       0.126654                 NaN  0.176160                 NaN            NaN            NaN
  1330.83        2500.00                 NaN   99.4798                 NaN  0.320437E-002  0.218345       0.124125                 NaN  0.174482                 NaN            NaN            NaN
  1329.67        2500.00                 NaN   99.4843                 NaN  0.300879E-002  0.218518       0.121354                 NaN  0.172772                 NaN            NaN            NaN
  1328.51        2500.00                 NaN   99.4880                 NaN  0.281910E-002  0.118844       0.218752                 NaN  0.171536                 NaN            NaN            NaN
  1327.36        2500.00                 NaN   99.4940                 NaN  0.255056E-002  0.116663       0.217966                 NaN  0.168841                 NaN            NaN            NaN
  1326.20        2500.00                 NaN   99.4975                 NaN  0.236646E-002  0.113141       0.219340                 NaN  0.167680                 NaN            NaN            NaN
  1325.04        2500.00                 NaN   99.5015                 NaN  0.226217E-002  0.218718       0.111158                 NaN  0.166327                 NaN            NaN            NaN
  1323.89        2500.00                 NaN   99.5059                 NaN  0.194674E-002  0.220483       0.107296                 NaN  0.164350                 NaN            NaN            NaN
  1322.73        2500.00                 NaN   99.5095                 NaN  0.179592E-002  0.105216       0.220460                 NaN  0.163013                 NaN            NaN            NaN
  1321.57        2500.00                 NaN   99.5135                 NaN  0.161011E-002  0.221103       0.102234                 NaN  0.161545                 NaN            NaN            NaN
  1320.42        2500.00                 NaN   99.5172                 NaN  0.137081E-002  0.990922E-001  0.222306                 NaN  0.160028                 NaN            NaN            NaN
  1319.26        2500.00                 NaN   99.5209                 NaN  0.120192E-002  0.223109       0.961485E-001            NaN  0.158600                 NaN            NaN            NaN
  1318.10        2500.00                 NaN   99.5248                 NaN  0.104995E-002  0.223468       0.934913E-001            NaN  0.157201                 NaN            NaN            NaN
  1316.95        2500.00                 NaN   99.5283                 NaN  0.812906E-003  0.225056       0.900913E-001            NaN  0.155719                 NaN            NaN            NaN
  1315.79        2500.00                 NaN   86.9714                 NaN  0.121172        1.65693        1.37340                 NaN   1.79954        8.07752                 NaN            NaN
  1314.63        2500.00                 NaN   76.9637                 NaN  0.206958        2.26741        2.93708                 NaN   3.09859        14.5263                 NaN            NaN
  1313.48        2500.00                 NaN   81.2506                 NaN  0.159957        1.83668        2.43789                 NaN   2.52895        11.7860                 NaN            NaN
  1312.32        2500.00                 NaN   84.2550                 NaN  0.127858        2.10409        1.51497                 NaN   2.12997        9.86813                 NaN            NaN
  1311.16        2500.00                 NaN   86.4336                 NaN  0.104131        1.94415        1.20098                 NaN   1.84089        8.47621                 NaN            NaN
  1310.01        2500.00                 NaN   88.0924                 NaN  0.862884E-001   2.78322                 NaN            NaN   1.62046        7.41760                 NaN            NaN
  1308.85        2500.00                 NaN   89.3794                 NaN  0.715153E-001   2.50332                 NaN            NaN   1.45002        6.59576                 NaN            NaN
  1307.69        2500.00                 NaN   90.4959                 NaN  0.617447E-001   2.25403                 NaN            NaN   1.29825        5.89006                 NaN            NaN
  1306.54        2500.00                 NaN   91.3362                 NaN  0.515959E-001   2.07231                 NaN            NaN   1.18776        5.35209                 NaN            NaN
  1305.38        2500.00                 NaN   92.0567                 NaN  0.444000E-001   1.91393                 NaN            NaN   1.09041        4.89455                 NaN            NaN
  1304.22        2500.00                 NaN   92.6651                 NaN  0.383842E-001   1.77968                 NaN            NaN   1.00856        4.50827                 NaN            NaN
  1303.07        2500.00                 NaN   89.8202                 NaN  0.342708E-001   2.33583                 NaN            NaN   1.37776        6.27985       0.152074                 NaN
  1301.91        2500.00                 NaN   87.6768                 NaN  0.280418E-001   2.74527                 NaN            NaN   1.65142        7.61177       0.286655                 NaN
  1300.75        2500.00                 NaN   89.1128                 NaN  0.213322E-001   2.44167                 NaN            NaN   1.46020        6.71027       0.253739                 NaN
  1299.60        2500.00                 NaN   90.2517                 NaN  0.169419E-001   2.19742                 NaN            NaN   1.30709        5.99864       0.228189                 NaN
  1298.44        2500.00                 NaN   91.1886                 NaN  0.111073E-001   2.00493                 NaN            NaN   1.18399        5.40594       0.205446                 NaN
  1297.28        2500.00                 NaN   91.9911                 NaN  0.104340E-001   1.82140                 NaN            NaN   1.07468        4.91363       0.188714                 NaN
  1296.13        2500.00                 NaN   92.4276                 NaN  0.137218E-002   1.74837                 NaN            NaN   1.03139        4.61925       0.171999                 NaN
  1294.97        2500.00                 NaN   93.2721                 NaN            NaN   1.58675                 NaN            NaN  0.908498        4.07893       0.153691                 NaN
  1293.81        2500.00                 NaN   91.9113                 NaN  0.641873E-002   1.80545                 NaN            NaN   1.08223        4.99857       0.196060                 NaN
  1292.66        2500.00                 NaN   95.3117                 NaN  0.391856E-002   1.16292                 NaN            NaN  0.660096        2.76592       0.954055E-001            NaN
  1291.50        2500.00                 NaN   89.3853                 NaN  0.488430E-001   2.16457                 NaN            NaN   1.39322        6.73851       0.269553                 NaN
  1290.34        2500.00                 NaN   94.4829                 NaN            NaN   1.46209       0.649724E-001            NaN  0.884898        3.02140       0.837769E-001            NaN
  1289.19        2500.00                 NaN   99.0821                 NaN            NaN  0.119845       0.522872E-001            NaN  0.161273       0.565750       0.187590E-001            NaN
  1288.03        2500.00                 NaN   99.2752                 NaN  0.814572E-002  0.134336                 NaN            NaN  0.135686E-001  0.535947       0.328235E-001            NaN
  1286.87        2500.00                 NaN   91.9093                 NaN            NaN   1.95329                 NaN            NaN   1.17665        4.79797       0.162750                 NaN
  1285.72        2500.00                 NaN   94.9807                 NaN            NaN  0.412254       0.788107                 NaN  0.665305        3.02637       0.127212                 NaN
  1284.56        2500.00                 NaN   96.3272                 NaN            NaN  0.887260       0.428932E-004            NaN  0.503612        2.20211       0.797991E-001            NaN
  1283.40        2500.00                 NaN   98.1491                 NaN            NaN  0.314331                 NaN            NaN  0.278989        1.19738       0.601549E-001            NaN
  1282.25        2500.00                 NaN   90.3497                 NaN            NaN  0.555918        1.91053                 NaN   1.36756        5.62734       0.188961                 NaN
  1281.09        2500.00                 NaN   99.5342                 NaN            NaN            NaN            NaN            NaN  0.233230E-001  0.418077       0.244045E-001            NaN
  1279.93        2500.00                 NaN   97.5817                 NaN            NaN  0.635505                 NaN            NaN  0.352188        1.39772       0.329088E-001            NaN
  1278.77        2500.00                 NaN   99.0407                 NaN            NaN  0.303265                 NaN            NaN  0.131650       0.501076       0.232920E-001            NaN
  1277.62        2500.00                 NaN   98.0289                 NaN            NaN  0.467216                 NaN            NaN  0.298774        1.15536       0.497067E-001            NaN
  1276.46        2500.00                 NaN   92.3019                 NaN            NaN   1.69871       0.178310                 NaN   1.06270        4.60354       0.154823                 NaN
  1275.30        2500.00                 NaN   98.8136                 NaN            NaN  0.267848                 NaN            NaN  0.177176       0.719416       0.219430E-001            NaN
  1274.15        2500.00                 NaN   99.6377                 NaN            NaN  0.117241                 NaN            NaN  0.321692E-001  0.195672       0.172282E-001            NaN
  1272.99        2500.00                 NaN   92.3409                 NaN            NaN   1.71383                 NaN            NaN   1.05872        4.70773       0.178813                 NaN
  1271.83        2500.00                 NaN   98.5008                 NaN            NaN  0.965311E-002  0.336856                 NaN  0.218292       0.907187       0.272029E-001            NaN
  1270.68        2500.00                 NaN   99.9302                 NaN            NaN  0.138220E-001            NaN            NaN  0.205550E-002  0.498659E-001  0.400973E-002            NaN
  1269.52        2500.00                 NaN   99.8790                 NaN            NaN  0.254948E-001            NaN            NaN  0.177872E-001  0.753458E-001  0.235057E-002            NaN
  1268.36        2500.00                 NaN   99.2678                 NaN            NaN  0.165215                 NaN            NaN  0.970334E-001  0.452028       0.179288E-001            NaN
  1267.21        2500.00                 NaN   92.0128                 NaN            NaN  0.618924        1.29553                 NaN   1.13665        4.76241       0.173635                 NaN
  1266.05        2500.00                 NaN   99.6662                 NaN            NaN  0.775912E-001            NaN            NaN  0.436773E-001  0.205592       0.691795E-002            NaN
  1264.89        2500.00                 NaN   99.0339                 NaN            NaN  0.198037                 NaN            NaN  0.124065       0.620609       0.233706E-001            NaN
  1263.74        2500.00                 NaN   99.5648                 NaN            NaN  0.789872E-001  0.115652                 NaN  0.612865E-001  0.179319                 NaN            NaN
  1262.58        2500.00                 NaN   94.1257                 NaN            NaN   1.35754                 NaN            NaN  0.726698        3.63677       0.153298                 NaN
  1261.42        2500.00                 NaN   99.4236                 NaN            NaN  0.136011                 NaN            NaN  0.147404       0.292103       0.861408E-003            NaN
  1260.27        2500.00                 NaN   92.2958                 NaN            NaN   1.90846                 NaN            NaN   1.17715        4.47095       0.147633                 NaN
  1259.11        2500.00                 NaN   99.4387                 NaN            NaN  0.945550E-001  0.512442E-001            NaN  0.921546E-001  0.315140       0.823338E-002            NaN
  1257.95        2500.00                 NaN   3.24796        92.2974                 NaN   1.17002                 NaN            NaN  0.568574        2.65148       0.645667E-001            NaN
  1256.80        2500.00                 NaN   99.9553                 NaN            NaN  0.193640E-001            NaN            NaN  0.820458E-002  0.171094E-001            NaN            NaN
  1255.64        2500.00                 NaN   99.9688                 NaN            NaN  0.360451E-002            NaN            NaN            NaN  0.276375E-001            NaN            NaN
  1254.48        2500.00                 NaN   99.2551                 NaN            NaN  0.153829                 NaN            NaN  0.686029E-001  0.506132       0.163066E-001            NaN
  1253.33        2500.00                 NaN   99.3670                 NaN            NaN  0.180665       0.162488E-001            NaN  0.940490E-001  0.342040                 NaN            NaN
  1252.17        2500.00                 NaN   99.2164                 NaN            NaN  0.148964       0.313931E-001            NaN  0.109355       0.475901       0.179589E-001            NaN
  1251.01        2500.00                 NaN   99.8725                 NaN            NaN            NaN            NaN            NaN  0.943331E-002  0.115379       0.267028E-002            NaN
  1249.86        2500.00                 NaN   99.9341                 NaN            NaN  0.186996E-001            NaN            NaN  0.202792E-001  0.259940E-001  0.965357E-003            NaN
  1248.70        2500.00                 NaN   96.2935                 NaN            NaN  0.882623                 NaN            NaN  0.500894        2.25202       0.709757E-001            NaN
  1247.54        2500.00                 NaN   97.1963                 NaN            NaN  0.206825       0.376085                 NaN  0.364783        1.80223       0.537775E-001            NaN
  1246.39        2500.00                 NaN   99.4025                 NaN            NaN  0.746893E-002  0.139696                 NaN  0.971638E-001  0.339350       0.138421E-001            NaN
  1245.23        2500.00                 NaN   97.3095                 NaN            NaN  0.380395                 NaN            NaN  0.271323        1.43284       0.317437E-001  0.574157     
  1244.07        2500.00                 NaN  100.0000                 NaN            NaN  0.619092E-005            NaN            NaN            NaN            NaN            NaN            NaN
  1242.92        2500.00                 NaN   97.4760                 NaN            NaN  0.668217                 NaN            NaN  0.328166        1.47190       0.556799E-001            NaN
  1241.76        2500.00                 NaN   97.7095                 NaN            NaN  0.287360                 NaN            NaN  0.219310        1.10661       0.270034E-001  0.650220     
  1240.60        2500.00                 NaN  100.0000                 NaN            NaN  0.677330E-005            NaN            NaN            NaN            NaN            NaN            NaN
  1239.45        2500.00                 NaN   95.8406                 NaN            NaN  0.887489                 NaN            NaN  0.516403        2.66443       0.910522E-001            NaN
  1238.29        2500.00                 NaN   99.5936                 NaN            NaN  0.120750                 NaN            NaN  0.585712E-001  0.227112                 NaN            NaN
  1237.13        2500.00                 NaN   99.7178                 NaN            NaN            NaN            NaN            NaN  0.373234E-002  0.246654       0.143134E-001  0.175130E-001
  1235.98        2500.00                 NaN   98.9789                 NaN            NaN  0.196939                 NaN            NaN  0.156168       0.244605                 NaN  0.423387     
  1234.82        2500.00                 NaN   74.8736                 NaN            NaN   3.08703                 NaN            NaN   2.19063        11.5539       0.186970        8.10784     
  1233.66        2500.00                 NaN   92.4191                 NaN            NaN   1.01661                 NaN            NaN  0.717278        3.37504       0.398929E-001   2.43209     
  1232.51        2500.00                 NaN   95.0003                 NaN            NaN  0.520777                 NaN            NaN  0.405646        2.35782       0.375161E-001   1.67796     
  1231.35        2500.00                 NaN            NaN            NaN            NaN   10.9010                 NaN            NaN   8.14969        46.7251       0.653506        33.5707     
  1230.19        2500.00                 NaN            NaN            NaN            NaN   10.8966                 NaN            NaN   8.14950        46.7291       0.654417        33.5703     
  1229.03        2500.00                 NaN            NaN            NaN            NaN   10.8979                 NaN            NaN   8.15204        46.7248       0.654021        33.5713     
  1227.88        2500.00                 NaN            NaN            NaN            NaN   10.8991                 NaN            NaN   8.15458        46.7204       0.653623        33.5723     
  1226.72        2500.00                 NaN            NaN            NaN            NaN   10.9004                 NaN            NaN   8.15712        46.7160       0.653223        33.5733     
