|6.6.6
Archiving\03_Data\frac/QFM_m2.5/TAY13/TAY13_3.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          16
T(K)           P(bar)         melt(TH)       melt(TH)       melt(TH)       mang           Ni             O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  2000.00        2500.00        99.7288                 NaN            NaN  0.262623       0.860732E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1997.49        2500.00        99.7288                 NaN            NaN  0.262638       0.860753E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1994.99        2500.00        99.7287                 NaN            NaN  0.262652       0.860774E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1992.48        2500.00        99.7287                 NaN            NaN  0.262667       0.860795E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1989.97        2500.00        99.7287                 NaN            NaN  0.262682       0.860816E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.47        2500.00        99.7287                 NaN            NaN  0.262697       0.860837E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1984.96        2500.00        99.7287                 NaN            NaN  0.262712       0.860858E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1982.46        2500.00        99.7287                 NaN            NaN  0.262727       0.860880E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1979.95        2500.00        99.7286                 NaN            NaN  0.262741       0.860901E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.44        2500.00        99.7286                 NaN            NaN  0.262756       0.860923E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.94        2500.00        99.7286                 NaN            NaN  0.262771       0.860945E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1972.43        2500.00        99.7286                 NaN            NaN  0.262786       0.860966E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1969.92        2500.00        99.7286                 NaN            NaN  0.262801       0.860988E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.42        2500.00        99.7286                 NaN            NaN  0.262816       0.861010E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.91        2500.00        99.7286                 NaN            NaN  0.262831       0.861032E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1962.41        2500.00        99.7285                 NaN            NaN  0.262846       0.861054E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1959.90        2500.00        99.7285                 NaN            NaN  0.262861       0.861077E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1957.39        2500.00        99.7285                 NaN            NaN  0.262876       0.861099E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1954.89        2500.00        99.7285                 NaN            NaN  0.262891       0.861121E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1952.38        2500.00        99.7285                 NaN            NaN  0.262907       0.861144E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1949.87        2500.00        99.7285                 NaN            NaN  0.262922       0.861167E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1947.37        2500.00        99.7285                 NaN            NaN  0.262937       0.861189E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1944.86        2500.00        99.7284                 NaN            NaN  0.262952       0.861212E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.36        2500.00        99.7284                 NaN            NaN  0.262967       0.861235E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.85        2500.00        99.7284                 NaN            NaN  0.262982       0.861258E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1937.34        2500.00        99.7284                 NaN            NaN  0.262998       0.861281E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1934.84        2500.00        99.7284                 NaN            NaN  0.263013       0.861304E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.33        2500.00        99.7284                 NaN            NaN  0.263028       0.861328E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.82        2500.00        99.3587                 NaN            NaN  0.263101       0.687928E-002  0.371365                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1927.32        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1924.81        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1922.31        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.80        2500.00        99.8961                 NaN            NaN            NaN            NaN  0.103896                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1917.29        2500.00        99.3699                 NaN            NaN            NaN            NaN  0.630080                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1914.79        2500.00        99.3632                 NaN            NaN            NaN            NaN  0.636771                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1912.28        2500.00        99.3682                 NaN            NaN            NaN            NaN  0.631788                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1909.77        2500.00        99.3740                 NaN            NaN            NaN            NaN  0.625953                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.27        2500.00        99.3963                 NaN            NaN            NaN            NaN  0.603659                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1904.76        2500.00        99.3560                 NaN            NaN            NaN            NaN  0.643956                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1902.26        2500.00        99.3826                 NaN            NaN            NaN            NaN  0.617403                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1899.75        2500.00        99.3310                 NaN            NaN            NaN            NaN  0.668983                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.24        2500.00        99.7073                 NaN            NaN            NaN            NaN  0.292669                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.74        2500.00        99.1374                 NaN            NaN            NaN            NaN  0.862616                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1892.23        2500.00        99.3915                 NaN            NaN            NaN            NaN  0.608468                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1889.72        2500.00        99.4069                 NaN            NaN            NaN            NaN  0.593131                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.22        2500.00        99.4036                 NaN            NaN            NaN            NaN  0.596367                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
