|6.6.6
Archiving\03_Data\eqfracLP/QFM_m4/YM20/YM20_3.tab                       
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1544.87        500.000       0.470717E-002   99.7015       0.289283       0.451920E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.50        500.000                 NaN   99.5012       0.496552       0.220679E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.14        500.000                 NaN   98.5435        1.41052       0.459916E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.77        500.000                 NaN   99.9895                 NaN  0.105110E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.41        500.000                 NaN   99.9959                 NaN  0.412989E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.04        500.000                 NaN   99.5280       0.464922       0.711737E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.68        500.000                 NaN   99.5236       0.454505       0.219350E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.31        500.000                 NaN   99.5265       0.452000       0.215414E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.95        500.000                 NaN   99.5293       0.450383       0.202961E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.58        500.000                 NaN   99.8124       0.178812       0.882723E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.21        500.000                 NaN   99.2584       0.710176       0.314462E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.85        500.000                 NaN   99.5394       0.440757       0.198775E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.48        500.000                 NaN   99.5295       0.451558       0.189121E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.12        500.000                 NaN   99.5611       0.422999       0.158875E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.75        500.000                 NaN   99.5507       0.432220       0.170578E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.39        500.000                 NaN   99.5538       0.428967       0.172677E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.02        500.000                 NaN   99.5567       0.427651       0.156759E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.65        500.000                 NaN   99.5603       0.423055       0.166368E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.29        500.000                 NaN   99.5636       0.421706       0.147299E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.92        500.000                 NaN   99.5662       0.417907       0.159256E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.56        500.000                 NaN   99.5703       0.416561       0.131079E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.19        500.000                 NaN   99.5715       0.415725       0.128033E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.83        500.000                 NaN   99.5756       0.411871       0.125706E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.46        500.000                 NaN   99.5786       0.408575       0.128273E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.10        500.000                 NaN   99.5194       0.461853       0.187661E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.73        500.000                 NaN   99.6512       0.339863       0.892399E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.36        500.000                 NaN   99.5860       0.403813       0.101601E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.00        500.000                 NaN   99.5886       0.401890       0.950188E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.63        500.000                 NaN   99.5890       0.402436       0.861163E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.27        500.000                 NaN   99.5968       0.394418       0.880015E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.90        500.000                 NaN   99.5962       0.395068       0.875989E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.54        500.000                 NaN   99.6004       0.392221       0.734238E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.17        500.000                 NaN   99.6027       0.387314       0.100202E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.81        500.000                 NaN   99.7983       0.201330       0.379292E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.44        500.000                 NaN   99.4125       0.577934       0.958127E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.07        500.000                 NaN   99.3190       0.482792       0.198240                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.71        500.000                 NaN   99.8783       0.109168       0.124850E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.34        500.000                 NaN   99.6704       0.329588                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1492.98        500.000                 NaN   99.6151       0.377493       0.742484E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.61        500.000                 NaN   99.6178       0.381871       0.325846E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.25        500.000                 NaN   99.6192       0.380764       0.961053E-006            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1488.88        500.000                 NaN   99.6184       0.381593                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.52        500.000                 NaN   99.6296       0.370421                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.15        500.000                 NaN   99.6276       0.372366                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.78        500.000                 NaN   99.6302       0.369837       0.447911E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.42        500.000                 NaN   99.6334       0.366608                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.05        500.000                 NaN   99.6348       0.364821       0.391371E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1480.69        500.000                 NaN   99.6358       0.363964       0.265004E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1479.32        500.000                 NaN   99.6374       0.362639                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1477.96        500.000                 NaN   99.6404       0.359648                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1476.59        500.000                 NaN   99.6369       0.363063                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1475.22        500.000                 NaN   99.6457       0.354268                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1473.86        500.000                 NaN   99.6251       0.289515                 NaN  0.853614E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1472.49        500.000                 NaN   99.6235       0.263758                 NaN  0.112766                 NaN            NaN            NaN            NaN            NaN            NaN
  1471.13        500.000                 NaN   99.5501       0.253941E-002            NaN  0.447374                 NaN            NaN            NaN            NaN            NaN            NaN
  1469.76        500.000                 NaN   99.5498       0.112070E-002            NaN  0.449060                 NaN            NaN            NaN            NaN            NaN            NaN
  1468.40        500.000                 NaN   99.5529       0.252138E-001            NaN  0.421900                 NaN            NaN            NaN            NaN            NaN            NaN
  1467.03        500.000                 NaN   99.5533       0.427685E-001            NaN  0.403927                 NaN            NaN            NaN            NaN            NaN            NaN
  1465.67        500.000                 NaN   99.5520                 NaN            NaN  0.448033                 NaN            NaN            NaN            NaN            NaN            NaN
  1464.30        500.000                 NaN   99.5519                 NaN            NaN  0.448083                 NaN            NaN            NaN            NaN            NaN            NaN
  1462.93        500.000                 NaN   99.4153       0.855343E-001            NaN  0.499130                 NaN            NaN            NaN            NaN            NaN            NaN
  1461.57        500.000                 NaN   99.8184       0.193352E-001            NaN  0.162219                 NaN            NaN            NaN            NaN            NaN            NaN
  1460.20        500.000                 NaN   99.4357       0.144177                 NaN  0.420165                 NaN            NaN            NaN            NaN            NaN            NaN
  1458.84        500.000                 NaN   99.5494                 NaN            NaN  0.450565                 NaN            NaN            NaN            NaN            NaN            NaN
  1457.47        500.000                 NaN   99.7720       0.228008                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1456.11        500.000                 NaN   99.3011                 NaN            NaN  0.632865       0.660614E-001            NaN            NaN            NaN            NaN            NaN
  1454.74        500.000                 NaN   99.2835                 NaN            NaN  0.292868       0.423594                 NaN            NaN            NaN            NaN            NaN
  1453.38        500.000                 NaN   99.2927                 NaN            NaN  0.288848       0.418431                 NaN            NaN            NaN            NaN            NaN
  1452.01        500.000                 NaN   99.2961                 NaN            NaN  0.287219       0.416717                 NaN            NaN            NaN            NaN            NaN
  1450.64        500.000                 NaN   99.3068                 NaN            NaN  0.410837       0.282405                 NaN            NaN            NaN            NaN            NaN
  1449.28        500.000                 NaN   99.3117                 NaN            NaN  0.279872       0.408425                 NaN            NaN            NaN            NaN            NaN
  1447.91        500.000                 NaN   99.3176                 NaN            NaN  0.405402       0.277010                 NaN            NaN            NaN            NaN            NaN
  1446.55        500.000                 NaN   99.3242                 NaN            NaN  0.273812       0.401943                 NaN            NaN            NaN            NaN            NaN
  1445.18        500.000                 NaN   99.3310                 NaN            NaN  0.397218       0.271779                 NaN            NaN            NaN            NaN            NaN
  1443.82        500.000                 NaN   99.3377                 NaN            NaN  0.393968       0.268363                 NaN            NaN            NaN            NaN            NaN
  1442.45        500.000                 NaN   99.3438                 NaN            NaN  0.390813       0.265391                 NaN            NaN            NaN            NaN            NaN
  1441.09        500.000                 NaN   99.3497                 NaN            NaN  0.262552       0.387761                 NaN            NaN            NaN            NaN            NaN
  1439.72        500.000                 NaN   99.3549                 NaN            NaN  0.385104       0.259971                 NaN            NaN            NaN            NaN            NaN
  1438.35        500.000                 NaN   99.3620                 NaN            NaN  0.380965       0.257005                 NaN            NaN            NaN            NaN            NaN
  1436.99        500.000                 NaN   99.3675                 NaN            NaN  0.254336       0.378118                 NaN            NaN            NaN            NaN            NaN
  1435.62        500.000                 NaN   99.3737                 NaN            NaN  0.374614       0.251732                 NaN            NaN            NaN            NaN            NaN
  1434.26        500.000                 NaN   99.3785                 NaN            NaN  0.249400       0.372124                 NaN            NaN            NaN            NaN            NaN
  1432.89        500.000                 NaN   99.3838                 NaN            NaN  0.246742       0.369433                 NaN            NaN            NaN            NaN            NaN
  1431.53        500.000                 NaN   99.3903                 NaN            NaN  0.365431       0.244228                 NaN            NaN            NaN            NaN            NaN
  1430.16        500.000                 NaN   99.3839                 NaN            NaN  0.363751       0.246581                 NaN  0.579075E-002            NaN            NaN            NaN
  1428.79        500.000                 NaN   98.3928                 NaN            NaN  0.619382                 NaN            NaN  0.987790                 NaN            NaN            NaN
  1427.43        500.000                 NaN   98.0198                 NaN            NaN  0.829047       0.991934                 NaN  0.159208                 NaN            NaN            NaN
  1426.06        500.000                 NaN   98.2488                 NaN            NaN  0.474432       0.709163                 NaN  0.567632                 NaN            NaN            NaN
  1424.70        500.000                 NaN   98.2911                 NaN            NaN  0.462613       0.692087                 NaN  0.554203                 NaN            NaN            NaN
  1423.33        500.000                 NaN   98.3236                 NaN            NaN  0.453848       0.678572                 NaN  0.543954                 NaN            NaN            NaN
  1421.97        500.000                 NaN   98.3589                 NaN            NaN  0.443609       0.664517                 NaN  0.532992                 NaN            NaN            NaN
  1420.60        500.000                 NaN   98.3917                 NaN            NaN  0.434647       0.650923                 NaN  0.522746                 NaN            NaN            NaN
  1419.24        500.000                 NaN   98.4242                 NaN            NaN  0.637894       0.425384                 NaN  0.512551                 NaN            NaN            NaN
  1417.87        500.000                 NaN   98.4555                 NaN            NaN  0.417096       0.624917                 NaN  0.502470                 NaN            NaN            NaN
  1416.50        500.000                 NaN   98.4848                 NaN            NaN  0.408884       0.613028                 NaN  0.493285                 NaN            NaN            NaN
  1415.14        500.000                 NaN   98.5143                 NaN            NaN  0.601005       0.400899                 NaN  0.483793                 NaN            NaN            NaN
  1413.77        500.000                 NaN   98.5422                 NaN            NaN  0.392863       0.589850                 NaN  0.475060                 NaN            NaN            NaN
  1412.41        500.000                 NaN   98.5705                 NaN            NaN  0.578313       0.385143                 NaN  0.466009                 NaN            NaN            NaN
  1411.04        500.000                 NaN   98.5972                 NaN            NaN  0.567565       0.377727                 NaN  0.457543                 NaN            NaN            NaN
  1409.68        500.000                 NaN   98.6212                 NaN            NaN  0.370741       0.558002                 NaN  0.450012                 NaN            NaN            NaN
  1408.31        500.000                 NaN   98.6484                 NaN            NaN  0.363081       0.547293                 NaN  0.441224                 NaN            NaN            NaN
  1406.95        500.000                 NaN   98.6730                 NaN            NaN  0.537164       0.356496                 NaN  0.433386                 NaN            NaN            NaN
  1405.58        500.000                 NaN   98.6961                 NaN            NaN  0.350201       0.527709                 NaN  0.425968                 NaN            NaN            NaN
  1404.21        500.000                 NaN   98.7188                 NaN            NaN  0.343525       0.518931                 NaN  0.418782                 NaN            NaN            NaN
  1402.85        500.000                 NaN   98.7399                 NaN            NaN  0.337568       0.510287                 NaN  0.412247                 NaN            NaN            NaN
  1401.48        500.000                 NaN   98.7639                 NaN            NaN  0.500994       0.330780                 NaN  0.404348                 NaN            NaN            NaN
  1400.12        500.000                 NaN   98.7844                 NaN            NaN  0.325458       0.492512                 NaN  0.397635                 NaN            NaN            NaN
  1398.75        500.000                 NaN   98.8038                 NaN            NaN  0.484764       0.319918                 NaN  0.391481                 NaN            NaN            NaN
  1397.39        500.000                 NaN   98.8197                 NaN            NaN  0.479052       0.314742                 NaN  0.386469                 NaN            NaN            NaN
