|6.6.6
Archiving\03_Data\eq/QFM_m1/WD94/WD94_3.tab                               
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       mang           Sp(TH)         O(HP)          pxmn           Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ab            
  2000.00        2500.00        99.7273       0.272740                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        2500.00        99.7272       0.272758                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        2500.00        99.7272       0.272776                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        2500.00        99.7272       0.272794                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        2500.00        99.7272       0.272812                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        2500.00        99.7272       0.272831                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        2500.00        99.7272       0.272849                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        2500.00        99.7271       0.272867                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        2500.00        99.7271       0.272886                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        2500.00        99.7271       0.272904                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        2500.00        99.7271       0.272922                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        2500.00        99.7271       0.272940                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        2500.00        99.7270       0.272959                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        2500.00        99.7270       0.272977                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        2500.00        99.7270       0.272996                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        2500.00        99.7270       0.273014                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        2500.00        99.7270       0.273033                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        2500.00        99.7269       0.273051                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        2500.00        99.7269       0.273069                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        2500.00        99.7269       0.273088                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        2500.00        99.7269       0.273106                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        2500.00        99.7269       0.273125                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        2500.00        99.7269       0.273144                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        2500.00        99.7268       0.273162                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        2500.00        99.7268       0.273181                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        2500.00        99.7268       0.273199                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        2500.00        99.7268       0.273218                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        2500.00        99.7268       0.273237                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        2500.00        99.7267       0.273255                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        2500.00        99.7267       0.273274                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        2500.00        99.7267       0.273293                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        2500.00        99.7267       0.273312                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        2500.00        99.7267       0.273330                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        2500.00        99.3421       0.273416                 NaN  0.384503                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        2500.00        98.6020       0.273563                 NaN   1.12444                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        2500.00        96.9076       0.131663                 NaN   2.59417       0.366550                 NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        2500.00        95.2972                 NaN            NaN   3.99612       0.706708                 NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        2500.00        94.5803                 NaN            NaN   4.71260       0.707111                 NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        2500.00        93.8736                 NaN  0.202016E-002   5.41689       0.707509                 NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        2500.00        93.1664                 NaN  0.140197E-001   6.11171       0.707917                 NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        2500.00        92.4584                 NaN  0.260330E-001   6.80729       0.708324                 NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        2500.00        91.7797                 NaN  0.374000E-001   7.47422       0.708721                 NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        2500.00        91.1003                 NaN  0.487797E-001   8.14185       0.709116                 NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        2500.00        90.4201                 NaN  0.601720E-001   8.81019       0.709510                 NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        2500.00        89.7393                 NaN  0.715769E-001   9.47922       0.709903                 NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        2500.00        89.0578                 NaN  0.829942E-001   10.1490       0.710295                 NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        2500.00        88.3755                 NaN  0.944240E-001   10.8194       0.710686                 NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        2500.00        87.6926                 NaN  0.105866        11.4905       0.711076                 NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        2500.00        87.0089                 NaN  0.117321        12.1623       0.711465                 NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        2500.00        86.3645                 NaN  0.127797        12.7959       0.711840                 NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        2500.00        85.7195                 NaN  0.138285        13.4300       0.712214                 NaN            NaN            NaN            NaN            NaN            NaN
  1836.54        2500.00        85.0738                 NaN  0.148783        14.0648       0.712587                 NaN            NaN            NaN            NaN            NaN            NaN
  1833.33        2500.00        84.4275                 NaN  0.159292        14.7002       0.712959                 NaN            NaN            NaN            NaN            NaN            NaN
  1830.13        2500.00        83.7806                 NaN  0.169811        15.3362       0.713330                 NaN            NaN            NaN            NaN            NaN            NaN
  1826.92        2500.00        83.1331                 NaN  0.180341        15.9729       0.713699                 NaN            NaN            NaN            NaN            NaN            NaN
  1823.72        2500.00        82.4850                 NaN  0.190882        16.6101       0.714067                 NaN            NaN            NaN            NaN            NaN            NaN
  1820.51        2500.00        81.8362                 NaN  0.201433        17.2479       0.714434                 NaN            NaN            NaN            NaN            NaN            NaN
  1817.31        2500.00        81.2187                 NaN  0.211146        17.8554       0.714790                 NaN            NaN            NaN            NaN            NaN            NaN
  1814.10        2500.00        80.6005                 NaN  0.220868        18.4634       0.715145                 NaN            NaN            NaN            NaN            NaN            NaN
  1810.90        2500.00        79.9819                 NaN  0.230600        19.0720       0.715498                 NaN            NaN            NaN            NaN            NaN            NaN
  1807.69        2500.00        79.3626                 NaN  0.240340        19.6812       0.715850                 NaN            NaN            NaN            NaN            NaN            NaN
  1804.49        2500.00        78.7429                 NaN  0.250090        20.2908       0.716201                 NaN            NaN            NaN            NaN            NaN            NaN
  1801.28        2500.00        78.1226                 NaN  0.259849        20.9010       0.716550                 NaN            NaN            NaN            NaN            NaN            NaN
  1798.08        2500.00        77.5017                 NaN  0.269617        21.5117       0.716898                 NaN            NaN            NaN            NaN            NaN            NaN
  1794.87        2500.00        76.8804                 NaN  0.279393        22.1230       0.717245                 NaN            NaN            NaN            NaN            NaN            NaN
  1791.67        2500.00        76.2852                 NaN  0.288327        22.7089       0.717582                 NaN            NaN            NaN            NaN            NaN            NaN
  1788.46        2500.00        75.6896                 NaN  0.297269        23.2952       0.717917                 NaN            NaN            NaN            NaN            NaN            NaN
  1785.26        2500.00        75.0935                 NaN  0.306218        23.8820       0.718251                 NaN            NaN            NaN            NaN            NaN            NaN
  1782.05        2500.00        74.4969                 NaN  0.315175        24.4693       0.718584                 NaN            NaN            NaN            NaN            NaN            NaN
  1778.85        2500.00        73.8998                 NaN  0.324139        25.0571       0.718915                 NaN            NaN            NaN            NaN            NaN            NaN
  1775.64        2500.00        73.3023                 NaN  0.333112        25.6453       0.719245                 NaN            NaN            NaN            NaN            NaN            NaN
  1772.44        2500.00        72.7043                 NaN  0.342091        26.2340       0.719573                 NaN            NaN            NaN            NaN            NaN            NaN
  1769.23        2500.00        72.1059                 NaN  0.351079        26.8232       0.719900                 NaN            NaN            NaN            NaN            NaN            NaN
  1766.03        2500.00        71.5325                 NaN  0.359398        27.3879       0.720216                 NaN            NaN            NaN            NaN            NaN            NaN
