|6.6.6
Archiving\03_Data\Deq/QFM_m5/K22/K22_1.tab                            
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       iron           Ni             O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)       
  2000.00        2500.00        96.5056        3.45477       0.396787E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        2500.00        96.4817        3.47860       0.396814E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        2500.00        96.4579        3.50243       0.396841E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        2500.00        96.4341        3.52626       0.396867E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        2500.00        96.4102        3.55010       0.396894E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        2500.00        96.3864        3.57393       0.396921E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        2500.00        96.3625        3.59778       0.396948E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        2500.00        96.3387        3.62162       0.396975E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        2500.00        96.3148        3.64547       0.397002E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        2500.00        96.2907        3.66957       0.397029E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        2500.00        96.2666        3.69368       0.397056E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        2500.00        96.2425        3.71779       0.397083E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        2500.00        96.2184        3.74190       0.397111E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        2500.00        96.1924        3.76791       0.397140E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        2500.00        96.1664        3.79393       0.397169E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        2500.00        96.1439        3.81638       0.397195E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        2500.00        95.9044        3.82623       0.395528E-001  0.229833                 NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        2500.00        95.1860        3.82863       0.390039E-001  0.946417                 NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        2500.00        94.4675        3.83103       0.384549E-001   1.66301                 NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        2500.00        93.7491        3.83342       0.379060E-001   2.37961                 NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        2500.00        93.0306        3.83582       0.373571E-001   3.09622                 NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        2500.00        92.3121        3.83822       0.368081E-001   3.81284                 NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        2500.00        91.5937        3.84062       0.362591E-001   4.52947                 NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        2500.00        90.8752        3.84301       0.357102E-001   5.24610                 NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        2500.00        90.1567        3.84541       0.351612E-001   5.96274                 NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        2500.00        89.5219        3.84043       0.346183E-001   6.60307                 NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        2500.00        88.8871        3.83545       0.340755E-001   7.24337                 NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        2500.00        88.2524        3.83047       0.335327E-001   7.88365                 NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        2500.00        87.6176        3.82548       0.329899E-001   8.52391                 NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        2500.00        86.9829        3.82050       0.324471E-001   9.16416                 NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        2500.00        86.3482        3.81552       0.319043E-001   9.80438                 NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        2500.00        85.7135        3.81054       0.313616E-001   10.4446                 NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        2500.00        85.0789        3.80556       0.308188E-001   11.0848                 NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        2500.00        84.4918        3.79513       0.302763E-001   11.6828                 NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        2500.00        83.9047        3.78471       0.297338E-001   12.2809                 NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        2500.00        83.3177        3.77429       0.291914E-001   12.8789                 NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        2500.00        82.7307        3.76387       0.286490E-001   13.4768                 NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        2500.00        82.1477        3.74948       0.281025E-001   14.0603       0.144488E-001            NaN            NaN            NaN            NaN            NaN
  1878.21        2500.00        81.5692        3.73430       0.275618E-001   14.6369       0.320493E-001            NaN            NaN            NaN            NaN            NaN
  1875.00        2500.00        80.9968        3.71680       0.270063E-001   15.2100       0.494307E-001            NaN            NaN            NaN            NaN            NaN
  1871.79        2500.00        80.4244        3.69930       0.264508E-001   15.7830       0.668104E-001            NaN            NaN            NaN            NaN            NaN
  1868.59        2500.00        79.8756        3.67695       0.258875E-001   16.3380       0.835659E-001            NaN            NaN            NaN            NaN            NaN
  1865.38        2500.00        79.3268        3.65460       0.253244E-001   16.8929       0.100319                 NaN            NaN            NaN            NaN            NaN
  1862.18        2500.00        78.7781        3.63225       0.247612E-001   17.4478       0.117070                 NaN            NaN            NaN            NaN            NaN
  1858.97        2500.00        78.2295        3.60991       0.241982E-001   18.0026       0.133819                 NaN            NaN            NaN            NaN            NaN
  1855.77        2500.00        77.6810        3.58757       0.236352E-001   18.5573       0.150566                 NaN            NaN            NaN            NaN            NaN
  1852.56        2500.00        77.1325        3.56524       0.230723E-001   19.1119       0.167311                 NaN            NaN            NaN            NaN            NaN
  1849.36        2500.00        76.5841        3.54290       0.225095E-001   19.6664       0.184054                 NaN            NaN            NaN            NaN            NaN
  1846.15        2500.00        76.0358        3.52057       0.219468E-001   20.2209       0.200794                 NaN            NaN            NaN            NaN            NaN
  1842.95        2500.00        75.5115        3.48937       0.213548E-001   20.7612       0.216643                 NaN            NaN            NaN            NaN            NaN
  1839.74        2500.00        74.9872        3.45817       0.207630E-001   21.3013       0.232488                 NaN            NaN            NaN            NaN            NaN
  1836.54        2500.00        74.4631        3.42698       0.201713E-001   21.8414       0.248331                 NaN            NaN            NaN            NaN            NaN
  1833.33        2500.00        73.9391        3.39579       0.195797E-001   22.3813       0.264172                 NaN            NaN            NaN            NaN            NaN
  1830.13        2500.00        73.4152        3.36461       0.189882E-001   22.9212       0.280009                 NaN            NaN            NaN            NaN            NaN
  1826.92        2500.00        72.8914        3.33344       0.183968E-001   23.4610       0.295843                 NaN            NaN            NaN            NaN            NaN
  1823.72        2500.00        72.3676        3.30227       0.178055E-001   24.0006       0.311675                 NaN            NaN            NaN            NaN            NaN
  1820.51        2500.00        71.8440        3.27110       0.172144E-001   24.5402       0.327504                 NaN            NaN            NaN            NaN            NaN
  1817.31        2500.00        71.3307        3.23015       0.165833E-001   25.0799       0.342589                 NaN            NaN            NaN            NaN            NaN
  1814.10        2500.00        70.8176        3.18920       0.159523E-001   25.6196       0.357671                 NaN            NaN            NaN            NaN            NaN
  1810.90        2500.00        70.3046        3.14826       0.153215E-001   26.1591       0.372749                 NaN            NaN            NaN            NaN            NaN
  1807.69        2500.00        69.7917        3.10734       0.146909E-001   26.6984       0.387823                 NaN            NaN            NaN            NaN            NaN
  1804.49        2500.00        69.2789        3.06642       0.140604E-001   27.2377       0.402894                 NaN            NaN            NaN            NaN            NaN
  1801.28        2500.00        68.7663        3.02551       0.134300E-001   27.7768       0.417961                 NaN            NaN            NaN            NaN            NaN
  1798.08        2500.00        68.2538        2.98461       0.127998E-001   28.3158       0.433025                 NaN            NaN            NaN            NaN            NaN
