|6.6.6
Archiving\03_Data\Deqfrac/QFM_m3.75/YM20/YM20_1.tab                     
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          16
T(K)           P(bar)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            Sp(TH)         Sp(TH)         ne             lc             hed           
  1618.59        2500.00        99.5560                 NaN  0.444045                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1617.04        2500.00        99.0580                 NaN  0.935658       0.630331E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1615.49        2500.00        99.0560                 NaN  0.857636       0.863815E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1613.94        2500.00        99.0605                 NaN  0.831813       0.107680                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1612.39        2500.00        99.0731                 NaN  0.822260       0.104644                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1610.84        2500.00        99.0823                 NaN  0.813334       0.104335                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.29        2500.00        99.0896                 NaN  0.808541       0.101845                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1607.74        2500.00        99.0993                 NaN  0.798897       0.101777                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.19        2500.00        99.0831                 NaN  0.814196       0.102745                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.64        2500.00        99.1432                 NaN  0.761409       0.954364E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1603.09        2500.00        99.1266                 NaN  0.775958       0.974877E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.54        2500.00        99.1330                 NaN  0.771620       0.953862E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.99        2500.00        99.1280                 NaN  0.775488       0.965022E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1598.44        2500.00        99.7537                 NaN  0.218838       0.274214E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.89        2500.00        98.5731                 NaN   1.27016       0.156786                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1595.33        2500.00        99.1659                 NaN  0.742620       0.914374E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.78        2500.00        99.1750                 NaN  0.735667       0.892842E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1592.23        2500.00        99.1817                 NaN  0.729031       0.893065E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.68        2500.00        99.1758                 NaN  0.736669       0.875108E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1589.13        2500.00        99.2106                 NaN  0.703066       0.863230E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.58        2500.00        99.2045                 NaN  0.711048       0.844575E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.03        2500.00        99.2111                 NaN  0.703993       0.848679E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.48        2500.00        99.2187                 NaN  0.699668       0.816519E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.93        2500.00        99.2253                 NaN  0.693264       0.814228E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.38        2500.00        99.2315                 NaN  0.688981       0.795440E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.83        2500.00        99.2397                 NaN  0.680585       0.797120E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.28        2500.00        97.7323                 NaN   2.04004       0.227669                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.73        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.18        2500.00        99.9471                 NaN  0.473493E-001  0.552316E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.63        2500.00        99.5831                 NaN  0.372368       0.445178E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.08        2500.00        99.0288                 NaN  0.879011       0.922156E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.53        2500.00        99.2855                 NaN  0.641706       0.728102E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.98        2500.00        99.2818                 NaN  0.647560       0.705938E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.43        2500.00        99.2685                 NaN  0.659542       0.719406E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1565.88        2500.00        99.3136                 NaN  0.621296       0.651124E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.33        2500.00        99.3006                 NaN  0.628437       0.709853E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1562.78        2500.00        99.3046                 NaN  0.628792       0.665626E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.23        2500.00        99.3086                 NaN  0.626589       0.648317E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.68        2500.00        99.3163                 NaN  0.618683       0.650665E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.13        2500.00        99.3205                 NaN  0.615878       0.636052E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.58        2500.00        99.3258                 NaN  0.612441       0.617309E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.03        2500.00        99.3306                 NaN  0.608887       0.605144E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.48        2500.00        99.3339                 NaN  0.606677       0.594600E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.92        2500.00        99.3332                 NaN  0.607292       0.595552E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1550.37        2500.00        99.3542                 NaN  0.588046       0.577820E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.82        2500.00        99.3487                 NaN  0.593519       0.578014E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.27        2500.00        99.3563                 NaN  0.588723       0.549314E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.72        2500.00        99.3585                 NaN  0.587499       0.540203E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.17        2500.00        99.3213                 NaN  0.621368       0.572941E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.62        2500.00        99.4196                 NaN  0.530942       0.494253E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.07        2500.00        99.3639                 NaN  0.584458       0.516221E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.52        2500.00        99.3764                 NaN  0.573162       0.504331E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.97        2500.00        99.3806                 NaN  0.570277       0.491407E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.42        2500.00        99.3837                 NaN  0.568075       0.482458E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.87        2500.00        99.3893                 NaN  0.562812       0.479318E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.32        2500.00        99.3916                 NaN  0.562603       0.457543E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.77        2500.00        99.3970                 NaN  0.557941       0.450375E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.22        2500.00        99.5448                 NaN  0.420181       0.350239E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.67        2500.00        99.2587                 NaN  0.687895       0.534382E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.12        2500.00        99.4076                 NaN  0.549547       0.428803E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.57        2500.00        99.4106                 NaN  0.549369       0.400668E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.02        2500.00        99.4142                 NaN  0.552487       0.333044E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.47        2500.00        99.3721                 NaN  0.270461       0.166528       0.190960                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.92        2500.00        99.2494                 NaN  0.161657                 NaN  0.588982                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.37        2500.00        99.0624                 NaN            NaN            NaN  0.937644                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.82        2500.00        99.5425                 NaN            NaN            NaN  0.457484                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.27        2500.00        99.0648                 NaN            NaN            NaN  0.935213                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.72        2500.00        99.2174                 NaN            NaN            NaN  0.782604                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.17        2500.00        99.2135                 NaN            NaN            NaN  0.786513                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.62        2500.00        99.2076                 NaN            NaN            NaN  0.792381                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.07        2500.00        99.1988                 NaN            NaN            NaN  0.801194                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.52        2500.00        99.1948                 NaN            NaN            NaN  0.805193                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.96        2500.00        99.1827                 NaN            NaN            NaN  0.817310                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.41        2500.00        98.9739                 NaN            NaN            NaN  0.676865       0.349243                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.86        2500.00        98.7033                 NaN            NaN            NaN  0.833218       0.463525                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.31        2500.00        98.7213                 NaN            NaN            NaN  0.458522       0.820131                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.76        2500.00        98.7312                 NaN            NaN            NaN  0.454504       0.814258                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.21        2500.00        98.7424                 NaN            NaN            NaN  0.449210       0.808368                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.66        2500.00        98.7554                 NaN            NaN            NaN  0.444983       0.799628                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.11        2500.00        98.7687                 NaN            NaN            NaN  0.792324       0.438978                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
