|6.6.6
Archiving\03_Data\eqLP/QFM_m0.75/GRV/GRV_1.tab                            
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          10
T(K)           P(bar)         melt(TH)       pxmn           Sp(TH)         O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        an            
  2000.00        500.000        99.1685       0.831452                 NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        500.000        99.1685       0.831450                 NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        500.000        99.1686       0.831449                 NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        500.000        99.1686       0.831447                 NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        500.000        99.1686       0.831445                 NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        500.000        99.1686       0.831443                 NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        500.000        99.1686       0.831441                 NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        500.000        99.1686       0.831439                 NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        500.000        99.1686       0.831437                 NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        500.000        99.1686       0.831435                 NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        500.000        99.1686       0.831432                 NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        500.000        99.1686       0.831430                 NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        500.000        99.1686       0.831428                 NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        500.000        99.1686       0.831426                 NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        500.000        99.1686       0.831424                 NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        500.000        99.1686       0.831422                 NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        500.000        99.1686       0.831420                 NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        500.000        99.1686       0.831417                 NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        500.000        99.1686       0.831415                 NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        500.000        99.1686       0.831413                 NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        500.000        99.1686       0.831410                 NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        500.000        99.1686       0.831408                 NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        500.000        99.1686       0.831406                 NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        500.000        99.1686       0.831403                 NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        500.000        99.1686       0.831401                 NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        500.000        99.1686       0.831398                 NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        500.000        99.1686       0.831396                 NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        500.000        99.1686       0.831393                 NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        500.000        99.1686       0.831391                 NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        500.000        99.1686       0.831388                 NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        500.000        99.1686       0.831385                 NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        500.000        99.1686       0.831383                 NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        500.000        99.1686       0.831380                 NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        500.000        99.1686       0.831378                 NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        500.000        99.1686       0.831375                 NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        500.000        99.1686       0.831372                 NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        500.000        99.1686       0.831369                 NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        500.000        99.1686       0.831366                 NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        500.000        99.1686       0.831364                 NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        500.000        99.1686       0.831361                 NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        500.000        99.1686       0.831358                 NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        500.000        99.1686       0.831355                 NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        500.000        99.1686       0.831352                 NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        500.000        99.1687       0.831349                 NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        500.000        99.1687       0.831346                 NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        500.000        99.1687       0.831343                 NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        500.000        99.1687       0.831340                 NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        500.000        99.1687       0.831337                 NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        500.000        99.1687       0.831334                 NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        500.000        99.1687       0.831331                 NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        500.000        99.1687       0.831327                 NaN            NaN            NaN            NaN            NaN            NaN
  1836.54        500.000        99.1687       0.831324                 NaN            NaN            NaN            NaN            NaN            NaN
  1833.33        500.000        99.1687       0.831321                 NaN            NaN            NaN            NaN            NaN            NaN
