|6.6.6
Archiving\03_Data\eqfrac/QFM_m1.75/YM20/YM20_1.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            ne             lc            
  1580.13        2500.00       0.156757E-001   99.5644       0.419963                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.68        2500.00                 NaN   99.3363       0.658330       0.541474E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1577.22        2500.00                 NaN   99.3331       0.587763       0.791808E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.77        2500.00                 NaN   99.3385       0.590088       0.713959E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1574.31        2500.00                 NaN   99.3272       0.604023       0.687804E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.86        2500.00                 NaN   99.3628       0.567731       0.695032E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.41        2500.00                 NaN   99.3546       0.577069       0.683695E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.95        2500.00                 NaN   99.3595       0.572454       0.680648E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.50        2500.00                 NaN   99.3658       0.566746       0.674734E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.04        2500.00                 NaN   99.3696       0.563186       0.672456E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1565.59        2500.00                 NaN   99.3776       0.557321       0.650921E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.14        2500.00                 NaN   99.3791       0.555994       0.648973E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1562.68        2500.00                 NaN   99.3833       0.553804       0.629135E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.23        2500.00                 NaN   99.3914       0.546851       0.617654E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.77        2500.00                 NaN   99.3958       0.542463       0.617104E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.32        2500.00                 NaN   99.3987       0.541046       0.602305E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.87        2500.00                 NaN   99.4036       0.536434       0.599279E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.41        2500.00                 NaN   99.4091       0.531736       0.592088E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.96        2500.00                 NaN   98.2892        1.54767       0.163109                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.50        2500.00                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.05        2500.00                 NaN   99.9613       0.351761E-001  0.350523E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.60        2500.00                 NaN   99.6118       0.349885       0.383182E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.14        2500.00                 NaN   99.2456       0.681083       0.733455E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.69        2500.00                 NaN   99.4332       0.512078       0.547206E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.23        2500.00                 NaN   99.4149       0.528804       0.562904E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.78        2500.00                 NaN   99.4685       0.481560       0.498951E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.33        2500.00                 NaN   99.4465       0.501950       0.515089E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.87        2500.00                 NaN   99.4502       0.495766       0.540013E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.42        2500.00                 NaN   99.4071       0.539357       0.535181E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.97        2500.00                 NaN   99.5062       0.451022       0.428226E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.51        2500.00                 NaN   99.4609       0.490789       0.482675E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.06        2500.00                 NaN   99.4659       0.485707       0.484222E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.60        2500.00                 NaN   99.3881       0.556749       0.551149E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.15        2500.00                 NaN   99.8018       0.182174       0.159818E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.70        2500.00                 NaN   99.2294       0.703350       0.672041E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.24        2500.00                 NaN   99.4776       0.478965       0.434456E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.79        2500.00                 NaN   99.4844       0.471659       0.439271E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.33        2500.00                 NaN   99.4859       0.471190       0.428740E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.88        2500.00                 NaN   99.4885       0.470498       0.410185E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.43        2500.00                 NaN   99.4920       0.466966       0.409936E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.97        2500.00                 NaN   99.3908       0.561969       0.472416E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.52        2500.00                 NaN   99.8121       0.173275       0.146219E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.06        2500.00                 NaN   99.2886       0.657579       0.538104E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.61        2500.00                 NaN   99.5088       0.451641       0.395785E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.16        2500.00                 NaN   99.9605       0.259685E-001  0.135574E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.70        2500.00                 NaN   99.0586       0.881839       0.595893E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.25        2500.00                 NaN   99.5126       0.451344       0.360725E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.79        2500.00                 NaN   99.5173       0.447993       0.346862E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.34        2500.00                 NaN   99.5199       0.445757       0.343312E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.89        2500.00                 NaN   99.5281       0.441382       0.305538E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.43        2500.00                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.98        2500.00                 NaN   99.0431       0.889060       0.678867E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.52        2500.00                 NaN   99.5323       0.437364       0.303433E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.07        2500.00                 NaN   99.5318       0.438138       0.300238E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.62        2500.00                 NaN   99.5346       0.436447       0.289402E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.16        2500.00                 NaN   99.5337       0.439750       0.265102E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.71        2500.00                 NaN   99.5396       0.433844       0.265342E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.25        2500.00                 NaN   99.5423       0.428935       0.287963E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.80        2500.00                 NaN   99.5440       0.430696       0.253175E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.35        2500.00                 NaN   99.5457       0.429962       0.243690E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1492.89        2500.00                 NaN   99.4252       0.517218E-001  0.672438E-004            NaN  0.522972                 NaN            NaN            NaN            NaN            NaN            NaN
  1491.44        2500.00                 NaN   99.3881                 NaN            NaN            NaN  0.611905                 NaN            NaN            NaN            NaN            NaN            NaN
  1489.98        2500.00                 NaN   99.3860                 NaN            NaN            NaN  0.613974                 NaN            NaN            NaN            NaN            NaN            NaN
  1488.53        2500.00                 NaN   99.3841       0.121026E-001            NaN            NaN  0.603751                 NaN            NaN            NaN            NaN            NaN            NaN
  1487.08        2500.00                 NaN   99.3788                 NaN            NaN            NaN  0.621212                 NaN            NaN            NaN            NaN            NaN            NaN
  1485.62        2500.00                 NaN   99.3755                 NaN            NaN            NaN  0.624483                 NaN            NaN            NaN            NaN            NaN            NaN
  1484.17        2500.00                 NaN   99.1930                 NaN            NaN            NaN  0.488415       0.318575                 NaN            NaN            NaN            NaN            NaN
  1482.71        2500.00                 NaN   99.0601                 NaN            NaN            NaN  0.375463       0.564472                 NaN            NaN            NaN            NaN            NaN
  1481.26        2500.00                 NaN   98.6266       0.897080E-001            NaN            NaN  0.825044       0.458651                 NaN            NaN            NaN            NaN            NaN
  1479.81        2500.00                 NaN   99.8865                 NaN            NaN            NaN  0.680827E-001  0.454123E-001            NaN            NaN            NaN            NaN            NaN
  1478.35        2500.00                 NaN   98.7249                 NaN            NaN            NaN  0.508329       0.766768                 NaN            NaN            NaN            NaN            NaN
  1476.90        2500.00                 NaN   99.0920                 NaN            NaN            NaN  0.546461       0.361501                 NaN            NaN            NaN            NaN            NaN
  1475.44        2500.00                 NaN   99.0974                 NaN  0.101947E-004            NaN  0.544007       0.358584                 NaN            NaN            NaN            NaN            NaN
  1473.99        2500.00                 NaN   99.2648                 NaN            NaN            NaN  0.443106       0.292092                 NaN            NaN            NaN            NaN            NaN
  1472.54        2500.00                 NaN   98.9498                 NaN            NaN            NaN  0.632529       0.417653                 NaN            NaN            NaN            NaN            NaN
  1471.08        2500.00                 NaN   99.1188                 NaN            NaN            NaN  0.531569       0.349621                 NaN            NaN            NaN            NaN            NaN
  1469.63        2500.00                 NaN   99.1255                 NaN            NaN            NaN  0.346652       0.527889                 NaN            NaN            NaN            NaN            NaN
  1468.18        2500.00                 NaN   99.1312                 NaN            NaN            NaN  0.524236       0.344517                 NaN            NaN            NaN            NaN            NaN
  1466.72        2500.00                 NaN   99.1398                 NaN  0.546435E-002            NaN  0.521559       0.333160                 NaN            NaN            NaN            NaN            NaN
  1465.27        2500.00                 NaN   99.1453                 NaN            NaN            NaN  0.337903       0.516810                 NaN            NaN            NaN            NaN            NaN
  1463.81        2500.00                 NaN   99.1570                 NaN  0.210628E-001            NaN  0.303850       0.518080                 NaN            NaN            NaN            NaN            NaN
  1462.36        2500.00                 NaN   99.1622                 NaN  0.155119E-001            NaN  0.512816       0.309447                 NaN            NaN            NaN            NaN            NaN
