|6.6.6
Archiving\03_Data\Deqfrac/QFM_m4.5/K22/K22_1.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          16
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          O(HP)          O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            Sp(TH)         iron           ne             lc            
  1631.41        2500.00        99.4015       0.552436       0.460964E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.83        2500.00        98.9339       0.962224       0.103884                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1628.25        2500.00        98.9522       0.945661       0.102093                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.66        2500.00        98.9619       0.936114       0.101986                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1625.08        2500.00        98.9730       0.928113       0.989348E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1623.50        2500.00        98.9824       0.919788       0.978385E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.92        2500.00        98.9929       0.910643       0.964260E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1620.33        2500.00        99.0068       0.898106       0.950479E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1618.75        2500.00        99.0176       0.882799       0.995525E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1617.17        2500.00        99.0260       0.888806       0.852020E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1615.59        2500.00        99.0358       0.873875       0.903254E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.00        2500.00        99.0472       0.863205       0.896201E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1612.42        2500.00        98.8371        1.07403       0.888389E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1610.84        2500.00        99.2768       0.643026       0.801916E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.26        2500.00        99.0567       0.855897       0.873752E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1607.67        2500.00        99.1082       0.808333       0.834697E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.09        2500.00        99.0835       0.835839       0.806263E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.51        2500.00        98.9695       0.944217       0.862534E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1602.93        2500.00        99.2518       0.674223       0.739939E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.34        2500.00        99.1209       0.800701       0.784304E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.76        2500.00        99.1235       0.798956       0.775539E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1598.18        2500.00        99.1404       0.782325       0.773072E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.60        2500.00        99.1495       0.775284       0.752369E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1595.01        2500.00        99.1546       0.770768       0.746235E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.43        2500.00        99.1613       0.765208       0.734500E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.85        2500.00        99.1713       0.756669       0.720081E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.27        2500.00        99.1783       0.750592       0.710708E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.68        2500.00        99.1838       0.747370       0.688446E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.10        2500.00        99.1937       0.737634       0.686649E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.52        2500.00        99.5056       0.451688       0.426942E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.94        2500.00        98.8083        1.13896       0.527724E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.35        2500.00        99.2917       0.602725       0.105576                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1580.77        2500.00        99.2404       0.693539       0.660294E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.19        2500.00        99.2284       0.708345       0.632410E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1577.61        2500.00        99.2355       0.703062       0.614479E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.02        2500.00        99.2408       0.698996       0.601716E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1574.44        2500.00        99.2476       0.693265       0.591534E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.86        2500.00        99.2549       0.686181       0.589652E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.28        2500.00        99.2611       0.681505       0.573922E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.69        2500.00        99.2681       0.674788       0.570823E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.11        2500.00        99.2735       0.670541       0.559408E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.53        2500.00        99.2797       0.665983       0.543223E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.95        2500.00        99.2853       0.660660       0.540728E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.36        2500.00        98.5732        1.32732       0.994549E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.78        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.20        2500.00        99.3630       0.591204       0.458352E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.62        2500.00        99.2618       0.687161       0.510160E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.03        2500.00        99.3139       0.637708       0.483918E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.45        2500.00        99.3195       0.632586       0.478995E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
