|6.6.6
Archiving\03_Data\Deqfrac/QFM_m4.5/K22/K22_3.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          16
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          O(HP)          O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            Sp(TH)         iron           ne             lc            
  1631.41        2500.00        99.4699       0.490092       0.400397E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.83        2500.00        99.0559       0.853868       0.902467E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1628.25        2500.00        99.0725       0.838894       0.886558E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.66        2500.00        99.0813       0.830168       0.885280E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1625.08        2500.00        99.0912       0.822896       0.858607E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1623.50        2500.00        99.0998       0.815341       0.848764E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.92        2500.00        99.1094       0.806997       0.836270E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1620.33        2500.00        99.1219       0.795747       0.823963E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1618.75        2500.00        99.1320       0.781781       0.862407E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1617.17        2500.00        99.1392       0.787044       0.738013E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1615.59        2500.00        99.1483       0.773490       0.781889E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.00        2500.00        99.1585       0.763896       0.775594E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
