|6.6.6
Archiving\03_Data\eqLP/QFM_m0.25/GRV/GRV_3.tab                            
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          10
T(K)           P(bar)         melt(TH)       pxmn           Sp(TH)         O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        an            
  2000.00        500.000        99.3264       0.673620                 NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        500.000        99.3263       0.673693                 NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        500.000        99.3262       0.673766                 NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        500.000        99.3262       0.673839                 NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        500.000        99.3261       0.673912                 NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        500.000        99.3260       0.673985                 NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        500.000        99.3259       0.674059                 NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        500.000        99.3259       0.674132                 NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        500.000        99.3258       0.674205                 NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        500.000        99.3257       0.674278                 NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        500.000        99.3256       0.674351                 NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        500.000        99.3256       0.674424                 NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        500.000        99.3255       0.674498                 NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        500.000        99.3254       0.674571                 NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        500.000        99.3254       0.674644                 NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        500.000        99.3253       0.674718                 NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        500.000        99.3252       0.674791                 NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        500.000        99.3251       0.674864                 NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        500.000        99.3251       0.674937                 NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        500.000        99.3250       0.675011                 NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        500.000        99.3249       0.675084                 NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        500.000        99.3248       0.675157                 NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        500.000        99.3248       0.675231                 NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        500.000        99.3247       0.675304                 NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        500.000        99.3246       0.675378                 NaN            NaN            NaN            NaN            NaN            NaN
