|6.6.6
Archiving\03_Data\eq/QFM_m5/LAR/LAR_1.tab                                 
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       pxmn           iron           Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             O(HP)          San(TH)        ab            
  2000.00        2500.00        93.2338       0.916341        5.84984                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        2500.00        93.2092       0.916404        5.87437                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        2500.00        93.1846       0.916468        5.89890                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        2500.00        93.1600       0.916531        5.92343                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        2500.00        93.1354       0.916595        5.94797                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        2500.00        93.1108       0.916658        5.97251                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        2500.00        93.0862       0.916722        5.99706                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        2500.00        93.0616       0.916785        6.02161                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        2500.00        93.0370       0.916849        6.04616                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        2500.00        93.0134       0.916910        6.06973                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        2500.00        92.9897       0.916971        6.09329                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        2500.00        92.9661       0.917032        6.11686                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        2500.00        92.9425       0.917093        6.14044                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        2500.00        92.9188       0.917154        6.16401                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        2500.00        92.8952       0.917215        6.18760                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        2500.00        92.8715       0.917276        6.21118                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        2500.00        92.8479       0.917337        6.23477                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        2500.00        92.8252       0.917395        6.25737                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        2500.00        92.8026       0.917454        6.27997                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        2500.00        92.7799       0.917512        6.30258                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        2500.00        92.7572       0.917571        6.32519                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        2500.00        92.7346       0.917629        6.34780                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        2500.00        92.7119       0.917688        6.37042                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        2500.00        92.6892       0.917746        6.39303                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        2500.00        92.6665       0.917805        6.41566                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        2500.00        92.6448       0.917861        6.43730                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        2500.00        92.6231       0.917917        6.45895                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        2500.00        92.6014       0.917973        6.48060                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        2500.00        92.5797       0.918028        6.50226                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        2500.00        92.5580       0.918084        6.52391                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        2500.00        92.5363       0.918140        6.54557                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        2500.00        92.5146       0.918196        6.56723                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        2500.00        92.4929       0.918252        6.58890                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        2500.00        92.4721       0.918306        6.60961                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        2500.00        92.4513       0.918360        6.63032                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        2500.00        92.4305       0.918413        6.65104                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        2500.00        92.4098       0.918467        6.67176                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        2500.00        92.3890       0.918520        6.69248                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        2500.00        92.3682       0.918574        6.71320                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        2500.00        92.3474       0.918627        6.73392                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        2500.00        92.3267       0.918681        6.75465                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        2500.00        92.3068       0.918732        6.77446                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        2500.00        92.2870       0.918783        6.79426                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        2500.00        92.2671       0.918834        6.81407                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        2500.00        92.2472       0.918886        6.83389                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        2500.00        92.2274       0.918937        6.85370                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        2500.00        92.2075       0.918988        6.87351                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        2500.00        92.1876       0.919039        6.89333                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        2500.00        92.1678       0.919090        6.91315                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        2500.00        92.1489       0.919139        6.93200                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        2500.00        92.1300       0.919188        6.95086                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1836.54        2500.00        92.1111       0.919236        6.96971                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1833.33        2500.00        92.0921       0.919285        6.98857                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1830.13        2500.00        92.0732       0.919334        7.00743                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1826.92        2500.00        92.0543       0.919383        7.02629                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1823.72        2500.00        92.0354       0.919431        7.04515                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1820.51        2500.00        92.0165       0.919480        7.06402                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.31        2500.00        91.9985       0.919526        7.08196                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.10        2500.00        91.9805       0.919573        7.09991                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1810.90        2500.00        91.9625       0.919619        7.11787                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.69        2500.00        91.9445       0.919665        7.13582                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.49        2500.00        91.9265       0.919712        7.15377                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1801.28        2500.00        91.9085       0.919758        7.17173                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1798.08        2500.00        91.8905       0.919804        7.18969                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.87        2500.00        91.8725       0.919851        7.20765                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.67        2500.00        91.8554       0.919895        7.22470                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1788.46        2500.00        91.8383       0.919939        7.24175                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1785.26        2500.00        91.8212       0.919983        7.25881                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1782.05        2500.00        91.8041       0.920027        7.27587                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1778.85        2500.00        91.7870       0.920071        7.29292                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1775.64        2500.00        91.7699       0.920115        7.30998                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1772.44        2500.00        91.7528       0.920159        7.32704                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.23        2500.00        91.7357       0.920203        7.34411                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.03        2500.00        91.7195       0.920244        7.36026                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1762.82        2500.00        91.7033       0.920286        7.37642                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.62        2500.00        91.6871       0.920328        7.39258                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.41        2500.00        91.6709       0.920369        7.40874                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1753.21        2500.00        91.6547       0.920411        7.42490                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1750.00        2500.00        91.6385       0.920453        7.44106                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.79        2500.00        91.6223       0.920494        7.45723                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1743.59        2500.00        91.6061       0.920536        7.47339                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1740.38        2500.00        91.5908       0.920575        7.48865                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1737.18        2500.00        91.5755       0.920615        7.50391                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1733.97        2500.00        91.5602       0.920654        7.51918                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1730.77        2500.00        91.5449       0.920693        7.53444                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1727.56        2500.00        91.5296       0.920733        7.54971                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.36        2500.00        91.5143       0.920772        7.56497                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.15        2500.00        91.4989       0.920811        7.58024                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1717.95        2500.00        91.4836       0.920851        7.59551                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.74        2500.00        91.4692       0.920888        7.60989                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.54        2500.00        91.4548       0.920925        7.62426                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1708.33        2500.00        91.4404       0.920962        7.63864                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1705.13        2500.00        91.4260       0.920999        7.65302                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.92        2500.00        91.4116       0.921036        7.66740                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1698.72        2500.00        91.3971       0.921073        7.68178                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1695.51        2500.00        91.3827       0.921110        7.69616                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1692.31        2500.00        91.3683       0.921147        7.71054                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.10        2500.00        91.3548       0.921182        7.72405                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1685.90        2500.00        91.3412       0.921216        7.73756                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1682.69        2500.00        91.3277       0.921251        7.75106                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.49        2500.00        91.3141       0.921286        7.76457                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.28        2500.00        91.3006       0.921320        7.77808                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1673.08        2500.00        91.2871       0.921355        7.79159                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.87        2500.00        91.2735       0.921390        7.80510                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        2500.00        91.2600       0.921425        7.81861                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1663.46        2500.00        91.2474       0.921457        7.83117                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1660.26        2500.00        91.2348       0.921489        7.84373                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1657.05        2500.00        91.2222       0.921521        7.85628                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1653.85        2500.00        91.2096       0.921554        7.86884                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1650.64        2500.00        91.1970       0.921586        7.88140                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1647.44        2500.00        91.1844       0.921618        7.89396                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.23        2500.00        91.1718       0.921650        7.90652                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.03        2500.00        91.1592       0.921683        7.91909                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1637.82        2500.00        91.1470       0.921714        7.93127                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.62        2500.00        91.1231       0.921739        7.94090       0.142557E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.41        2500.00        91.0983       0.921762        7.95026       0.297059E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1628.21        2500.00        91.0734       0.921786        7.95961       0.451569E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1625.00        2500.00        91.0493       0.921809        7.96868       0.601987E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.79        2500.00        91.0252       0.921833        7.97775       0.752412E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1618.59        2500.00        91.0010       0.921856        7.98681       0.902845E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1615.38        2500.00        90.9769       0.921879        7.99588       0.105329                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1612.18        2500.00        90.9535       0.921901        8.00463       0.119943                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1608.97        2500.00        90.9301       0.921923        8.01339       0.134559                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1605.77        2500.00        90.9072       0.921945        8.02202       0.148832                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1602.56        2500.00        90.3667       0.921963        8.02877       0.153788       0.528823                 NaN            NaN            NaN            NaN            NaN            NaN
  1599.36        2500.00        88.8091       0.921967        8.03005       0.137331        2.10156                 NaN            NaN            NaN            NaN            NaN            NaN
  1596.15        2500.00        87.2515       0.921972        8.03133       0.120873        3.67432                 NaN            NaN            NaN            NaN            NaN            NaN
  1592.95        2500.00        85.6939       0.921976        8.03260       0.104415        5.24709                 NaN            NaN            NaN            NaN            NaN            NaN
  1589.74        2500.00        84.1363       0.921981        8.03388       0.879568E-001   6.81987                 NaN            NaN            NaN            NaN            NaN            NaN
  1586.54        2500.00        82.7513       0.921978        8.03227       0.700764E-001   8.22441                 NaN            NaN            NaN            NaN            NaN            NaN
  1583.33        2500.00        81.3662       0.921975        8.03065       0.521962E-001   9.62894                 NaN            NaN            NaN            NaN            NaN            NaN
  1580.13        2500.00        79.9812       0.921971        8.02904       0.343161E-001   11.0335                 NaN            NaN            NaN            NaN            NaN            NaN
  1576.92        2500.00        78.5962       0.921968        8.02743       0.164361E-001   12.4380                 NaN            NaN            NaN            NaN            NaN            NaN
  1573.72        2500.00        77.3108       0.921959        8.02346                 NaN   13.7438                 NaN            NaN            NaN            NaN            NaN            NaN
  1570.51        2500.00        76.1084       0.921941        8.01609                 NaN   14.9535                 NaN            NaN            NaN            NaN            NaN            NaN
  1567.31        2500.00        74.9551       0.921920        8.00779                 NaN   16.1152                 NaN            NaN            NaN            NaN            NaN            NaN
