|6.6.6
Archiving\03_Data\eq/QFM_m5/LAR/LAR_3.tab                                 
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       pxmn           iron           Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             O(HP)          San(TH)        ab            
  2000.00        2500.00        96.9253       0.745779        2.32894                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        2500.00        96.9153       0.745902        2.33879                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        2500.00        96.9053       0.746026        2.34865                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        2500.00        96.8953       0.746150        2.35851                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        2500.00        96.8854       0.746273        2.36837                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        2500.00        96.8754       0.746397        2.37824                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        2500.00        96.8654       0.746521        2.38810                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        2500.00        96.8554       0.746644        2.39797                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        2500.00        96.8454       0.746768        2.40784                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        2500.00        96.8358       0.746889        2.41732                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        2500.00        96.8262       0.747009        2.42680                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        2500.00        96.8166       0.747130        2.43628                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        2500.00        96.8070       0.747251        2.44576                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        2500.00        96.7974       0.747372        2.45524                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        2500.00        96.7878       0.747492        2.46473                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        2500.00        96.7782       0.747613        2.47422                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        2500.00        96.7686       0.747734        2.48371                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        2500.00        96.7593       0.747852        2.49281                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        2500.00        96.7501       0.747970        2.50191                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        2500.00        96.7409       0.748088        2.51101                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        2500.00        96.7317       0.748206        2.52011                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        2500.00        96.7225       0.748324        2.52922                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        2500.00        96.7132       0.748441        2.53833                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        2500.00        96.7040       0.748559        2.54743                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        2500.00        96.6948       0.748677        2.55655                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        2500.00        96.6859       0.748792        2.56527                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        2500.00        96.6771       0.748908        2.57399                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        2500.00        96.6683       0.749023        2.58272                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        2500.00        96.6594       0.749138        2.59145                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        2500.00        96.6506       0.749253        2.60017                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        2500.00        96.6417       0.749368        2.60891                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        2500.00        96.6329       0.749483        2.61764                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        2500.00        96.6240       0.749598        2.62637                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        2500.00        96.6156       0.749711        2.63473                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        2500.00        96.6071       0.749824        2.64308                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        2500.00        96.5986       0.749936        2.65144                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        2500.00        96.5902       0.750049        2.65980                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        2500.00        96.5817       0.750161        2.66816                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        2500.00        96.5732       0.750274        2.67652                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        2500.00        96.5647       0.750386        2.68489                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        2500.00        96.5562       0.750498        2.69326                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        2500.00        96.5481       0.750608        2.70125                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        2500.00        96.5400       0.750718        2.70925                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        2500.00        96.5319       0.750828        2.71725                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        2500.00        96.5238       0.750938        2.72526                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        2500.00        96.5157       0.751048        2.73326                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        2500.00        96.5076       0.751158        2.74126                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        2500.00        96.4995       0.751268        2.74927                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
