|6.6.6
Archiving\03_Data\Deqfrac/QFM_m0.25/K22/K22_3.tab                     
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         Sp(TH)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)       
  1621.79        2500.00       0.833753E-002            NaN   99.3462       0.645424                 NaN            NaN            NaN            NaN            NaN            NaN
  1620.23        2500.00                 NaN            NaN   99.0854       0.910645       0.394163E-002            NaN            NaN            NaN            NaN            NaN
  1618.67        2500.00                 NaN            NaN   99.0822       0.835740       0.820649E-001            NaN            NaN            NaN            NaN            NaN
  1617.11        2500.00                 NaN            NaN   98.6658        1.20319       0.131057                 NaN            NaN            NaN            NaN            NaN
  1615.56        2500.00                 NaN            NaN   99.5225       0.429469       0.480440E-001            NaN            NaN            NaN            NaN            NaN
  1614.00        2500.00                 NaN            NaN   99.1176       0.794056       0.883414E-001            NaN            NaN            NaN            NaN            NaN
  1612.44        2500.00                 NaN            NaN   99.9858                 NaN  0.142390E-001            NaN            NaN            NaN            NaN            NaN
  1610.88        2500.00                 NaN            NaN   98.2699        1.57107       0.159047                 NaN            NaN            NaN            NaN            NaN
  1609.32        2500.00                 NaN            NaN   99.1391       0.775972       0.849264E-001            NaN            NaN            NaN            NaN            NaN
  1607.76        2500.00                 NaN            NaN   99.1497       0.766100       0.841820E-001            NaN            NaN            NaN            NaN            NaN
  1606.21        2500.00                 NaN            NaN   99.1530       0.764197       0.827959E-001            NaN            NaN            NaN            NaN            NaN
  1604.65        2500.00                 NaN            NaN   99.1653       0.753768       0.809092E-001            NaN            NaN            NaN            NaN            NaN
  1603.09        2500.00                 NaN            NaN   99.1767       0.743499       0.798474E-001            NaN            NaN            NaN            NaN            NaN
  1601.53        2500.00                 NaN            NaN   99.1825       0.738448       0.791010E-001            NaN            NaN            NaN            NaN            NaN
  1599.97        2500.00                 NaN            NaN   99.1872       0.735981       0.767791E-001            NaN            NaN            NaN            NaN            NaN
  1598.41        2500.00                 NaN            NaN   99.2000       0.724145       0.758450E-001            NaN            NaN            NaN            NaN            NaN
  1596.86        2500.00                 NaN            NaN   99.1401       0.780256       0.796762E-001            NaN            NaN            NaN            NaN            NaN
  1595.30        2500.00                 NaN            NaN   99.2754       0.656288       0.683036E-001            NaN            NaN            NaN            NaN            NaN
  1593.74        2500.00                 NaN            NaN   99.2245       0.702358       0.731422E-001            NaN            NaN            NaN            NaN            NaN
  1592.18        2500.00                 NaN            NaN   99.2287       0.699438       0.718932E-001            NaN            NaN            NaN            NaN            NaN
  1590.62        2500.00                 NaN            NaN   99.2266       0.702265       0.710867E-001            NaN            NaN            NaN            NaN            NaN
  1589.06        2500.00                 NaN            NaN   99.2507       0.681339       0.679898E-001            NaN            NaN            NaN            NaN            NaN
  1587.51        2500.00                 NaN            NaN   99.2501       0.681457       0.684346E-001            NaN            NaN            NaN            NaN            NaN
  1585.95        2500.00                 NaN            NaN   99.2572       0.675979       0.668585E-001            NaN            NaN            NaN            NaN            NaN
  1584.39        2500.00                 NaN            NaN   99.2635       0.670377       0.661316E-001            NaN            NaN            NaN            NaN            NaN
  1582.83        2500.00                 NaN            NaN   99.2722       0.662317       0.654483E-001            NaN            NaN            NaN            NaN            NaN
  1581.27        2500.00                 NaN            NaN   99.2771       0.658294       0.645667E-001            NaN            NaN            NaN            NaN            NaN
  1579.71        2500.00                 NaN            NaN   99.2822       0.655265       0.624945E-001            NaN            NaN            NaN            NaN            NaN
  1578.16        2500.00                 NaN            NaN   99.2921       0.645638       0.622867E-001            NaN            NaN            NaN            NaN            NaN
  1576.60        2500.00                 NaN            NaN   99.2955       0.643683       0.608623E-001            NaN            NaN            NaN            NaN            NaN
  1575.04        2500.00                 NaN            NaN   99.3031       0.637227       0.596536E-001            NaN            NaN            NaN            NaN            NaN
  1573.48        2500.00                 NaN            NaN   98.7358        1.15724       0.106948                 NaN            NaN            NaN            NaN            NaN
  1571.92        2500.00                 NaN            NaN   99.7989       0.183678       0.174233E-001            NaN            NaN            NaN            NaN            NaN
  1570.36        2500.00                 NaN            NaN   99.7558       0.224666       0.195790E-001            NaN            NaN            NaN            NaN            NaN
