|6.6.6
Archiving\03_Data\eqfrac/QFM_m1.5/KHA22/KHA22_1.tab                       
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         Sp(TH)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            ne             lc            
  1586.54        2500.00       0.240420E-001            NaN   99.8486       0.127311                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.07        2500.00                 NaN            NaN   99.3037       0.682019       0.142831E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.60        2500.00                 NaN            NaN   99.3072       0.626420       0.663712E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.13        2500.00                 NaN            NaN   99.3137       0.620561       0.657395E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1580.66        2500.00                 NaN            NaN   99.3180       0.617153       0.648806E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.19        2500.00                 NaN            NaN   99.3263       0.610414       0.632385E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1577.72        2500.00                 NaN            NaN   99.3313       0.605805       0.628814E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.25        2500.00                 NaN            NaN   99.3339       0.603759       0.623280E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1574.78        2500.00                 NaN            NaN   99.3447       0.593227       0.620630E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.31        2500.00                 NaN            NaN   99.3489       0.591236       0.598449E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.84        2500.00                 NaN            NaN   99.3531       0.587658       0.592367E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.37        2500.00                 NaN            NaN   98.9215       0.977219       0.101316                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.90        2500.00                 NaN            NaN   99.7794       0.201134       0.194574E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.43        2500.00                 NaN            NaN   99.3945       0.552084       0.534030E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
