|6.6.6
Archiving\03_Data\Deqfrac/QFM_m5/WD94/WD94_3.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          iron           Cpx(TH)        Cpx(TH)        an             San(TH)        San(TH)        ilm            q             
  1644.23        2500.00       0.572000E-002   99.4572                 NaN  0.519296       0.123482E-001  0.541733E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1642.62        2500.00       0.797531E-002   98.9850                 NaN  0.876245       0.130732                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.00        2500.00                 NaN   98.9514                 NaN  0.938496       0.110128                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.39        2500.00                 NaN   98.9428                 NaN  0.975760       0.735673E-001  0.786300E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1637.77        2500.00                 NaN   98.9869                 NaN  0.907475       0.105592                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.16        2500.00                 NaN   98.9854                 NaN  0.909326       0.105284                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.54        2500.00                 NaN   98.9971                 NaN  0.898686       0.104180                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1632.93        2500.00                 NaN   99.0084                 NaN  0.889166       0.102388                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.31        2500.00                 NaN   99.0028                 NaN  0.896565       0.100634                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.70        2500.00                 NaN   99.0511                 NaN  0.850667       0.982661E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1628.08        2500.00       0.836261E-002   99.0610                 NaN  0.806708       0.110186       0.137504E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.47        2500.00                 NaN   99.0838                 NaN  0.871704       0.444666E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.85        2500.00                 NaN   99.0610                 NaN  0.845762       0.932876E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1623.24        2500.00                 NaN   99.0802                 NaN  0.826900       0.928816E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.63        2500.00                 NaN   99.0856                 NaN  0.822036       0.923161E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1620.01        2500.00                 NaN   99.0951                 NaN  0.815594       0.892613E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1618.40        2500.00                 NaN   99.0465                 NaN  0.859270       0.942238E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
