|6.6.6
Archiving\03_Data\Deqfrac/QFM_m5/WD94/WD94_1.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          iron           Cpx(TH)        Cpx(TH)        an             San(TH)        San(TH)        ilm            q             
  1644.23        2500.00       0.879357E-002   99.3811                 NaN  0.581862       0.141424E-001  0.140533E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1642.62        2500.00       0.122557E-001   98.8565                 NaN  0.981562       0.149701                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.00        2500.00                 NaN   98.8223                 NaN   1.05150       0.126152                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.39        2500.00                 NaN   98.8017                 NaN   1.09363       0.843081E-001  0.203981E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1637.77        2500.00                 NaN   98.8618                 NaN   1.01717       0.121041                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.16        2500.00                 NaN   98.8597                 NaN   1.01961       0.120741                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.54        2500.00                 NaN   98.8724                 NaN   1.00805       0.119536                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1632.93        2500.00                 NaN   98.8849                 NaN  0.997624       0.117509                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.31        2500.00                 NaN   98.8790                 NaN   1.00550       0.115468                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.70        2500.00                 NaN   98.9324                 NaN  0.954784       0.112852                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1628.08        2500.00       0.128349E-001   98.9187                 NaN  0.906074       0.126624       0.357265E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.47        2500.00                 NaN   98.9699                 NaN  0.978990       0.511055E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.85        2500.00                 NaN   98.9426                 NaN  0.950143       0.107268                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1623.24        2500.00                 NaN   98.9640                 NaN  0.929207       0.106826                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.63        2500.00                 NaN   98.9698                 NaN  0.923991       0.106244                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1620.01        2500.00                 NaN   98.9804                 NaN  0.916871       0.102739                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1618.40        2500.00                 NaN   98.9254                 NaN  0.966055       0.108507                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.78        2500.00                 NaN   99.0667                 NaN  0.840746       0.925381E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1615.17        2500.00                 NaN   99.0151                 NaN  0.884588       0.100351                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1613.55        2500.00                 NaN   99.0227                 NaN  0.879734       0.975340E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.94        2500.00                 NaN   98.9864                 NaN  0.915933       0.976435E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1610.32        2500.00                 NaN   99.0860                 NaN  0.822558       0.914037E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1608.71        2500.00                 NaN   99.0523                 NaN  0.857331       0.903744E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1607.09        2500.00                 NaN   99.0655                 NaN  0.842569       0.919358E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1605.48        2500.00                 NaN   98.9756                 NaN  0.925779       0.985901E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1603.86        2500.00                 NaN   99.1754                 NaN  0.745028       0.795786E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1602.25        2500.00                 NaN   99.0934                 NaN  0.818507       0.880472E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1600.64        2500.00                 NaN   99.0998                 NaN  0.813476       0.867051E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.02        2500.00                 NaN   99.1080                 NaN  0.807375       0.846391E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1597.41        2500.00                 NaN   99.1185                 NaN  0.797761       0.837705E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1595.79        2500.00                 NaN   99.1247                 NaN  0.792503       0.827683E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1594.18        2500.00                 NaN   99.1354                 NaN  0.783815       0.808295E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1592.56        2500.00                 NaN   99.0728                 NaN  0.841414       0.858227E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.95        2500.00                 NaN   99.2171                 NaN  0.710308       0.725919E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1589.33        2500.00                 NaN   99.1624                 NaN  0.761444       0.761679E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.72        2500.00                 NaN   99.1621                 NaN  0.761281       0.765845E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.10        2500.00                 NaN   99.1789                 NaN  0.746512       0.746341E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.49        2500.00                 NaN   99.1800                 NaN  0.747030       0.729875E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.87        2500.00                 NaN   99.1886                 NaN  0.739864       0.715493E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.26        2500.00                 NaN   99.1932                 NaN  0.737899       0.689048E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.65        2500.00                 NaN   99.2036                 NaN  0.727229       0.691653E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.03        2500.00                 NaN   99.2091                 NaN  0.722398       0.685084E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.42        2500.00                 NaN   99.5940                 NaN  0.405990                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1574.80        2500.00                 NaN   98.8484                 NaN   1.01934       0.132285                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.19        2500.00                 NaN   99.2308                 NaN  0.705010       0.641914E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.57        2500.00                 NaN   99.2373                 NaN  0.699256       0.634575E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.96        2500.00                 NaN   99.2430                 NaN  0.695091       0.619394E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.34        2500.00                 NaN   99.2508                 NaN  0.687701       0.614946E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.73        2500.00                 NaN   99.2567                 NaN  0.682463       0.608245E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1565.11        2500.00                 NaN   99.2637                 NaN  0.676751       0.595225E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.50        2500.00                 NaN   99.2680                 NaN  0.674841       0.571471E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.88        2500.00                 NaN   99.2757                 NaN  0.665624       0.586997E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.27        2500.00                 NaN   99.2797                 NaN  0.665724       0.545753E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.66        2500.00                 NaN   99.2862                 NaN  0.658599       0.552129E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.04        2500.00                 NaN   99.2911                 NaN  0.655457       0.534081E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.43        2500.00                 NaN   99.2977                 NaN  0.650037       0.522763E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.81        2500.00                 NaN   99.3014                 NaN  0.647964       0.506056E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.20        2500.00                 NaN   99.3073                 NaN  0.642880       0.498586E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1550.58        2500.00                 NaN   99.3133                 NaN  0.635573       0.511264E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.97        2500.00                 NaN   99.3188                 NaN  0.632904       0.482750E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.35        2500.00                 NaN   99.2517                 NaN  0.693668       0.546084E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.74        2500.00                 NaN   99.4024                 NaN  0.557630       0.399440E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.12        2500.00                 NaN   99.3322                 NaN  0.623907       0.439317E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.51        2500.00                 NaN   99.3367                 NaN  0.619979       0.433158E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.89        2500.00                 NaN   99.3407                 NaN  0.614683       0.446030E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.28        2500.00                 NaN   99.3466                 NaN  0.614344       0.390212E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.67        2500.00                 NaN   99.3504                 NaN  0.609216       0.403977E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.05        2500.00                 NaN   99.1376                 NaN  0.803581       0.588506E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.44        2500.00                 NaN   99.5797                 NaN  0.396751       0.235205E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.82        2500.00                 NaN   99.3584                 NaN  0.583847       0.345778E-001            NaN  0.232037E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1531.21        2500.00                 NaN   99.2067                 NaN  0.170772E-001            NaN            NaN  0.776203                 NaN            NaN            NaN            NaN            NaN            NaN
  1529.59        2500.00                 NaN   99.1798                 NaN  0.104371                 NaN            NaN  0.715849                 NaN            NaN            NaN            NaN            NaN            NaN
