|6.6.6
Archiving\03_Data\eqfrac/QFM_m5/Y98/Y98_3.tab                             
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         melt(TH)       melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Opx(TH)        iron           O(HP)          an             San(TH)        ilm            Sp(TH)         q             
  1503.21        2500.00        97.4734                 NaN  0.557403        1.77275                 NaN  0.158490       0.379968E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1501.95        2500.00        99.0210                 NaN  0.641293       0.315962                 NaN  0.895918E-002  0.127405E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1500.69        2500.00        99.0294                 NaN  0.634975       0.323147                 NaN            NaN  0.125198E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1499.43        2500.00        99.0403                 NaN  0.626660       0.320656                 NaN            NaN  0.123535E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1498.17        2500.00        99.0486                 NaN  0.318717       0.620497                 NaN            NaN  0.121967E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1496.90        2500.00        99.0570                 NaN  0.614708       0.316222                 NaN            NaN  0.120229E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1495.64        2500.00        99.0659                 NaN  0.313233       0.609069                 NaN            NaN  0.118444E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1494.38        2500.00        99.0747                 NaN  0.602237       0.311401                 NaN            NaN  0.116849E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1493.12        2500.00        99.0822                 NaN  0.596964       0.309374                 NaN            NaN  0.115061E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1491.86        2500.00        99.0916                 NaN  0.306545       0.590519                 NaN            NaN  0.113526E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1490.60        2500.00        99.0996                 NaN  0.303885       0.585290                 NaN            NaN  0.111985E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1489.34        2500.00        99.1076                 NaN  0.579822       0.301554                 NaN            NaN  0.110377E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1488.08        2500.00        99.0563                 NaN  0.612398       0.319645                 NaN            NaN  0.116419E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1486.81        2500.00        99.1825                 NaN  0.531045       0.276490                 NaN            NaN  0.996723E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1485.55        2500.00        99.1310                 NaN  0.295035       0.563393                 NaN            NaN  0.105591E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1484.29        2500.00        98.2547                 NaN   1.12598       0.598138                 NaN            NaN  0.212170E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1483.03        2500.00        99.9397                 NaN  0.388076E-001  0.207854E-001            NaN            NaN  0.733352E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1481.77        2500.00        99.9708                 NaN  0.125554E-001  0.144937E-001            NaN            NaN  0.196620E-003  0.193624E-002            NaN            NaN            NaN            NaN            NaN
  1480.51        2500.00        98.4427                 NaN  0.525659        1.01319                 NaN            NaN  0.184334E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1479.25        2500.00        99.1657                 NaN  0.283579       0.540972                 NaN            NaN  0.976186E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1477.99        2500.00        99.1752                 NaN  0.533831       0.281378                 NaN            NaN  0.962875E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1476.73        2500.00        99.1803                 NaN  0.530590       0.279613                 NaN            NaN  0.949603E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1475.46        2500.00        99.1875                 NaN  0.526187       0.276900                 NaN            NaN  0.936778E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1474.20        2500.00        99.1942                 NaN  0.521799       0.274746                 NaN            NaN  0.923129E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1472.94        2500.00        99.0762                 NaN  0.598019       0.315049                 NaN            NaN  0.107027E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1471.68        2500.00        99.3283                 NaN  0.229376       0.434748                 NaN            NaN  0.756851E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1470.42        2500.00        99.2126                 NaN  0.509934       0.268628                 NaN            NaN  0.887780E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1469.16        2500.00        99.2190                 NaN  0.506213       0.266051                 NaN            NaN  0.869885E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1467.90        2500.00        99.0007                 NaN  0.338571       0.549823                 NaN            NaN  0.132499E-001            NaN  0.976765E-001            NaN            NaN            NaN            NaN
  1466.64        2500.00        96.3626                 NaN   1.21131        1.10074                 NaN            NaN  0.682378E-001            NaN   1.25708                 NaN            NaN            NaN            NaN
  1465.37        2500.00        96.5198                 NaN   1.05353        1.15806                 NaN            NaN  0.650003E-001            NaN   1.20360                 NaN            NaN            NaN            NaN
  1464.11        2500.00        96.6636                 NaN   1.01069        1.10928                 NaN            NaN  0.620433E-001            NaN   1.15435                 NaN            NaN            NaN            NaN
  1462.85        2500.00        96.8007                 NaN  0.969320        1.06336                 NaN            NaN  0.592397E-001            NaN   1.10736                 NaN            NaN            NaN            NaN
  1461.59        2500.00        96.9241                 NaN  0.932032        1.02181                 NaN            NaN  0.566848E-001            NaN   1.06542                 NaN            NaN            NaN            NaN
  1460.33        2500.00        97.0411                 NaN  0.896781       0.982585                 NaN            NaN  0.542865E-001            NaN   1.02529                 NaN            NaN            NaN            NaN
  1459.07        2500.00        97.1502                 NaN  0.946172       0.863880                 NaN            NaN  0.520385E-001            NaN  0.987717                 NaN            NaN            NaN            NaN
  1457.81        2500.00        97.2513                 NaN  0.833310       0.912249                 NaN            NaN  0.499546E-001            NaN  0.953161                 NaN            NaN            NaN            NaN
  1456.55        2500.00        97.3468                 NaN  0.803672       0.880932                 NaN            NaN  0.479954E-001            NaN  0.920612                 NaN            NaN            NaN            NaN
  1455.29        2500.00        97.4375                 NaN  0.776887       0.850294                 NaN            NaN  0.461393E-001            NaN  0.889187                 NaN            NaN            NaN            NaN
  1454.02        2500.00        97.5203                 NaN  0.751771       0.822619                 NaN            NaN  0.444715E-001            NaN  0.860874                 NaN            NaN            NaN            NaN
  1452.76        2500.00        97.6015                 NaN  0.726978       0.795861                 NaN            NaN  0.427763E-001            NaN  0.832863                 NaN            NaN            NaN            NaN
  1451.50        2500.00        97.6753                 NaN  0.704681       0.771307                 NaN            NaN  0.412481E-001            NaN  0.807434                 NaN            NaN            NaN            NaN
  1450.24        2500.00        97.7466                 NaN  0.682636       0.747943                 NaN            NaN  0.398184E-001            NaN  0.783019                 NaN            NaN            NaN            NaN
  1448.98        2500.00        97.8138                 NaN  0.662787       0.725121                 NaN            NaN  0.384298E-001            NaN  0.759821                 NaN            NaN            NaN            NaN
  1447.72        2500.00        97.8782                 NaN  0.642672       0.704487                 NaN            NaN  0.371120E-001            NaN  0.737539                 NaN            NaN            NaN            NaN
