|6.6.6
Archiving\03_Data\eqfrac/QFM_m0.25/EETA/EETA_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Opx(TH)        O(HP)          Sp(TH)         Sp(TH)         an             San(TH)        ilm            q             
  1448.72        2500.00        99.8497       0.136109E-001            NaN  0.136677       0.992739E-006            NaN            NaN            NaN            NaN            NaN            NaN
  1447.60        2500.00        99.4008       0.370366E-001  0.417184       0.144989                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1446.47        2500.00        99.3102       0.253484       0.436329                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1445.35        2500.00        98.7512       0.477016       0.771772                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1444.22        2500.00        99.8482       0.582048E-001  0.935859E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1443.10        2500.00        99.9497       0.312167E-001  0.190989E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1441.97        2500.00        98.6936       0.805553       0.500845                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1440.85        2500.00        99.3170       0.421210       0.261818                 NaN  0.114913E-005            NaN            NaN            NaN            NaN            NaN            NaN
  1439.72        2500.00        99.2818       0.461212       0.215211                 NaN  0.414615E-001  0.281649E-003            NaN            NaN            NaN            NaN            NaN
  1438.60        2500.00        99.3640       0.246438       0.387863                 NaN            NaN  0.171104E-002            NaN            NaN            NaN            NaN            NaN
  1437.47        2500.00        99.3247       0.416278       0.259050                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1436.35        2500.00        99.3272       0.414455       0.258384                 NaN            NaN  0.896047E-005            NaN            NaN            NaN            NaN            NaN
  1435.22        2500.00        99.3013       0.428670       0.269189                 NaN            NaN  0.870670E-003            NaN            NaN            NaN            NaN            NaN
  1434.10        2500.00        99.8047       0.119728       0.752929E-001            NaN            NaN  0.235601E-003            NaN            NaN            NaN            NaN            NaN
