|6.6.6
Archiving\03_Data\eqfrac/QFM_m0.25/EETA/EETA_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Opx(TH)        O(HP)          Sp(TH)         Sp(TH)         an             San(TH)        ilm            q             
  1448.72        2500.00        99.8707       0.119038E-001            NaN  0.117352       0.807833E-006            NaN            NaN            NaN            NaN            NaN            NaN
  1447.60        2500.00        99.4785       0.320435E-001  0.364960       0.124515                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1446.47        2500.00        99.3991       0.219245       0.381619                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1445.35        2500.00        98.9121       0.412649       0.675211                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1444.22        2500.00        99.8680       0.502513E-001  0.817278E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1443.10        2500.00        99.9563       0.272574E-001  0.164828E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1441.97        2500.00        98.8630       0.704166       0.432800                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1440.85        2500.00        99.4062       0.367795       0.225968                 NaN  0.931299E-006            NaN            NaN            NaN            NaN            NaN            NaN
  1439.72        2500.00        99.3785       0.402281       0.185466                 NaN  0.335268E-001  0.183495E-003            NaN            NaN            NaN            NaN            NaN
  1438.60        2500.00        99.4480       0.212489       0.338419                 NaN            NaN  0.111736E-002            NaN            NaN            NaN            NaN            NaN
  1437.47        2500.00        99.4137       0.363072       0.223260                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1436.35        2500.00        99.4160       0.361376       0.222587                 NaN            NaN  0.585623E-005            NaN            NaN            NaN            NaN            NaN
  1435.22        2500.00        99.3940       0.373648       0.231795                 NaN            NaN  0.569447E-003            NaN            NaN            NaN            NaN            NaN
  1434.10        2500.00        99.8308       0.104280       0.647782E-001            NaN            NaN  0.154200E-003            NaN            NaN            NaN            NaN            NaN
  1432.98        2500.00        99.0380       0.368357       0.592697                 NaN            NaN  0.909684E-003            NaN            NaN            NaN            NaN            NaN
  1431.85        2500.00        99.4258       0.353988       0.219733                 NaN            NaN  0.506449E-003            NaN            NaN            NaN            NaN            NaN
  1430.73        2500.00        99.4280       0.352645       0.218833                 NaN            NaN  0.494406E-003            NaN            NaN            NaN            NaN            NaN
  1429.60        2500.00        99.4300       0.218140       0.351382                 NaN            NaN  0.474139E-003            NaN            NaN            NaN            NaN            NaN
  1428.48        2500.00        99.4320       0.217352       0.350216                 NaN            NaN  0.455931E-003            NaN            NaN            NaN            NaN            NaN
  1427.35        2500.00        99.4351       0.348318       0.216186                 NaN            NaN  0.444759E-003            NaN            NaN            NaN            NaN            NaN
  1426.23        2500.00        99.4155       0.223711       0.360383                 NaN            NaN  0.443756E-003            NaN            NaN            NaN            NaN            NaN
  1425.10        2500.00        99.4600       0.333004       0.206592                 NaN            NaN  0.398677E-003            NaN            NaN            NaN            NaN            NaN
  1423.98        2500.00        99.4404       0.213984       0.345185                 NaN            NaN  0.406005E-003            NaN            NaN            NaN            NaN            NaN
  1422.85        2500.00        98.9015       0.679037       0.418828                 NaN            NaN  0.587961E-003            NaN            NaN            NaN            NaN            NaN
  1421.73        2500.00        99.9570       0.264280E-001  0.165276E-001            NaN            NaN  0.322375E-004            NaN            NaN            NaN            NaN            NaN
