|6.6.6
Archiving\03_Data\fracLP/QFM_m4.5/TAY13/TAY13_3.tab                       
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          19
T(K)           P(bar)         melt(TH)       melt(TH)       melt(TH)       melt(TH)       mang           iron           Ni             O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  2000.00        500.000        99.6640                 NaN            NaN            NaN  0.261390       0.660779E-001  0.856556E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1997.49        500.000        99.6578                 NaN            NaN            NaN  0.261421       0.721981E-001  0.856631E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1994.99        500.000        99.6442                 NaN            NaN            NaN  0.261471       0.857248E-001  0.856768E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1992.48        500.000        99.6316                 NaN            NaN            NaN  0.261519       0.983381E-001  0.856897E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1989.97        500.000        99.6189                 NaN            NaN            NaN  0.261567       0.110939       0.857026E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.47        500.000        99.6063                 NaN            NaN            NaN  0.261614       0.123519       0.857155E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1984.96        500.000        99.5937                 NaN            NaN            NaN  0.261662       0.136087       0.857283E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1982.46        500.000        99.5811                 NaN            NaN            NaN  0.261710       0.148645       0.857412E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1979.95        500.000        99.5685                 NaN            NaN            NaN  0.261757       0.161182       0.857541E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.44        500.000        99.5559                 NaN            NaN            NaN  0.261805       0.173710       0.857669E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.94        500.000        99.5433                 NaN            NaN            NaN  0.261852       0.186244       0.857798E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1972.43        500.000        99.5308                 NaN            NaN            NaN  0.261900       0.198734       0.857926E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1969.92        500.000        99.5182                 NaN            NaN            NaN  0.261947       0.211227       0.858054E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.42        500.000        99.5057                 NaN            NaN            NaN  0.261994       0.223687       0.858181E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.91        500.000        99.4932                 NaN            NaN            NaN  0.262042       0.236144       0.858309E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1962.41        500.000        99.4794                 NaN            NaN            NaN  0.262092       0.249880       0.858448E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1959.90        500.000        99.4683                 NaN            NaN            NaN  0.262136       0.261014       0.858564E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1957.39        500.000        99.4558                 NaN            NaN            NaN  0.262183       0.273430       0.858692E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1954.89        500.000        99.4433                 NaN            NaN            NaN  0.262230       0.285839       0.858819E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1952.38        500.000        99.4309                 NaN            NaN            NaN  0.262277       0.298206       0.858946E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1949.87        500.000        99.4185                 NaN            NaN            NaN  0.262324       0.310583       0.859073E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1947.37        500.000        99.4061                 NaN            NaN            NaN  0.262371       0.322934       0.859200E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1944.86        500.000        99.3937                 NaN            NaN            NaN  0.262418       0.335299       0.859327E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.36        500.000        99.3813                 NaN            NaN            NaN  0.262465       0.347596       0.859454E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.85        500.000        99.3690                 NaN            NaN            NaN  0.262512       0.359902       0.859580E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1937.34        500.000        99.3567                 NaN            NaN            NaN  0.262558       0.372187       0.859706E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1934.84        500.000        99.3443                 NaN            NaN            NaN  0.262605       0.384469       0.859832E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.33        500.000        99.2938                 NaN            NaN            NaN  0.262747       0.434830       0.860272E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.82        500.000        99.3048                 NaN            NaN            NaN  0.262736       0.423823       0.860206E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1927.32        500.000        99.3075                 NaN            NaN            NaN  0.262745       0.421199       0.860210E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1924.81        500.000        99.2801                 NaN            NaN            NaN  0.262829       0.448459       0.860459E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1922.31        500.000        99.2829                 NaN            NaN            NaN  0.262838       0.445609       0.860461E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.80        500.000        99.2707                 NaN            NaN            NaN  0.262884       0.457795       0.860587E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1917.29        500.000        99.2585                 NaN            NaN            NaN  0.262931       0.469953       0.860712E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1914.79        500.000        99.2479                 NaN            NaN            NaN  0.262973       0.480554       0.860824E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1912.28        500.000        99.2458                 NaN            NaN            NaN  0.262994       0.482621       0.860867E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1909.77        500.000        98.8905                 NaN            NaN            NaN  0.263109       0.499358       0.846294E-002  0.338619                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.27        500.000        99.6021                 NaN            NaN            NaN            NaN  0.369878E-002            NaN  0.394185                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1904.76        500.000        99.3749                 NaN            NaN            NaN            NaN            NaN            NaN  0.625137                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1902.26        500.000        97.6526       0.345590E-001  0.731493E-001  0.221014E-004            NaN            NaN            NaN   2.23964                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1899.75        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.24        500.000        99.9998                 NaN            NaN            NaN            NaN  0.168704E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.74        500.000        99.8809                 NaN            NaN            NaN            NaN            NaN            NaN  0.119121                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1892.23        500.000        99.3999                 NaN            NaN            NaN            NaN            NaN            NaN  0.600123                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1889.72        500.000        99.4023                 NaN            NaN            NaN            NaN  0.305611E-002            NaN  0.594627                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.22        500.000        99.4081                 NaN            NaN            NaN            NaN            NaN            NaN  0.591867                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.71        500.000        99.4078                 NaN            NaN            NaN            NaN            NaN            NaN  0.592160                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        500.000        99.4113                 NaN            NaN            NaN            NaN            NaN            NaN  0.588747                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        500.000        99.4130                 NaN            NaN            NaN            NaN            NaN            NaN  0.586963                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        500.000        99.4180                 NaN            NaN            NaN            NaN            NaN            NaN  0.582022                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        500.000        99.5732                 NaN            NaN            NaN            NaN  0.979188E-002            NaN  0.417049                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        500.000        99.2790                 NaN            NaN            NaN            NaN            NaN            NaN  0.721049                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        500.000        99.4256                 NaN            NaN            NaN            NaN            NaN            NaN  0.574379                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        500.000        99.4270                 NaN            NaN            NaN            NaN            NaN            NaN  0.572955                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        500.000        99.4290                 NaN            NaN            NaN            NaN            NaN            NaN  0.570984                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        500.000        99.4327                 NaN            NaN            NaN            NaN            NaN            NaN  0.567317                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        500.000        99.4343                 NaN            NaN            NaN            NaN            NaN            NaN  0.565707                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        500.000        99.4367                 NaN            NaN            NaN            NaN            NaN            NaN  0.563325                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        500.000        99.4363                 NaN            NaN            NaN            NaN            NaN            NaN  0.563694                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        500.000        99.4415                 NaN            NaN            NaN            NaN            NaN            NaN  0.558495                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        500.000        99.4413                 NaN            NaN            NaN            NaN            NaN            NaN  0.558727                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        500.000        99.4442                 NaN            NaN            NaN            NaN            NaN            NaN  0.555756                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        500.000        99.4432                 NaN            NaN            NaN            NaN            NaN            NaN  0.556774                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        500.000        99.4449                 NaN            NaN            NaN            NaN            NaN            NaN  0.555105                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        500.000        99.4444                 NaN            NaN            NaN            NaN            NaN            NaN  0.550156       0.545735E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        500.000        99.4367                 NaN            NaN            NaN            NaN            NaN            NaN  0.552806       0.105151E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        500.000        99.4374                 NaN            NaN            NaN            NaN            NaN            NaN  0.552108       0.104983E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        500.000        99.4404                 NaN            NaN            NaN            NaN            NaN            NaN  0.549168       0.103941E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
