|6.6.6
Archiving\03_Data\fracLP/QFM_m4.5/TAY13/TAY13_1.tab                       
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          19
T(K)           P(bar)         melt(TH)       melt(TH)       melt(TH)       melt(TH)       mang           iron           Ni             O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1942.36        500.000        98.6739                 NaN            NaN            NaN  0.442411       0.859951       0.237031E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.85        500.000        98.6435                 NaN            NaN            NaN  0.442450       0.890319       0.237051E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1937.34        500.000        98.6132                 NaN            NaN            NaN  0.442488       0.920628       0.237072E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1934.84        500.000        98.5828                 NaN            NaN            NaN  0.442526       0.950928       0.237093E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.33        500.000        98.4583                 NaN            NaN            NaN  0.442684        1.07529       0.237177E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.82        500.000        98.4856                 NaN            NaN            NaN  0.442650        1.04804       0.237159E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1927.32        500.000        98.4921                 NaN            NaN            NaN  0.442641        1.04150       0.237154E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1924.81        500.000        98.4248                 NaN            NaN            NaN  0.442727        1.10878       0.237200E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1922.31        500.000        98.4319                 NaN            NaN            NaN  0.442718        1.10167       0.237195E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.80        500.000        98.4018                 NaN            NaN            NaN  0.442756        1.13170       0.237215E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1917.29        500.000        98.3718                 NaN            NaN            NaN  0.442794        1.16166       0.237236E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1914.79        500.000        98.3457                 NaN            NaN            NaN  0.442827        1.18777       0.237253E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1912.28        500.000        98.3406                 NaN            NaN            NaN  0.442833        1.19280       0.237257E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1909.77        500.000        97.9382                 NaN            NaN            NaN  0.442885        1.23378       0.233173E-001  0.361769                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.27        500.000        99.5658                 NaN            NaN            NaN            NaN  0.922461E-002            NaN  0.424938                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1904.76        500.000        99.3260                 NaN            NaN            NaN            NaN            NaN            NaN  0.673951                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1902.26        500.000        97.4914       0.343077E-001  0.694925E-001  0.218198E-004            NaN            NaN            NaN   2.40479                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1899.75        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.24        500.000        99.9996                 NaN            NaN            NaN            NaN  0.420950E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.74        500.000        99.8713                 NaN            NaN            NaN            NaN            NaN            NaN  0.128710                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1892.23        500.000        99.3516                 NaN            NaN            NaN            NaN            NaN            NaN  0.648403                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1889.72        500.000        99.3496                 NaN            NaN            NaN            NaN  0.762230E-002            NaN  0.642795                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.22        500.000        99.3599                 NaN            NaN            NaN            NaN            NaN            NaN  0.640124                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.71        500.000        99.3593                 NaN            NaN            NaN            NaN            NaN            NaN  0.640664                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        500.000        99.3627                 NaN            NaN            NaN            NaN            NaN            NaN  0.637349                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        500.000        99.3643                 NaN            NaN            NaN            NaN            NaN            NaN  0.635713                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        500.000        99.3695                 NaN            NaN            NaN            NaN            NaN            NaN  0.630508                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        500.000        99.5235                 NaN            NaN            NaN            NaN  0.244338E-001            NaN  0.452037                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        500.000        99.2180                 NaN            NaN            NaN            NaN            NaN            NaN  0.781983                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        500.000        99.3767                 NaN            NaN            NaN            NaN            NaN            NaN  0.623305                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        500.000        99.3779                 NaN            NaN            NaN            NaN            NaN            NaN  0.622095                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        500.000        99.3799                 NaN            NaN            NaN            NaN            NaN            NaN  0.620120                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        500.000        99.3836                 NaN            NaN            NaN            NaN            NaN            NaN  0.616435                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        500.000        99.3850                 NaN            NaN            NaN            NaN            NaN            NaN  0.614959                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        500.000        99.3874                 NaN            NaN            NaN            NaN            NaN            NaN  0.612599                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        500.000        99.3864                 NaN            NaN            NaN            NaN            NaN            NaN  0.613550                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        500.000        99.3918                 NaN            NaN            NaN            NaN            NaN            NaN  0.608198                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        500.000        99.3914                 NaN            NaN            NaN            NaN            NaN            NaN  0.608626                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        500.000        99.3943                 NaN            NaN            NaN            NaN            NaN            NaN  0.605711                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        500.000        99.3928                 NaN            NaN            NaN            NaN            NaN            NaN  0.607205                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        500.000        99.3943                 NaN            NaN            NaN            NaN            NaN            NaN  0.605724                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        500.000        99.3913                 NaN            NaN            NaN            NaN            NaN            NaN  0.600612       0.812922E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        500.000        99.3804                 NaN            NaN            NaN            NaN            NaN            NaN  0.603914       0.156701E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        500.000        99.3809                 NaN            NaN            NaN            NaN            NaN            NaN  0.603458       0.156508E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        500.000        99.3839                 NaN            NaN            NaN            NaN            NaN            NaN  0.600637       0.155067E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        500.000        99.3824                 NaN            NaN            NaN            NaN            NaN            NaN  0.602014       0.155392E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        500.000        99.3832                 NaN            NaN            NaN            NaN            NaN            NaN  0.601319       0.155084E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        500.000        99.3839                 NaN            NaN            NaN            NaN            NaN            NaN  0.600636       0.154432E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        500.000        99.3848                 NaN            NaN            NaN            NaN            NaN            NaN  0.599802       0.153827E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        500.000        99.0479                 NaN            NaN            NaN            NaN            NaN            NaN  0.928135       0.239965E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        500.000        99.9362                 NaN            NaN            NaN            NaN            NaN            NaN  0.625839E-001  0.117335E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        500.000        99.1629                 NaN            NaN            NaN            NaN            NaN            NaN  0.816196       0.208593E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        500.000        99.3880                 NaN            NaN            NaN            NaN            NaN            NaN  0.596841       0.151216E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        500.000        99.3836                 NaN            NaN            NaN            NaN            NaN            NaN  0.601219       0.152132E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        500.000        99.3845                 NaN            NaN            NaN            NaN            NaN            NaN  0.600319       0.151719E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        500.000        99.3833                 NaN            NaN            NaN            NaN            NaN            NaN  0.601529       0.151373E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        500.000        99.3811                 NaN            NaN            NaN            NaN            NaN            NaN  0.603753       0.151845E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        500.000        99.3837                 NaN            NaN            NaN            NaN            NaN            NaN  0.601274       0.150310E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        500.000        99.3811                 NaN            NaN            NaN            NaN            NaN            NaN  0.603855       0.150346E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        500.000        99.3787                 NaN            NaN            NaN            NaN            NaN            NaN  0.606276       0.150347E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        500.000        99.3772                 NaN            NaN            NaN            NaN            NaN            NaN  0.607815       0.149785E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        500.000        99.3791                 NaN            NaN            NaN            NaN            NaN            NaN  0.605956       0.149645E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        500.000        98.0772       0.204824E-001            NaN            NaN            NaN            NaN            NaN   1.85818       0.441659E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        500.000        99.9439                 NaN            NaN            NaN            NaN            NaN            NaN  0.549336E-001  0.118235E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        500.000        99.3716                 NaN            NaN            NaN            NaN            NaN            NaN  0.613576       0.148594E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        500.000        99.3711                 NaN            NaN            NaN            NaN            NaN            NaN  0.614070       0.148068E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        500.000        99.3627                 NaN            NaN            NaN            NaN            NaN            NaN  0.622401       0.149356E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        500.000        99.3707                 NaN            NaN            NaN            NaN            NaN            NaN  0.614634       0.146543E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        500.000        99.3638                 NaN            NaN            NaN            NaN            NaN            NaN  0.621470       0.147530E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        500.000        97.4056                 NaN            NaN            NaN            NaN            NaN            NaN   2.53537       0.590068E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        500.000        99.9964                 NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.360119E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        500.000        99.4186                 NaN            NaN            NaN            NaN            NaN            NaN  0.571776       0.966899E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        500.000        99.3499                 NaN            NaN            NaN            NaN            NaN            NaN  0.635464       0.145922E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        500.000        99.3486                 NaN            NaN            NaN            NaN            NaN            NaN  0.636831       0.145368E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        500.000        99.3446                 NaN            NaN            NaN            NaN            NaN            NaN  0.640788       0.145645E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        500.000        99.3361                 NaN            NaN            NaN            NaN            NaN            NaN  0.649329       0.146183E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        500.000        99.3443                 NaN            NaN            NaN            NaN            NaN            NaN  0.641366       0.143695E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        500.000        99.3370                 NaN            NaN            NaN            NaN            NaN            NaN  0.648539       0.144618E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        500.000        99.0716                 NaN            NaN            NaN            NaN            NaN            NaN  0.908242       0.201361E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        500.000        99.5914                 NaN            NaN            NaN            NaN            NaN            NaN  0.399878       0.875124E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        500.000        99.3272                 NaN            NaN            NaN            NaN            NaN            NaN  0.658394       0.144235E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        500.000        99.3241                 NaN            NaN            NaN            NaN            NaN            NaN  0.661508       0.144288E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        500.000        99.3226                 NaN            NaN            NaN            NaN            NaN            NaN  0.663064       0.143749E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        500.000        99.3964                 NaN            NaN            NaN            NaN            NaN            NaN  0.590416       0.131896E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        500.000        99.2363                 NaN            NaN            NaN            NaN            NaN            NaN  0.748028       0.156592E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        500.000        99.3129                 NaN            NaN            NaN            NaN            NaN            NaN  0.672786       0.143240E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        500.000        99.3098                 NaN            NaN            NaN            NaN            NaN            NaN  0.675909       0.143311E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        500.000        99.3068                 NaN            NaN            NaN            NaN            NaN            NaN  0.678853       0.143125E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        500.000        99.3035                 NaN            NaN            NaN            NaN            NaN            NaN  0.682204       0.142786E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        500.000        99.3007                 NaN            NaN            NaN            NaN            NaN            NaN  0.685034       0.142757E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        500.000        99.2896                 NaN            NaN            NaN            NaN            NaN            NaN  0.695865       0.145374E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        500.000        99.3025                 NaN            NaN            NaN            NaN            NaN            NaN  0.683432       0.140840E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        500.000        99.2915                 NaN            NaN            NaN            NaN            NaN            NaN  0.694262       0.142157E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        500.000        99.2893                 NaN            NaN            NaN            NaN            NaN            NaN  0.696536       0.142035E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        500.000        99.2871                 NaN            NaN            NaN            NaN            NaN            NaN  0.698745       0.141892E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        500.000        99.3022                 NaN            NaN            NaN            NaN            NaN            NaN  0.684013       0.138322E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        500.000        99.2615                 NaN            NaN            NaN            NaN            NaN            NaN  0.723982       0.145502E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        500.000        99.2785                 NaN            NaN            NaN            NaN            NaN            NaN  0.707343       0.141494E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        500.000        99.2756                 NaN            NaN            NaN            NaN            NaN            NaN  0.710259       0.141481E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        500.000        99.2751                 NaN            NaN            NaN            NaN            NaN            NaN  0.710773       0.141061E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        500.000        99.2702                 NaN            NaN            NaN            NaN            NaN            NaN  0.715671       0.141404E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        500.000        99.2714                 NaN            NaN            NaN            NaN            NaN            NaN  0.714540       0.140735E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        500.000        99.2685                 NaN            NaN            NaN            NaN            NaN            NaN  0.717439       0.140853E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        500.000        99.2657                 NaN            NaN            NaN            NaN            NaN            NaN  0.720224       0.140675E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        500.000        99.2655                 NaN            NaN            NaN            NaN            NaN            NaN  0.720419       0.140500E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        500.000        99.2644                 NaN            NaN            NaN            NaN            NaN            NaN  0.721548       0.140190E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        500.000        99.2628                 NaN            NaN            NaN            NaN            NaN            NaN  0.723182       0.140115E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        500.000        99.2613                 NaN            NaN            NaN            NaN            NaN            NaN  0.724664       0.139930E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        500.000        99.2613                 NaN            NaN            NaN            NaN            NaN            NaN  0.724767       0.139622E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        500.000        99.2605                 NaN            NaN            NaN            NaN            NaN            NaN  0.725553       0.139702E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        500.000        99.2606                 NaN            NaN            NaN            NaN            NaN            NaN  0.725514       0.139014E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        500.000        99.2420                 NaN            NaN            NaN            NaN            NaN            NaN  0.743822       0.142196E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        500.000        99.2771                 NaN            NaN            NaN            NaN            NaN            NaN  0.709392       0.135391E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        500.000        99.2606                 NaN            NaN            NaN            NaN            NaN            NaN  0.725513       0.138554E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        500.000        99.2605                 NaN            NaN            NaN            NaN            NaN            NaN  0.725727       0.138184E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        500.000        99.2598                 NaN            NaN            NaN            NaN            NaN            NaN  0.726431       0.137897E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        500.000        99.5788                 NaN            NaN            NaN            NaN            NaN            NaN  0.413376       0.786560E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        500.000        98.9474                 NaN            NaN            NaN            NaN            NaN            NaN   1.03300       0.196288E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        500.000        99.2620                 NaN            NaN            NaN            NaN            NaN            NaN  0.724238       0.138107E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        500.000        99.2472                 NaN            NaN            NaN            NaN            NaN            NaN  0.738809       0.140185E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        500.000        99.2869                 NaN            NaN            NaN            NaN            NaN            NaN  0.699741       0.133320E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        500.000        99.2661                 NaN            NaN            NaN            NaN            NaN            NaN  0.720228       0.136356E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        500.000        99.2726                 NaN            NaN            NaN            NaN            NaN            NaN  0.713840       0.135568E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        500.000        99.2551                 NaN            NaN            NaN            NaN            NaN            NaN  0.730992       0.138811E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        500.000        99.2930                 NaN            NaN            NaN            NaN            NaN            NaN  0.693859       0.131797E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        500.000        99.2496                 NaN            NaN            NaN            NaN            NaN            NaN  0.736848       0.135571E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        500.000        99.2158                 NaN            NaN            NaN            NaN            NaN            NaN  0.770478       0.137602E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        500.000        99.3784                 NaN            NaN            NaN            NaN            NaN            NaN  0.608631       0.129363E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        500.000        99.2870                 NaN            NaN            NaN            NaN            NaN            NaN  0.699612       0.133527E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        500.000        99.2806                 NaN            NaN            NaN            NaN            NaN            NaN  0.706032       0.134122E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        500.000        99.3027                 NaN            NaN            NaN            NaN            NaN            NaN  0.684256       0.130724E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        500.000        99.2987                 NaN            NaN            NaN            NaN            NaN            NaN  0.688141       0.131925E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        500.000        99.3010                 NaN            NaN            NaN            NaN            NaN            NaN  0.685874       0.131639E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        500.000        99.2762                 NaN            NaN            NaN            NaN            NaN            NaN  0.710474       0.133188E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
