|6.6.6
Archiving\03_Data\Deqfrac/QFM_m3.25/WD94/WD94_1.tab                       
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Sp(TH)         Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q              hed           
  1634.62        2500.00        99.5668       0.219996       0.213169                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1633.03        2500.00        99.8173       0.156972       0.252088E-001  0.471327E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.44        2500.00        98.0169        1.72446       0.258642                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.85        2500.00        98.9309       0.929873       0.139212                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1628.26        2500.00        98.9184       0.942325       0.139277                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.67        2500.00        99.7987       0.175549       0.257899E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1625.08        2500.00        98.1454        1.61092       0.243646                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1623.49        2500.00        98.9805       0.887288       0.132253                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.90        2500.00        98.9926       0.878743       0.128667                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1620.31        2500.00        99.0008       0.870127       0.129026                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1618.71        2500.00        99.0111       0.861997       0.126886                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1617.12        2500.00        99.0201       0.855376       0.124569                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1615.53        2500.00        99.0309       0.845987       0.123133                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1613.94        2500.00        99.0381       0.840591       0.121299                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1612.35        2500.00        99.0513       0.829014       0.119717                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1610.76        2500.00        99.0616       0.819816       0.118631                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.17        2500.00        99.0695       0.814394       0.116135                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1607.58        2500.00        99.0795       0.804836       0.115634                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1605.99        2500.00        98.7651        1.08291       0.151966                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.40        2500.00        99.4198       0.509104       0.710504E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1602.81        2500.00        99.0186       0.857945       0.123495                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.22        2500.00        99.2035       0.696956       0.995816E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.63        2500.00        99.1219       0.771062       0.107034                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1598.04        2500.00        99.1348       0.758908       0.106314                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.45        2500.00        99.1396       0.755365       0.105033                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1594.86        2500.00        99.1497       0.747070       0.103251                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.27        2500.00        98.1294        1.66386       0.206766                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.68        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.09        2500.00        99.3669       0.554780       0.783169E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.49        2500.00        99.1740       0.730069       0.959736E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.90        2500.00        98.2993        1.49485       0.205871                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.31        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.72        2500.00        99.3025       0.614485       0.830514E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.13        2500.00        99.7024       0.268095       0.294711E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1580.54        2500.00        98.7209        1.12735       0.151789                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        2500.00        99.2206       0.691177       0.882425E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1577.36        2500.00        99.1436       0.851231       0.516112E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.77        2500.00        99.5696       0.320003       0.110392                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1574.18        2500.00        98.9742       0.910225       0.115561                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.59        2500.00        98.6329        1.21256       0.154520                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.00        2500.00        99.8829       0.105080       0.120285E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.41        2500.00        99.2619       0.655663       0.823930E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.82        2500.00        99.2683       0.650621       0.811032E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.23        2500.00        99.2745       0.645564       0.799272E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.64        2500.00        99.1192       0.785686       0.950789E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.05        2500.00        99.4454       0.493793       0.607773E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.46        2500.00        99.2905       0.633888       0.756469E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.87        2500.00        99.2982       0.627313       0.745358E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.27        2500.00        99.2174       0.699312       0.832424E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.68        2500.00        99.3944       0.542053       0.635599E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.09        2500.00        99.3131       0.615407       0.715425E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.50        2500.00        99.3192       0.610627       0.701254E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.91        2500.00        99.3237       0.605617       0.706649E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1550.32        2500.00        99.3297       0.602278       0.680098E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.73        2500.00        99.3336       0.599904       0.664809E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.14        2500.00        99.3395       0.594452       0.660653E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.55        2500.00        99.3423       0.594116       0.636292E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.96        2500.00        99.3486       0.588388       0.629907E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.37        2500.00        98.3896        1.45467       0.155769                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.78        2500.00        99.9934       0.543013E-004  0.658131E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.19        2500.00        99.5326       0.429763       0.375979E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.60        2500.00        99.5760       0.386027       0.380060E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.01        2500.00        99.3205       0.619612       0.599328E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.42        2500.00        99.3735       0.571098       0.554105E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.83        2500.00        99.3813       0.562781       0.559262E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.24        2500.00        99.3832       0.559623       0.572157E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.65        2500.00        99.3909       0.553947       0.551065E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
