|6.6.6
Archiving\03_Data\eqfrac/QFM_m0.5/LAR/LAR_3.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         Sp(TH)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        O(HP)          an             San(TH)        ilm            q             
  1413.46        2500.00       0.107510E-001            NaN   89.7858        6.31948        3.71394       0.170074                 NaN            NaN            NaN            NaN
  1412.42        2500.00       0.438240E-004            NaN   99.8967       0.665645E-001  0.329931E-001  0.370896E-002            NaN            NaN            NaN            NaN
  1411.39        2500.00       0.318096E-003            NaN   99.2161       0.505046       0.250678       0.278953E-001            NaN            NaN            NaN            NaN
  1410.35        2500.00       0.171070E-003            NaN   99.5609       0.281636       0.142537       0.147098E-001            NaN            NaN            NaN            NaN
  1409.32        2500.00       0.151320E-003            NaN   99.5502       0.144580       0.289932       0.151488E-001            NaN            NaN            NaN            NaN
  1408.28        2500.00       0.149009E-003            NaN   99.5724       0.139313       0.274377       0.137996E-001            NaN            NaN            NaN            NaN
  1407.24        2500.00       0.135743E-003            NaN   99.5644       0.135139       0.281747       0.185955E-001            NaN            NaN            NaN            NaN
  1406.21        2500.00       0.144529E-003            NaN   99.5620       0.278480       0.150297       0.909258E-002            NaN            NaN            NaN            NaN
  1405.17        2500.00       0.141827E-003            NaN   99.5428       0.150039       0.293313       0.137497E-001            NaN            NaN            NaN            NaN
  1404.13        2500.00       0.345479E-005            NaN   99.9888       0.710065E-002  0.407596E-002  0.290351E-004            NaN            NaN            NaN            NaN
  1403.10        2500.00       0.254472E-003            NaN   99.1689       0.274336       0.532078       0.244499E-001            NaN            NaN            NaN            NaN
  1402.06        2500.00       0.157191E-003            NaN   99.1120       0.297125       0.565936       0.247890E-001            NaN            NaN            NaN            NaN
  1401.03        2500.00       0.381220E-004            NaN   99.9411       0.406427E-001  0.172721E-001  0.968429E-003            NaN            NaN            NaN            NaN
  1399.99        2500.00                 NaN            NaN   99.9988                 NaN            NaN  0.118938E-002            NaN            NaN            NaN            NaN
  1398.95        2500.00       0.148280E-003            NaN   99.2344       0.486470       0.259511       0.195041E-001            NaN            NaN            NaN            NaN
  1397.92        2500.00                 NaN            NaN   99.3133       0.156642       0.285762       0.813311E-001  0.162916                 NaN            NaN            NaN
