|6.6.6
Archiving\03_Data\eqfrac/QFM_m0.5/LAR/LAR_1.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         Sp(TH)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        O(HP)          an             San(TH)        ilm            q             
  1413.46        2500.00       0.162898E-001            NaN   88.1870        7.25824        4.32595       0.212501                 NaN            NaN            NaN            NaN
  1412.42        2500.00       0.675349E-004            NaN   99.8783       0.778225E-001  0.391202E-001  0.472194E-002            NaN            NaN            NaN            NaN
  1411.39        2500.00       0.489572E-003            NaN   99.0767       0.590194       0.297124       0.354926E-001            NaN            NaN            NaN            NaN
  1410.35        2500.00       0.263363E-003            NaN   99.4823       0.329496       0.169168       0.187443E-001            NaN            NaN            NaN            NaN
  1409.32        2500.00       0.233025E-003            NaN   99.4694       0.171685       0.339346       0.193163E-001            NaN            NaN            NaN            NaN
  1408.28        2500.00       0.229266E-003            NaN   99.4954       0.165518       0.321285       0.176132E-001            NaN            NaN            NaN            NaN
  1407.24        2500.00       0.208742E-003            NaN   99.4854       0.160639       0.330048       0.237509E-001            NaN            NaN            NaN            NaN
  1406.21        2500.00       0.222260E-003            NaN   99.4831       0.326320       0.178723       0.116227E-001            NaN            NaN            NaN            NaN
  1405.17        2500.00       0.217798E-003            NaN   99.4598       0.178509       0.343864       0.175904E-001            NaN            NaN            NaN            NaN
  1404.13        2500.00       0.531217E-005            NaN   99.9868       0.833349E-002  0.485470E-002  0.371903E-004            NaN            NaN            NaN            NaN
  1403.10        2500.00       0.390345E-003            NaN   99.0178       0.326557       0.623935       0.313012E-001            NaN            NaN            NaN            NaN
  1402.06        2500.00       0.242062E-003            NaN   98.9498       0.354334       0.663837       0.318274E-001            NaN            NaN            NaN            NaN
  1401.03        2500.00       0.588123E-004            NaN   99.9303       0.477629E-001  0.206187E-001  0.123293E-002            NaN            NaN            NaN            NaN
  1399.99        2500.00                 NaN            NaN   99.9985                 NaN            NaN  0.152850E-002            NaN            NaN            NaN            NaN
  1398.95        2500.00       0.227069E-003            NaN   99.0936       0.571525       0.309602       0.250502E-001            NaN            NaN            NaN            NaN
  1397.92        2500.00                 NaN            NaN   99.2162       0.187087       0.336067       0.104622       0.156009                 NaN            NaN            NaN
  1396.88        2500.00                 NaN            NaN   98.8855       0.210783       0.370014       0.206617       0.327127                 NaN            NaN            NaN
  1395.84        2500.00                 NaN            NaN   99.0186       0.326444       0.183742       0.183289       0.287930                 NaN            NaN            NaN
  1394.81        2500.00                 NaN            NaN   98.9665       0.344433       0.191262       0.194636       0.303180                 NaN            NaN            NaN
  1393.77        2500.00                 NaN            NaN   98.9737       0.342755       0.187104       0.195253       0.301169                 NaN            NaN            NaN
  1392.74        2500.00                 NaN            NaN   98.9831       0.183881       0.339871       0.194908       0.298282                 NaN            NaN            NaN
  1391.70        2500.00                 NaN            NaN   98.9919       0.337602       0.179935       0.194856       0.295712                 NaN            NaN            NaN
  1390.66        2500.00                 NaN            NaN   98.9995       0.175914       0.335143       0.195753       0.293719                 NaN            NaN            NaN
  1389.63        2500.00                 NaN            NaN   99.0085       0.173292       0.333223       0.194381       0.290586                 NaN            NaN            NaN
  1388.59        2500.00                 NaN            NaN   99.0166       0.168718       0.331421       0.194919       0.288357                 NaN            NaN            NaN
  1387.55        2500.00                 NaN            NaN   99.0245       0.165122       0.329077       0.195202       0.286146                 NaN            NaN            NaN
  1386.52        2500.00                 NaN            NaN   99.0305       0.328737       0.160158       0.196069       0.284509                 NaN            NaN            NaN
  1385.48        2500.00                 NaN            NaN   99.0407       0.159679       0.325011       0.193742       0.280832                 NaN            NaN            NaN
  1384.45        2500.00                 NaN            NaN   99.0473       0.323648       0.154951       0.194939       0.279211                 NaN            NaN            NaN
  1383.41        2500.00                 NaN            NaN   99.0552       0.321120       0.151682       0.195015       0.276943                 NaN            NaN            NaN
  1382.37        2500.00                 NaN            NaN   99.0620       0.319790       0.148642       0.194904       0.274682                 NaN            NaN            NaN
  1381.34        2500.00                 NaN            NaN   99.0693       0.144758       0.318662       0.194777       0.272473                 NaN            NaN            NaN
  1380.30        2500.00                 NaN            NaN   99.0477       0.146673       0.325928       0.200765       0.278919                 NaN            NaN            NaN
  1379.26        2500.00                 NaN            NaN   99.5958       0.600388E-001  0.138973       0.866003E-001  0.118574                 NaN            NaN            NaN
  1378.23        2500.00                 NaN            NaN   98.6072       0.478602       0.210804       0.296193       0.407205                 NaN            NaN            NaN
  1377.19        2500.00                 NaN            NaN   99.0962       0.132919       0.311451       0.194987       0.264433                 NaN            NaN            NaN
  1376.16        2500.00                 NaN            NaN   99.1052       0.308222       0.130748       0.194123       0.261735                 NaN            NaN            NaN
  1375.12        2500.00                 NaN            NaN   99.1106       0.127746       0.307189       0.194387       0.260076                 NaN            NaN            NaN
  1374.08        2500.00                 NaN            NaN   99.1172       0.124790       0.305510       0.194376       0.258171                 NaN            NaN            NaN
  1373.05        2500.00                 NaN            NaN   99.1234       0.304140       0.122243       0.194141       0.256125                 NaN            NaN            NaN
  1372.01        2500.00                 NaN            NaN   99.1299       0.119065       0.302416       0.194341       0.254295                 NaN            NaN            NaN
  1370.97        2500.00                 NaN            NaN   99.1367       0.300554       0.117299       0.193432       0.252009                 NaN            NaN            NaN
  1369.94        2500.00                 NaN            NaN   99.1429       0.298986       0.114120       0.193711       0.250240                 NaN            NaN            NaN
  1368.90        2500.00                 NaN            NaN   99.1488       0.297499       0.111632       0.193588       0.248517                 NaN            NaN            NaN
  1367.87        2500.00                 NaN            NaN   99.1534       0.296044       0.109424       0.193991       0.247116                 NaN            NaN            NaN
  1366.83        2500.00                 NaN            NaN   99.1615       0.293795       0.108041       0.192322       0.244297                 NaN            NaN            NaN
  1365.79        2500.00                 NaN            NaN   99.1659       0.104605       0.293454       0.192991       0.243089                 NaN            NaN            NaN
  1364.76        2500.00                 NaN            NaN   99.1733       0.291421       0.101606       0.192652       0.241006                 NaN            NaN            NaN
  1363.72        2500.00                 NaN            NaN   99.1799       0.285690       0.118761       0.178979       0.236668                 NaN            NaN            NaN
  1362.68        2500.00                 NaN            NaN   99.1816       0.802613E-001  0.292922       0.205132       0.240129                 NaN            NaN            NaN
  1361.65        2500.00                 NaN            NaN   99.1891       0.960468E-001  0.287290       0.191732       0.235869                 NaN            NaN            NaN
  1360.61        2500.00                 NaN            NaN   99.1935       0.286323       0.932175E-001  0.192299       0.234625                 NaN            NaN            NaN
