|6.6.6
Archiving\03_Data\eqfrac/QFM_m0.25/TAY13/TAY13_1.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1589.74        2500.00       0.319162E-003            NaN   99.9997                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.26        2500.00                 NaN            NaN   99.3422       0.522469       0.135365                 NaN            NaN            NaN            NaN            NaN            NaN
  1586.78        2500.00                 NaN            NaN   99.2491       0.672153       0.787891E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1585.31        2500.00                 NaN            NaN   99.2608       0.645520       0.936547E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1583.83        2500.00                 NaN            NaN   99.2646       0.643499       0.918790E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1582.35        2500.00                 NaN            NaN   99.2697       0.639330       0.909636E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1580.87        2500.00                 NaN            NaN   99.2768       0.632685       0.905057E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1579.39        2500.00                 NaN            NaN   99.2827       0.629510       0.877560E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1577.92        2500.00                 NaN            NaN   99.2651       0.644980       0.899499E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        2500.00                 NaN            NaN   99.8095       0.166967       0.235279E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1574.96        2500.00                 NaN            NaN   98.8107        1.04546       0.143834                 NaN            NaN            NaN            NaN            NaN            NaN
  1573.48        2500.00                 NaN            NaN   99.3076       0.607983       0.844177E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1572.00        2500.00                 NaN            NaN   99.2650       0.646711       0.883302E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1570.53        2500.00                 NaN            NaN   99.3659       0.556776       0.772889E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1569.05        2500.00                 NaN            NaN   99.3234       0.596587       0.800452E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1567.57        2500.00                 NaN            NaN   99.3279       0.588633       0.834239E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1566.09        2500.00                 NaN            NaN   99.3356       0.588442       0.759371E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1564.61        2500.00                 NaN            NaN   99.3415       0.580760       0.776957E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1563.14        2500.00                 NaN            NaN   99.3404       0.582541       0.770536E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1561.66        2500.00                 NaN            NaN   99.3523       0.573433       0.742201E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1560.18        2500.00                 NaN            NaN   99.3565       0.570029       0.734714E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1558.70        2500.00                 NaN            NaN   99.3618       0.563925       0.742905E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1557.22        2500.00                 NaN            NaN   99.3643       0.562638       0.730431E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1555.74        2500.00                 NaN            NaN   99.3723       0.555596       0.720664E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1554.27        2500.00                 NaN            NaN   99.3753       0.554511       0.702184E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1552.79        2500.00                 NaN            NaN   99.3801       0.550250       0.696135E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1551.31        2500.00                 NaN            NaN   99.3842       0.546429       0.693846E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1549.83        2500.00                 NaN            NaN   99.3875       0.546327       0.661349E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1548.35        2500.00                 NaN            NaN   99.3945       0.539494       0.659586E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1546.88        2500.00                 NaN            NaN   99.3976       0.537203       0.652091E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1545.40        2500.00                 NaN            NaN   99.4024       0.533404       0.642275E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1543.92        2500.00                 NaN            NaN   99.4067       0.529283       0.639720E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1542.44        2500.00                 NaN            NaN   99.4109       0.533404       0.557085E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1540.96        2500.00                 NaN            NaN   99.4143       0.518611       0.670873E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1539.49        2500.00                 NaN            NaN   99.4177       0.521733       0.605269E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1538.01        2500.00                 NaN            NaN   99.4243       0.515354       0.603279E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1536.53        2500.00                 NaN            NaN   99.4277       0.512443       0.598947E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1535.05        2500.00                 NaN            NaN   99.4321       0.510211       0.577122E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1533.57        2500.00                 NaN            NaN   99.4338       0.509913       0.562576E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1532.10        2500.00                 NaN            NaN   99.4386       0.506388       0.550067E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1530.62        2500.00                 NaN            NaN   99.4389       0.507319       0.537566E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1529.14        2500.00                 NaN            NaN   99.4477       0.498494       0.537676E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1527.66        2500.00                 NaN            NaN   99.4499       0.497191       0.529305E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1526.18        2500.00                 NaN            NaN   99.4515       0.497621       0.508893E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1524.71        2500.00                 NaN            NaN   99.4575       0.491085       0.514130E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1523.23        2500.00                 NaN            NaN   99.5953       0.366829       0.379139E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1521.75        2500.00                 NaN            NaN   99.3284       0.608319       0.633071E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1520.27        2500.00                 NaN            NaN   99.4677       0.482353       0.499314E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1518.79        2500.00                 NaN            NaN   99.3695       0.570545       0.599288E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1517.32        2500.00                 NaN            NaN   99.5771       0.386670       0.362255E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1515.84        2500.00                 NaN            NaN   99.4767       0.477032       0.462542E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1514.36        2500.00                 NaN            NaN   99.4807       0.473010       0.462661E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1512.88        2500.00                 NaN            NaN   99.4832       0.473180       0.435768E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1511.40        2500.00                 NaN            NaN   99.4855       0.471733       0.427482E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1509.93        2500.00                 NaN            NaN   99.4883       0.469715       0.419929E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1508.45        2500.00                 NaN            NaN   99.4914       0.467893       0.407072E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1506.97        2500.00                 NaN            NaN   99.3896       0.562752       0.476784E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1505.49        2500.00                 NaN            NaN   99.8361       0.150733       0.131211E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1504.01        2500.00                 NaN            NaN   99.2600       0.687115       0.529283E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1502.54        2500.00                 NaN            NaN   99.2612       0.686437       0.523912E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1501.06        2500.00                 NaN            NaN   99.5832       0.385372       0.314760E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1499.58        2500.00                 NaN            NaN   99.6737       0.298393       0.278808E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1498.10        2500.00                 NaN            NaN   99.5113       0.460026       0.286866E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1496.62        2500.00                 NaN            NaN   99.5141       0.431217       0.547272E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1495.15        2500.00                 NaN            NaN   99.5124       0.477992       0.965338E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1493.67        2500.00                 NaN            NaN   99.5168       0.452313       0.308773E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1492.19        2500.00                 NaN            NaN   99.4380       0.557164       0.479105E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1490.71        2500.00                 NaN            NaN   99.5978       0.352038       0.501260E-001            NaN            NaN            NaN            NaN            NaN            NaN
