|6.6.6
Archiving\03_Data\eqfracLP/QFM_m3.75/GRV/GRV_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         Sp(TH)         melt(TH)       O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  1564.10        500.000       0.709892E-002   99.9780       0.148660E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1562.69        500.000                 NaN   99.3369       0.292633E-002  0.660164                 NaN            NaN            NaN            NaN            NaN            NaN
  1561.27        500.000       0.270446E-003   99.2393                 NaN  0.760435                 NaN            NaN            NaN            NaN            NaN            NaN
  1559.86        500.000                 NaN   99.2411       0.438668E-004  0.758896                 NaN            NaN            NaN            NaN            NaN            NaN
  1558.44        500.000                 NaN   99.2518       0.529160E-004  0.748162                 NaN            NaN            NaN            NaN            NaN            NaN
  1557.03        500.000                 NaN   99.2528                 NaN  0.747189                 NaN            NaN            NaN            NaN            NaN            NaN
  1555.62        500.000                 NaN   99.2581                 NaN  0.741888                 NaN            NaN            NaN            NaN            NaN            NaN
  1554.20        500.000                 NaN   99.2624                 NaN  0.737567                 NaN            NaN            NaN            NaN            NaN            NaN
  1552.79        500.000                 NaN   99.2665                 NaN  0.733532                 NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        500.000                 NaN   99.2667                 NaN  0.733310                 NaN            NaN            NaN            NaN            NaN            NaN
  1549.96        500.000                 NaN   99.2765                 NaN  0.723514                 NaN            NaN            NaN            NaN            NaN            NaN
  1548.55        500.000                 NaN   99.2786                 NaN  0.721361                 NaN            NaN            NaN            NaN            NaN            NaN
  1547.13        500.000                 NaN   99.2818                 NaN  0.718150                 NaN            NaN            NaN            NaN            NaN            NaN
  1545.72        500.000                 NaN   99.2848                 NaN  0.715233                 NaN            NaN            NaN            NaN            NaN            NaN
  1544.31        500.000                 NaN   99.2879                 NaN  0.712074                 NaN            NaN            NaN            NaN            NaN            NaN
  1542.89        500.000                 NaN   99.2920                 NaN  0.707957                 NaN            NaN            NaN            NaN            NaN            NaN
  1541.48        500.000                 NaN   99.2946                 NaN  0.705401                 NaN            NaN            NaN            NaN            NaN            NaN
  1540.07        500.000                 NaN   99.2965                 NaN  0.703461                 NaN            NaN            NaN            NaN            NaN            NaN
  1538.65        500.000                 NaN   99.1535                 NaN  0.481952E-001  0.798352                 NaN            NaN            NaN            NaN            NaN
  1537.24        500.000                 NaN   99.1146                 NaN  0.102729       0.782647                 NaN            NaN            NaN            NaN            NaN
  1535.82        500.000                 NaN   99.0954                 NaN  0.669710E-002  0.897927                 NaN            NaN            NaN            NaN            NaN
  1534.41        500.000       0.331192E-002   99.0620                 NaN            NaN  0.934733                 NaN            NaN            NaN            NaN            NaN
  1533.00        500.000       0.674080E-002   99.0224                 NaN            NaN  0.970832                 NaN            NaN            NaN            NaN            NaN
  1531.58        500.000       0.673945E-002   98.9832                 NaN            NaN   1.01008                 NaN            NaN            NaN            NaN            NaN
  1530.17        500.000       0.791951E-002   98.5575                 NaN            NaN  0.419905        1.01468                 NaN            NaN            NaN            NaN
  1528.76        500.000       0.557029E-002   98.6779                 NaN            NaN  0.410784       0.905777                 NaN            NaN            NaN            NaN
  1527.34        500.000       0.654604E-002   98.4187                 NaN            NaN   1.11167       0.463088                 NaN            NaN            NaN            NaN
  1525.93        500.000       0.639411E-002   98.4466                 NaN            NaN  0.454642        1.09238                 NaN            NaN            NaN            NaN
  1524.51        500.000       0.626742E-002   98.4690                 NaN            NaN   1.07852       0.446229                 NaN            NaN            NaN            NaN
  1523.10        500.000       0.242029E-002   99.4031                 NaN            NaN  0.421627       0.172837                 NaN            NaN            NaN            NaN
  1521.69        500.000       0.966169E-002   97.6089                 NaN            NaN   1.68606       0.695366                 NaN            NaN            NaN            NaN
  1520.27        500.000       0.588311E-002   98.5296                 NaN            NaN  0.426254        1.03826                 NaN            NaN            NaN            NaN
  1518.86        500.000       0.568706E-002   98.5729                 NaN            NaN   1.00703       0.414379                 NaN            NaN            NaN            NaN
  1517.45        500.000       0.163038E-002   99.5894                 NaN            NaN  0.294479       0.114511                 NaN            NaN            NaN            NaN
  1516.03        500.000       0.734672E-002   97.6003                 NaN  0.135300       0.512548        1.74449                 NaN            NaN            NaN            NaN
  1514.62        500.000       0.558483E-003   98.6164                 NaN  0.313341        1.06920       0.522429E-003            NaN            NaN            NaN            NaN
  1513.20        500.000       0.369653E-003   98.6411                 NaN  0.312777        1.04578                 NaN            NaN            NaN            NaN            NaN
  1511.79        500.000       0.267827E-003   98.6614                 NaN  0.306757        1.03161                 NaN            NaN            NaN            NaN            NaN
  1510.38        500.000       0.178454E-003   98.6817                 NaN  0.300394        1.01769                 NaN            NaN            NaN            NaN            NaN
  1508.96        500.000       0.111354E-003   98.6987                 NaN  0.294193        1.00703                 NaN            NaN            NaN            NaN            NaN
  1507.55        500.000       0.110705E-003   98.7252                 NaN  0.289268       0.985392                 NaN            NaN            NaN            NaN            NaN
  1506.13        500.000       0.550715E-003   98.7438                 NaN  0.281475       0.974184                 NaN            NaN            NaN            NaN            NaN
  1504.72        500.000                 NaN   98.7628                 NaN  0.275796       0.961392                 NaN            NaN            NaN            NaN            NaN
  1503.31        500.000       0.668671E-004   98.7808                 NaN  0.271815       0.947271                 NaN            NaN            NaN            NaN            NaN
  1501.89        500.000                 NaN   98.7985                 NaN  0.264387       0.937146                 NaN            NaN            NaN            NaN            NaN
  1500.48        500.000                 NaN   98.8166                 NaN  0.258118       0.925292                 NaN            NaN            NaN            NaN            NaN
  1499.07        500.000                 NaN   98.8340                 NaN  0.252934       0.913018                 NaN            NaN            NaN            NaN            NaN
  1497.65        500.000                 NaN   98.8516                 NaN  0.245645       0.902776                 NaN            NaN            NaN            NaN            NaN
  1496.24        500.000                 NaN   98.8672                 NaN  0.241199       0.891576                 NaN            NaN            NaN            NaN            NaN
  1494.82        500.000                 NaN   98.8677                 NaN  0.245688       0.886641                 NaN            NaN            NaN            NaN            NaN
  1493.41        500.000                 NaN   98.9092                 NaN  0.177482       0.732346E-001  0.840039                 NaN            NaN            NaN            NaN
  1492.00        500.000                 NaN   98.9037                 NaN  0.147303       0.122854       0.826190                 NaN            NaN            NaN            NaN
  1490.58        500.000                 NaN   98.9178                 NaN  0.135816       0.812343       0.134074                 NaN            NaN            NaN            NaN
  1489.17        500.000                 NaN   98.9299                 NaN  0.130196       0.801123       0.138829                 NaN            NaN            NaN            NaN
  1487.76        500.000       0.198868E-003   98.9441                 NaN  0.102845       0.783513       0.169392                 NaN            NaN            NaN            NaN
  1486.34        500.000       0.320815E-002   98.9503                 NaN            NaN  0.301315       0.745153                 NaN            NaN            NaN            NaN
  1484.93        500.000       0.313700E-002   98.9618                 NaN            NaN  0.297422       0.737601                 NaN            NaN            NaN            NaN
  1483.51        500.000       0.304934E-002   98.9756                 NaN            NaN  0.727455       0.293924                 NaN            NaN            NaN            NaN
  1482.10        500.000       0.297269E-002   98.9864                 NaN            NaN  0.719879       0.290780                 NaN            NaN            NaN            NaN
  1480.69        500.000       0.288575E-002   98.9998                 NaN            NaN  0.287218       0.710097                 NaN            NaN            NaN            NaN
  1479.27        500.000       0.280939E-002   99.0103                 NaN            NaN  0.702938       0.283912                 NaN            NaN            NaN            NaN
  1477.86        500.000       0.273983E-002   99.0197                 NaN            NaN  0.280809       0.696765                 NaN            NaN            NaN            NaN
  1476.45        500.000       0.265458E-002   99.0352                 NaN            NaN  0.278781       0.683394                 NaN            NaN            NaN            NaN
  1475.03        500.000       0.258248E-002   99.0445                 NaN            NaN  0.275364       0.677585                 NaN            NaN            NaN            NaN
  1473.62        500.000       0.250910E-002   99.0548                 NaN            NaN  0.669795       0.272863                 NaN            NaN            NaN            NaN
  1472.20        500.000       0.243323E-002   99.0656                 NaN            NaN  0.661665       0.270313                 NaN            NaN            NaN            NaN
  1470.79        500.000       0.236813E-002   99.0756                 NaN            NaN  0.654655       0.267392                 NaN            NaN            NaN            NaN
  1469.38        500.000       0.230004E-002   99.0857                 NaN            NaN  0.264651       0.647381                 NaN            NaN            NaN            NaN
  1467.96        500.000       0.223209E-002   99.0958                 NaN            NaN  0.261726       0.640288                 NaN            NaN            NaN            NaN
  1466.55        500.000       0.216602E-002   99.1032                 NaN            NaN  0.634941       0.259676                 NaN            NaN            NaN            NaN
  1465.14        500.000       0.209760E-002   99.1158                 NaN            NaN  0.256552       0.625542                 NaN            NaN            NaN            NaN
  1463.72        500.000       0.203366E-002   99.1248                 NaN            NaN  0.254047       0.619103                 NaN            NaN            NaN            NaN
  1462.31        500.000       0.196564E-002   99.1329                 NaN            NaN  0.613740       0.251345                 NaN            NaN            NaN            NaN
  1460.89        500.000       0.138047E-002   99.3816                 NaN            NaN  0.179730       0.437269                 NaN            NaN            NaN            NaN
  1459.48        500.000       0.239203E-002   98.9102                 NaN            NaN  0.769467       0.317966                 NaN            NaN            NaN            NaN
  1458.07        500.000       0.178981E-002   99.1607                 NaN            NaN  0.244778       0.592684                 NaN            NaN            NaN            NaN
  1456.65        500.000       0.173631E-002   99.1678                 NaN            NaN  0.242722       0.587719                 NaN            NaN            NaN            NaN
