|6.6.6
Archiving\03_Data\eqfracLP/QFM_m3.75/GRV/GRV_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         Sp(TH)         melt(TH)       O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  1564.10        500.000       0.113967E-001   99.9710       0.176089E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1562.69        500.000                 NaN   99.2437       0.346405E-002  0.752796                 NaN            NaN            NaN            NaN            NaN            NaN
  1561.27        500.000       0.433724E-003   99.1324                 NaN  0.867121                 NaN            NaN            NaN            NaN            NaN            NaN
  1559.86        500.000                 NaN   99.1343       0.519836E-004  0.865607                 NaN            NaN            NaN            NaN            NaN            NaN
  1558.44        500.000                 NaN   99.1462       0.627319E-004  0.853710                 NaN            NaN            NaN            NaN            NaN            NaN
  1557.03        500.000                 NaN   99.1472                 NaN  0.852835                 NaN            NaN            NaN            NaN            NaN            NaN
  1555.62        500.000                 NaN   99.1531                 NaN  0.846939                 NaN            NaN            NaN            NaN            NaN            NaN
  1554.20        500.000                 NaN   99.1578                 NaN  0.842193                 NaN            NaN            NaN            NaN            NaN            NaN
  1552.79        500.000                 NaN   99.1622                 NaN  0.837816                 NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        500.000                 NaN   99.1621                 NaN  0.837890                 NaN            NaN            NaN            NaN            NaN            NaN
  1549.96        500.000                 NaN   99.1733                 NaN  0.826703                 NaN            NaN            NaN            NaN            NaN            NaN
  1548.55        500.000                 NaN   99.1753                 NaN  0.824680                 NaN            NaN            NaN            NaN            NaN            NaN
  1547.13        500.000                 NaN   99.1789                 NaN  0.821092                 NaN            NaN            NaN            NaN            NaN            NaN
  1545.72        500.000                 NaN   99.1821                 NaN  0.817945                 NaN            NaN            NaN            NaN            NaN            NaN
  1544.31        500.000                 NaN   99.1855                 NaN  0.814500                 NaN            NaN            NaN            NaN            NaN            NaN
  1542.89        500.000                 NaN   99.1900                 NaN  0.810019                 NaN            NaN            NaN            NaN            NaN            NaN
  1541.48        500.000                 NaN   99.1926                 NaN  0.807392                 NaN            NaN            NaN            NaN            NaN            NaN
  1540.07        500.000                 NaN   99.1947                 NaN  0.805316                 NaN            NaN            NaN            NaN            NaN            NaN
  1538.65        500.000                 NaN   99.0351                 NaN  0.551822E-001  0.909674                 NaN            NaN            NaN            NaN            NaN
  1537.24        500.000                 NaN   98.9903                 NaN  0.117657       0.892049                 NaN            NaN            NaN            NaN            NaN
  1535.82        500.000                 NaN   98.9686                 NaN  0.767212E-002   1.02376                 NaN            NaN            NaN            NaN            NaN
  1534.41        500.000       0.532241E-002   98.9286                 NaN            NaN   1.06609                 NaN            NaN            NaN            NaN            NaN
  1533.00        500.000       0.108316E-001   98.8817                 NaN            NaN   1.10748                 NaN            NaN            NaN            NaN            NaN
  1531.58        500.000       0.108301E-001   98.8367                 NaN            NaN   1.15251                 NaN            NaN            NaN            NaN            NaN
  1530.17        500.000       0.127229E-001   98.3523                 NaN            NaN  0.477157        1.15783                 NaN            NaN            NaN            NaN
  1528.76        500.000       0.894624E-002   98.4923                 NaN            NaN  0.468985        1.02974                 NaN            NaN            NaN            NaN
  1527.34        500.000       0.105080E-001   98.1969                 NaN            NaN   1.26383       0.528776                 NaN            NaN            NaN            NaN
  1525.93        500.000       0.102625E-001   98.2279                 NaN            NaN  0.519411        1.24241                 NaN            NaN            NaN            NaN
  1524.51        500.000       0.100574E-001   98.2527                 NaN            NaN   1.22718       0.510084                 NaN            NaN            NaN            NaN
  1523.10        500.000       0.388965E-002   99.3176                 NaN            NaN  0.480543       0.197927                 NaN            NaN            NaN            NaN
  1521.69        500.000       0.154797E-001   97.2721                 NaN            NaN   1.91770       0.794749                 NaN            NaN            NaN            NaN
  1520.27        500.000       0.943438E-002   98.3197                 NaN            NaN  0.488046        1.18287                 NaN            NaN            NaN            NaN
  1518.86        500.000       0.912064E-002   98.3682                 NaN            NaN   1.14789       0.474760                 NaN            NaN            NaN            NaN
  1517.45        500.000       0.262275E-002   99.5292                 NaN            NaN  0.336575       0.131625                 NaN            NaN            NaN            NaN
  1516.03        500.000       0.117620E-001   97.2581                 NaN  0.155774       0.587038        1.98735                 NaN            NaN            NaN            NaN
  1514.62        500.000       0.895313E-003   98.4166                 NaN  0.361505        1.22039       0.599620E-003            NaN            NaN            NaN            NaN
  1513.20        500.000       0.592481E-003   98.4442                 NaN  0.361075        1.19414                 NaN            NaN            NaN            NaN            NaN
  1511.79        500.000       0.429216E-003   98.4667                 NaN  0.354338        1.17851                 NaN            NaN            NaN            NaN            NaN
  1510.38        500.000       0.285967E-003   98.4893                 NaN  0.347222        1.16321                 NaN            NaN            NaN            NaN            NaN
  1508.96        500.000       0.178410E-003   98.5080                 NaN  0.340265        1.15159                 NaN            NaN            NaN            NaN            NaN
  1507.55        500.000       0.177334E-003   98.5378                 NaN  0.334770        1.12730                 NaN            NaN            NaN            NaN            NaN
  1506.13        500.000       0.882059E-003   98.5581                 NaN  0.325966        1.11501                 NaN            NaN            NaN            NaN            NaN
  1504.72        500.000                 NaN   98.5795                 NaN  0.319569        1.10089                 NaN            NaN            NaN            NaN            NaN
  1503.31        500.000       0.107066E-003   98.5995                 NaN  0.315166        1.08520                 NaN            NaN            NaN            NaN            NaN
  1501.89        500.000                 NaN   98.6190                 NaN  0.306757        1.07419                 NaN            NaN            NaN            NaN            NaN
  1500.48        500.000                 NaN   98.6392                 NaN  0.299671        1.06112                 NaN            NaN            NaN            NaN            NaN
  1499.07        500.000                 NaN   98.6587                 NaN  0.293837        1.04748                 NaN            NaN            NaN            NaN            NaN
  1497.65        500.000                 NaN   98.6782                 NaN  0.285534        1.03629                 NaN            NaN            NaN            NaN            NaN
  1496.24        500.000                 NaN   98.6955                 NaN  0.280568        1.02394                 NaN            NaN            NaN            NaN            NaN
  1494.82        500.000                 NaN   98.6954                 NaN  0.285867        1.01877                 NaN            NaN            NaN            NaN            NaN
  1493.41        500.000                 NaN   98.7427                 NaN  0.206723       0.848395E-001  0.965749                 NaN            NaN            NaN            NaN
  1492.00        500.000                 NaN   98.7357                 NaN  0.171667       0.142394       0.950284                 NaN            NaN            NaN            NaN
  1490.58        500.000                 NaN   98.7512                 NaN  0.158390       0.934848       0.155513                 NaN            NaN            NaN            NaN
  1489.17        500.000                 NaN   98.7646                 NaN  0.151932       0.922361       0.161124                 NaN            NaN            NaN            NaN
  1487.76        500.000       0.317897E-003   98.7803                 NaN  0.120094       0.902541       0.196723                 NaN            NaN            NaN            NaN
  1486.34        500.000       0.512718E-002   98.7859                 NaN            NaN  0.350164       0.858762                 NaN            NaN            NaN            NaN
  1484.93        500.000       0.501268E-002   98.7986                 NaN            NaN  0.345873       0.850532                 NaN            NaN            NaN            NaN
  1483.51        500.000       0.487170E-002   98.8139                 NaN            NaN  0.839252       0.342026                 NaN            NaN            NaN            NaN
  1482.10        500.000       0.474921E-002   98.8257                 NaN            NaN  0.830994       0.338604                 NaN            NaN            NaN            NaN
  1480.69        500.000       0.460925E-002   98.8406                 NaN            NaN  0.334688       0.820105                 NaN            NaN            NaN            NaN
  1479.27        500.000       0.448662E-002   98.8521                 NaN            NaN  0.812307       0.331056                 NaN            NaN            NaN            NaN
  1477.86        500.000       0.437442E-002   98.8624                 NaN            NaN  0.327660       0.805608                 NaN            NaN            NaN            NaN
  1476.45        500.000       0.423780E-002   98.8798                 NaN            NaN  0.325499       0.790493                 NaN            NaN            NaN            NaN
  1475.03        500.000       0.412215E-002   98.8899                 NaN            NaN  0.321742       0.784229                 NaN            NaN            NaN            NaN
