|6.6.6
Archiving\03_Data\eqLP/QFM_m4.75/Y98/Y98_1.tab                            
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       pxmn           Ni             iron           Sp(TH)         O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        an            
  2000.00        500.000        99.0121       0.964187       0.236658E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        500.000        99.0121       0.964186       0.236658E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        500.000        99.0121       0.964186       0.236658E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        500.000        99.0121       0.964186       0.236658E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        500.000        99.0121       0.964186       0.236658E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        500.000        99.0121       0.964185       0.236658E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        500.000        99.0121       0.964185       0.236658E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        500.000        99.0121       0.964185       0.236658E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        500.000        99.0121       0.964185       0.236657E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        500.000        99.0121       0.964185       0.236657E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        500.000        99.0122       0.964184       0.236657E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        500.000        99.0122       0.964184       0.236657E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        500.000        99.0122       0.964184       0.236657E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        500.000        99.0122       0.964184       0.236657E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        500.000        99.0122       0.964183       0.236657E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        500.000        99.0122       0.964183       0.236657E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        500.000        99.0122       0.964183       0.236657E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        500.000        99.0122       0.964183       0.236657E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        500.000        99.0122       0.964182       0.236657E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
