|6.6.6
Archiving\03_Data\eqfrac/QFM_m2.5/Y98/Y98_1.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        Opx(TH)        O(HP)          Sp(TH)         an             ilm            San(TH)        q             
  1487.18        2500.00        99.7891       0.203277                 NaN            NaN            NaN  0.765217E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1485.96        2500.00        99.4275       0.805613E-002  0.564456                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.74        2500.00        99.0550       0.622845       0.322181                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.52        2500.00        99.0620       0.320156       0.617809                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.30        2500.00        99.0667       0.319109       0.614227                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1481.07        2500.00        99.0702       0.316050       0.613797                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1479.85        2500.00        99.0799       0.605112       0.314965                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1478.63        2500.00        99.0865       0.312383       0.601148                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1477.41        2500.00        99.0414       0.275377       0.651316                 NaN            NaN            NaN  0.319125E-001            NaN            NaN            NaN            NaN            NaN
  1476.19        2500.00        99.1492       0.558884       0.291897                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1474.97        2500.00        99.1009       0.591215       0.307839                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1473.75        2500.00        99.1042       0.304919       0.589523                 NaN            NaN            NaN  0.140242E-002            NaN            NaN            NaN            NaN            NaN
  1472.53        2500.00        99.1134       0.303655       0.582977                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1471.31        2500.00        99.1162       0.581399       0.302438                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1470.09        2500.00        99.1210       0.578500       0.300520                 NaN            NaN            NaN  0.175492E-004            NaN            NaN            NaN            NaN            NaN
  1468.86        2500.00        99.1264       0.298550       0.575013                 NaN            NaN            NaN  0.772112E-005            NaN            NaN            NaN            NaN            NaN
  1467.64        2500.00        99.0514       0.624812       0.320398                 NaN            NaN            NaN  0.340599E-002            NaN            NaN            NaN            NaN            NaN
  1466.42        2500.00        99.2183       0.522389       0.241024                 NaN            NaN            NaN  0.182726E-001            NaN            NaN            NaN            NaN            NaN
  1465.20        2500.00        99.0714       0.702206       0.187897                 NaN            NaN            NaN  0.353526E-001  0.311166E-002            NaN            NaN            NaN            NaN
  1463.98        2500.00        99.2178       0.348610       0.431555                 NaN            NaN            NaN  0.202189E-002            NaN            NaN            NaN            NaN            NaN
