|6.6.6
Archiving\03_Data\Deq/QFM_m3/K22/K22_3.tab                            
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         melt(TH)       Ni             O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)       
  2000.00        2500.00        99.9859       0.141139E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        2500.00        99.9859       0.141143E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        2500.00        99.9859       0.141147E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        2500.00        99.9859       0.141152E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        2500.00        99.9859       0.141156E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        2500.00        99.9859       0.141160E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        2500.00        99.9859       0.141165E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        2500.00        99.9859       0.141169E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        2500.00        99.9859       0.141174E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        2500.00        99.9859       0.141178E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        2500.00        99.9859       0.141182E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        2500.00        99.9859       0.141187E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        2500.00        99.9815       0.141080E-001  0.438282E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        2500.00        99.1731       0.119905E-001  0.814911                 NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        2500.00        98.3637       0.987089E-002   1.62639                 NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        2500.00        97.5534       0.774905E-002   2.43881                 NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        2500.00        96.7422       0.562502E-002   3.25218                 NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        2500.00        95.9424       0.344688E-002   4.05414                 NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        2500.00        95.1417       0.126654E-002   4.85702                 NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        2500.00        94.4333                 NaN   5.56668                 NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        2500.00        93.8148                 NaN   6.18518                 NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        2500.00        93.1722                 NaN   6.82784                 NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        2500.00        92.5289                 NaN   7.47112                 NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        2500.00        91.8850                 NaN   8.11501                 NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        2500.00        91.2405                 NaN   8.75952                 NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        2500.00        90.5864                 NaN   9.41355                 NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        2500.00        89.9318                 NaN   10.0682                 NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        2500.00        89.2907                 NaN   10.7093                 NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        2500.00        88.6454                 NaN   11.3424       0.122294E-001            NaN            NaN            NaN            NaN            NaN
  1907.05        2500.00        88.0037                 NaN   11.9718       0.244893E-001            NaN            NaN            NaN            NaN            NaN
  1903.85        2500.00        87.3614                 NaN   12.6018       0.367620E-001            NaN            NaN            NaN            NaN            NaN
  1900.64        2500.00        86.7185                 NaN   13.2325       0.490475E-001            NaN            NaN            NaN            NaN            NaN
  1897.44        2500.00        86.0749                 NaN   13.8637       0.613456E-001            NaN            NaN            NaN            NaN            NaN
  1894.23        2500.00        85.4674                 NaN   14.4598       0.728139E-001            NaN            NaN            NaN            NaN            NaN
  1891.03        2500.00        84.8593                 NaN   15.0564       0.842934E-001            NaN            NaN            NaN            NaN            NaN
  1887.82        2500.00        84.2507                 NaN   15.6536       0.957841E-001            NaN            NaN            NaN            NaN            NaN
  1884.62        2500.00        83.6415                 NaN   16.2512       0.107286                 NaN            NaN            NaN            NaN            NaN
  1881.41        2500.00        83.0318                 NaN   16.8494       0.118799                 NaN            NaN            NaN            NaN            NaN
  1878.21        2500.00        82.4215                 NaN   17.4482       0.130323                 NaN            NaN            NaN            NaN            NaN
  1875.00        2500.00        81.8107                 NaN   18.0475       0.141859                 NaN            NaN            NaN            NaN            NaN
  1871.79        2500.00        81.1994                 NaN   18.6472       0.153405                 NaN            NaN            NaN            NaN            NaN
  1868.59        2500.00        80.6348                 NaN   19.2012       0.163953                 NaN            NaN            NaN            NaN            NaN
  1865.38        2500.00        80.0699                 NaN   19.7556       0.174511                 NaN            NaN            NaN            NaN            NaN
  1862.18        2500.00        79.5044                 NaN   20.3105       0.185079                 NaN            NaN            NaN            NaN            NaN
  1858.97        2500.00        78.9385                 NaN   20.8658       0.195655                 NaN            NaN            NaN            NaN            NaN
  1855.77        2500.00        78.3722                 NaN   21.4215       0.206241                 NaN            NaN            NaN            NaN            NaN
  1852.56        2500.00        77.8054                 NaN   21.9777       0.216836                 NaN            NaN            NaN            NaN            NaN
  1849.36        2500.00        77.2382                 NaN   22.5344       0.227441                 NaN            NaN            NaN            NaN            NaN
  1846.15        2500.00        76.6705                 NaN   23.0914       0.238054                 NaN            NaN            NaN            NaN            NaN
  1842.95        2500.00        76.1387                 NaN   23.6134       0.247858                 NaN            NaN            NaN            NaN            NaN
  1839.74        2500.00        75.6065                 NaN   24.1358       0.257670                 NaN            NaN            NaN            NaN            NaN
  1836.54        2500.00        75.0739                 NaN   24.6586       0.267490                 NaN            NaN            NaN            NaN            NaN
  1833.33        2500.00        74.5410                 NaN   25.1817       0.277318                 NaN            NaN            NaN            NaN            NaN
  1830.13        2500.00        74.0076                 NaN   25.7052       0.287154                 NaN            NaN            NaN            NaN            NaN
  1826.92        2500.00        73.4739                 NaN   26.2291       0.296997                 NaN            NaN            NaN            NaN            NaN
  1823.72        2500.00        72.9398                 NaN   26.7533       0.306848                 NaN            NaN            NaN            NaN            NaN
  1820.51        2500.00        72.4053                 NaN   27.2780       0.316707                 NaN            NaN            NaN            NaN            NaN
  1817.31        2500.00        71.9022                 NaN   27.7720       0.325807                 NaN            NaN            NaN            NaN            NaN
  1814.10        2500.00        71.3987                 NaN   28.2664       0.334914                 NaN            NaN            NaN            NaN            NaN
  1810.90        2500.00        70.8949                 NaN   28.7611       0.344028                 NaN            NaN            NaN            NaN            NaN
  1807.69        2500.00        70.3908                 NaN   29.2561       0.353147                 NaN            NaN            NaN            NaN            NaN
  1804.49        2500.00        69.8863                 NaN   29.7514       0.362274                 NaN            NaN            NaN            NaN            NaN
  1801.28        2500.00        69.3816                 NaN   30.2470       0.371407                 NaN            NaN            NaN            NaN            NaN
  1798.08        2500.00        68.8765                 NaN   30.7429       0.380546                 NaN            NaN            NaN            NaN            NaN
  1794.87        2500.00        68.3711                 NaN   31.2392       0.389692                 NaN            NaN            NaN            NaN            NaN
  1791.67        2500.00        67.8909                 NaN   31.7109       0.398174                 NaN            NaN            NaN            NaN            NaN
  1788.46        2500.00        67.4104                 NaN   32.1829       0.406661                 NaN            NaN            NaN            NaN            NaN
  1785.26        2500.00        66.9296                 NaN   32.6552       0.415154                 NaN            NaN            NaN            NaN            NaN
