|6.6.6
Archiving\03_Data\eqfracLP/QFM_m0.5/ALH/ALH_1.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             Sp(TH)         Sp(TH)         San(TH)        ilm            q             
  1460.67        500.000        99.1103                 NaN            NaN  0.363777       0.525883                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1459.37        500.000        99.3155                 NaN            NaN  0.406208       0.278256                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1458.07        500.000        98.7285                 NaN            NaN  0.395050       0.876418                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1456.77        500.000        99.0326                 NaN            NaN  0.572271       0.395159                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1455.46        500.000        99.5238                 NaN            NaN  0.281924       0.194240                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1454.16        500.000        98.5628                 NaN            NaN  0.587758       0.849481                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1452.86        500.000        99.0556                 NaN            NaN  0.385408       0.558948                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1451.56        500.000        99.0623                 NaN  0.285063E-005  0.382851       0.554860                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1450.26        500.000        99.4429                 NaN  0.126820E-005  0.330325       0.226771                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1448.96        500.000        98.7012                 NaN  0.539344E-005  0.768552       0.530279                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1447.66        500.000        99.0844                 NaN  0.225085E-005  0.373571       0.542010                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1446.36        500.000        99.0898                 NaN  0.706773E-005  0.538715       0.371472                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1445.05        500.000        99.0960                 NaN  0.120186E-004  0.535007       0.369022                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1443.75        500.000        99.1025                 NaN  0.832383E-005  0.531314       0.366132                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1442.45        500.000        99.1116                 NaN  0.854461E-005  0.361988       0.526384                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1441.15        500.000        99.1147                 NaN            NaN  0.360892       0.524444                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1439.85        500.000        99.1237                 NaN  0.347412E-005  0.357440       0.518869                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1438.55        500.000        99.1289                 NaN            NaN  0.516169       0.354906                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1437.25        500.000        99.1346                 NaN            NaN  0.352588       0.512805                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1435.94        500.000        99.1403                 NaN            NaN  0.509456       0.350233                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1434.64        500.000        99.1474                 NaN  0.309151E-005  0.347311       0.505278                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1433.34        500.000        99.1523                 NaN  0.109006E-004  0.344849       0.502856                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1432.04        500.000        99.1582                 NaN  0.102379E-004  0.342814       0.498957                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1430.74        500.000        99.1652                 NaN  0.564848E-005  0.339622       0.495126                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1429.44        500.000        99.1705                 NaN  0.723441E-005  0.337517       0.491997                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1428.14        500.000        99.1753                 NaN  0.910297E-005  0.489106       0.335545                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1426.84        500.000        99.1806                 NaN  0.612612E-005  0.333250       0.486100                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1425.53        500.000        99.1865                 NaN            NaN  0.482671       0.330844                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1424.23        500.000        99.4342                 NaN            NaN  0.229675       0.336103                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1422.93        500.000        98.9493                 NaN            NaN  0.622607       0.428094                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1421.63        500.000        99.2048                 NaN  0.667656E-005  0.323313       0.471835                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1420.33        500.000        99.2079                 NaN  0.773514E-005  0.470465       0.321626                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1419.03        500.000        99.2124                 NaN  0.762639E-005  0.467615       0.319981                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1417.73        500.000        99.2176                 NaN            NaN  0.317697       0.464694                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1416.43        500.000        99.2226                 NaN            NaN  0.461705       0.315736                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1415.12        500.000        99.2271                 NaN            NaN  0.313823       0.459071                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1413.82        500.000        99.2316                 NaN            NaN  0.311758       0.456672                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1412.52        500.000        99.2362                 NaN            NaN  0.453972       0.309801                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1411.22        500.000        99.2412                 NaN            NaN  0.451198       0.307574                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1409.92        500.000        99.2459                 NaN            NaN  0.448423       0.305688                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1408.62        500.000        99.4098                 NaN            NaN  0.351370       0.238856                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1407.32        500.000        99.0932                 NaN            NaN  0.367711       0.539110                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1406.01        500.000        99.2590                 NaN            NaN  0.440936       0.300060                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1404.71        500.000        99.2628                 NaN            NaN  0.298166       0.439014                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1403.41        500.000        98.4421                 NaN            NaN  0.662031       0.516019                 NaN  0.379879                 NaN            NaN            NaN            NaN            NaN
  1402.11        500.000        98.3369                 NaN            NaN  0.709045       0.520582                 NaN  0.433491                 NaN            NaN            NaN            NaN            NaN
  1400.81        500.000        98.3575                 NaN            NaN  0.700291       0.514387                 NaN  0.427782                 NaN            NaN            NaN            NaN            NaN
  1399.51        500.000        98.3796                 NaN            NaN  0.690952       0.507642                 NaN  0.421851                 NaN            NaN            NaN            NaN            NaN
  1398.21        500.000        98.4018                 NaN            NaN  0.500664       0.681561                 NaN  0.415958                 NaN            NaN            NaN            NaN            NaN
  1396.91        500.000        98.4230                 NaN            NaN  0.494083       0.672839                 NaN  0.410048                 NaN            NaN            NaN            NaN            NaN
  1395.60        500.000        98.4465                 NaN            NaN  0.486873       0.663139                 NaN  0.403486                 NaN            NaN            NaN            NaN            NaN
  1394.30        500.000        98.4624                 NaN            NaN  0.481947       0.656395                 NaN  0.399293                 NaN            NaN            NaN            NaN            NaN
  1393.00        500.000        98.4864                 NaN            NaN  0.646629       0.474431                 NaN  0.392495                 NaN            NaN            NaN            NaN            NaN
  1391.70        500.000        98.5034                 NaN            NaN  0.469227       0.639576                 NaN  0.387816                 NaN            NaN            NaN            NaN            NaN
  1390.40        500.000        98.5229                 NaN            NaN  0.462832       0.631713                 NaN  0.382594                 NaN            NaN            NaN            NaN            NaN
  1389.10        500.000        98.5417                 NaN            NaN  0.623985       0.456957                 NaN  0.377392                 NaN            NaN            NaN            NaN            NaN
  1387.80        500.000        98.5582                 NaN            NaN  0.451832       0.617363                 NaN  0.372642                 NaN            NaN            NaN            NaN            NaN
  1386.49        500.000        98.5772                 NaN            NaN  0.609409       0.445655                 NaN  0.367730                 NaN            NaN            NaN            NaN            NaN
  1385.19        500.000        98.5949                 NaN            NaN  0.439886       0.602365                 NaN  0.362806                 NaN            NaN            NaN            NaN            NaN
  1383.89        500.000        98.6082                 NaN            NaN  0.435756       0.597288                 NaN  0.358780                 NaN            NaN            NaN            NaN            NaN
  1382.59        500.000        98.6264                 NaN            NaN  0.589677       0.430059                 NaN  0.353910                 NaN            NaN            NaN            NaN            NaN
  1381.29        500.000        98.6415                 NaN            NaN  0.425346       0.583477                 NaN  0.349673                 NaN            NaN            NaN            NaN            NaN
  1379.99        500.000        98.6580                 NaN            NaN  0.576937       0.419962                 NaN  0.345085                 NaN            NaN            NaN            NaN            NaN
  1378.69        500.000        98.6728                 NaN            NaN  0.415146       0.571032                 NaN  0.341041                 NaN            NaN            NaN            NaN            NaN
  1377.39        500.000        98.6876                 NaN            NaN  0.410615       0.564967                 NaN  0.336856                 NaN            NaN            NaN            NaN            NaN
  1376.08        500.000        98.7017                 NaN            NaN  0.559857       0.405487                 NaN  0.332915                 NaN            NaN            NaN            NaN            NaN
  1374.78        500.000        98.7161                 NaN  0.142609E-005  0.553967       0.400876                 NaN  0.329015                 NaN            NaN            NaN            NaN            NaN
  1373.48        500.000        98.7290                 NaN            NaN  0.396894       0.548875                 NaN  0.325198                 NaN            NaN            NaN            NaN            NaN
  1372.18        500.000        98.7444                 NaN            NaN  0.391980       0.542772                 NaN  0.320801                 NaN            NaN            NaN            NaN            NaN
  1370.88        500.000        98.7568                 NaN            NaN  0.387573       0.538022                 NaN  0.317626                 NaN            NaN            NaN            NaN            NaN
  1369.58        500.000        98.7700                 NaN            NaN  0.383862       0.532409                 NaN  0.313692                 NaN            NaN            NaN            NaN            NaN
  1368.28        500.000        98.7823                 NaN            NaN  0.527662       0.379707                 NaN  0.310363                 NaN            NaN            NaN            NaN            NaN
  1366.97        500.000        98.7936                 NaN            NaN  0.375832       0.523585                 NaN  0.306987                 NaN            NaN            NaN            NaN            NaN
  1365.67        500.000        98.8063                 NaN            NaN  0.518642       0.371620                 NaN  0.303457                 NaN            NaN            NaN            NaN            NaN
  1364.37        500.000        98.8117                 NaN            NaN  0.516585       0.369122                 NaN  0.302635                 NaN            NaN            NaN            NaN            NaN
  1363.07        500.000        98.8375                 NaN            NaN  0.361686       0.506240                 NaN  0.294573                 NaN            NaN            NaN            NaN            NaN
  1361.77        500.000        98.8405                 NaN            NaN  0.505299       0.360547                 NaN  0.293684                 NaN            NaN            NaN            NaN            NaN
  1360.47        500.000        98.8511                 NaN            NaN  0.501559       0.356604                 NaN  0.290753                 NaN            NaN            NaN            NaN            NaN
  1359.17        500.000        98.8617                 NaN            NaN  0.497285       0.353071                 NaN  0.287966                 NaN            NaN            NaN            NaN            NaN
  1357.87        500.000        98.8738                 NaN            NaN  0.348929       0.493053                 NaN  0.284234                 NaN            NaN            NaN            NaN            NaN
  1356.56        500.000        98.8829                 NaN  0.344452E-005  0.345950       0.489560                 NaN  0.281599                 NaN            NaN            NaN            NaN            NaN
  1355.26        500.000        98.8920                 NaN            NaN  0.485944       0.342896                 NaN  0.279160                 NaN            NaN            NaN            NaN            NaN
  1353.96        500.000        98.9023                 NaN            NaN  0.482193       0.339503                 NaN  0.275973                 NaN            NaN            NaN            NaN            NaN
  1352.66        500.000        98.9121                 NaN            NaN  0.336154       0.478425                 NaN  0.273357                 NaN            NaN            NaN            NaN            NaN
  1351.36        500.000        98.9213                 NaN  0.201287E-004  0.475054       0.333034                 NaN  0.270641                 NaN            NaN            NaN            NaN            NaN
  1350.06        500.000        98.9300                 NaN  0.596980E-001  0.347184       0.386477                 NaN  0.276662                 NaN            NaN            NaN            NaN            NaN
  1348.76        500.000        98.9260                 NaN  0.211158       0.171771       0.391594                 NaN  0.299435                 NaN            NaN            NaN            NaN            NaN
  1347.45        500.000        97.8982                 NaN  0.378882       0.400832       0.743354                 NaN  0.577198       0.155532E-002            NaN            NaN            NaN            NaN
  1346.15        500.000        99.9978                 NaN  0.125575E-003  0.203827E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1344.85        500.000        98.9987                 NaN  0.231124       0.380927       0.104861                 NaN  0.284386                 NaN            NaN            NaN            NaN            NaN
  1343.55        500.000        98.9764                 NaN  0.207310       0.155991       0.376156                 NaN  0.284148                 NaN            NaN            NaN            NaN            NaN
  1342.25        500.000        98.9861                 NaN  0.207736       0.373585       0.151072                 NaN  0.281540                 NaN            NaN            NaN            NaN            NaN
  1340.95        500.000        98.9946                 NaN  0.207870       0.147171       0.371420                 NaN  0.278984                 NaN            NaN            NaN            NaN            NaN
  1339.65        500.000        99.0023                 NaN  0.208724       0.141225       0.370813                 NaN  0.276891                 NaN            NaN            NaN            NaN            NaN
  1338.35        500.000        99.0124                 NaN  0.207986       0.366380       0.139375                 NaN  0.273846                 NaN            NaN            NaN            NaN            NaN
  1337.04        500.000        98.2522                 NaN  0.358258       0.283039       0.626524                 NaN  0.479997                 NaN            NaN            NaN            NaN            NaN
  1335.74        500.000        99.8026                 NaN  0.586219E-001  0.826012E-001            NaN            NaN  0.561967E-001            NaN            NaN            NaN            NaN            NaN
  1334.44        500.000        99.0362                 NaN  0.205934       0.359097       0.132206                 NaN  0.266550                 NaN            NaN            NaN            NaN            NaN
  1333.14        500.000        99.0451                 NaN  0.208315       0.124095       0.358079                 NaN  0.264370                 NaN            NaN            NaN            NaN            NaN
  1331.84        500.000        99.0522                 NaN  0.207799       0.121852       0.355999                 NaN  0.262134                 NaN            NaN            NaN            NaN            NaN
  1330.54        500.000        99.0600                 NaN  0.208146       0.354033       0.117819                 NaN  0.259983                 NaN            NaN            NaN            NaN            NaN
  1329.24        500.000        99.0672                 NaN  0.207913       0.352242       0.114707                 NaN  0.257890                 NaN            NaN            NaN            NaN            NaN
  1327.93        500.000        99.0769                 NaN  0.206854       0.112067       0.349349                 NaN  0.254862                 NaN            NaN            NaN            NaN            NaN
  1326.63        500.000        99.0834                 NaN  0.206310       0.110248       0.347224                 NaN  0.252840                 NaN            NaN            NaN            NaN            NaN
  1325.33        500.000        99.0900                 NaN  0.206038       0.345434       0.107610                 NaN  0.250877                 NaN            NaN            NaN            NaN            NaN
  1324.03        500.000        99.0969                 NaN  0.205344       0.105754       0.343268                 NaN  0.248710                 NaN            NaN            NaN            NaN            NaN
  1322.73        500.000        99.1038                 NaN  0.204810       0.341321       0.103437                 NaN  0.246634                 NaN            NaN            NaN            NaN            NaN
  1321.43        500.000        99.1106                 NaN  0.203680       0.339336       0.101952                 NaN  0.244464                 NaN            NaN            NaN            NaN            NaN
  1320.13        500.000        99.1176                 NaN  0.202971       0.337023       0.100099                 NaN  0.242319                 NaN            NaN            NaN            NaN            NaN
  1318.83        500.000        99.1233                 NaN  0.202076       0.335601       0.985565E-001            NaN  0.240445                 NaN            NaN            NaN            NaN            NaN
  1317.52        500.000        99.1214                 NaN  0.202024       0.947726E-001  0.337113                 NaN  0.240927       0.374546E-002            NaN            NaN            NaN            NaN
  1316.22        500.000        99.0645                 NaN  0.141388       0.350369       0.142240                 NaN  0.244395       0.570618E-001            NaN            NaN            NaN            NaN
  1314.92        500.000        99.0067                 NaN  0.104112       0.161761       0.373544                 NaN  0.252363       0.101472                 NaN            NaN            NaN            NaN
  1313.62        500.000        99.0034                 NaN  0.953170E-001  0.163769       0.376413                 NaN  0.251661       0.109429                 NaN            NaN            NaN            NaN
  1312.32        500.000        98.9968                 NaN  0.836222E-001  0.168163       0.381916                 NaN  0.250950       0.118554                 NaN            NaN            NaN            NaN
  1311.02        500.000        98.9945                 NaN  0.771798E-001  0.165470       0.386842                 NaN  0.250100       0.125897                 NaN            NaN            NaN            NaN
  1309.72        500.000        98.9961                 NaN  0.709886E-001  0.166159       0.387991                 NaN  0.248648       0.130093                 NaN            NaN            NaN            NaN
  1308.41        500.000        99.0007                 NaN  0.661565E-001  0.387561       0.166089                 NaN  0.246757       0.132729                 NaN            NaN            NaN            NaN
  1307.11        500.000        99.0083                 NaN  0.634995E-001  0.165988       0.384404                 NaN  0.244718       0.133082                 NaN            NaN            NaN            NaN
  1305.81        500.000        99.0173                 NaN  0.186128       0.416328                 NaN            NaN  0.256685       0.123590                 NaN            NaN            NaN            NaN
  1304.51        500.000        99.0284                 NaN  0.325051E-005  0.223338       0.373681                 NaN  0.232036       0.142549                 NaN            NaN            NaN            NaN
  1303.21        500.000        99.0220                 NaN  0.133418E-005  0.361848       0.241866                 NaN  0.233707       0.140579                 NaN            NaN            NaN            NaN
  1301.91        500.000        99.0368                 NaN  0.306365E-001  0.368642       0.193200                 NaN  0.233868       0.136892                 NaN            NaN            NaN            NaN
  1300.61        500.000        99.0504                 NaN  0.497408E-001  0.371372       0.161362                 NaN  0.232866       0.134213                 NaN            NaN            NaN            NaN
  1299.31        500.000        99.0601                 NaN  0.478406E-001  0.367860       0.160376                 NaN  0.230389       0.133419                 NaN            NaN            NaN            NaN
  1298.00        500.000        99.0640                 NaN  0.435024E-001  0.366843       0.163370                 NaN  0.228829       0.133442                 NaN            NaN            NaN            NaN
  1296.70        500.000        99.0780                 NaN  0.448758E-001  0.359609       0.159745                 NaN  0.226388       0.131429                 NaN            NaN            NaN            NaN
  1295.40        500.000        99.0932                 NaN  0.425439E-001  0.354823       0.158165                 NaN  0.221842       0.129451                 NaN            NaN            NaN            NaN
  1294.10        500.000        99.1014                 NaN  0.416580E-001  0.159306       0.349543                 NaN  0.220398       0.127727                 NaN            NaN            NaN            NaN
  1292.80        500.000        99.1112                 NaN  0.403272E-001  0.345634       0.158307                 NaN  0.218000       0.126545                 NaN            NaN            NaN            NaN
  1291.50        500.000        99.1212                 NaN  0.382058E-001  0.340248       0.159528                 NaN  0.215645       0.125179                 NaN            NaN            NaN            NaN
  1290.20        500.000        99.1309                 NaN  0.383488E-001  0.337389       0.156329                 NaN  0.213383       0.123672                 NaN            NaN            NaN            NaN
  1288.89        500.000        99.1412                 NaN  0.372751E-001  0.331949       0.156744                 NaN  0.210951       0.121866                 NaN            NaN            NaN            NaN
  1287.59        500.000        99.1496                 NaN  0.308576E-001  0.163605       0.326399                 NaN  0.208394       0.121137                 NaN            NaN            NaN            NaN
  1286.29        500.000        99.1593                 NaN  0.319638E-001  0.160248       0.322790                 NaN  0.206338       0.119315                 NaN            NaN            NaN            NaN
  1284.99        500.000        99.1686                 NaN  0.300451E-001  0.161644       0.317847                 NaN  0.204085       0.117753                 NaN            NaN            NaN            NaN
  1283.69        500.000        99.1781                 NaN  0.286445E-001  0.161728       0.313371                 NaN  0.201815       0.116309                 NaN            NaN            NaN            NaN
  1282.39        500.000        99.1872                 NaN  0.269053E-001  0.308782       0.162632                 NaN  0.199642       0.114824                 NaN            NaN            NaN            NaN
  1281.09        500.000        99.1962                 NaN  0.251155E-001  0.304258       0.163656                 NaN  0.197451       0.113362                 NaN            NaN            NaN            NaN
  1279.79        500.000        99.2045                 NaN  0.233026E-001  0.164431       0.300244                 NaN  0.195388       0.112102                 NaN            NaN            NaN            NaN
  1278.48        500.000        99.2142                 NaN  0.220250E-001  0.295211       0.164872                 NaN  0.193156       0.110579                 NaN            NaN            NaN            NaN
  1277.18        500.000        99.2226                 NaN  0.199310E-001  0.167077       0.290306                 NaN  0.191125       0.108957                 NaN            NaN            NaN            NaN
  1275.88        500.000        99.2290                 NaN  0.140110E-001  0.282833       0.177560                 NaN  0.189442       0.107166                 NaN            NaN            NaN            NaN
  1274.58        500.000        99.2410                 NaN  0.228019E-001  0.157638       0.285441                 NaN  0.186938       0.106223                 NaN            NaN            NaN            NaN
  1273.28        500.000        99.2461                 NaN  0.107418E-001  0.275755       0.177057                 NaN  0.185035       0.105269                 NaN            NaN            NaN            NaN
  1271.98        500.000        99.2036                 NaN  0.101635E-001  0.278504       0.182782                 NaN  0.188803       0.107228                 NaN  0.289107E-001            NaN            NaN
  1270.68        500.000        86.3962                 NaN  0.260291E-005   1.98735        1.81804                 NaN   1.61711       0.936996                 NaN   7.24427                 NaN            NaN
  1269.37        500.000        88.2422                 NaN            NaN   1.71854        1.58691                 NaN   1.40741       0.805733                 NaN   6.23921                 NaN            NaN
  1268.07        500.000        89.6467                 NaN            NaN   1.51517        1.40743                 NaN   1.24720       0.707303                 NaN   5.47618                 NaN            NaN
  1266.77        500.000        90.7511                 NaN            NaN   1.35669        1.26212                 NaN   1.12068       0.631382                 NaN   4.87805                 NaN            NaN
  1265.47        500.000        91.6455                 NaN  0.109547E-005   1.22880        1.14163                 NaN   1.01769       0.570701                 NaN   4.39570                 NaN            NaN
  1264.17        500.000        92.3820                 NaN            NaN   1.12500        1.03917                 NaN  0.932555       0.521657                 NaN   3.99962                 NaN            NaN
  1262.87        500.000        92.9965                 NaN            NaN  0.952576        1.03835                 NaN  0.861083       0.481161                 NaN   3.67028                 NaN            NaN
  1261.57        500.000        93.5166                 NaN            NaN  0.877628       0.965851                 NaN  0.800455       0.447153                 NaN   3.39227                 NaN            NaN
  1260.27        500.000        93.9600                 NaN            NaN  0.904191       0.812954                 NaN  0.748526       0.418687                 NaN   3.15567                 NaN            NaN
  1258.96        500.000        94.3617                 NaN            NaN  0.849440       0.752743                 NaN  0.701066       0.392595                 NaN   2.94242                 NaN            NaN
  1257.66        500.000        94.6966                 NaN            NaN  0.702094       0.803149                 NaN  0.661427       0.371469                 NaN   2.76522                 NaN            NaN
  1256.36        500.000        95.0011                 NaN            NaN  0.761461       0.655430                 NaN  0.625176       0.352023                 NaN   2.60483                 NaN            NaN
  1255.06        500.000        95.2697                 NaN            NaN  0.724426       0.614657                 NaN  0.592964       0.334850                 NaN   2.46342                 NaN            NaN
  1253.76        500.000        95.5128                 NaN            NaN  0.692203       0.575584                 NaN  0.563686       0.319710                 NaN   2.33605                 NaN            NaN
  1252.46        500.000        95.7309                 NaN            NaN  0.541216       0.661997                 NaN  0.537308       0.305904                 NaN   2.22270                 NaN            NaN
