|6.6.6
Archiving\03_Data\eqfracLP/QFM_m0.5/ALH/ALH_3.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             Sp(TH)         Sp(TH)         San(TH)        ilm            q             
  1519.23        500.000        99.9105       0.650676E-001  0.243899E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.93        500.000        99.5951       0.338946       0.659550E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.63        500.000        99.5202       0.472380       0.742720E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.33        500.000        99.5221       0.470374       0.749300E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.02        500.000        99.5234       0.470350       0.629802E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.72        500.000        99.5300       0.463716       0.627056E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.42        500.000        99.5315       0.462891       0.562266E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.12        500.000        99.5343       0.459904       0.582657E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.82        500.000        99.5349       0.460364       0.470169E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.52        500.000        99.5410       0.454764       0.422772E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.22        500.000        99.5429       0.452372       0.477093E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.92        500.000        99.5439       0.452542       0.358265E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.61        500.000        99.5482       0.449034       0.273987E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.31        500.000        99.5479       0.449867       0.225436E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.01        500.000        99.5536       0.444951       0.147107E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.71        500.000        99.5555       0.442181       0.230917E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.41        500.000        99.5586       0.436844       0.459228E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.11        500.000        99.5650       0.393681       0.412751E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.81        500.000        99.5638       0.436175                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.50        500.000        99.5647       0.435286                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.20        500.000        99.5789       0.354721       0.663867E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.90        500.000        99.5700       0.429994                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.60        500.000        99.5718       0.428155       0.998213E-006            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1489.30        500.000        99.5739       0.426124                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1488.00        500.000        99.5768       0.423159                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.70        500.000        99.5778       0.422174                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1485.40        500.000        99.5785       0.421505                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.09        500.000        99.5828       0.417189                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.79        500.000        99.5364       0.459012       0.461274E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1481.49        500.000        99.6345       0.365499                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1480.19        500.000        99.5884       0.411598                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1478.89        500.000        99.5902       0.409813                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1477.59        500.000        99.5921       0.407891                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1476.29        500.000        99.5191       0.137303       0.216503E-005  0.343607                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1474.98        500.000        99.4696                 NaN            NaN  0.530411                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1473.68        500.000        99.4746       0.654772E-001            NaN  0.459900                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1472.38        500.000        99.4626                 NaN            NaN  0.537419                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1471.08        500.000        99.4962                 NaN            NaN  0.503839                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1469.78        500.000        99.4411                 NaN            NaN  0.558907                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1468.48        500.000        99.4654                 NaN            NaN  0.534647                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1467.18        500.000        99.4609                 NaN  0.878165E-006  0.539078                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1465.88        500.000        99.4571                 NaN  0.102286E-005  0.542874                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1464.57        500.000        99.4546                 NaN            NaN  0.545365                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1463.27        500.000        99.1879                 NaN  0.240387E-005  0.392769       0.419286                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1461.97        500.000        99.0453                 NaN            NaN  0.388287       0.566406                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1460.67        500.000        99.2280                 NaN            NaN  0.314051       0.457901                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1459.37        500.000        99.4072                 NaN            NaN  0.350524       0.242251                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1458.07        500.000        98.8962                 NaN            NaN  0.340853       0.762968                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1456.77        500.000        99.1616                 NaN            NaN  0.497786       0.340657                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1455.46        500.000        99.5876                 NaN            NaN  0.245027       0.167338                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1454.16        500.000        98.7547                 NaN            NaN  0.506471       0.738827                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1452.86        500.000        99.1827                 NaN            NaN  0.331702       0.485577                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1451.56        500.000        99.1889                 NaN  0.232196E-005  0.329291       0.481797                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1450.26        500.000        99.5185                 NaN  0.103166E-005  0.286615       0.194855                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1448.96        500.000        98.8770                 NaN  0.438709E-005  0.667196       0.455817                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1447.66        500.000        99.2091                 NaN  0.182765E-005  0.320817       0.470117                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1446.36        500.000        99.2142                 NaN  0.573354E-005  0.467000       0.318792                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
