|6.6.6
Archiving\03_Data\frac/QFM_m5/Y98/Y98_1.tab                               
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          20
T(K)           P(bar)         melt(TH)       melt(TH)       melt(TH)       melt(TH)       pxmn           iron           Ni             Sp(TH)         Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  2000.00        2500.00        96.7654                 NaN            NaN            NaN  0.970428        2.24033       0.238190E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1997.49        2500.00        96.7443                 NaN            NaN            NaN  0.970486        2.26136       0.238204E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1994.99        2500.00        96.7233                 NaN            NaN            NaN  0.970544        2.28231       0.238218E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1992.48        2500.00        96.6959                 NaN            NaN            NaN  0.970620        2.30966       0.238237E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1989.97        2500.00        96.6815                 NaN            NaN            NaN  0.970659        2.32398       0.238247E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.47        2500.00        96.6608                 NaN            NaN            NaN  0.970717        2.34469       0.238261E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1984.96        2500.00        96.6401                 NaN            NaN            NaN  0.970774        2.36533       0.238275E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1982.46        2500.00        96.6254                 NaN            NaN            NaN  0.970814        2.37994       0.238285E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1979.95        2500.00        96.5989                 NaN            NaN            NaN  0.970887        2.40634       0.238303E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.44        2500.00        96.5784                 NaN            NaN            NaN  0.970944        2.42678       0.238316E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.94        2500.00        96.5581                 NaN            NaN            NaN  0.971000        2.44706       0.238330E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1972.43        2500.00        96.5378                 NaN            NaN            NaN  0.971056        2.46730       0.238344E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1969.92        2500.00        96.5176                 NaN            NaN            NaN  0.971112        2.48744       0.238358E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.42        2500.00        96.4945                 NaN            NaN            NaN  0.971175        2.51051       0.238373E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.91        2500.00        96.4774                 NaN            NaN            NaN  0.971223        2.52752       0.238385E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1962.41        2500.00        96.4574                 NaN            NaN            NaN  0.971278        2.54745       0.238398E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1959.90        2500.00        96.4376                 NaN            NaN            NaN  0.971332        2.56727       0.238412E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1957.39        2500.00        96.4177                 NaN            NaN            NaN  0.971387        2.58704       0.238425E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1954.89        2500.00        96.4002                 NaN            NaN            NaN  0.971435        2.60448       0.238437E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1952.38        2500.00        96.3783                 NaN            NaN            NaN  0.971496        2.62631       0.238452E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1949.87        2500.00        96.3588                 NaN            NaN            NaN  0.971550        2.64585       0.238465E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1947.37        2500.00        96.3393                 NaN            NaN            NaN  0.971604        2.66528       0.238478E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1944.86        2500.00        96.3198                 NaN            NaN            NaN  0.971657        2.68465       0.238492E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
