|6.6.6
Archiving\03_Data\eq/QFM_m1/TIS/TIS_3.tab                                 
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         melt(TH)       pxmn           Ni             O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an            
  2000.00        2500.00        99.1911       0.803255       0.566381E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        2500.00        99.1910       0.803336       0.566385E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        2500.00        99.1909       0.803417       0.566390E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        2500.00        99.1908       0.803497       0.566394E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        2500.00        99.1908       0.803578       0.566399E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        2500.00        99.1907       0.803659       0.566404E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        2500.00        99.1906       0.803740       0.566409E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        2500.00        99.1905       0.803821       0.566414E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        2500.00        99.1904       0.803902       0.566419E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        2500.00        99.1904       0.803983       0.566424E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        2500.00        99.1903       0.804064       0.566429E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        2500.00        99.1902       0.804145       0.566434E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        2500.00        99.1901       0.804226       0.566440E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        2500.00        99.1900       0.804307       0.566445E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        2500.00        99.1899       0.804388       0.566451E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        2500.00        99.1899       0.804469       0.566457E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        2500.00        99.1898       0.804550       0.566463E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        2500.00        99.1897       0.804631       0.566469E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        2500.00        99.1896       0.804712       0.566475E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        2500.00        99.1895       0.804794       0.566481E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        2500.00        99.1895       0.804875       0.566487E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        2500.00        99.1894       0.804956       0.566494E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        2500.00        99.1893       0.805037       0.566500E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        2500.00        99.1892       0.805119       0.566507E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        2500.00        99.1891       0.805200       0.566514E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        2500.00        99.1891       0.805281       0.566520E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        2500.00        99.1890       0.805363       0.566527E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        2500.00        99.1889       0.805444       0.566534E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        2500.00        99.1888       0.805525       0.566541E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        2500.00        99.1887       0.805607       0.566548E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        2500.00        99.1886       0.805688       0.566555E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        2500.00        99.1886       0.805770       0.566563E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        2500.00        99.1885       0.805852       0.566570E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        2500.00        99.1884       0.805933       0.566577E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        2500.00        99.1883       0.806014       0.566585E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        2500.00        99.1882       0.806096       0.566593E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        2500.00        99.1882       0.806177       0.566600E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        2500.00        99.1881       0.806259       0.566608E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        2500.00        99.1880       0.806340       0.566616E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        2500.00        99.1879       0.806422       0.566624E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        2500.00        99.1878       0.806504       0.566632E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        2500.00        99.1877       0.806585       0.566640E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        2500.00        99.1877       0.806667       0.566648E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        2500.00        99.1876       0.806748       0.566657E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        2500.00        99.1875       0.806830       0.566665E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        2500.00        99.1874       0.806911       0.566674E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        2500.00        99.1873       0.806993       0.566682E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        2500.00        99.1873       0.807075       0.566691E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        2500.00        99.1872       0.807157       0.566700E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        2500.00        99.1871       0.807238       0.566709E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        2500.00        99.1870       0.807320       0.566717E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1836.54        2500.00        99.1869       0.807401       0.566726E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1833.33        2500.00        99.1868       0.807483       0.566735E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1830.13        2500.00        99.1868       0.807565       0.566745E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1826.92        2500.00        99.1867       0.807646       0.566754E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1823.72        2500.00        99.1866       0.807728       0.566763E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1820.51        2500.00        99.1865       0.807810       0.566773E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1817.31        2500.00        99.1864       0.807892       0.566782E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1814.10        2500.00        99.1864       0.807973       0.566791E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1810.90        2500.00        99.1863       0.808055       0.566801E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1807.69        2500.00        99.1862       0.808137       0.566811E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1804.49        2500.00        99.1861       0.808218       0.566820E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1801.28        2500.00        99.1860       0.808300       0.566830E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1798.08        2500.00        99.1859       0.808382       0.566840E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1794.87        2500.00        99.1859       0.808464       0.566850E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1791.67        2500.00        99.1858       0.808545       0.566860E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1788.46        2500.00        99.1857       0.808627       0.566870E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1785.26        2500.00        99.1856       0.808709       0.566880E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1782.05        2500.00        99.1855       0.808790       0.566890E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1778.85        2500.00        99.1855       0.808872       0.566901E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1775.64        2500.00        99.1854       0.808954       0.566911E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1772.44        2500.00        99.1853       0.809036       0.566922E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1769.23        2500.00        99.1852       0.809118       0.566932E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1766.03        2500.00        99.1851       0.809199       0.566943E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1762.82        2500.00        99.1851       0.809280       0.566953E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1759.62        2500.00        99.1850       0.809362       0.566964E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1756.41        2500.00        99.1849       0.809444       0.566974E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1753.21        2500.00        99.1848       0.809525       0.566985E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1750.00        2500.00        99.1847       0.809607       0.566996E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1746.79        2500.00        99.1846       0.809689       0.567007E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1743.59        2500.00        99.1846       0.809771       0.567018E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1740.38        2500.00        99.1845       0.809852       0.567029E-002            NaN            NaN            NaN            NaN            NaN            NaN
