|6.6.6
Archiving\03_Data\eqLP/QFM_m4.75/KHA22/KHA22_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         melt(TH)       mang           iron           Ni             O(HP)          pxmn           Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ab            
  2000.00        500.000        99.5912       0.364513       0.555913E-002  0.387071E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        500.000        99.5508       0.364555       0.459751E-001  0.387116E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        500.000        99.5103       0.364597       0.864005E-001  0.387161E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        500.000        99.4698       0.364640       0.126835       0.387206E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        500.000        99.4293       0.364682       0.167279       0.387251E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        500.000        99.3888       0.364724       0.207733       0.387296E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        500.000        99.3483       0.364767       0.248196       0.387341E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        500.000        99.3078       0.364809       0.288668       0.387386E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        500.000        99.2673       0.364851       0.329150       0.387431E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        500.000        99.2503       0.364869       0.346132       0.387450E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        500.000        99.2333       0.364887       0.363116       0.387469E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        500.000        99.2162       0.364905       0.380102       0.387488E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        500.000        99.1992       0.364923       0.397089       0.387507E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        500.000        99.1822       0.364940       0.414078       0.387525E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        500.000        99.1652       0.364958       0.431068       0.387544E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        500.000        99.1482       0.364976       0.448061       0.387563E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        500.000        99.1312       0.364994       0.465054       0.387582E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        500.000        99.0996       0.365027       0.496624       0.387617E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        500.000        99.0680       0.365060       0.528200       0.387652E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        500.000        99.0364       0.365093       0.559781       0.387687E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        500.000        99.0047       0.365126       0.591368       0.387722E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        500.000        98.9731       0.365159       0.622960       0.387758E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        500.000        98.9415       0.365192       0.654559       0.387793E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        500.000        98.9098       0.365225       0.686163       0.387828E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        500.000        98.8782       0.365258       0.717772       0.387863E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        500.000        98.8471       0.365291       0.748806       0.387897E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        500.000        98.8160       0.365323       0.779845       0.387932E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        500.000        98.7850       0.365356       0.810890       0.387966E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        500.000        98.7539       0.365388       0.841940       0.388001E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        500.000        98.2436       0.365402       0.855800       0.383540E-001  0.496892                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        500.000        97.4610       0.365405       0.858651       0.376429E-001   1.27733                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        500.000        96.6935       0.365406       0.859754       0.369312E-001   2.04442                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        500.000        95.9260       0.365407       0.860857       0.362195E-001   2.81151                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        500.000        95.1791       0.365405       0.859838       0.355103E-001   3.56012                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        500.000        94.4322       0.365404       0.858820       0.348012E-001   4.30873                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        500.000        93.3857       0.286685       0.875710       0.338842E-001   5.27263       0.145426                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        500.000        91.5280                 NaN  0.943394       0.324347E-001   6.82114       0.675065                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        500.000        90.8320                 NaN  0.935894       0.317271E-001   7.52536       0.675049                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        500.000        90.1360                 NaN  0.928395       0.310196E-001   8.22956       0.675034                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        500.000        89.4400                 NaN  0.920896       0.303122E-001   8.93373       0.675019                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        500.000        88.7441                 NaN  0.913398       0.296048E-001   9.63786       0.675004                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        500.000        88.0770                 NaN  0.900658       0.288839E-001   10.3184       0.674979                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        500.000        87.4100                 NaN  0.887919       0.281630E-001   10.9990       0.674953                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        500.000        86.7430                 NaN  0.875181       0.274422E-001   11.6794       0.674928                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        500.000        86.0761                 NaN  0.862443       0.267215E-001   12.3599       0.674903                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        500.000        85.4158                 NaN  0.845641       0.259909E-001   13.0309       0.674870       0.678310E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        500.000        84.7565                 NaN  0.827691       0.252833E-001   13.6900       0.674834       0.256636E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        500.000        84.0980                 NaN  0.805930       0.245408E-001   14.3523       0.674791       0.444450E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        500.000        83.4396                 NaN  0.784172       0.237985E-001   15.0145       0.674749       0.632241E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        500.000        82.8044                 NaN  0.756166       0.230429E-001   15.6604       0.674694       0.813012E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        500.000        82.1693                 NaN  0.728165       0.222874E-001   16.3062       0.674639       0.993755E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1836.54        500.000        81.5343                 NaN  0.700169       0.215320E-001   16.9519       0.674584       0.117447                 NaN            NaN            NaN            NaN            NaN            NaN
  1833.33        500.000        80.8995                 NaN  0.672177       0.207768E-001   17.5975       0.674529       0.135515                 NaN            NaN            NaN            NaN            NaN            NaN
  1830.13        500.000        80.2647                 NaN  0.644190       0.200217E-001   18.2430       0.674474       0.153580                 NaN            NaN            NaN            NaN            NaN            NaN
  1826.92        500.000        79.6301                 NaN  0.616207       0.192667E-001   18.8884       0.674419       0.171643                 NaN            NaN            NaN            NaN            NaN            NaN
  1823.72        500.000        78.9955                 NaN  0.588229       0.185118E-001   19.5337       0.674364       0.189702                 NaN            NaN            NaN            NaN            NaN            NaN
  1820.51        500.000        78.3610                 NaN  0.560256       0.177571E-001   20.1789       0.674309       0.207759                 NaN            NaN            NaN            NaN            NaN            NaN
  1817.31        500.000        77.7502                 NaN  0.520986       0.169627E-001   20.8128       0.674233       0.224840                 NaN            NaN            NaN            NaN            NaN            NaN
  1814.10        500.000        77.1394                 NaN  0.481726       0.161685E-001   21.4466       0.674156       0.241917                 NaN            NaN            NaN            NaN            NaN            NaN
  1810.90        500.000        76.5288                 NaN  0.442474       0.153744E-001   22.0803       0.674079       0.258991                 NaN            NaN            NaN            NaN            NaN            NaN
  1807.69        500.000        75.9183                 NaN  0.403231       0.145806E-001   22.7138       0.674003       0.276060                 NaN            NaN            NaN            NaN            NaN            NaN
  1804.49        500.000        75.3080                 NaN  0.363997       0.137869E-001   23.3472       0.673926       0.293126                 NaN            NaN            NaN            NaN            NaN            NaN
  1801.28        500.000        74.6978                 NaN  0.324772       0.129934E-001   23.9804       0.673849       0.310188                 NaN            NaN            NaN            NaN            NaN            NaN
