|6.6.6
Archiving\03_Data\DeqfracLP/QFM_m4/T13/T13_1.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1602.56        500.000        99.9962       0.376306E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.05        500.000        99.0440       0.955985       0.234256E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.54        500.000        99.0145       0.980748       0.478566E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1598.03        500.000        98.4789        1.43813       0.829263E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.52        500.000        99.5862       0.391648       0.221206E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1595.01        500.000        99.0455       0.905432       0.490700E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.50        500.000        99.0532       0.899461       0.473433E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.99        500.000        99.0710       0.882803       0.462071E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.48        500.000        99.0756       0.877940       0.465079E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        500.000        99.6670       0.316380       0.166213E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.46        500.000        98.5164        1.41093       0.727172E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.95        500.000        98.2222        1.67698       0.100810                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.44        500.000        99.9673                 NaN  0.327089E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.93        500.000        99.1718       0.826418       0.175836E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.42        500.000        99.1311       0.830029       0.388853E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.91        500.000        99.1383       0.823579       0.381148E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.40        500.000        99.1262       0.837773       0.360067E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.89        500.000        99.1734       0.791208       0.353719E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.38        500.000        99.1588       0.808012       0.331609E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.87        500.000        99.1750       0.790536       0.344338E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.36        500.000        99.0505       0.895790       0.536937E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.85        500.000        99.3182       0.666347       0.154206E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.34        500.000        99.1380       0.861279       0.695356E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.83        500.000        99.2588       0.682767       0.584772E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.32        500.000        99.2060       0.767281       0.267598E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.81        500.000        99.2157       0.758071       0.262779E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.30        500.000        99.2239       0.748865       0.272355E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.79        500.000        99.2297       0.744470       0.258238E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.28        500.000        99.0271       0.937613       0.352656E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.76        500.000        99.4566       0.525227       0.181835E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.25        500.000        99.2412       0.742063       0.166912E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.74        500.000        99.2563       0.723633       0.200666E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.23        500.000        99.2632       0.717451       0.193790E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.72        500.000        99.2648       0.713347       0.219002E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.21        500.000        99.2798       0.675370       0.448641E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.70        500.000        99.2824       0.707790       0.982581E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.19        500.000        99.2867       0.694309       0.189451E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.68        500.000        99.2905       0.702806       0.673059E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.17        500.000        99.2956       0.704367                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.66        500.000        99.3041       0.681544       0.143211E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.15        500.000        99.3091       0.679115       0.117644E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.64        500.000        99.3134       0.674866       0.117358E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.13        500.000        99.3207       0.668623       0.106699E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.62        500.000        98.5462        1.45130       0.250907E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.11        500.000        99.9271       0.641444E-001  0.880436E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.60        500.000        99.7387       0.210539       0.507651E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.09        500.000        99.9780       0.208433E-001  0.115380E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.58        500.000        98.4893        1.51072                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.07        500.000        99.3483       0.651735                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.56        500.000        99.3578       0.622249       0.199383E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.05        500.000        99.3593       0.640677                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.54        500.000        98.7270        1.26545       0.751362E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.03        500.000        99.9300       0.648370E-001  0.516704E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.52        500.000        99.5806       0.398924       0.204909E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.01        500.000        99.2596       0.683654       0.567728E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.50        500.000        99.3868       0.522491       0.907268E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.99        500.000        99.3988       0.601225                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.48        500.000        99.3944       0.605583                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.97        500.000        99.3928       0.607151                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.46        500.000        99.3973       0.602664                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.95        500.000        99.4023       0.597692                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.44        500.000        99.4085       0.591488                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.93        500.000        99.4110       0.588977                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.42        500.000        99.4145       0.585511                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
