|6.6.6
Archiving\03_Data\Deqfrac/QFM_m2.25/K22/K22_1.tab                     
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            ne             lc            
  1628.21        2500.00       0.153213E-001   99.1202       0.864492                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.64        2500.00                 NaN   99.4471       0.482897       0.700485E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1625.06        2500.00                 NaN   98.4679        1.45403       0.780978E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1623.49        2500.00                 NaN   98.9682       0.929672       0.102147                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.91        2500.00                 NaN   98.9689       0.929833       0.101313                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1620.34        2500.00                 NaN   99.0055       0.896326       0.981430E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1618.76        2500.00                 NaN   99.0058       0.897445       0.967424E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1617.19        2500.00                 NaN   99.0157       0.887262       0.970267E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1615.61        2500.00                 NaN   99.0235       0.882799       0.936650E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        2500.00                 NaN   99.0328       0.873273       0.938969E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1612.47        2500.00                 NaN   99.0492       0.859517       0.913076E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1610.89        2500.00                 NaN   99.0551       0.854146       0.907855E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.32        2500.00                 NaN   99.0238       0.884355       0.918535E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1607.74        2500.00                 NaN   99.1111       0.804899       0.840359E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.17        2500.00                 NaN   99.0840       0.829412       0.866171E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.59        2500.00                 NaN   99.0923       0.822396       0.852603E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1603.02        2500.00                 NaN   99.1007       0.815358       0.839226E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.44        2500.00                 NaN   99.1087       0.808836       0.824980E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.87        2500.00                 NaN   99.1123       0.808128       0.795957E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1598.30        2500.00                 NaN   98.2804        1.55839       0.161194                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.72        2500.00                 NaN   99.8892       0.100142       0.106343E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1595.15        2500.00                 NaN   99.2501       0.681776       0.680864E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.57        2500.00                 NaN   99.1475       0.777608       0.749409E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1592.00        2500.00                 NaN   98.8387        1.05428       0.107007                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.42        2500.00                 NaN   99.4956       0.459423       0.449560E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.85        2500.00                 NaN   99.1716       0.755698       0.727313E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.27        2500.00                 NaN   99.1856       0.742870       0.715673E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.70        2500.00                 NaN   99.1920       0.747568       0.604797E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.13        2500.00                 NaN   99.1966       0.723617       0.797561E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.55        2500.00                 NaN   99.2031       0.728933       0.680096E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1580.98        2500.00                 NaN   99.2120       0.721026       0.669467E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.40        2500.00                 NaN   99.2142       0.717295       0.684729E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1577.83        2500.00                 NaN   99.2330       0.702121       0.648298E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.25        2500.00                 NaN   99.2308       0.705324       0.638919E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1574.68        2500.00                 NaN   99.2408       0.695712       0.635123E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.10        2500.00                 NaN   99.2443       0.673088       0.826138E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.53        2500.00                 NaN   99.2524       0.708384       0.391900E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.95        2500.00                 NaN   99.2571       0.682876       0.599764E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.38        2500.00                 NaN   99.2645       0.670254       0.652431E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.81        2500.00                 NaN   99.2716       0.676464       0.519476E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1565.23        2500.00                 NaN   99.2739       0.670126       0.560066E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.66        2500.00                 NaN   99.2855       0.658848       0.556766E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1562.08        2500.00                 NaN   99.2894       0.654921       0.556405E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.51        2500.00                 NaN   98.4468        1.44981       0.103364                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.93        2500.00                 NaN   99.9899       0.101231E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.36        2500.00                 NaN   99.6867       0.289576       0.237292E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.78        2500.00                 NaN   99.0767       0.856025       0.672878E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.21        2500.00                 NaN   99.3154       0.636467       0.480853E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.64        2500.00                 NaN   99.3209       0.628225       0.508252E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.06        2500.00                 NaN   99.6037       0.367122       0.291944E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.49        2500.00                 NaN   99.0515       0.881988       0.665274E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
