|6.6.6
Archiving\03_Data\eqfrac/QFM_m1/LAR/LAR_1.tab                             
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        O(HP)          an             San(TH)        San(TH)        ilm            q             
  1413.46        2500.00       0.191267E-001   88.5771        7.63151        3.28557                 NaN  0.486719                 NaN            NaN            NaN            NaN            NaN
  1412.42        2500.00       0.166401E-003   99.4911       0.153898       0.335251                 NaN  0.195603E-001            NaN            NaN            NaN            NaN            NaN
  1411.39        2500.00       0.152420E-003   99.4924       0.153758       0.334351                 NaN  0.193143E-001            NaN            NaN            NaN            NaN            NaN
  1410.35        2500.00       0.354981E-003   99.0544       0.286233       0.623337                 NaN  0.357147E-001            NaN            NaN            NaN            NaN            NaN
  1409.32        2500.00       0.184172E-004   99.9241       0.238463E-001  0.494632E-001            NaN  0.252860E-002            NaN            NaN            NaN            NaN            NaN
  1408.28        2500.00       0.124912E-003   99.5130       0.150006       0.319624                 NaN  0.172763E-001            NaN            NaN            NaN            NaN            NaN
  1407.24        2500.00       0.112962E-003   99.4975       0.330363       0.154545                 NaN  0.174765E-001            NaN            NaN            NaN            NaN            NaN
  1406.21        2500.00       0.109052E-003   99.4987       0.329117       0.155001                 NaN  0.170431E-001            NaN            NaN            NaN            NaN            NaN
  1405.17        2500.00       0.927306E-004   99.4892       0.335257       0.158432                 NaN  0.170155E-001            NaN            NaN            NaN            NaN            NaN
  1404.13        2500.00                 NaN   99.2777       0.334957       0.174790                 NaN  0.843182E-001  0.128186                 NaN            NaN            NaN            NaN
  1403.10        2500.00       0.131247E-002   98.9016       0.215332       0.361536                 NaN  0.191928       0.328258                 NaN            NaN            NaN            NaN
  1402.06        2500.00                 NaN   98.9140       0.205107       0.362480                 NaN  0.193328       0.325043                 NaN            NaN            NaN            NaN
  1401.03        2500.00                 NaN   98.8972       0.368435       0.207031                 NaN  0.197347       0.329964                 NaN            NaN            NaN            NaN
  1399.99        2500.00                 NaN   98.9568       0.349643       0.193199                 NaN  0.188349       0.312040                 NaN            NaN            NaN            NaN
  1398.95        2500.00                 NaN   98.8947       0.317348       0.315764                 NaN  0.149090       0.323084                 NaN            NaN            NaN            NaN
  1397.92        2500.00                 NaN   98.9964       0.389894       0.687269E-001            NaN  0.237078       0.307940                 NaN            NaN            NaN            NaN
  1396.88        2500.00                 NaN   98.9618       0.185866       0.349821                 NaN  0.191994       0.310517                 NaN            NaN            NaN            NaN
  1395.84        2500.00                 NaN   98.9676       0.181231       0.348469                 NaN  0.193552       0.309124                 NaN            NaN            NaN            NaN
  1394.81        2500.00                 NaN   98.9762       0.348184       0.176769                 NaN  0.192763       0.306075                 NaN            NaN            NaN            NaN
  1393.77        2500.00                 NaN   98.9924       0.341075       0.175254                 NaN  0.190258       0.301014                 NaN            NaN            NaN            NaN
  1392.74        2500.00                 NaN   98.9963       0.341216       0.170294                 NaN  0.191982       0.300203                 NaN            NaN            NaN            NaN
  1391.70        2500.00                 NaN   99.0060       0.338572       0.166475                 NaN  0.191717       0.297221                 NaN            NaN            NaN            NaN
  1390.66        2500.00                 NaN   99.0147       0.336818       0.162127                 NaN  0.191566       0.294743                 NaN            NaN            NaN            NaN
  1389.63        2500.00                 NaN   99.0227       0.158813       0.334696                 NaN  0.191504       0.292253                 NaN            NaN            NaN            NaN
  1388.59        2500.00                 NaN   98.8784       0.179581       0.387898                 NaN  0.219954       0.334204                 NaN            NaN            NaN            NaN
  1387.55        2500.00                 NaN   99.1888       0.279568       0.128089                 NaN  0.161262       0.242270                 NaN            NaN            NaN            NaN
  1386.52        2500.00                 NaN   99.0472       0.148389       0.328506                 NaN  0.191059       0.284803                 NaN            NaN            NaN            NaN
  1385.48        2500.00                 NaN   99.0549       0.326598       0.145330                 NaN  0.190778       0.282389                 NaN            NaN            NaN            NaN
  1384.45        2500.00                 NaN   99.0620       0.142419       0.324543                 NaN  0.190818       0.280221                 NaN            NaN            NaN            NaN
  1383.41        2500.00                 NaN   99.0683       0.323255       0.137814                 NaN  0.191858       0.278730                 NaN            NaN            NaN            NaN
  1382.37        2500.00                 NaN   99.0801       0.320079       0.136710                 NaN  0.188816       0.274341                 NaN            NaN            NaN            NaN
  1381.34        2500.00                 NaN   99.0860       0.132586       0.318521                 NaN  0.189938       0.272950                 NaN            NaN            NaN            NaN
  1380.30        2500.00                 NaN   99.0458       0.333126       0.136561                 NaN  0.199659       0.284862                 NaN            NaN            NaN            NaN
  1379.26        2500.00                 NaN   99.1466       0.299031       0.120108                 NaN  0.179608       0.254641                 NaN            NaN            NaN            NaN
  1378.23        2500.00                 NaN   99.1068       0.313886       0.123427                 NaN  0.189263       0.266608                 NaN            NaN            NaN            NaN
  1377.19        2500.00                 NaN   99.1150       0.311538       0.120554                 NaN  0.188932       0.263983                 NaN            NaN            NaN            NaN
  1376.16        2500.00                 NaN   99.1213       0.309675       0.118300                 NaN  0.188652       0.262028                 NaN            NaN            NaN            NaN
  1375.12        2500.00                 NaN   99.1275       0.115355       0.308174                 NaN  0.188769       0.260234                 NaN            NaN            NaN            NaN
  1374.08        2500.00                 NaN   99.1352       0.305867       0.113199                 NaN  0.187960       0.257756                 NaN            NaN            NaN            NaN
  1373.05        2500.00                 NaN   99.1409       0.110359       0.305159                 NaN  0.187732       0.255891                 NaN            NaN            NaN            NaN
  1372.01        2500.00                 NaN   99.1477       0.303519       0.107388                 NaN  0.187564       0.253805                 NaN            NaN            NaN            NaN
  1370.97        2500.00                 NaN   99.4310       0.675525E-001  0.203574                 NaN  0.127866       0.169988                 NaN            NaN            NaN            NaN
  1369.94        2500.00                 NaN   98.8817       0.398787       0.141611                 NaN  0.245934       0.331972                 NaN            NaN            NaN            NaN
  1368.90        2500.00                 NaN   99.1674       0.990672E-001  0.298262                 NaN  0.187201       0.248052                 NaN            NaN            NaN            NaN
  1367.87        2500.00                 NaN   99.1702       0.297912       0.970961E-001            NaN  0.187679       0.247136                 NaN            NaN            NaN            NaN
  1366.83        2500.00                 NaN   99.1803       0.974375E-001  0.295961                 NaN  0.183562       0.242711                 NaN            NaN            NaN            NaN
  1365.79        2500.00                 NaN   99.1862       0.950087E-001  0.293139                 NaN  0.184170       0.241461                 NaN            NaN            NaN            NaN
  1364.76        2500.00                 NaN   99.1893       0.293713       0.910936E-001            NaN  0.185209       0.240644                 NaN            NaN            NaN            NaN
  1363.72        2500.00                 NaN   99.1975       0.290550       0.903492E-001            NaN  0.183658       0.237962                 NaN            NaN            NaN            NaN
  1362.68        2500.00                 NaN   99.4980       0.182932       0.532983E-001            NaN  0.116677       0.149121                 NaN            NaN            NaN            NaN
