|6.6.6
Archiving\03_Data\eqfrac/QFM_m3.75/EETA/EETA_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        Opx(TH)        O(HP)          an             San(TH)        ilm            q             
  1427.99        2500.00                 NaN   98.5431       0.481955       0.264898                 NaN            NaN            NaN  0.188070       0.522002                 NaN            NaN            NaN
  1426.84        2500.00                 NaN   98.5674       0.254644       0.478642                 NaN            NaN            NaN  0.186213       0.513146                 NaN            NaN            NaN
  1425.68        2500.00                 NaN   98.5848       0.247325       0.474026                 NaN            NaN            NaN  0.186135       0.507723                 NaN            NaN            NaN
  1424.52        2500.00                 NaN   98.6063       0.240009       0.468496                 NaN            NaN            NaN  0.185060       0.500113                 NaN            NaN            NaN
  1423.37        2500.00                 NaN   98.6232       0.231581       0.465954                 NaN            NaN            NaN  0.184810       0.494491                 NaN            NaN            NaN
  1422.21        2500.00                 NaN   98.6425       0.461191       0.221409                 NaN            NaN            NaN  0.185806       0.489052                 NaN            NaN            NaN
  1421.05        2500.00                 NaN   98.6678       0.453093       0.219828                 NaN            NaN            NaN  0.180822       0.478501                 NaN            NaN            NaN
  1419.90        2500.00                 NaN   98.6781       0.453848       0.209661                 NaN            NaN            NaN  0.182709       0.475654                 NaN            NaN            NaN
  1418.74        2500.00                 NaN   98.6884       0.455028       0.199091                 NaN            NaN            NaN  0.184226       0.473259                 NaN            NaN            NaN
  1417.58        2500.00                 NaN   98.7188       0.442642       0.198618                 NaN            NaN            NaN  0.178913       0.461009                 NaN            NaN            NaN
  1416.43        2500.00                 NaN   98.7313       0.442498       0.188316                 NaN            NaN            NaN  0.180489       0.457425                 NaN            NaN            NaN
  1415.27        2500.00                 NaN   98.7468       0.438860       0.181942                 NaN            NaN            NaN  0.180062       0.452321                 NaN            NaN            NaN
  1414.11        2500.00                 NaN   98.7632       0.436107       0.175255                 NaN            NaN            NaN  0.179098       0.446371                 NaN            NaN            NaN
  1412.96        2500.00                 NaN   98.7784       0.432884       0.168669                 NaN            NaN            NaN  0.178737       0.441295                 NaN            NaN            NaN
  1411.80        2500.00                 NaN   98.7939       0.429407       0.163119                 NaN            NaN            NaN  0.177770       0.435850                 NaN            NaN            NaN
  1410.64        2500.00                 NaN   98.7035       0.460626       0.170492                 NaN            NaN            NaN  0.192357       0.473070                 NaN            NaN            NaN
  1409.49        2500.00                 NaN   98.9211       0.389025       0.142002                 NaN            NaN            NaN  0.162138       0.385728                 NaN            NaN            NaN
  1408.33        2500.00                 NaN   98.8379       0.421054       0.144441                 NaN            NaN            NaN  0.175969       0.420647                 NaN            NaN            NaN
  1407.17        2500.00                 NaN   98.8526       0.139001       0.417585                 NaN            NaN            NaN  0.175338       0.415519                 NaN            NaN            NaN
  1406.02        2500.00                 NaN   98.8660       0.415086       0.133470                 NaN            NaN            NaN  0.174595       0.410809                 NaN            NaN            NaN
  1404.86        2500.00                 NaN   98.8793       0.127249       0.413175                 NaN            NaN            NaN  0.174097       0.406160                 NaN            NaN            NaN
  1403.70        2500.00                 NaN   98.8885       0.413911       0.118964                 NaN            NaN            NaN  0.175086       0.403588                 NaN            NaN            NaN
  1402.55        2500.00                 NaN   98.9102       0.404206       0.119497                 NaN            NaN            NaN  0.171150       0.394968                 NaN            NaN            NaN
  1401.39        2500.00                 NaN   98.9201       0.112420       0.404032                 NaN            NaN            NaN  0.171569       0.391847                 NaN            NaN            NaN
  1400.23        2500.00                 NaN   98.9326       0.106480       0.402189                 NaN            NaN            NaN  0.171197       0.387574                 NaN            NaN            NaN
  1399.08        2500.00                 NaN   98.9454       0.399581       0.101350                 NaN            NaN            NaN  0.170570       0.383134                 NaN            NaN            NaN
  1397.92        2500.00                 NaN   98.9563       0.966582E-001  0.397848                 NaN            NaN            NaN  0.169992       0.379229                 NaN            NaN            NaN
  1396.76        2500.00                 NaN   98.9696       0.394742       0.922385E-001            NaN            NaN            NaN  0.168865       0.374576                 NaN            NaN            NaN
  1395.61        2500.00                 NaN   98.9801       0.392864       0.873575E-001            NaN            NaN            NaN  0.168694       0.371026                 NaN            NaN            NaN
  1394.45        2500.00                 NaN   98.9920       0.389611       0.841399E-001            NaN            NaN            NaN  0.167736       0.366520                 NaN            NaN            NaN
  1393.29        2500.00                 NaN   99.0043       0.389541       0.776435E-001            NaN            NaN            NaN  0.166500       0.362056                 NaN            NaN            NaN
  1392.14        2500.00                 NaN   99.0154       0.734297E-001  0.386986                 NaN            NaN            NaN  0.165987       0.358236                 NaN            NaN            NaN
  1390.98        2500.00                 NaN   99.3886       0.242911       0.422651E-001            NaN            NaN            NaN  0.103509       0.222713                 NaN            NaN            NaN
  1389.82        2500.00                 NaN   98.6707       0.526695       0.929593E-001            NaN            NaN            NaN  0.226318       0.483355                 NaN            NaN            NaN
  1388.67        2500.00                 NaN   99.0472       0.607960E-001  0.381908                 NaN            NaN            NaN  0.163369       0.346747                 NaN            NaN            NaN
  1387.51        2500.00                 NaN   99.0580       0.380272       0.559062E-001            NaN            NaN            NaN  0.162812       0.343037                 NaN            NaN            NaN
  1386.35        2500.00                 NaN   99.0684       0.378023       0.521134E-001            NaN            NaN            NaN  0.162212       0.339295                 NaN            NaN            NaN
  1385.20        2500.00                 NaN   99.0787       0.375502       0.492450E-001            NaN            NaN            NaN  0.161036       0.335477                 NaN            NaN            NaN
  1384.04        2500.00                 NaN   99.0879       0.373805       0.457757E-001            NaN            NaN            NaN  0.160322       0.332207                 NaN            NaN            NaN
  1382.88        2500.00                 NaN   99.0983       0.372458       0.415061E-001            NaN            NaN            NaN  0.159309       0.328410                 NaN            NaN            NaN
  1381.72        2500.00                 NaN   99.1076       0.379593E-001  0.370939                 NaN            NaN            NaN  0.158502       0.324991                 NaN            NaN            NaN
  1380.57        2500.00                 NaN   99.1169       0.369363       0.345196E-001            NaN            NaN            NaN  0.157616       0.321615                 NaN            NaN            NaN
  1379.41        2500.00                 NaN   99.1236       0.371019       0.288878E-001            NaN            NaN            NaN  0.157331       0.319206                 NaN            NaN            NaN
  1378.25        2500.00                 NaN   99.1380       0.287321E-001  0.364753                 NaN            NaN            NaN  0.154851       0.313660                 NaN            NaN            NaN
  1377.10        2500.00                 NaN   99.1437       0.365179       0.246112E-001            NaN            NaN            NaN  0.154722       0.311794                 NaN            NaN            NaN
  1375.94        2500.00                 NaN   99.1534       0.219505E-001  0.363206                 NaN            NaN            NaN  0.153355       0.308067                 NaN            NaN            NaN
  1374.78        2500.00                 NaN   99.1620       0.181552E-001  0.362168                 NaN            NaN            NaN  0.152649       0.305046                 NaN            NaN            NaN
  1373.63        2500.00                 NaN   99.1703       0.361695       0.145614E-001            NaN            NaN            NaN  0.151610       0.301842                 NaN            NaN            NaN
  1372.47        2500.00                 NaN   99.1790       0.359469       0.126567E-001            NaN            NaN            NaN  0.150333       0.298540                 NaN            NaN            NaN
  1371.31        2500.00                 NaN   99.1872       0.358214       0.957203E-002            NaN            NaN            NaN  0.149479       0.295531                 NaN            NaN            NaN
  1370.16        2500.00                 NaN   99.1951       0.357382       0.679230E-002            NaN            NaN            NaN  0.148239       0.292496                 NaN            NaN            NaN
  1369.00        2500.00                 NaN   99.2035       0.441127E-002  0.355481                 NaN            NaN            NaN  0.147214       0.289442                 NaN            NaN            NaN
  1367.84        2500.00                 NaN   99.2112       0.360132E-003  0.355353                 NaN            NaN            NaN  0.146481       0.286611                 NaN            NaN            NaN
  1366.69        2500.00                 NaN   99.2172       0.345109       0.135061E-001            NaN            NaN            NaN  0.140799       0.283376                 NaN            NaN            NaN
  1365.53        2500.00                 NaN   99.2275       0.349009                 NaN            NaN            NaN            NaN  0.143227       0.280299                 NaN            NaN            NaN
  1364.37        2500.00                 NaN   99.2336       0.347891                 NaN            NaN            NaN            NaN  0.140883       0.277628                 NaN            NaN            NaN
  1363.22        2500.00                 NaN   99.2420       0.341852                 NaN            NaN            NaN            NaN  0.141357       0.274782                 NaN            NaN            NaN
  1362.06        2500.00                 NaN   99.2471       0.152094E-003  0.343548                 NaN            NaN            NaN  0.137086       0.272097                 NaN            NaN            NaN
  1360.90        2500.00                 NaN   99.2558       0.338027                 NaN            NaN            NaN            NaN  0.137030       0.269112                 NaN            NaN            NaN
  1359.75        2500.00                 NaN   99.2570       0.315392       0.364933E-001            NaN            NaN            NaN  0.124790       0.266330                 NaN            NaN            NaN
  1358.59        2500.00                 NaN   99.2694       0.332616                 NaN            NaN            NaN            NaN  0.134215       0.263769                 NaN            NaN            NaN
  1357.43        2500.00                 NaN   99.2754       0.332329                 NaN            NaN            NaN            NaN  0.131204       0.261020                 NaN            NaN            NaN
  1356.28        2500.00                 NaN   99.2747       0.330820                 NaN            NaN            NaN            NaN  0.132312       0.262135                 NaN            NaN            NaN
  1355.12        2500.00                 NaN   99.2957       0.326094       0.130532E-003            NaN            NaN            NaN  0.125787       0.252285                 NaN            NaN            NaN
  1353.96        2500.00                 NaN   99.2951       0.325095                 NaN            NaN            NaN            NaN  0.126591       0.253231                 NaN            NaN            NaN
  1352.81        2500.00                 NaN   99.3016       0.322665                 NaN            NaN            NaN            NaN  0.125054       0.250662                 NaN            NaN            NaN
  1351.65        2500.00                 NaN   99.3066       0.323186                 NaN            NaN            NaN            NaN  0.121984       0.248217                 NaN            NaN            NaN
  1350.49        2500.00                 NaN   99.3043       0.549711E-001  0.288601                 NaN            NaN            NaN  0.106011       0.246126                 NaN            NaN            NaN
  1349.34        2500.00                 NaN   99.3211       0.314985                 NaN            NaN            NaN            NaN  0.121096       0.242799                 NaN            NaN            NaN
  1348.18        2500.00                 NaN   99.3247       0.316563                 NaN            NaN            NaN            NaN  0.117782       0.240945                 NaN            NaN            NaN
  1347.02        2500.00                 NaN   99.3316       0.312774                 NaN            NaN            NaN            NaN  0.117174       0.238465                 NaN            NaN            NaN
  1345.87        2500.00                 NaN   99.3303       0.305184                 NaN            NaN            NaN            NaN  0.124173       0.240356                 NaN            NaN            NaN
  1344.71        2500.00                 NaN   99.3532       0.309763                 NaN            NaN            NaN            NaN  0.108173       0.228877                 NaN            NaN            NaN
  1343.55        2500.00                 NaN   99.3479       0.307689                 NaN            NaN            NaN            NaN  0.112547       0.231819                 NaN            NaN            NaN
  1342.40        2500.00                 NaN   99.3545       0.304246                 NaN            NaN            NaN            NaN  0.111810       0.229422                 NaN            NaN            NaN
  1341.24        2500.00                 NaN   99.3607       0.301635                 NaN            NaN            NaN            NaN  0.110815       0.226812                 NaN            NaN            NaN
  1340.08        2500.00                 NaN   99.3655       0.300743                 NaN            NaN            NaN            NaN  0.108890       0.224830                 NaN            NaN            NaN
  1338.93        2500.00                 NaN   99.3709       0.299673                 NaN            NaN            NaN            NaN  0.106876       0.222564                 NaN            NaN            NaN
  1337.77        2500.00                 NaN   99.3765       0.296839                 NaN            NaN            NaN            NaN  0.106198       0.220512                 NaN            NaN            NaN
  1336.61        2500.00                 NaN   99.3807       0.298563                 NaN            NaN            NaN            NaN  0.102487       0.218296                 NaN            NaN            NaN
  1335.46        2500.00                 NaN   99.3877       0.296645                 NaN            NaN            NaN            NaN  0.100360       0.215332                 NaN            NaN            NaN
  1334.30        2500.00                 NaN   99.3897       0.290529                 NaN            NaN            NaN            NaN  0.104245       0.215500                 NaN            NaN            NaN
  1333.14        2500.00                 NaN   99.3975       0.291552                 NaN            NaN            NaN            NaN  0.992382E-001  0.211713                 NaN            NaN            NaN
  1331.98        2500.00                 NaN   99.4012       0.291210                 NaN            NaN            NaN            NaN  0.975470E-001  0.210072                 NaN            NaN            NaN
  1330.83        2500.00                 NaN   99.4060       0.289697                 NaN            NaN            NaN            NaN  0.962037E-001  0.208138                 NaN            NaN            NaN
  1329.67        2500.00                 NaN   99.4096       0.291176                 NaN            NaN            NaN            NaN  0.929932E-001  0.206211                 NaN            NaN            NaN
  1328.51        2500.00                 NaN   99.4153       0.286977                 NaN            NaN            NaN            NaN  0.933411E-001  0.204389                 NaN            NaN            NaN
  1327.36        2500.00                 NaN   99.4194       0.286726                 NaN            NaN            NaN            NaN  0.914786E-001  0.202416                 NaN            NaN            NaN
  1326.20        2500.00                 NaN   99.4190       0.292196                 NaN            NaN            NaN            NaN  0.860013E-001  0.202834                 NaN            NaN            NaN
  1325.04        2500.00                 NaN   99.4306       0.282638                 NaN            NaN            NaN            NaN  0.893761E-001  0.197422                 NaN            NaN            NaN
  1323.89        2500.00                 NaN   99.4340       0.284864                 NaN            NaN            NaN            NaN  0.852494E-001  0.195926                 NaN            NaN            NaN
  1322.73        2500.00                 NaN   99.4405       0.270609                 NaN            NaN            NaN            NaN  0.934338E-001  0.195437                 NaN            NaN            NaN
  1321.57        2500.00                 NaN   99.4413       0.284781                 NaN            NaN            NaN            NaN  0.812148E-001  0.192697                 NaN            NaN            NaN
  1320.42        2500.00                 NaN   99.4437       0.285128                 NaN            NaN            NaN            NaN  0.793851E-001  0.191806                 NaN            NaN            NaN
  1319.26        2500.00                 NaN   99.4488       0.282514                 NaN            NaN            NaN            NaN  0.789038E-001  0.189799                 NaN            NaN            NaN
  1318.10        2500.00                 NaN   99.4539       0.282591                 NaN            NaN            NaN            NaN  0.761196E-001  0.187416                 NaN            NaN            NaN
  1316.95        2500.00                 NaN   99.4507       0.284121                 NaN            NaN            NaN            NaN  0.766848E-001  0.188519                 NaN            NaN            NaN
  1315.79        2500.00                 NaN   99.4639       0.278544                 NaN            NaN            NaN            NaN  0.736117E-001  0.183956                 NaN            NaN            NaN
  1314.63        2500.00                 NaN   99.4626       0.258118                 NaN            NaN            NaN            NaN  0.899796E-001  0.189325                 NaN            NaN            NaN
  1313.48        2500.00                 NaN   99.4754       0.279509                 NaN            NaN            NaN            NaN  0.675085E-001  0.177601                 NaN            NaN            NaN
  1312.32        2500.00                 NaN   99.4767       0.281265                 NaN            NaN            NaN            NaN  0.658961E-001  0.176184                 NaN            NaN            NaN
  1311.16        2500.00                 NaN   99.4762       0.275526                 NaN            NaN            NaN            NaN  0.697061E-001  0.178545                 NaN            NaN            NaN
  1310.01        2500.00                 NaN   99.4766       0.282219                 NaN            NaN            NaN            NaN  0.637223E-001  0.177446                 NaN            NaN            NaN
  1308.85        2500.00                 NaN   99.4783       0.286404                 NaN            NaN            NaN            NaN  0.586458E-001  0.176646                 NaN            NaN            NaN
  1307.69        2500.00                 NaN   95.5163        1.01417                 NaN            NaN            NaN            NaN  0.226147       0.678867        2.56446                 NaN            NaN
  1306.54        2500.00                 NaN   89.7008        2.12656                 NaN            NaN            NaN            NaN  0.446619        1.41932        6.30669                 NaN            NaN
  1305.38        2500.00                 NaN   90.2416        1.99915                 NaN            NaN            NaN            NaN  0.449226        1.35133        5.95868                 NaN            NaN
  1304.22        2500.00                 NaN   90.7069        1.97320                 NaN            NaN            NaN            NaN  0.390981        1.29286        5.63609                 NaN            NaN
  1303.07        2500.00                 NaN   91.1496        1.89071                 NaN            NaN            NaN            NaN  0.376010        1.23768        5.34604                 NaN            NaN
  1301.91        2500.00                 NaN   91.5239        1.84887                 NaN            NaN            NaN            NaN  0.345252        1.19075        5.09122                 NaN            NaN
  1300.75        2500.00                 NaN   91.8791        1.79707                 NaN            NaN            NaN            NaN  0.323363        1.14626        4.85422                 NaN            NaN
  1299.60        2500.00                 NaN   86.9828        2.68738                 NaN            NaN            NaN            NaN  0.491902        1.82431        7.81633       0.197231                 NaN
  1298.44        2500.00                 NaN   84.4099        3.13516                 NaN            NaN            NaN            NaN  0.608286        2.17992        9.35663       0.310087                 NaN
  1297.28        2500.00                 NaN   85.4152        2.92576                 NaN            NaN            NaN            NaN  0.601442        2.04266        8.72724       0.287673                 NaN
  1296.13        2500.00                 NaN   86.4620        2.73082                 NaN            NaN            NaN            NaN  0.570188        1.89987        8.07321       0.263909                 NaN
  1294.97        2500.00                 NaN   87.4103        2.56011                 NaN            NaN            NaN            NaN  0.535625        1.77032        7.48127       0.242414                 NaN
  1293.81        2500.00                 NaN   88.2700        2.40865                 NaN            NaN            NaN            NaN  0.500448        1.65270        6.94519       0.222974                 NaN
  1292.66        2500.00                 NaN   89.0671        2.26749                 NaN            NaN            NaN            NaN  0.465693        1.54333        6.45102       0.205345                 NaN
  1291.50        2500.00                 NaN   89.7692        2.14511                 NaN            NaN            NaN            NaN  0.433137        1.44714        6.01568       0.189782                 NaN
  1290.34        2500.00                 NaN   90.0042        2.12853                 NaN            NaN            NaN            NaN  0.412497        1.41663        5.85517       0.182945                 NaN
  1289.19        2500.00                 NaN   91.4048        1.84543                 NaN            NaN            NaN            NaN  0.355625        1.21960        5.01905       0.155533                 NaN
  1288.03        2500.00                 NaN   87.2495        2.63420                 NaN            NaN            NaN            NaN  0.416464        1.82390        7.62994       0.245991                 NaN
  1286.87        2500.00                 NaN   78.8523        1.77018        3.11320                 NaN            NaN            NaN   1.02655        3.05454        11.8419       0.341398                 NaN
  1285.72        2500.00                 NaN   99.8592                 NaN            NaN            NaN            NaN            NaN            NaN  0.116800                 NaN  0.239835E-001            NaN
  1284.56        2500.00                 NaN   96.9209       0.824713                 NaN            NaN            NaN            NaN  0.753034E-001  0.368887        1.77236       0.378257E-001            NaN
  1283.40        2500.00                 NaN   95.8711        1.07378                 NaN            NaN            NaN            NaN            NaN  0.511974        2.46638       0.767544E-001            NaN
  1282.25        2500.00                 NaN   97.4336       0.664246                 NaN            NaN            NaN            NaN  0.681658E-001  0.355021        1.45223       0.267186E-001            NaN
  1281.09        2500.00                 NaN   93.9181        1.47737                 NaN            NaN            NaN            NaN  0.145280       0.868418        3.49051       0.100324                 NaN
  1279.93        2500.00                 NaN   92.3141        1.97809                 NaN            NaN            NaN            NaN  0.503318E-001   1.09319        4.44151       0.122788                 NaN
  1278.77        2500.00                 NaN   96.1904       0.972053                 NaN            NaN            NaN            NaN  0.122100       0.548003        2.10740       0.600194E-001            NaN
  1277.62        2500.00                 NaN   91.4046        2.34957                 NaN            NaN            NaN            NaN  0.228535E-001   1.27945        4.79945       0.144084                 NaN
  1276.46        2500.00                 NaN   93.4486        1.49116                 NaN            NaN            NaN            NaN  0.194430       0.904812        3.86751       0.934917E-001            NaN
  1275.30        2500.00                 NaN   98.7839       0.322578                 NaN            NaN            NaN            NaN            NaN  0.162161       0.709823       0.214974E-001            NaN
  1274.15        2500.00                 NaN   97.3420       0.797062                 NaN            NaN            NaN            NaN            NaN  0.373096        1.45247       0.353657E-001            NaN
  1272.99        2500.00                 NaN   93.8340        1.72401                 NaN            NaN            NaN            NaN  0.185581E-001  0.871173        3.46513       0.871414E-001            NaN
  1271.83        2500.00                 NaN   95.5037        1.23964                 NaN            NaN            NaN            NaN  0.206541E-001  0.640328        2.53087       0.648440E-001            NaN
  1270.68        2500.00                 NaN   93.9528        1.53775                 NaN            NaN            NaN            NaN  0.622595E-001  0.860363        3.49851       0.882811E-001            NaN
  1269.52        2500.00                 NaN   97.4133       0.781543                 NaN            NaN            NaN            NaN            NaN  0.365781        1.39934       0.400203E-001            NaN
  1268.36        2500.00                 NaN   92.5527        2.08836                 NaN            NaN            NaN            NaN            NaN   1.10944        4.14376       0.105738                 NaN
  1267.21        2500.00                 NaN   96.2258       0.922709                 NaN            NaN            NaN            NaN            NaN  0.449567        2.33554       0.664231E-001            NaN
  1266.05        2500.00                 NaN   98.7223       0.468476                 NaN            NaN            NaN            NaN            NaN  0.212760       0.596479                 NaN            NaN
  1264.89        2500.00                 NaN   89.6176        2.97919                 NaN            NaN            NaN            NaN            NaN   1.52219        5.75799       0.122991                 NaN
  1263.74        2500.00                 NaN   99.9999       0.334086E-004            NaN            NaN            NaN            NaN  0.751436E-005  0.232772E-004  0.576595E-004  0.179538E-005            NaN
  1262.58        2500.00                 NaN   94.0553        1.60163                 NaN            NaN            NaN            NaN            NaN  0.830704        3.43097       0.813731E-001            NaN
  1261.42        2500.00                 NaN  100.0000       0.678995E-005            NaN            NaN            NaN            NaN            NaN  0.149868E-005  0.426080E-005            NaN            NaN
  1260.27        2500.00       0.128035E-005  100.0000       0.163446E-005            NaN            NaN            NaN            NaN            NaN  0.131812E-005  0.149304E-004            NaN            NaN
  1259.11        2500.00                 NaN   94.4295        1.49785                 NaN            NaN            NaN            NaN            NaN  0.780117        3.21511       0.773989E-001            NaN
  1257.95        2500.00                 NaN   96.7907       0.859867                 NaN            NaN            NaN            NaN            NaN  0.452294        1.85451       0.425864E-001            NaN
  1256.80        2500.00                 NaN   95.4378       0.876851                 NaN            NaN            NaN            NaN            NaN  0.631254        2.96502       0.891061E-001            NaN
  1255.64        2500.00                 NaN   99.4275       0.925773E-001            NaN            NaN            NaN            NaN            NaN  0.752087E-001  0.390353       0.144098E-001            NaN
  1254.48        2500.00                 NaN   96.0060        1.59208                 NaN            NaN            NaN            NaN            NaN  0.616077        1.75349       0.323463E-001            NaN
  1253.33        2500.00                 NaN   93.6710        1.56485                 NaN            NaN            NaN            NaN            NaN  0.778878        3.90449       0.807913E-001            NaN
  1252.17        2500.00                 NaN   99.8909       0.312257E-001            NaN            NaN            NaN            NaN            NaN  0.144559E-001  0.618305E-001  0.155241E-002            NaN
  1251.01        2500.00                 NaN   99.8803       0.288111E-001            NaN            NaN            NaN            NaN            NaN  0.156394E-001  0.730966E-001  0.219145E-002            NaN
  1249.86        2500.00                 NaN   99.8569       0.556354E-001            NaN            NaN            NaN            NaN            NaN  0.291235E-001  0.552601E-001  0.303549E-002            NaN
  1248.70        2500.00                 NaN   91.5065        1.26991                 NaN            NaN            NaN            NaN            NaN  0.984617        6.03880       0.200135                 NaN
  1247.54        2500.00                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1246.39        2500.00                 NaN   97.5601        1.53235                 NaN            NaN            NaN            NaN            NaN  0.567525       0.340030                 NaN            NaN
  1245.23        2500.00                 NaN   95.1478       0.852536                 NaN            NaN            NaN            NaN            NaN  0.604246        3.36040       0.350203E-001            NaN
  1244.07        2500.00                 NaN   99.3298       0.498636E-002            NaN            NaN            NaN            NaN            NaN  0.748173E-001  0.576404       0.140248E-001            NaN
  1242.92        2500.00                 NaN   99.5827       0.504245E-001  0.285789                 NaN            NaN            NaN            NaN  0.810572E-001            NaN            NaN            NaN
  1241.76        2500.00                 NaN   96.9614        1.13704                 NaN            NaN            NaN            NaN            NaN  0.410644        1.49095                 NaN            NaN
  1240.60        2500.00                 NaN   99.6555       0.230306                 NaN            NaN            NaN            NaN            NaN  0.702778E-001  0.328721E-001  0.110345E-001            NaN
  1239.45        2500.00                 NaN   98.2579       0.171618       0.208491                 NaN            NaN            NaN            NaN  0.211622        1.12681       0.236058E-001            NaN
  1238.29        2500.00                 NaN   98.1992       0.460345                 NaN            NaN            NaN            NaN            NaN  0.241462        1.07550       0.234460E-001            NaN
  1237.13        2500.00                 NaN   99.4402       0.211652                 NaN            NaN            NaN            NaN            NaN  0.107852       0.222750       0.175413E-001            NaN
  1235.98        2500.00                 NaN   94.1653        1.39170                 NaN            NaN            NaN            NaN            NaN  0.692154        3.67310       0.777957E-001            NaN
  1234.82        2500.00                 NaN   99.3716       0.166011                 NaN            NaN            NaN            NaN            NaN  0.895494E-001  0.366397       0.646509E-002            NaN
  1233.66        2500.00                 NaN   99.9938       0.199987E-002            NaN            NaN            NaN            NaN            NaN  0.104261E-002  0.315170E-002  0.317760E-004            NaN
  1232.51        2500.00                 NaN   99.9376       0.724634E-002            NaN            NaN            NaN            NaN            NaN  0.595744E-002  0.277614E-001  0.280582E-003  0.211680E-001
