|6.6.6
Archiving\03_Data\eqfrac/QFM_m3.75/EETA/EETA_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        Opx(TH)        O(HP)          an             San(TH)        ilm            q             
  1461.54        2500.00       0.522115E-004   99.8397       0.112382                 NaN            NaN            NaN  0.478858E-001            NaN            NaN            NaN            NaN            NaN
  1460.38        2500.00       0.104296E-002   99.3336       0.274315       0.391040                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1459.23        2500.00       0.847244E-003   99.2960       0.210117       0.493058                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1458.07        2500.00       0.808140E-003   99.2995       0.209252       0.490449                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1456.91        2500.00       0.789428E-003   99.3040       0.208266       0.486897                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1455.76        2500.00       0.744394E-003   99.3070       0.485173       0.207086                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1454.60        2500.00       0.699897E-003   99.3102       0.482883       0.206180                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1453.44        2500.00       0.718164E-003   99.3077       0.204246       0.487298                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1452.29        2500.00       0.652442E-003   99.3253       0.470472       0.203566                 NaN            NaN            NaN  0.543433E-005            NaN            NaN            NaN            NaN
  1451.13        2500.00       0.607332E-003   99.3213       0.203250       0.474839                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1449.97        2500.00       0.596054E-003   99.3249       0.201749       0.472769                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1448.82        2500.00       0.561443E-003   99.3279       0.201228       0.470269                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1447.66        2500.00       0.573359E-003   99.2812       0.214670       0.503546                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1446.50        2500.00       0.464819E-003   99.3838       0.184663       0.431096                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1445.35        2500.00       0.475320E-003   99.3377       0.197810       0.463967                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1444.19        2500.00       0.429404E-003   99.3407       0.461835       0.197044                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1443.03        2500.00       0.429385E-003   99.3288       0.470378       0.200399                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1441.88        2500.00       0.387885E-003   99.3605       0.190460       0.448603                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1440.72        2500.00       0.358945E-003   99.3503       0.193664       0.455675                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1439.56        2500.00       0.352595E-003   99.3525       0.192229       0.454963                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1438.41        2500.00       0.317702E-003   99.3557       0.452022       0.191982                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1437.25        2500.00       0.281210E-003   99.3581       0.450523       0.191074                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1436.09        2500.00       0.272561E-003   99.3592       0.190216       0.450312                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1434.93        2500.00       0.252334E-003   99.3641       0.446749       0.188874                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1433.78        2500.00       0.277479E-003   99.2987       0.208027       0.492997                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1432.62        2500.00       0.123888E-004   99.3430       0.214095       0.399833                 NaN            NaN            NaN            NaN  0.430235E-001            NaN            NaN            NaN
  1431.46        2500.00       0.148567E-003   98.3884       0.460452       0.689737                 NaN            NaN            NaN            NaN  0.461248                 NaN            NaN            NaN
  1430.31        2500.00       0.114883E-003   98.4088       0.681349       0.454762                 NaN            NaN            NaN            NaN  0.454947                 NaN            NaN            NaN
  1429.15        2500.00                 NaN   98.3779       0.399065       0.542932                 NaN            NaN            NaN  0.187616       0.492491                 NaN            NaN            NaN
  1427.99        2500.00                 NaN   98.3832       0.564116       0.314264                 NaN            NaN            NaN  0.239492       0.498974                 NaN            NaN            NaN
  1426.84        2500.00                 NaN   98.4084       0.302407       0.560863                 NaN            NaN            NaN  0.237612       0.490732                 NaN            NaN            NaN
  1425.68        2500.00                 NaN   98.4265       0.293967       0.555891                 NaN            NaN            NaN  0.237918       0.485769                 NaN            NaN            NaN
  1424.52        2500.00                 NaN   98.4489       0.285584       0.549906                 NaN            NaN            NaN  0.236946       0.478714                 NaN            NaN            NaN
  1423.37        2500.00                 NaN   98.4661       0.275822       0.547444                 NaN            NaN            NaN  0.237078       0.473558                 NaN            NaN            NaN
  1422.21        2500.00                 NaN   98.4868       0.542179       0.263900                 NaN            NaN            NaN  0.238561       0.468579                 NaN            NaN            NaN
  1421.05        2500.00                 NaN   98.5129       0.533316       0.262358                 NaN            NaN            NaN  0.232717       0.458697                 NaN            NaN            NaN
  1419.90        2500.00                 NaN   98.5230       0.534730       0.250482                 NaN            NaN            NaN  0.235602       0.456192                 NaN            NaN            NaN
  1418.74        2500.00                 NaN   98.5332       0.536593       0.238140                 NaN            NaN            NaN  0.237961       0.454126                 NaN            NaN            NaN
  1417.58        2500.00                 NaN   98.5656       0.522535       0.237790                 NaN            NaN            NaN  0.231507       0.442605                 NaN            NaN            NaN
  1416.43        2500.00                 NaN   98.5782       0.522807       0.225655                 NaN            NaN            NaN  0.233927       0.439393                 NaN            NaN            NaN
