|6.6.6
Archiving\03_Data\eqfrac/QFM_m4/WD94/WD94_1.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          16
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            ne             lc             hed           
  1605.77        2500.00       0.256124E-001   99.5134                 NaN  0.292114       0.168910                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.25        2500.00                 NaN   99.1931                 NaN  0.708177       0.987648E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1602.73        2500.00       0.217105E-002   99.8857                 NaN  0.988026E-001  0.133380E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.22        2500.00       0.345201E-002   97.8786                 NaN   1.83422       0.283756                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.70        2500.00                 NaN   99.8993                 NaN  0.887183E-001  0.120140E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1598.18        2500.00                 NaN   99.2267                 NaN  0.679975       0.932995E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.66        2500.00                 NaN   99.2278                 NaN  0.678075       0.941516E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1595.14        2500.00                 NaN   99.2416                 NaN  0.667020       0.913531E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.62        2500.00                 NaN   99.2475                 NaN  0.661779       0.906994E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1592.11        2500.00                 NaN   99.2528                 NaN  0.658670       0.885320E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.59        2500.00                 NaN   99.2593                 NaN  0.653108       0.876071E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1589.07        2500.00                 NaN   99.2663                 NaN  0.647348       0.863722E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.55        2500.00                 NaN   99.1999                 NaN  0.697823       0.102293                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.03        2500.00                 NaN   99.3578                 NaN  0.566075       0.761247E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.51        2500.00                 NaN   99.9046                 NaN  0.886541E-001  0.672356E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.00        2500.00                 NaN   98.6784                 NaN   1.16217       0.159452                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.48        2500.00                 NaN   99.2998                 NaN  0.618943       0.812598E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.96        2500.00                 NaN   99.3042                 NaN  0.616310       0.794935E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.44        2500.00                 NaN   99.3107                 NaN  0.611016       0.782749E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.92        2500.00                 NaN   99.3170                 NaN  0.598492       0.845355E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.41        2500.00                 NaN   99.3236                 NaN  0.606401       0.699680E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.89        2500.00                 NaN   99.3277                 NaN  0.597132       0.751254E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.37        2500.00                 NaN   99.3350                 NaN  0.602789       0.621901E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.85        2500.00                 NaN   99.3395                 NaN  0.575027       0.855217E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.33        2500.00                 NaN   99.3453                 NaN  0.581981       0.727114E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.81        2500.00                 NaN   99.3502                 NaN  0.578789       0.709895E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.30        2500.00                 NaN   99.3570                 NaN  0.572533       0.704942E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.78        2500.00                 NaN   99.3615                 NaN  0.568947       0.695685E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
