|6.6.6
Archiving\03_Data\eqfrac/QFM_m4/WD94/WD94_3.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          16
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            ne             lc             hed           
  1605.77        2500.00       0.164820E-001   99.5833                 NaN  0.256420       0.143810                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.25        2500.00                 NaN   99.2943                 NaN  0.621610       0.840760E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1602.73        2500.00       0.139553E-002   99.9007                 NaN  0.866060E-001  0.113389E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.22        2500.00       0.222248E-002   98.1447                 NaN   1.61136       0.241744                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.70        2500.00                 NaN   99.9121                 NaN  0.777232E-001  0.102032E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1598.18        2500.00                 NaN   99.3247                 NaN  0.595997       0.792757E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.66        2500.00                 NaN   99.3261                 NaN  0.593952       0.799447E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1595.14        2500.00                 NaN   99.3382                 NaN  0.584270       0.775411E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.62        2500.00                 NaN   99.3437                 NaN  0.579411       0.769317E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1592.11        2500.00                 NaN   99.3484                 NaN  0.576502       0.750625E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.59        2500.00                 NaN   99.3544                 NaN  0.571400       0.742323E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1589.07        2500.00                 NaN   99.3607                 NaN  0.566172       0.731477E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
