|6.6.6
Archiving\03_Data\eqfrac/QFM/ALH/ALH_1.tab                                
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             Sp(TH)         San(TH)        ilm            q             
  1551.28        2500.00        99.7329       0.586042E-001  0.208463                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.90        2500.00        99.3836       0.552543       0.638600E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.52        2500.00        99.2960       0.634729       0.692700E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.14        2500.00        99.1903       0.725414       0.842921E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.75        2500.00        99.6860       0.281157       0.328205E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.37        2500.00        99.4075       0.532184       0.603368E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.99        2500.00        99.4042       0.535209       0.606196E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.61        2500.00        99.4082       0.533205       0.586311E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.23        2500.00        99.3954       0.544041       0.605286E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        2500.00        99.4331       0.510929       0.559546E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.46        2500.00        99.4187       0.524539       0.567965E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.08        2500.00        99.4219       0.521187       0.569408E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.70        2500.00        99.4261       0.518012       0.559357E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.32        2500.00        99.4295       0.514934       0.555482E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.94        2500.00        99.4346       0.510991       0.543906E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.56        2500.00        99.4362       0.509743       0.540138E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.17        2500.00        99.4254       0.520057       0.545159E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.79        2500.00        99.4580       0.491378       0.505985E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.41        2500.00        99.4461       0.502851       0.510819E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.03        2500.00        99.4488       0.501088       0.500953E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.65        2500.00        99.3739       0.573758       0.523791E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.27        2500.00        99.5298       0.428889       0.413258E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.88        2500.00        99.3176       0.636144       0.462938E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.50        2500.00        99.6027       0.346264       0.510624E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.12        2500.00        99.4613       0.491097       0.475921E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.74        2500.00        99.4691       0.486073       0.448328E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.36        2500.00        99.4685       0.486462       0.450167E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.98        2500.00        99.4723       0.482995       0.446978E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.59        2500.00        99.4751       0.480828       0.440607E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.21        2500.00        99.4767       0.480248       0.430890E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.83        2500.00        99.4798       0.478515       0.417000E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.45        2500.00        99.4815       0.476620       0.418686E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.07        2500.00        99.4134       0.541305       0.452780E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.69        2500.00        99.8601       0.128930       0.110052E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.30        2500.00        99.9729       0.213323E-001  0.581397E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.92        2500.00        98.2424        1.62887       0.128775                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.54        2500.00        99.9059       0.870976E-001  0.698861E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.16        2500.00        99.6903       0.287482       0.222625E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.78        2500.00        99.3547       0.600560       0.447575E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.40        2500.00        99.4988       0.465857       0.353270E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.01        2500.00        99.4605       0.441686       0.310053E-001  0.667927E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1494.63        2500.00        99.3643       0.874402E-001  0.356991E-002  0.544724                 NaN            NaN            NaN            NaN            NaN            NaN
  1493.25        2500.00        99.3087                 NaN  0.181958E-001  0.673078                 NaN            NaN            NaN            NaN            NaN            NaN
  1491.87        2500.00        99.3247                 NaN            NaN  0.675344                 NaN            NaN            NaN            NaN            NaN            NaN
  1490.49        2500.00        99.2870                 NaN            NaN  0.684407       0.285935E-001            NaN            NaN            NaN            NaN            NaN
  1489.11        2500.00        99.0350                 NaN            NaN  0.485234       0.479813                 NaN            NaN            NaN            NaN            NaN
  1487.72        2500.00        98.9484                 NaN  0.559040E-004  0.642489       0.409097                 NaN            NaN            NaN            NaN            NaN
  1486.34        2500.00        98.9586                 NaN  0.744222E-002  0.394887       0.639116                 NaN            NaN            NaN            NaN            NaN
  1484.96        2500.00        98.9656                 NaN  0.330745E-001  0.645670       0.355619                 NaN            NaN            NaN            NaN            NaN
  1483.58        2500.00        98.9754                 NaN  0.845503E-001  0.278462       0.661580                 NaN            NaN            NaN            NaN            NaN
  1482.20        2500.00        98.9824                 NaN  0.671342E-001  0.649341       0.301151                 NaN            NaN            NaN            NaN            NaN
  1480.82        2500.00        98.9901                 NaN  0.750163E-001  0.647343       0.287589                 NaN            NaN            NaN            NaN            NaN
  1479.43        2500.00        98.9926                 NaN  0.551188E-001  0.637650       0.314649                 NaN            NaN            NaN            NaN            NaN
  1478.05        2500.00        99.0043                 NaN  0.617005E-001  0.302585       0.631395                 NaN            NaN            NaN            NaN            NaN
  1476.67        2500.00        99.0087                 NaN  0.611219E-001  0.629680       0.300482                 NaN            NaN            NaN            NaN            NaN
  1475.29        2500.00        99.0201                 NaN  0.590562E-001  0.620447       0.300443                 NaN            NaN            NaN            NaN            NaN
  1473.91        2500.00        99.0231                 NaN  0.578822E-001  0.618047       0.300990                 NaN            NaN            NaN            NaN            NaN
  1472.53        2500.00        99.0295                 NaN  0.564554E-001  0.612985       0.301033                 NaN            NaN            NaN            NaN            NaN
  1471.14        2500.00        99.0354                 NaN  0.550996E-001  0.608780       0.300736                 NaN            NaN            NaN            NaN            NaN
  1469.76        2500.00        99.0407                 NaN  0.536773E-001  0.603654       0.301962                 NaN            NaN            NaN            NaN            NaN
  1468.38        2500.00        99.0474                 NaN  0.522455E-001  0.599208       0.301157                 NaN            NaN            NaN            NaN            NaN
  1467.00        2500.00        99.0529                 NaN  0.510216E-001  0.595231       0.300869                 NaN            NaN            NaN            NaN            NaN
  1465.62        2500.00        99.0590                 NaN  0.495588E-001  0.301093       0.590379                 NaN            NaN            NaN            NaN            NaN
  1464.24        2500.00        98.0321                 NaN  0.100577        1.23504       0.632248                 NaN            NaN            NaN            NaN            NaN
  1462.85        2500.00        99.9046                 NaN  0.485346E-002  0.599195E-001  0.306267E-001            NaN            NaN            NaN            NaN            NaN
  1461.47        2500.00        99.2892                 NaN  0.348618E-001  0.231476       0.444433                 NaN            NaN            NaN            NaN            NaN
  1460.09        2500.00        99.0808                 NaN  0.444551E-001  0.574191       0.300576                 NaN            NaN            NaN            NaN            NaN
  1458.71        2500.00        99.0828                 NaN  0.434710E-001  0.300599       0.573139                 NaN            NaN            NaN            NaN            NaN
  1457.33        2500.00        99.0926                 NaN  0.419264E-001  0.566197       0.299235                 NaN            NaN            NaN            NaN            NaN
  1455.95        2500.00        99.0967                 NaN  0.406549E-001  0.562436       0.300220                 NaN            NaN            NaN            NaN            NaN
  1454.56        2500.00        99.1007                 NaN  0.395200E-001  0.300485       0.559325                 NaN            NaN            NaN            NaN            NaN
  1453.18        2500.00        99.1046                 NaN  0.384713E-001  0.557017       0.299928                 NaN            NaN            NaN            NaN            NaN
  1451.80        2500.00        99.1123                 NaN  0.369705E-001  0.550897       0.299813                 NaN            NaN            NaN            NaN            NaN
  1450.42        2500.00        99.1138                 NaN  0.363519E-001  0.300264       0.549587                 NaN            NaN            NaN            NaN            NaN
  1449.04        2500.00        99.1242                 NaN  0.791476E-001  0.237486       0.559170                 NaN            NaN            NaN            NaN            NaN
  1447.66        2500.00        99.1202                 NaN  0.215585E-004  0.532325       0.347404                 NaN            NaN            NaN            NaN            NaN
  1446.27        2500.00        98.8652                 NaN  0.313863E-001  0.698195       0.405193                 NaN            NaN            NaN            NaN            NaN
  1444.89        2500.00        99.3952                 NaN  0.218043E-001  0.209894       0.373142                 NaN            NaN            NaN            NaN            NaN
  1443.51        2500.00        99.1367                 NaN  0.304127E-001  0.532770       0.300149                 NaN            NaN            NaN            NaN            NaN
  1442.13        2500.00        99.1405                 NaN  0.293193E-001  0.530119       0.300092                 NaN            NaN            NaN            NaN            NaN
