|6.6.6
Archiving\03_Data\eqfrac/QFM/ALH/ALH_3.tab                                
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             Sp(TH)         San(TH)        ilm            q             
  1551.28        2500.00        99.7695       0.519216E-001  0.178597                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.90        2500.00        99.4557       0.489601       0.547061E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.52        2500.00        99.3784       0.562241       0.593156E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.14        2500.00        99.2852       0.642605       0.721805E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.75        2500.00        99.7231       0.248852       0.280675E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.37        2500.00        99.4773       0.471111       0.516083E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.99        2500.00        99.4745       0.473697       0.518313E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.61        2500.00        99.4781       0.471794       0.501064E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.23        2500.00        99.4668       0.481477       0.517554E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        2500.00        99.5004       0.451857       0.477727E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.46        2500.00        99.4877       0.463793       0.484842E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.08        2500.00        99.4907       0.460719       0.485861E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.70        2500.00        99.4946       0.457741       0.476961E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.32        2500.00        99.4977       0.454978       0.473532E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.94        2500.00        99.5022       0.451399       0.463528E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.56        2500.00        99.5038       0.450160       0.460094E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.17        2500.00        99.4943       0.459233       0.464242E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.79        2500.00        99.5232       0.433755       0.430709E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.41        2500.00        99.5127       0.443824       0.434627E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.03        2500.00        99.5152       0.442168       0.426112E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.65        2500.00        99.4487       0.506705       0.445686E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.27        2500.00        99.5867       0.378219       0.351099E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.88        2500.00        99.3997       0.560951       0.393364E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.50        2500.00        99.6514       0.305215       0.433432E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.12        2500.00        99.5267       0.432875       0.404017E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.74        2500.00        99.5337       0.428269       0.380277E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.36        2500.00        99.5332       0.428597       0.381824E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.98        2500.00        99.5367       0.425385       0.378864E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.59        2500.00        99.5393       0.423379       0.373423E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.21        2500.00        99.5407       0.422762       0.364938E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.83        2500.00        99.5435       0.421181       0.353033E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.45        2500.00        99.5452       0.419398       0.354346E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.07        2500.00        99.4855       0.476223       0.382945E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.69        2500.00        99.8774       0.113337       0.929987E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.30        2500.00        99.9763       0.187524E-001  0.491087E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.92        2500.00        98.4572        1.43384       0.108923                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.54        2500.00        99.9176       0.765159E-001  0.589730E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.16        2500.00        99.7287       0.252556       0.187837E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.78        2500.00        99.4344       0.527807       0.377711E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.40        2500.00        99.5610       0.409203       0.297919E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.01        2500.00        99.5269       0.387906       0.261399E-001  0.590406E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1494.63        2500.00        99.4388       0.767804E-001  0.300716E-002  0.481395                 NaN            NaN            NaN            NaN            NaN            NaN
  1493.25        2500.00        99.3901                 NaN  0.153312E-001  0.594599                 NaN            NaN            NaN            NaN            NaN            NaN
  1491.87        2500.00        99.4035                 NaN            NaN  0.596542                 NaN            NaN            NaN            NaN            NaN            NaN
  1490.49        2500.00        99.3701                 NaN            NaN  0.604447       0.254223E-001            NaN            NaN            NaN            NaN            NaN
  1489.11        2500.00        99.1449                 NaN            NaN  0.428478       0.426601                 NaN            NaN            NaN            NaN            NaN
  1487.72        2500.00        99.0677                 NaN  0.469914E-004  0.571129       0.361139                 NaN            NaN            NaN            NaN            NaN
