|6.6.6
Archiving\03_Data\eqfrac/QFM/WD94/WD94_1.tab                              
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1592.95        2500.00       0.268190E-001   99.7532       0.441896E-001  0.175796                 NaN            NaN            NaN            NaN            NaN            NaN
  1591.46        2500.00                 NaN   99.2574       0.622990       0.119590                 NaN            NaN            NaN            NaN            NaN            NaN
  1589.98        2500.00                 NaN   99.2199       0.681165       0.989516E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1588.49        2500.00       0.397754E-002   98.6517        1.16023       0.184128                 NaN            NaN            NaN            NaN            NaN            NaN
  1587.01        2500.00                 NaN   99.8220       0.156532       0.215062E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1585.52        2500.00                 NaN   99.2377       0.668654       0.935991E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1584.03        2500.00                 NaN   99.2465       0.659141       0.943727E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1582.55        2500.00                 NaN   99.2530       0.654582       0.923745E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1581.06        2500.00                 NaN   99.2577       0.650209       0.920448E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1579.58        2500.00                 NaN   99.2646       0.645850       0.895076E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1578.09        2500.00                 NaN   99.2714       0.640363       0.882227E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1576.60        2500.00                 NaN   99.0040       0.873255       0.122793                 NaN            NaN            NaN            NaN            NaN            NaN
  1575.12        2500.00                 NaN   99.5499       0.395798       0.543280E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1573.63        2500.00                 NaN   99.2953       0.619298       0.854107E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1572.14        2500.00                 NaN   99.2965       0.619009       0.845358E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1570.66        2500.00                 NaN   99.2988       0.617442       0.837685E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1569.17        2500.00                 NaN   99.2243       0.685747       0.899757E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1567.69        2500.00                 NaN   99.3966       0.532576       0.707969E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1566.20        2500.00                 NaN   99.3175       0.602273       0.802016E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1564.71        2500.00                 NaN   99.3252       0.595559       0.792169E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1563.23        2500.00                 NaN   99.3291       0.593355       0.775662E-001            NaN            NaN            NaN            NaN            NaN            NaN
