|6.6.6
Archiving\03_Data\eqfracLP/QFM_m4.5/EETA/EETA_1.tab                       
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        an             O(HP)          San(TH)        ilm            q             
  1426.28        500.000       0.296274E-001   94.3596        1.75166        3.85909                 NaN            NaN            NaN            NaN            NaN            NaN
  1425.21        500.000       0.745580E-003   99.3902       0.207582       0.401505                 NaN            NaN            NaN            NaN            NaN            NaN
  1424.14        500.000       0.707271E-003   99.3939       0.206485       0.398931                 NaN            NaN            NaN            NaN            NaN            NaN
  1423.07        500.000       0.676558E-003   99.3969       0.397311       0.205092                 NaN            NaN            NaN            NaN            NaN            NaN
  1422.01        500.000       0.655502E-003   99.4013       0.203754       0.394260                 NaN            NaN            NaN            NaN            NaN            NaN
  1420.94        500.000       0.618502E-003   99.4038       0.202804       0.392797                 NaN            NaN            NaN            NaN            NaN            NaN
  1419.87        500.000       0.598220E-003   99.4074       0.390445       0.201571                 NaN            NaN            NaN            NaN            NaN            NaN
  1418.80        500.000       0.629879E-003   97.7549       0.829621       0.896664                 NaN  0.518223                 NaN            NaN            NaN            NaN
  1417.73        500.000                 NaN   99.6028       0.163093       0.122633                 NaN  0.111465                 NaN            NaN            NaN            NaN
  1416.66        500.000       0.177041E-003   98.4807       0.628228       0.463679                 NaN  0.427230                 NaN            NaN            NaN            NaN
  1415.60        500.000                 NaN   98.4066       0.657897       0.487269                 NaN  0.448272                 NaN            NaN            NaN            NaN
  1414.53        500.000                 NaN   98.4268       0.480827       0.649769                 NaN  0.442560                 NaN            NaN            NaN            NaN
  1413.46        500.000                 NaN   98.3468       0.505673       0.682644                 NaN  0.464874                 NaN            NaN            NaN            NaN
  1412.39        500.000                 NaN   98.5709       0.437266       0.590026                 NaN  0.401846                 NaN            NaN            NaN            NaN
  1411.32        500.000                 NaN   98.4892       0.462252       0.623841                 NaN  0.424679                 NaN            NaN            NaN            NaN
  1410.25        500.000                 NaN   98.5096       0.615448       0.456139                 NaN  0.418813                 NaN            NaN            NaN            NaN
  1409.19        500.000                 NaN   98.5292       0.607319       0.450117                 NaN  0.413346                 NaN            NaN            NaN            NaN
  1408.12        500.000                 NaN   98.5523       0.437807       0.484602                 NaN  0.421581       0.103719                 NaN            NaN            NaN
  1407.05        500.000                 NaN   98.5723       0.399282       0.487022                 NaN  0.418596       0.122760                 NaN            NaN            NaN
  1405.98        500.000       0.167918E-002   98.5786       0.482313       0.396514                 NaN  0.416851       0.124015                 NaN            NaN            NaN
  1404.91        500.000                 NaN   98.6199       0.380049       0.473052                 NaN  0.404603       0.122425                 NaN            NaN            NaN
  1403.84        500.000                 NaN   98.6238       0.475394       0.370514                 NaN  0.404383       0.125899                 NaN            NaN            NaN
