|6.6.6
Archiving\03_Data\eqfracLP/QFM_m4.5/EETA/EETA_3.tab                       
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        an             O(HP)          San(TH)        ilm            q             
  1426.28        500.000       0.190544E-001   95.1962        1.47999        3.30476                 NaN            NaN            NaN            NaN            NaN            NaN
  1425.21        500.000       0.475872E-003   99.4846       0.173917       0.340985                 NaN            NaN            NaN            NaN            NaN            NaN
  1424.14        500.000       0.451538E-003   99.4880       0.172908       0.338665                 NaN            NaN            NaN            NaN            NaN            NaN
  1423.07        500.000       0.432057E-003   99.4908       0.337128       0.171642                 NaN            NaN            NaN            NaN            NaN            NaN
  1422.01        500.000       0.418702E-003   99.4947       0.170436       0.334406                 NaN            NaN            NaN            NaN            NaN            NaN
  1420.94        500.000       0.395130E-003   99.4971       0.169538       0.333007                 NaN            NaN            NaN            NaN            NaN            NaN
  1419.87        500.000       0.382274E-003   99.5003       0.330903       0.168438                 NaN            NaN            NaN            NaN            NaN            NaN
  1418.80        500.000       0.403035E-003   98.0112       0.703545       0.749707                 NaN  0.535146                 NaN            NaN            NaN            NaN
  1417.73        500.000                 NaN   99.6455       0.135899       0.103717                 NaN  0.114848                 NaN            NaN            NaN            NaN
  1416.66        500.000       0.113071E-003   98.6429       0.524011       0.392417                 NaN  0.440599                 NaN            NaN            NaN            NaN
  1415.60        500.000                 NaN   98.5773       0.548346       0.412123                 NaN  0.462190                 NaN            NaN            NaN            NaN
  1414.53        500.000                 NaN   98.5964       0.406350       0.541057                 NaN  0.456145                 NaN            NaN            NaN            NaN
  1413.46        500.000                 NaN   98.5260       0.427048       0.567957                 NaN  0.479019                 NaN            NaN            NaN            NaN
  1412.39        500.000                 NaN   98.7268       0.368963       0.490398                 NaN  0.413845                 NaN            NaN            NaN            NaN
  1411.32        500.000                 NaN   98.6549       0.389769       0.518089                 NaN  0.437253                 NaN            NaN            NaN            NaN
  1410.25        500.000                 NaN   98.6740       0.510665       0.384320                 NaN  0.431058                 NaN            NaN            NaN            NaN
  1409.19        500.000                 NaN   98.6922       0.503499       0.378976                 NaN  0.425276                 NaN            NaN            NaN            NaN
  1408.12        500.000                 NaN   98.7163       0.362582       0.407632                 NaN  0.433553       0.799109E-001            NaN            NaN            NaN
  1407.05        500.000                 NaN   98.7356       0.330355       0.409310                 NaN  0.430272       0.944208E-001            NaN            NaN            NaN
  1405.98        500.000       0.106492E-002   98.7430       0.404848       0.327611                 NaN  0.428268       0.952032E-001            NaN            NaN            NaN
  1404.91        500.000                 NaN   98.7800       0.313807       0.396864                 NaN  0.415462       0.938516E-001            NaN            NaN            NaN
  1403.84        500.000                 NaN   98.7846       0.398417       0.305641                 NaN  0.415029       0.963487E-001            NaN            NaN            NaN
  1402.78        500.000                 NaN   96.1621        1.30445       0.944839                 NaN   1.29824       0.290360                 NaN            NaN            NaN
  1401.71        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
