|6.6.6
Archiving\03_Data\eqfrac/QFM_m3/ALH/ALH_1.tab                             
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        ne             lc            
  1564.10        2500.00       0.905283E-002   99.9543       0.137987E-001  0.228170E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1562.69        2500.00                 NaN   99.4177       0.582272                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.27        2500.00                 NaN   99.3734       0.580302       0.462846E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.86        2500.00       0.285855E-003   99.1365       0.774709       0.885494E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.44        2500.00                 NaN   99.6269       0.336038       0.370953E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.03        2500.00                 NaN   99.3880       0.551928       0.600559E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.62        2500.00                 NaN   99.3891       0.552755       0.581624E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.20        2500.00                 NaN   99.3958       0.547451       0.567019E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.79        2500.00                 NaN   99.4010       0.541162       0.578291E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        2500.00                 NaN   99.3997       0.541905       0.584053E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.96        2500.00                 NaN   99.4113       0.533666       0.550367E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.55        2500.00                 NaN   98.7570        1.11067       0.132360                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.13        2500.00                 NaN   99.9994       0.421205E-003  0.187492E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.72        2500.00                 NaN   99.9527       0.414478E-001  0.588689E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.31        2500.00                 NaN   98.9677       0.947441       0.848900E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.89        2500.00                 NaN   99.4312       0.515624       0.531679E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.48        2500.00                 NaN   99.4169       0.529571       0.534970E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.07        2500.00                 NaN   99.4509       0.455774       0.932944E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.65        2500.00                 NaN   99.4394       0.551203       0.940210E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.24        2500.00                 NaN   99.4444       0.505339       0.502214E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.82        2500.00                 NaN   99.4462       0.504656       0.491243E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.41        2500.00                 NaN   99.4498       0.500760       0.494281E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.00        2500.00                 NaN   99.4541       0.497195       0.487126E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.58        2500.00                 NaN   99.3837       0.265729       0.794094E-002  0.342600                 NaN            NaN            NaN            NaN            NaN            NaN
  1530.17        2500.00                 NaN   99.2693       0.117536E-001            NaN  0.718899                 NaN            NaN            NaN            NaN            NaN            NaN
  1528.76        2500.00                 NaN   99.3597       0.799238E-002            NaN  0.632315                 NaN            NaN            NaN            NaN            NaN            NaN
  1527.34        2500.00                 NaN   99.2947       0.372936E-001            NaN  0.667966                 NaN            NaN            NaN            NaN            NaN            NaN
  1525.93        2500.00                 NaN   99.3368                 NaN  0.217296E-002  0.661045                 NaN            NaN            NaN            NaN            NaN            NaN
  1524.51        2500.00                 NaN   99.1997       0.331330E-001            NaN  0.767193                 NaN            NaN            NaN            NaN            NaN            NaN
  1523.10        2500.00                 NaN   99.4492       0.258256                 NaN  0.292507                 NaN            NaN            NaN            NaN            NaN            NaN
  1521.69        2500.00                 NaN   99.3238       0.101716                 NaN  0.574450                 NaN            NaN            NaN            NaN            NaN            NaN
  1520.27        2500.00                 NaN   99.3182                 NaN            NaN  0.681780                 NaN            NaN            NaN            NaN            NaN            NaN
  1518.86        2500.00                 NaN   99.2620                 NaN            NaN  0.737979                 NaN            NaN            NaN            NaN            NaN            NaN
  1517.45        2500.00                 NaN   99.5006                 NaN            NaN  0.499394                 NaN            NaN            NaN            NaN            NaN            NaN
  1516.03        2500.00                 NaN   99.1914                 NaN            NaN  0.808606                 NaN            NaN            NaN            NaN            NaN            NaN
  1514.62        2500.00                 NaN   99.3165                 NaN            NaN  0.683486                 NaN            NaN            NaN            NaN            NaN            NaN
  1513.20        2500.00                 NaN   99.2810                 NaN            NaN  0.719000                 NaN            NaN            NaN            NaN            NaN            NaN
  1511.79        2500.00                 NaN   99.5601                 NaN            NaN  0.439892                 NaN            NaN            NaN            NaN            NaN            NaN
  1510.38        2500.00                 NaN   99.0984                 NaN            NaN  0.901620                 NaN            NaN            NaN            NaN            NaN            NaN
  1508.96        2500.00                 NaN   99.3103                 NaN            NaN  0.689655                 NaN            NaN            NaN            NaN            NaN            NaN
  1507.55        2500.00                 NaN   99.3085                 NaN            NaN  0.691512                 NaN            NaN            NaN            NaN            NaN            NaN
  1506.13        2500.00                 NaN   99.3000                 NaN            NaN  0.700008                 NaN            NaN            NaN            NaN            NaN            NaN
  1504.72        2500.00       0.301315E-002   99.2932                 NaN            NaN  0.703823                 NaN            NaN            NaN            NaN            NaN            NaN
  1503.31        2500.00       0.656491E-002   99.2858                 NaN            NaN  0.707649                 NaN            NaN            NaN            NaN            NaN            NaN
  1501.89        2500.00       0.651920E-002   99.2758                 NaN            NaN  0.717668                 NaN            NaN            NaN            NaN            NaN            NaN
  1500.48        2500.00       0.644691E-002   99.2700                 NaN            NaN  0.723545                 NaN            NaN            NaN            NaN            NaN            NaN
  1499.07        2500.00       0.640490E-002   99.2559                 NaN            NaN  0.737655                 NaN            NaN            NaN            NaN            NaN            NaN
  1497.65        2500.00       0.625390E-002   99.2566                 NaN            NaN  0.737115                 NaN            NaN            NaN            NaN            NaN            NaN
  1496.24        2500.00       0.448921E-002   99.0175                 NaN            NaN  0.501774       0.476202                 NaN            NaN            NaN            NaN            NaN
  1494.82        2500.00       0.356132E-002   98.9177                 NaN            NaN  0.696481       0.382265                 NaN            NaN            NaN            NaN            NaN
  1493.41        2500.00       0.343592E-002   98.9239                 NaN            NaN  0.380774       0.691928                 NaN            NaN            NaN            NaN            NaN
  1492.00        2500.00       0.332548E-002   98.9421                 NaN            NaN  0.375281       0.679312                 NaN            NaN            NaN            NaN            NaN
  1490.58        2500.00       0.325225E-002   98.9440                 NaN            NaN  0.677805       0.374944                 NaN            NaN            NaN            NaN            NaN
  1489.17        2500.00       0.313865E-002   98.9571                 NaN            NaN  0.370814       0.668944                 NaN            NaN            NaN            NaN            NaN
  1487.76        2500.00       0.306511E-002   98.9616                 NaN  0.813792E-005  0.369395       0.665911                 NaN            NaN            NaN            NaN            NaN
  1486.34        2500.00       0.294750E-002   98.9724                 NaN            NaN  0.658298       0.366329                 NaN            NaN            NaN            NaN            NaN
  1484.93        2500.00       0.286488E-002   98.9806                 NaN            NaN  0.652814       0.363706                 NaN            NaN            NaN            NaN            NaN
  1483.51        2500.00       0.278521E-002   98.9877                 NaN            NaN  0.647995       0.361560                 NaN            NaN            NaN            NaN            NaN
  1482.10        2500.00       0.267853E-002   98.9962                 NaN            NaN  0.641014       0.360078                 NaN            NaN            NaN            NaN            NaN
  1480.69        2500.00       0.260831E-002   99.0046                 NaN            NaN  0.356416       0.636354                 NaN            NaN            NaN            NaN            NaN
  1479.27        2500.00       0.329695E-002   98.6902                 NaN            NaN  0.469214       0.837335                 NaN            NaN            NaN            NaN            NaN
