|6.6.6
Archiving\03_Data\eqfrac/QFM_m3/ALH/ALH_3.tab                             
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        ne             lc            
  1564.10        2500.00       0.581998E-002   99.9627       0.121241E-001  0.193317E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1562.69        2500.00                 NaN   99.4881       0.511948                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.27        2500.00                 NaN   99.4507       0.510125       0.392157E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.86        2500.00       0.183997E-003   99.2439       0.680944       0.750177E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.44        2500.00                 NaN   99.6735       0.295135       0.313936E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.03        2500.00                 NaN   99.4644       0.484741       0.508098E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.62        2500.00                 NaN   99.4654       0.485401       0.491783E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.20        2500.00                 NaN   99.4715       0.480612       0.479329E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.79        2500.00                 NaN   99.4762       0.474935       0.488715E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        2500.00                 NaN   99.4753       0.475315       0.493376E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.96        2500.00                 NaN   99.4854       0.468114       0.464769E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.55        2500.00                 NaN   98.9147       0.973654       0.111652                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.13        2500.00                 NaN   99.9995       0.368863E-003  0.157815E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.72        2500.00                 NaN   99.9587       0.362997E-001  0.495188E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
