|6.6.6
Archiving\03_Data\eqfracLP/QFM_m4.25/EETA/EETA_3.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        an             O(HP)          San(TH)        ilm            q             
  1426.28        500.000       0.174950E-001   95.1158        1.57432        3.29241                 NaN            NaN            NaN            NaN            NaN
  1425.21        500.000       0.478416E-003   99.4836       0.175226       0.340672                 NaN            NaN            NaN            NaN            NaN
  1424.14        500.000       0.467606E-003   99.4850       0.174628       0.339890                 NaN            NaN            NaN            NaN            NaN
  1423.07        500.000       0.828159E-003   99.0257       0.330084       0.643401                 NaN            NaN            NaN            NaN            NaN
  1422.01        500.000       0.492408E-004   99.9473       0.347055E-001  0.179199E-001            NaN            NaN            NaN            NaN            NaN
  1420.94        500.000       0.433490E-004   99.9493       0.172859E-001  0.333303E-001            NaN            NaN            NaN            NaN            NaN
  1419.87        500.000       0.732439E-003   99.0617       0.317626       0.619983                 NaN            NaN            NaN            NaN            NaN
  1418.80        500.000       0.310153E-003   99.4603       0.334423       0.185219       0.197871E-001            NaN            NaN            NaN            NaN
  1417.73        500.000                 NaN   98.4893       0.582569       0.438460       0.489650                 NaN            NaN            NaN            NaN
  1416.66        500.000                 NaN   98.6044       0.537844       0.405099       0.452647                 NaN            NaN            NaN            NaN
  1415.60        500.000       0.369582E-003   98.5760       0.549788       0.411898       0.461972                 NaN            NaN            NaN            NaN
  1414.53        500.000                 NaN   98.5978       0.406242       0.540933       0.455041                 NaN            NaN            NaN            NaN
  1413.46        500.000                 NaN   98.6179       0.532541       0.401033       0.448514                 NaN            NaN            NaN            NaN
  1412.39        500.000                 NaN   98.6355       0.396006       0.525527       0.443016                 NaN            NaN            NaN            NaN
  1411.32        500.000                 NaN   98.6557       0.517561       0.390299       0.436401                 NaN            NaN            NaN            NaN
  1410.25        500.000                 NaN   98.6726       0.511142       0.385279       0.430980                 NaN            NaN            NaN            NaN
  1409.19        500.000                 NaN   98.6909       0.380146       0.504095       0.424867                 NaN            NaN            NaN            NaN
  1408.12        500.000                 NaN   98.7090       0.496917       0.374496       0.419282       0.322572E-003            NaN            NaN            NaN
  1407.05        500.000                 NaN   98.7234       0.490378       0.371175       0.414697       0.305245E-003            NaN            NaN            NaN
  1405.98        500.000                 NaN   98.7410       0.484704       0.365466       0.408787                 NaN            NaN            NaN            NaN
  1404.91        500.000                 NaN   98.7250       0.380684       0.452369       0.418701       0.232779E-001            NaN            NaN            NaN
  1403.84        500.000                 NaN   98.8232       0.296393       0.384907       0.401340       0.941872E-001            NaN            NaN            NaN
