|6.6.6
Archiving\03_Data\eqfracLP/QFM_m4.25/EETA/EETA_1.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        an             O(HP)          San(TH)        ilm            q             
  1426.28        500.000       0.272063E-001   94.2663        1.86287        3.84361                 NaN            NaN            NaN            NaN            NaN
  1425.21        500.000       0.749821E-003   99.3891       0.209119       0.401068                 NaN            NaN            NaN            NaN            NaN
  1424.14        500.000       0.732727E-003   99.3904       0.208520       0.400316                 NaN            NaN            NaN            NaN            NaN
  1423.07        500.000       0.129731E-002   98.8467       0.394138       0.757824                 NaN            NaN            NaN            NaN            NaN
  1422.01        500.000       0.772696E-004   99.9376       0.409429E-001  0.214259E-001            NaN            NaN            NaN            NaN            NaN
  1420.94        500.000       0.679312E-004   99.9399       0.207001E-001  0.393371E-001            NaN            NaN            NaN            NaN            NaN
  1419.87        500.000       0.114570E-002   98.8881       0.379815       0.730937                 NaN            NaN            NaN            NaN            NaN
  1418.80        500.000       0.485435E-003   99.3638       0.394750       0.221775       0.191844E-001            NaN            NaN            NaN            NaN
  1417.73        500.000                 NaN   98.3104       0.697612       0.517511       0.474489                 NaN            NaN            NaN            NaN
  1416.66        500.000                 NaN   98.4380       0.644638       0.478527       0.438822                 NaN            NaN            NaN            NaN
  1415.60        500.000       0.579173E-003   98.4050       0.659530       0.486896       0.447986                 NaN            NaN            NaN            NaN
  1414.53        500.000                 NaN   98.4286       0.480518       0.649471       0.441417                 NaN            NaN            NaN            NaN
  1413.46        500.000                 NaN   98.4500       0.639968       0.474770       0.435235                 NaN            NaN            NaN            NaN
  1412.39        500.000                 NaN   98.4688       0.469119       0.632054       0.430050                 NaN            NaN            NaN            NaN
  1411.32        500.000                 NaN   98.4904       0.623081       0.462785       0.423778                 NaN            NaN            NaN            NaN
  1410.25        500.000                 NaN   98.5082       0.615922       0.457183       0.418663                 NaN            NaN            NaN            NaN
  1409.19        500.000                 NaN   98.5277       0.451424       0.607960       0.412875                 NaN            NaN            NaN            NaN
  1408.12        500.000                 NaN   98.5471       0.599853       0.445040       0.407597       0.418638E-003            NaN            NaN            NaN
  1407.05        500.000                 NaN   98.5623       0.592538       0.441492       0.403288       0.396691E-003            NaN            NaN            NaN
  1405.98        500.000                 NaN   98.5812       0.586152       0.435002       0.397690                 NaN            NaN            NaN            NaN
  1404.91        500.000                 NaN   98.5611       0.453491       0.547560       0.407486       0.303445E-001            NaN            NaN            NaN
  1403.84        500.000                 NaN   98.6682       0.359103       0.458917       0.390814       0.122993                 NaN            NaN            NaN
  1402.78        500.000                 NaN   98.6391       0.470769       0.363944       0.399276       0.126917                 NaN            NaN            NaN
  1401.71        500.000                 NaN   98.6590       0.466282       0.353276       0.393662       0.127736                 NaN            NaN            NaN
  1400.64        500.000                 NaN   98.6738       0.462295       0.344420       0.390004       0.129463                 NaN            NaN            NaN
  1399.57        500.000                 NaN   98.6915       0.336781       0.457864       0.384545       0.129280                 NaN            NaN            NaN
  1398.50        500.000                 NaN   98.6636       0.321325       0.481659       0.395603       0.137777                 NaN            NaN            NaN
  1397.43        500.000                 NaN   98.7631       0.317189       0.433569       0.362052       0.124122                 NaN            NaN            NaN
  1396.37        500.000                 NaN   98.7237       0.452593       0.312816       0.376024       0.134878                 NaN            NaN            NaN
  1395.30        500.000                 NaN   98.7655       0.439020       0.300433       0.363690       0.131397                 NaN            NaN            NaN
  1394.23        500.000                 NaN   98.7581       0.442633       0.298128       0.366170       0.134993                 NaN            NaN            NaN
  1393.16        500.000                 NaN   98.7887       0.287328       0.432922       0.357125       0.133911                 NaN            NaN            NaN
  1392.09        500.000                 NaN   98.7947       0.434261       0.279967       0.355700       0.135378                 NaN            NaN            NaN
  1391.02        500.000                 NaN   98.8061       0.431694       0.272231       0.352614       0.137326                 NaN            NaN            NaN
