|6.6.6
Archiving\03_Data\eqfrac/QFM_m4.75/YM20/YM20_1.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        iron           ilm            ne             lc            
  1583.33        2500.00        99.7815       0.158033       0.604205E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.87        2500.00        99.3336       0.594511       0.719261E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1580.41        2500.00        99.2502       0.587472       0.162328                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.94        2500.00        99.4245       0.575505                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1577.48        2500.00        99.3473       0.600984       0.516965E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.02        2500.00        99.3509       0.580487       0.686328E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1574.56        2500.00        99.3566       0.575162       0.682514E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.10        2500.00        99.3608       0.572019       0.671484E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.63        2500.00        99.3678       0.565848       0.663097E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.17        2500.00        99.3726       0.561431       0.659878E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.71        2500.00        99.3782       0.556298       0.654947E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.25        2500.00        99.3828       0.553533       0.636695E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1565.79        2500.00        99.3871       0.550198       0.627309E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.32        2500.00        99.5500       0.404421       0.455321E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1562.86        2500.00        99.2338       0.690582       0.756226E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        2500.00        99.4055       0.533775       0.607745E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.94        2500.00        99.4065       0.534498       0.590259E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.48        2500.00        99.4112       0.530079       0.587697E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.01        2500.00        99.4162       0.525297       0.584889E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.55        2500.00        99.0781       0.829278       0.926629E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.09        2500.00        99.7666       0.215819       0.176253E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.63        2500.00        99.4286       0.515823       0.555583E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.17        2500.00        99.4335       0.512210       0.542673E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.70        2500.00        99.4380       0.506511       0.554594E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.24        2500.00        99.4436       0.500260       0.561733E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.78        2500.00        99.4457       0.503232       0.510424E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.32        2500.00        99.4503       0.496845       0.528850E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        2500.00        99.4555       0.493170       0.513487E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.39        2500.00        99.4584       0.491849       0.497724E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.93        2500.00        99.4627       0.487179       0.500714E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.47        2500.00        99.4660       0.485126       0.488640E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.01        2500.00        99.4690       0.483173       0.478469E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.55        2500.00        99.4054       0.538490       0.560968E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.08        2500.00        99.5458       0.413952       0.402008E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.62        2500.00        99.4812       0.474142       0.446570E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.16        2500.00        99.4836       0.472185       0.442508E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.70        2500.00        99.4627       0.491582       0.457312E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.24        2500.00        99.5140       0.445205       0.407676E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.77        2500.00        98.5846        1.29298       0.122458                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.31        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.85        2500.00        99.8081       0.179307       0.125854E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.39        2500.00        99.6132       0.356941       0.298517E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.93        2500.00        99.5049       0.456813       0.382602E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.46        2500.00        99.5073       0.454840       0.378952E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.00        2500.00        99.5075       0.454242       0.382512E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.54        2500.00        99.7095       0.267705       0.228404E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.08        2500.00        99.3325       0.615742       0.517290E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.62        2500.00        99.5207       0.443755       0.355655E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.15        2500.00        99.4171       0.538949       0.439547E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.69        2500.00        99.6384       0.335106       0.264955E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.23        2500.00        99.2097       0.689231       0.101099                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.77        2500.00        99.8459       0.125203E-001  0.963745E-001            NaN  0.452179E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.31        2500.00        99.5315       0.468520                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.85        2500.00        99.4789       0.270194                 NaN            NaN  0.250938                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.38        2500.00        99.3959                 NaN            NaN            NaN  0.604140                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.92        2500.00        99.4006       0.880505E-001  0.537287E-003            NaN  0.510765                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.46        2500.00        99.3987       0.394685E-001            NaN            NaN  0.561872                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.00        2500.00        99.3977                 NaN            NaN            NaN  0.602341                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.54        2500.00        99.3971                 NaN            NaN            NaN  0.602872                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.07        2500.00        99.3956                 NaN            NaN            NaN  0.604362                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.61        2500.00        99.3379                 NaN            NaN            NaN  0.662090                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.15        2500.00        99.5339                 NaN            NaN            NaN  0.466116                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1492.69        2500.00        99.3080                 NaN            NaN            NaN  0.691951                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.23        2500.00        99.3877                 NaN            NaN            NaN  0.612314                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1489.76        2500.00        99.3870                 NaN            NaN            NaN  0.612956                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1488.30        2500.00        99.3857                 NaN            NaN            NaN  0.614285                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.84        2500.00        99.3783                 NaN            NaN            NaN  0.621662                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1485.38        2500.00        99.2728                 NaN            NaN            NaN  0.538157       0.189080                 NaN            NaN            NaN            NaN            NaN            NaN
  1483.92        2500.00        99.0683                 NaN            NaN            NaN  0.573000       0.358684                 NaN            NaN            NaN            NaN            NaN            NaN
  1482.45        2500.00        99.0736                 NaN            NaN            NaN  0.355358       0.571023                 NaN            NaN            NaN            NaN            NaN            NaN
  1480.99        2500.00        99.0850                 NaN            NaN            NaN  0.563164       0.351884                 NaN            NaN            NaN            NaN            NaN            NaN
  1479.53        2500.00        99.0926                 NaN            NaN            NaN  0.558580       0.348795                 NaN            NaN            NaN            NaN            NaN            NaN
  1478.07        2500.00        99.0999                 NaN            NaN            NaN  0.553990       0.346094                 NaN            NaN            NaN            NaN            NaN            NaN
  1476.61        2500.00        99.1076                 NaN            NaN            NaN  0.550227       0.342201                 NaN            NaN            NaN            NaN            NaN            NaN
  1475.14        2500.00        99.1112                 NaN            NaN            NaN  0.548670       0.340125                 NaN            NaN            NaN            NaN            NaN            NaN
  1473.68        2500.00        98.1486                 NaN            NaN            NaN   1.13917       0.712275                 NaN            NaN            NaN            NaN            NaN            NaN
