|6.6.6
Archiving\03_Data\eqfrac/QFM_m2.25/ALH/ALH_3.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         melt(TH)       O(HP)          O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        Sp(TH)         Sp(TH)         an             ilm            San(TH)        ne             lc            
  1560.90        2500.00        99.9120       0.880046E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.49        2500.00        99.5121       0.864846E-001            NaN  0.401429                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.09        2500.00        99.4583       0.525593E-001            NaN  0.489110                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.68        2500.00        99.4631       0.508666E-001            NaN  0.486025                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.28        2500.00        99.4668       0.507048E-001            NaN  0.482499                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.87        2500.00        99.4696       0.496262E-001            NaN  0.480763                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.47        2500.00        99.9366       0.634068E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.06        2500.00        99.0152       0.327779E-001            NaN  0.951977                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.65        2500.00        99.4822       0.485660E-001            NaN  0.469204                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.25        2500.00        99.4851       0.476204E-001            NaN  0.467297                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.84        2500.00        99.4882       0.462428E-001            NaN  0.465583                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.44        2500.00        99.4924       0.466186E-001            NaN  0.460958                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.03        2500.00        99.4963       0.452635E-001            NaN  0.458477                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.63        2500.00        99.4991       0.446999E-001            NaN  0.456173                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.22        2500.00        99.2618       0.659463E-001            NaN  0.672269                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.81        2500.00        99.2141       0.720028E-001            NaN  0.713902                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.41        2500.00        99.9964                 NaN            NaN  0.357844E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.00        2500.00        99.8773       0.818425E-002            NaN  0.114482                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.60        2500.00        99.1978       0.723111E-001            NaN  0.729918                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.19        2500.00        99.5199       0.413294E-001            NaN  0.438756                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.78        2500.00        99.5234       0.411679E-001            NaN  0.435438                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.38        2500.00        99.5249       0.409490E-001            NaN  0.434104                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.97        2500.00        99.5230       0.394439E-001            NaN  0.437589                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.57        2500.00        99.5354       0.388010E-001            NaN  0.425808                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.16        2500.00        99.4414       0.887133E-002            NaN  0.249785       0.299988                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.76        2500.00        99.4391       0.106024E-001            NaN  0.461958E-003  0.549879                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.35        2500.00        99.4029                 NaN            NaN            NaN  0.597090                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.94        2500.00        99.4055       0.143619E-004            NaN  0.284689E-001  0.565975                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
