|6.6.6
Archiving\03_Data\eqfrac/QFM_m2.25/ALH/ALH_1.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         melt(TH)       O(HP)          O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        Sp(TH)         Sp(TH)         an             ilm            San(TH)        ne             lc            
  1560.90        2500.00        99.8963       0.103746                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.49        2500.00        99.4417       0.101961                 NaN  0.456320                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.09        2500.00        99.3819       0.619794E-001            NaN  0.556099                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.68        2500.00        99.3873       0.600139E-001            NaN  0.552702                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.28        2500.00        99.3913       0.598479E-001            NaN  0.548869                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.87        2500.00        99.3944       0.585968E-001            NaN  0.547012                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.47        2500.00        99.9251       0.748871E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.06        2500.00        98.8782       0.387159E-001            NaN   1.08310                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.65        2500.00        99.4082       0.574326E-001            NaN  0.534362                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.25        2500.00        99.4115       0.563214E-001            NaN  0.532215                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.84        2500.00        99.4149       0.547197E-001            NaN  0.530408                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.44        2500.00        99.4195       0.551984E-001            NaN  0.525339                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.03        2500.00        99.4237       0.536170E-001            NaN  0.522645                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.63        2500.00        99.4269       0.529681E-001            NaN  0.520112                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.22        2500.00        99.1547       0.782802E-001            NaN  0.767061                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.81        2500.00        99.0995       0.855359E-001            NaN  0.814936                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.41        2500.00        99.9959                 NaN            NaN  0.408622E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.00        2500.00        99.8596       0.972081E-002            NaN  0.130704                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.60        2500.00        99.0813       0.858294E-001            NaN  0.832828                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.19        2500.00        99.4498       0.491213E-001            NaN  0.501118                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.78        2500.00        99.4536       0.489433E-001            NaN  0.497443                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.38        2500.00        99.4553       0.487025E-001            NaN  0.496042                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.97        2500.00        99.4528       0.469652E-001            NaN  0.500202                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.57        2500.00        99.4670       0.461945E-001            NaN  0.486832                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.16        2500.00        99.3628       0.105651E-001            NaN  0.285606       0.340994                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.76        2500.00        99.3616       0.126300E-001            NaN  0.528384E-003  0.625246                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.35        2500.00        99.3208                 NaN            NaN            NaN  0.679184                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.94        2500.00        99.3234       0.171236E-004            NaN  0.325868E-001  0.644025                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.54        2500.00        99.2804                 NaN            NaN  0.916627E-001  0.627950                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.13        2500.00        99.4494       0.466708E-005            NaN            NaN  0.550559                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.73        2500.00        99.2403                 NaN            NaN            NaN  0.759668                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.32        2500.00        99.3243                 NaN            NaN  0.629334E-002  0.669379                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.92        2500.00        99.3243                 NaN            NaN            NaN  0.675683                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.51        2500.00        99.3213                 NaN            NaN            NaN  0.678726                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.10        2500.00        99.3195                 NaN            NaN            NaN  0.680504                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.70        2500.00        99.3209                 NaN            NaN            NaN  0.679089                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.29        2500.00        99.2251                 NaN            NaN            NaN  0.774944                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.89        2500.00        99.4091                 NaN            NaN            NaN  0.590895                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.48        2500.00        99.3147       0.461839E-005            NaN            NaN  0.685248                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.08        2500.00        99.3089                 NaN            NaN            NaN  0.691098                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.67        2500.00        99.3089                 NaN            NaN            NaN  0.691081                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.26        2500.00        99.3041                 NaN            NaN            NaN  0.695935                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.86        2500.00        99.2976                 NaN            NaN            NaN  0.702400                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.45        2500.00        99.2882                 NaN            NaN            NaN  0.711227                 NaN  0.544740E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1499.05        2500.00        99.2800                 NaN            NaN            NaN  0.717231                 NaN  0.280490E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1497.64        2500.00        99.2651                 NaN            NaN            NaN  0.728638                 NaN  0.626803E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1496.23        2500.00        99.2123                 NaN            NaN            NaN  0.832301E-001  0.698588       0.588997E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1494.83        2500.00        98.9143                 NaN            NaN            NaN  0.690577       0.391492       0.367059E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1493.42        2500.00        98.9264                 NaN            NaN            NaN  0.683694       0.386358       0.353011E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1492.02        2500.00        98.9334                 NaN            NaN            NaN  0.384221       0.678922       0.342140E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1490.61        2500.00        98.9440                 NaN            NaN            NaN  0.671698       0.380946       0.333624E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1489.21        2500.00        98.9512                 NaN            NaN            NaN  0.378676       0.666951       0.322363E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1487.80        2500.00        98.9616                 NaN            NaN            NaN  0.375789       0.659495       0.315139E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1486.39        2500.00        98.9665                 NaN            NaN            NaN  0.656431       0.374001       0.307403E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1484.99        2500.00        98.9792                 NaN            NaN            NaN  0.647437       0.370428       0.293870E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1483.58        2500.00        98.9850                 NaN            NaN            NaN  0.368824       0.643270       0.286568E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1482.18        2500.00        98.9926                 NaN            NaN            NaN  0.638535       0.366121       0.278942E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1480.77        2500.00        99.0012                 NaN            NaN            NaN  0.632408       0.363671       0.267442E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1479.37        2500.00        99.0039                 NaN            NaN            NaN  0.632401       0.361005       0.265048E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1477.96        2500.00        99.0221                 NaN            NaN            NaN  0.357840       0.617567       0.250932E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1476.55        2500.00        99.0234                 NaN            NaN            NaN  0.617354       0.356796       0.243253E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1475.15        2500.00        99.0304                 NaN            NaN            NaN  0.612745       0.354514       0.235788E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1473.74        2500.00        99.0378                 NaN            NaN            NaN  0.351900       0.607996       0.228400E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1472.34        2500.00        99.0440                 NaN            NaN            NaN  0.350402       0.603419       0.221557E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1470.93        2500.00        99.0512                 NaN            NaN            NaN  0.598901       0.347818       0.212570E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1469.53        2500.00        99.0577                 NaN            NaN            NaN  0.344962       0.595311       0.206678E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1468.12        2500.00        99.0658                 NaN            NaN            NaN  0.342965       0.589207       0.198189E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1466.71        2500.00        99.0708                 NaN            NaN            NaN  0.340983       0.586341       0.191062E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1465.31        2500.00        99.0774                 NaN            NaN            NaN  0.339168       0.581619       0.184792E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1463.90        2500.00        99.0819                 NaN            NaN            NaN  0.578849       0.337525       0.176173E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1462.50        2500.00        99.0910                 NaN            NaN            NaN  0.334786       0.572529       0.170983E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1461.09        2500.00        99.0950                 NaN            NaN            NaN  0.332921       0.570492       0.163124E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1459.68        2500.00        98.7748                 NaN            NaN            NaN  0.450338       0.772732       0.215990E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1458.28        2500.00        99.4334                 NaN            NaN            NaN  0.208880       0.356758       0.947548E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1456.87        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1455.47        2500.00        98.2315                 NaN            NaN            NaN   1.11418       0.651427       0.286133E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1454.06        2500.00        99.1227                 NaN            NaN            NaN  0.323696       0.552299       0.134858E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1452.66        2500.00        99.1284       0.706126E-005            NaN            NaN  0.548553       0.321802       0.128137E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1451.25        2500.00        99.1317                 NaN            NaN            NaN  0.546872       0.320176       0.122673E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1449.84        2500.00        99.1393                 NaN            NaN            NaN  0.542087       0.317479       0.116305E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1448.44        2500.00        99.0936                 NaN            NaN            NaN  0.571422       0.333779       0.124384E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1447.03        2500.00        99.1975                 NaN            NaN            NaN  0.296573       0.504936       0.101663E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1445.63        2500.00        99.1514       0.101935E-005            NaN            NaN  0.534428       0.313170       0.102890E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1444.22        2500.00        99.1571                 NaN            NaN            NaN  0.310921       0.530920       0.101356E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1442.82        2500.00        99.1618                 NaN            NaN            NaN  0.528357       0.308932       0.943996E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1441.41        2500.00        99.1663                 NaN            NaN            NaN  0.307535       0.525237       0.878969E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1440.00        2500.00        99.1697                 NaN            NaN            NaN  0.523436       0.306040       0.861158E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1438.60        2500.00        99.1739                 NaN            NaN            NaN  0.304585       0.520713       0.793365E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1437.19        2500.00        99.1778                 NaN            NaN            NaN  0.518532       0.302929       0.746172E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1435.79        2500.00        99.1817                 NaN            NaN            NaN  0.516174       0.301408       0.724466E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1434.38        2500.00        99.1860                 NaN            NaN            NaN  0.299743       0.513576       0.672147E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1432.98        2500.00        99.1891                 NaN            NaN            NaN  0.511919       0.298324       0.644002E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1431.57        2500.00        99.1928                 NaN            NaN            NaN  0.509873       0.296664       0.619511E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1430.16        2500.00        99.1963                 NaN            NaN            NaN  0.507863       0.295232       0.574324E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1428.76        2500.00        99.1965                 NaN            NaN            NaN  0.508233       0.294714       0.534343E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1427.35        2500.00        99.2056                 NaN            NaN            NaN  0.291412       0.502499       0.511700E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1425.95        2500.00        98.8994                 NaN            NaN            NaN  0.433727       0.517328       0.150762E-002            NaN  0.148050                 NaN            NaN            NaN            NaN
  1424.54        2500.00        98.2278       0.618556E-005            NaN            NaN  0.742042       0.552455                 NaN            NaN  0.477680                 NaN            NaN            NaN            NaN
  1423.14        2500.00        98.2389       0.636984E-001            NaN            NaN  0.564842       0.646652                 NaN            NaN  0.485935                 NaN            NaN            NaN            NaN
  1421.73        2500.00        98.2086       0.267245                 NaN            NaN  0.628296       0.365347                 NaN            NaN  0.530526                 NaN            NaN            NaN            NaN
  1420.32        2500.00        98.2342       0.266678                 NaN            NaN  0.354272       0.621947                 NaN            NaN  0.522950                 NaN            NaN            NaN            NaN
  1418.92        2500.00        98.2540       0.267291                 NaN            NaN  0.618253       0.342805                 NaN            NaN  0.517637                 NaN            NaN            NaN            NaN
