|6.6.6
Archiving\03_Data\DeqLP/QFM_m0.75/K22/K22_1.tab                       
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          10
T(K)           P(bar)         melt(TH)       O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)       
  2000.00        500.000        99.4667       0.533319                 NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        500.000        99.4307       0.569289                 NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        500.000        99.3947       0.605258                 NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        500.000        99.3588       0.641227                 NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        500.000        99.3228       0.677196                 NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        500.000        99.2868       0.713164                 NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        500.000        99.2509       0.749133                 NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        500.000        99.2149       0.785101                 NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        500.000        99.1789       0.821070                 NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        500.000        99.0573       0.942680                 NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        500.000        98.9357        1.06429                 NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        500.000        98.8141        1.18590                 NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        500.000        98.6925        1.30751                 NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        500.000        98.5709        1.42912                 NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        500.000        98.4493        1.55073                 NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        500.000        98.3277        1.67234                 NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        500.000        98.2061        1.79395                 NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        500.000        97.7752        2.22476                 NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        500.000        97.3444        2.65558                 NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        500.000        96.9136        3.08640                 NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        500.000        96.4828        3.51723                 NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        500.000        96.0519        3.94806                 NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        500.000        95.6211        4.37889                 NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        500.000        95.1903        4.80972                 NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        500.000        94.7594        5.24056                 NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        500.000        94.1369        5.86310                 NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        500.000        93.5144        6.48564                 NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        500.000        92.8634        7.13661                 NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        500.000        92.2044        7.79290       0.266904E-002            NaN            NaN            NaN            NaN            NaN
  1907.05        500.000        91.5276        8.45114       0.212860E-001            NaN            NaN            NaN            NaN            NaN
  1903.85        500.000        90.8507        9.10939       0.399032E-001            NaN            NaN            NaN            NaN            NaN
  1900.64        500.000        90.1738        9.76765       0.585207E-001            NaN            NaN            NaN            NaN            NaN
  1897.44        500.000        89.4969        10.4259       0.771386E-001            NaN            NaN            NaN            NaN            NaN
  1894.23        500.000        88.8404        11.0651       0.944931E-001            NaN            NaN            NaN            NaN            NaN
  1891.03        500.000        88.1838        11.7044       0.111848                 NaN            NaN            NaN            NaN            NaN
  1887.82        500.000        87.5272        12.3436       0.129203                 NaN            NaN            NaN            NaN            NaN
  1884.62        500.000        86.8705        12.9829       0.146559                 NaN            NaN            NaN            NaN            NaN
  1881.41        500.000        86.2139        13.6222       0.163914                 NaN            NaN            NaN            NaN            NaN
  1878.21        500.000        85.5573        14.2615       0.181270                 NaN            NaN            NaN            NaN            NaN
  1875.00        500.000        84.9006        14.9008       0.198627                 NaN            NaN            NaN            NaN            NaN
  1871.79        500.000        84.2440        15.5401       0.215984                 NaN            NaN            NaN            NaN            NaN
  1868.59        500.000        83.6276        16.1405       0.231856                 NaN            NaN            NaN            NaN            NaN
  1865.38        500.000        83.0113        16.7410       0.247729                 NaN            NaN            NaN            NaN            NaN
  1862.18        500.000        82.3949        17.3415       0.263602                 NaN            NaN            NaN            NaN            NaN
  1858.97        500.000        81.7785        17.9420       0.279476                 NaN            NaN            NaN            NaN            NaN
  1855.77        500.000        81.1621        18.5425       0.295349                 NaN            NaN            NaN            NaN            NaN
  1852.56        500.000        80.5457        19.1431       0.311224                 NaN            NaN            NaN            NaN            NaN
  1849.36        500.000        79.9293        19.7436       0.327098                 NaN            NaN            NaN            NaN            NaN
  1846.15        500.000        79.3128        20.3442       0.342973                 NaN            NaN            NaN            NaN            NaN
  1842.95        500.000        78.7311        20.9113       0.357588                 NaN            NaN            NaN            NaN            NaN
  1839.74        500.000        78.1494        21.4784       0.372204                 NaN            NaN            NaN            NaN            NaN
  1836.54        500.000        77.5677        22.0455       0.386821                 NaN            NaN            NaN            NaN            NaN
  1833.33        500.000        76.9859        22.6126       0.401437                 NaN            NaN            NaN            NaN            NaN
  1830.13        500.000        76.4042        23.1798       0.416054                 NaN            NaN            NaN            NaN            NaN
  1826.92        500.000        75.8224        23.7469       0.430671                 NaN            NaN            NaN            NaN            NaN
  1823.72        500.000        75.2406        24.3141       0.445288                 NaN            NaN            NaN            NaN            NaN
  1820.51        500.000        74.6588        24.8812       0.459906                 NaN            NaN            NaN            NaN            NaN
  1817.31        500.000        74.1045        25.4220       0.473422                 NaN            NaN            NaN            NaN            NaN
  1814.10        500.000        73.5502        25.9628       0.486939                 NaN            NaN            NaN            NaN            NaN
  1810.90        500.000        72.9959        26.5037       0.500455                 NaN            NaN            NaN            NaN            NaN
  1807.69        500.000        72.4415        27.0445       0.513973                 NaN            NaN            NaN            NaN            NaN
  1804.49        500.000        71.8872        27.5853       0.527490                 NaN            NaN            NaN            NaN            NaN
  1801.28        500.000        71.3328        28.1262       0.541008                 NaN            NaN            NaN            NaN            NaN
  1798.08        500.000        70.7784        28.6671       0.554525                 NaN            NaN            NaN            NaN            NaN
  1794.87        500.000        70.2240        29.2079       0.568044                 NaN            NaN            NaN            NaN            NaN
  1791.67        500.000        69.6927        29.7268       0.580535                 NaN            NaN            NaN            NaN            NaN
  1788.46        500.000        69.1613        30.2457       0.593027                 NaN            NaN            NaN            NaN            NaN
  1785.26        500.000        68.6299        30.7645       0.605519                 NaN            NaN            NaN            NaN            NaN
  1782.05        500.000        68.0986        31.2834       0.618012                 NaN            NaN            NaN            NaN            NaN
  1778.85        500.000        67.5672        31.8023       0.630504                 NaN            NaN            NaN            NaN            NaN
  1775.64        500.000        67.0358        32.3212       0.642997                 NaN            NaN            NaN            NaN            NaN
  1772.44        500.000        66.5043        32.8402       0.655490                 NaN            NaN            NaN            NaN            NaN
  1769.23        500.000        65.9729        33.3591       0.667984                 NaN            NaN            NaN            NaN            NaN
  1766.03        500.000        65.4597        33.8607       0.679628                 NaN            NaN            NaN            NaN            NaN
  1762.82        500.000        64.9464        34.3623       0.691273                 NaN            NaN            NaN            NaN            NaN
  1759.62        500.000        64.4331        34.8640       0.702917                 NaN            NaN            NaN            NaN            NaN
  1756.41        500.000        63.9198        35.3656       0.714562                 NaN            NaN            NaN            NaN            NaN
  1753.21        500.000        63.4065        35.8673       0.726208                 NaN            NaN            NaN            NaN            NaN
  1750.00        500.000        62.8932        36.3690       0.737853                 NaN            NaN            NaN            NaN            NaN
  1746.79        500.000        62.3798        36.8707       0.749499                 NaN            NaN            NaN            NaN            NaN
  1743.59        500.000        61.8665        37.3723       0.761145                 NaN            NaN            NaN            NaN            NaN
  1740.38        500.000        61.3709        37.8571       0.771978                 NaN            NaN            NaN            NaN            NaN
  1737.18        500.000        60.8753        38.3418       0.782811                 NaN            NaN            NaN            NaN            NaN
  1733.97        500.000        60.3797        38.8266       0.793645                 NaN            NaN            NaN            NaN            NaN
  1730.77        500.000        59.8841        39.3114       0.804478                 NaN            NaN            NaN            NaN            NaN
  1727.56        500.000        59.3885        39.7962       0.815312                 NaN            NaN            NaN            NaN            NaN
  1724.36        500.000        58.8929        40.2810       0.826146                 NaN            NaN            NaN            NaN            NaN
  1721.15        500.000        58.3972        40.7658       0.836981                 NaN            NaN            NaN            NaN            NaN
  1717.95        500.000        57.9016        41.2506       0.847816                 NaN            NaN            NaN            NaN            NaN
  1714.74        500.000        57.4246        41.7173       0.858107                 NaN            NaN            NaN            NaN            NaN
  1711.54        500.000        56.9476        42.1840       0.868399                 NaN            NaN            NaN            NaN            NaN
  1708.33        500.000        56.4706        42.6507       0.878691                 NaN            NaN            NaN            NaN            NaN
  1705.13        500.000        55.9936        43.1174       0.888984                 NaN            NaN            NaN            NaN            NaN
  1701.92        500.000        55.5166        43.5841       0.899276                 NaN            NaN            NaN            NaN            NaN
  1698.72        500.000        55.0396        44.0508       0.909569                 NaN            NaN            NaN            NaN            NaN
  1695.51        500.000        54.5626        44.5176       0.919862                 NaN            NaN            NaN            NaN            NaN
  1692.31        500.000        54.0855        44.9843       0.930155                 NaN            NaN            NaN            NaN            NaN
  1689.10        500.000        53.6308        45.4298       0.939459                 NaN            NaN            NaN            NaN            NaN
  1685.90        500.000        53.1760        45.8753       0.948762                 NaN            NaN            NaN            NaN            NaN
  1682.69        500.000        52.7212        46.3207       0.958066                 NaN            NaN            NaN            NaN            NaN
  1679.49        500.000        52.2664        46.7662       0.967370                 NaN            NaN            NaN            NaN            NaN
  1676.28        500.000        51.8116        47.2117       0.976674                 NaN            NaN            NaN            NaN            NaN
  1673.08        500.000        51.3568        47.6572       0.985978                 NaN            NaN            NaN            NaN            NaN
  1669.87        500.000        50.9020        48.1027       0.995283                 NaN            NaN            NaN            NaN            NaN
  1666.67        500.000        50.4472        48.5483        1.00459                 NaN            NaN            NaN            NaN            NaN
  1663.46        500.000        50.0180        48.9685        1.01355                 NaN            NaN            NaN            NaN            NaN
  1660.26        500.000        49.5888        49.3887        1.02251                 NaN            NaN            NaN            NaN            NaN
  1657.05        500.000        49.1596        49.8090        1.03147                 NaN            NaN            NaN            NaN            NaN
  1653.85        500.000        48.7303        50.2292        1.04043                 NaN            NaN            NaN            NaN            NaN
  1650.64        500.000        48.3011        50.6495        1.04939                 NaN            NaN            NaN            NaN            NaN
  1647.44        500.000        47.8719        51.0698        1.05835                 NaN            NaN            NaN            NaN            NaN
  1644.23        500.000        47.4426        51.4901        1.06731                 NaN            NaN            NaN            NaN            NaN
  1641.03        500.000        47.0134        51.9104        1.07627                 NaN            NaN            NaN            NaN            NaN
  1637.82        500.000        46.6137        52.3013        1.08492                 NaN            NaN            NaN            NaN            NaN
  1634.62        500.000        46.2141        52.6923        1.09358                 NaN            NaN            NaN            NaN            NaN
  1631.41        500.000        45.8144        53.0833        1.10223                 NaN            NaN            NaN            NaN            NaN
  1628.21        500.000        45.4148        53.4744        1.11088                 NaN            NaN            NaN            NaN            NaN
  1625.00        500.000        45.0151        53.8654        1.11954                 NaN            NaN            NaN            NaN            NaN
  1621.79        500.000        44.6154        54.2564        1.12819                 NaN            NaN            NaN            NaN            NaN
  1618.59        500.000        44.2157        54.6474        1.13684                 NaN            NaN            NaN            NaN            NaN
  1615.38        500.000        43.8160        55.0385        1.14550                 NaN            NaN            NaN            NaN            NaN
  1612.18        500.000        42.6652        55.0792        1.13729        1.11832                 NaN            NaN            NaN            NaN
  1608.97        500.000        41.5484        55.1101        1.12914        2.21241                 NaN            NaN            NaN            NaN
  1605.77        500.000        40.5034        55.1368        1.12060        3.23918                 NaN            NaN            NaN            NaN
  1602.56        500.000        39.4585        55.1635        1.11207        4.26598                 NaN            NaN            NaN            NaN
  1599.36        500.000        38.5278        55.1816        1.10346        5.18715                 NaN            NaN            NaN            NaN
  1596.15        500.000        37.5970        55.1998        1.09485        6.10834                 NaN            NaN            NaN            NaN
  1592.95        500.000        36.6663        55.2179        1.08625        7.02955                 NaN            NaN            NaN            NaN
  1589.74        500.000        35.7355        55.2361        1.07764        7.95077                 NaN            NaN            NaN            NaN
  1586.54        500.000        34.9801        55.2419        1.06837        8.70968                 NaN            NaN            NaN            NaN
  1583.33        500.000        34.2246        55.2477        1.05910        9.46860                 NaN            NaN            NaN            NaN
  1580.13        500.000        33.4691        55.2535        1.04982        10.2275                 NaN            NaN            NaN            NaN
  1576.92        500.000        32.7137        55.2593        1.04055        10.9865                 NaN            NaN            NaN            NaN
  1573.72        500.000        31.9582        55.2651        1.03128        11.7454                 NaN            NaN            NaN            NaN
  1570.51        500.000        31.2026        55.2709        1.02201        12.5044                 NaN            NaN            NaN            NaN
  1567.31        500.000        30.4471        55.2768        1.01273        13.2634                 NaN            NaN            NaN            NaN
  1564.10        500.000        29.6916        55.2826        1.00346        14.0224                 NaN            NaN            NaN            NaN
  1560.90        500.000        29.0924        55.2784       0.993111        14.6361                 NaN            NaN            NaN            NaN
  1557.69        500.000        28.4931        55.2742       0.982762        15.2499                 NaN            NaN            NaN            NaN
  1554.49        500.000        27.8939        55.2701       0.972413        15.8636                 NaN            NaN            NaN            NaN
  1551.28        500.000        27.2947        55.2659       0.962064        16.4773                 NaN            NaN            NaN            NaN
  1548.08        500.000        26.6954        55.2618       0.951714        17.0911                 NaN            NaN            NaN            NaN
  1544.87        500.000        26.0962        55.2576       0.941365        17.7048                 NaN            NaN            NaN            NaN
  1541.67        500.000        25.4969        55.2534       0.931016        18.3186                 NaN            NaN            NaN            NaN
  1538.46        500.000        24.8977        55.2493       0.920666        18.9324                 NaN            NaN            NaN            NaN
  1535.26        500.000        24.3906        55.2410       0.908419        19.4600                 NaN            NaN            NaN            NaN
  1532.05        500.000        23.8835        55.2327       0.896172        19.9877                 NaN            NaN            NaN            NaN
  1528.85        500.000        23.3764        55.2244       0.883925        20.5153                 NaN            NaN            NaN            NaN
  1525.64        500.000        22.8693        55.2161       0.871677        21.0430                 NaN            NaN            NaN            NaN
  1522.44        500.000        22.3622        55.2078       0.859430        21.5706                 NaN            NaN            NaN            NaN
  1519.23        500.000        21.8551        55.1995       0.847182        22.0983                 NaN            NaN            NaN            NaN
  1516.03        500.000        21.3480        55.1912       0.834934        22.6259                 NaN            NaN            NaN            NaN
  1512.82        500.000        20.8409        55.1829       0.822686        23.1536                 NaN            NaN            NaN            NaN
  1509.62        500.000        20.3898        55.1749       0.807879        23.6274                 NaN            NaN            NaN            NaN
  1506.41        500.000        19.9387        55.1669       0.793072        24.1013                 NaN            NaN            NaN            NaN
  1503.21        500.000        19.4876        55.1590       0.778265        24.5752                 NaN            NaN            NaN            NaN
  1500.00        500.000        19.0365        55.1510       0.763457        25.0490                 NaN            NaN            NaN            NaN
  1496.79        500.000        18.5854        55.1430       0.748650        25.5229                 NaN            NaN            NaN            NaN
  1493.59        500.000        18.1343        55.1351       0.733842        25.9968                 NaN            NaN            NaN            NaN
  1490.38        500.000        17.6832        55.1271       0.719034        26.4706                 NaN            NaN            NaN            NaN
  1487.18        500.000        17.2321        55.1191       0.704226        26.9445                 NaN            NaN            NaN            NaN
  1483.97        500.000        16.8089        55.1132       0.687593        27.3904                 NaN            NaN            NaN            NaN
  1480.77        500.000        16.3856        55.1072       0.670959        27.8363                 NaN            NaN            NaN            NaN
  1477.56        500.000        15.9691        55.1014       0.654510        28.2749                 NaN            NaN            NaN            NaN
  1474.36        500.000        15.4923        55.0944       0.640437        28.6473       0.125554                 NaN            NaN            NaN
  1471.15        500.000        14.9160        55.0829       0.636785        28.8373       0.527069                 NaN            NaN            NaN
  1467.95        500.000        14.3396        55.0715       0.633134        29.0272       0.928588                 NaN            NaN            NaN
  1464.74        500.000        13.7633        55.0600       0.629482        29.2171        1.33011                 NaN            NaN            NaN
  1461.54        500.000        13.1870        55.0485       0.625831        29.4071        1.73163                 NaN            NaN            NaN
  1458.33        500.000        12.7095        55.0286       0.626447        29.5551        2.08037                 NaN            NaN            NaN
  1455.13        500.000        12.2320        55.0087       0.627063        29.7031        2.42911                 NaN            NaN            NaN
  1451.92        500.000        11.7545        54.9888       0.627679        29.8511        2.77785                 NaN            NaN            NaN
  1448.72        500.000        11.2770        54.9689       0.628295        29.9992        3.12659                 NaN            NaN            NaN
  1445.51        500.000        10.8611        54.9434       0.631920        30.1235        3.44011                 NaN            NaN            NaN
  1442.31        500.000        10.4451        54.9178       0.635546        30.2479        3.75363                 NaN            NaN            NaN
  1439.10        500.000        10.0628        54.8910       0.640164        30.3584        4.04762                 NaN            NaN            NaN
  1435.90        500.000        9.64223        54.8429       0.655658        30.2338        4.33721       0.288212                 NaN            NaN
  1432.69        500.000        9.64223        54.8429       0.655658        30.2338        4.33721       0.288212                 NaN            NaN
  1429.49        500.000        9.64223        54.8429       0.655658        30.2338        4.33721       0.288212                 NaN            NaN
  1426.28        500.000        9.64223        54.8429       0.655658        30.2338        4.33721       0.288212                 NaN            NaN
  1423.08        500.000        8.15071        54.6436       0.723444        29.7369        1.37693        5.36848                 NaN            NaN
  1419.87        500.000        8.15071        54.6436       0.723444        29.7369        1.37693        5.36848                 NaN            NaN
  1416.67        500.000        7.53031        54.5487       0.756572        29.5738        1.78156        5.80906                 NaN            NaN
  1413.46        500.000        7.15570        54.5459       0.769669        29.4324        2.03544        5.97536       0.855550E-001            NaN
  1410.26        500.000        6.77504        54.5633       0.781084        29.2639        6.10586        2.30449       0.206317                 NaN
  1407.05        500.000        6.77504        54.5633       0.781084        29.2639        6.10586        2.30449       0.206317                 NaN
  1403.85        500.000        6.77504        54.5633       0.781084        29.2639        6.10586        2.30449       0.206317                 NaN
  1400.64        500.000        6.77504        54.5633       0.781084        29.2639        6.10586        2.30449       0.206317                 NaN
  1397.44        500.000        6.77504        54.5633       0.781084        29.2639        6.10586        2.30449       0.206317                 NaN
  1394.23        500.000        6.77504        54.5633       0.781084        29.2639        6.10586        2.30449       0.206317                 NaN
  1391.03        500.000        6.77504        54.5633       0.781084        29.2639        6.10586        2.30449       0.206317                 NaN
  1387.82        500.000        6.77504        54.5633       0.781084        29.2639        6.10586        2.30449       0.206317                 NaN
  1384.62        500.000        4.61258        54.6605       0.855575        28.1954        6.82173        3.89163       0.962592                 NaN
  1381.41        500.000        4.61258        54.6605       0.855575        28.1954        6.82173        3.89163       0.962592                 NaN
  1378.21        500.000        4.61258        54.6605       0.855575        28.1954        6.82173        3.89163       0.962592                 NaN
  1375.00        500.000        4.61258        54.6605       0.855575        28.1954        6.82173        3.89163       0.962592                 NaN
  1371.79        500.000        4.61258        54.6605       0.855575        28.1954        6.82173        3.89163       0.962592                 NaN
  1368.59        500.000        4.61258        54.6605       0.855575        28.1954        6.82173        3.89163       0.962592                 NaN
  1365.38        500.000        4.61258        54.6605       0.855575        28.1954        6.82173        3.89163       0.962592                 NaN
  1362.18        500.000        4.61258        54.6605       0.855575        28.1954        6.82173        3.89163       0.962592                 NaN
  1358.97        500.000        3.29263        54.6971       0.916034        27.4552        4.91315        7.21774        1.50818                 NaN
  1355.77        500.000        3.29263        54.6971       0.916034        27.4552        4.91315        7.21774        1.50818                 NaN
  1352.56        500.000        3.29263        54.6971       0.916034        27.4552        4.91315        7.21774        1.50818                 NaN
  1349.36        500.000        3.29263        54.6971       0.916034        27.4552        4.91315        7.21774        1.50818                 NaN
  1346.15        500.000        3.29263        54.6971       0.916034        27.4552        4.91315        7.21774        1.50818                 NaN
  1342.95        500.000        3.29263        54.6971       0.916034        27.4552        4.91315        7.21774        1.50818                 NaN
  1339.74        500.000        3.29263        54.6971       0.916034        27.4552        4.91315        7.21774        1.50818                 NaN
  1336.54        500.000        3.29263        54.6971       0.916034        27.4552        4.91315        7.21774        1.50818                 NaN
  1333.33        500.000        2.36267        54.7018       0.966456        26.9174        7.46058        5.64269        1.94839                 NaN
  1330.13        500.000        2.36267        54.7018       0.966456        26.9174        7.46058        5.64269        1.94839                 NaN
  1326.92        500.000        2.36267        54.7018       0.966456        26.9174        7.46058        5.64269        1.94839                 NaN
  1323.72        500.000        2.36267        54.7018       0.966456        26.9174        7.46058        5.64269        1.94839                 NaN
  1320.51        500.000        2.36267        54.7018       0.966456        26.9174        7.46058        5.64269        1.94839                 NaN
  1317.31        500.000        2.36267        54.7018       0.966456        26.9174        7.46058        5.64269        1.94839                 NaN
  1314.10        500.000        2.36267        54.7018       0.966456        26.9174        7.46058        5.64269        1.94839                 NaN
  1310.90        500.000        2.36267        54.7018       0.966456        26.9174        7.46058        5.64269        1.94839                 NaN
  1307.69        500.000        1.64774        54.6777        1.00964        26.5369        7.62400        6.18614        2.31784                 NaN
  1304.49        500.000        1.64774        54.6777        1.00964        26.5369        7.62400        6.18614        2.31784                 NaN
  1301.28        500.000        1.64774        54.6777        1.00964        26.5369        7.62400        6.18614        2.31784                 NaN
  1298.08        500.000        1.64774        54.6777        1.00964        26.5369        7.62400        6.18614        2.31784                 NaN
  1294.87        500.000        1.64774        54.6777        1.00964        26.5369        7.62400        6.18614        2.31784                 NaN
  1291.67        500.000        1.64774        54.6777        1.00964        26.5369        7.62400        6.18614        2.31784                 NaN
  1288.46        500.000        1.64774        54.6777        1.00964        26.5369        7.62400        6.18614        2.31784                 NaN
  1285.26        500.000        1.64774        54.6777        1.00964        26.5369        7.62400        6.18614        2.31784                 NaN
  1282.05        500.000        1.06445        54.6293        1.04691        26.2850        6.59104        7.75430        2.62898                 NaN
  1278.85        500.000                 NaN   54.6687        1.05299        26.2261        6.79220        7.84837        2.75603       0.655655     
  1275.64        500.000                 NaN   54.6750        1.05696        26.2307        7.84936        6.76468        2.76656       0.656743     
  1272.44        500.000                 NaN   54.6750        1.05696        26.2307        7.84936        6.76468        2.76656       0.656743     
  1269.23        500.000                 NaN   54.6853        1.06502        26.2422        7.85155        6.70961        2.78746       0.658870     
  1266.03        500.000                 NaN   54.6853        1.06502        26.2422        7.85155        6.70961        2.78746       0.658870     
  1262.82        500.000                 NaN   54.6853        1.06502        26.2422        7.85155        6.70961        2.78746       0.658870     
  1259.62        500.000                 NaN   54.6853        1.06502        26.2422        7.85155        6.70961        2.78746       0.658870     
  1256.41        500.000                 NaN   54.7056        1.08156        26.2630        7.85663        6.60238        2.82758       0.663173     
  1253.21        500.000                 NaN   54.7056        1.08156        26.2630        7.85663        6.60238        2.82758       0.663173     
  1250.00        500.000                 NaN   54.7056        1.08156        26.2630        7.85663        6.60238        2.82758       0.663173     
  1246.79        500.000                 NaN   54.7056        1.08156        26.2630        7.85663        6.60238        2.82758       0.663173     
  1243.59        500.000                 NaN   54.7056        1.08156        26.2630        7.85663        6.60238        2.82758       0.663173     
  1240.38        500.000                 NaN   54.7056        1.08156        26.2630        7.85663        6.60238        2.82758       0.663173     
  1237.18        500.000                 NaN   54.7056        1.08156        26.2630        7.85663        6.60238        2.82758       0.663173     
  1233.97        500.000                 NaN   54.7056        1.08156        26.2630        7.85663        6.60238        2.82758       0.663173     
  1230.77        500.000                 NaN   54.7439        1.11525        26.3039        7.86315        6.39778        2.90499       0.671105     
  1227.56        500.000                 NaN   54.7439        1.11525        26.3039        7.86315        6.39778        2.90499       0.671105     
  1224.36        500.000                 NaN   54.7439        1.11525        26.3039        7.86315        6.39778        2.90499       0.671105     
  1221.15        500.000                 NaN   54.7439        1.11525        26.3039        7.86315        6.39778        2.90499       0.671105     
  1217.95        500.000                 NaN   54.7439        1.11525        26.3039        7.86315        6.39778        2.90499       0.671105     
  1214.74        500.000                 NaN   54.7439        1.11525        26.3039        7.86315        6.39778        2.90499       0.671105     
  1211.54        500.000                 NaN   54.7439        1.11525        26.3039        7.86315        6.39778        2.90499       0.671105     
  1208.33        500.000                 NaN   54.7439        1.11525        26.3039        7.86315        6.39778        2.90499       0.671105     
  1205.13        500.000                 NaN   54.7752        1.15080        26.3447        7.86844        6.20567        2.97709       0.678099     
  1201.92        500.000                 NaN   54.7752        1.15080        26.3447        7.86844        6.20567        2.97709       0.678099     
  1198.72        500.000                 NaN   54.7752        1.15080        26.3447        7.86844        6.20567        2.97709       0.678099     
  1195.51        500.000                 NaN   54.7752        1.15080        26.3447        7.86844        6.20567        2.97709       0.678099     
  1192.31        500.000                 NaN   54.7752        1.15080        26.3447        7.86844        6.20567        2.97709       0.678099     
  1189.10        500.000                 NaN   54.7752        1.15080        26.3447        7.86844        6.20567        2.97709       0.678099     
  1185.90        500.000                 NaN   54.7752        1.15080        26.3447        7.86844        6.20567        2.97709       0.678099     
  1182.69        500.000                 NaN   54.7752        1.15080        26.3447        7.86844        6.20567        2.97709       0.678099     
  1179.49        500.000                 NaN   54.8000        1.18793        26.3886        6.02190        7.87304        3.04426       0.684294     
  1176.28        500.000                 NaN   54.8000        1.18793        26.3886        6.02190        7.87304        3.04426       0.684294     
  1173.08        500.000                 NaN   54.8000        1.18793        26.3886        6.02190        7.87304        3.04426       0.684294     
  1169.87        500.000                 NaN   54.8000        1.18793        26.3886        6.02190        7.87304        3.04426       0.684294     
  1166.67        500.000                 NaN   54.8000        1.18793        26.3886        6.02190        7.87304        3.04426       0.684294     
  1163.46        500.000                 NaN   54.8000        1.18793        26.3886        6.02190        7.87304        3.04426       0.684294     
  1160.26        500.000                 NaN   54.8000        1.18793        26.3886        6.02190        7.87304        3.04426       0.684294     
  1157.05        500.000                 NaN   54.8000        1.18793        26.3886        6.02190        7.87304        3.04426       0.684294     
  1153.85        500.000                 NaN   54.8187        1.22674        26.4367        5.84544        7.87551        3.10703       0.689845     
  1150.64        500.000                 NaN   54.8187        1.22674        26.4367        5.84544        7.87551        3.10703       0.689845     
  1147.44        500.000                 NaN   54.8187        1.22674        26.4367        5.84544        7.87551        3.10703       0.689845     
  1144.23        500.000                 NaN   54.8187        1.22674        26.4367        5.84544        7.87551        3.10703       0.689845     
  1141.03        500.000                 NaN   54.8187        1.22674        26.4367        5.84544        7.87551        3.10703       0.689845     
  1137.82        500.000                 NaN   54.8187        1.22674        26.4367        5.84544        7.87551        3.10703       0.689845     
  1134.62        500.000                 NaN   54.8187        1.22674        26.4367        5.84544        7.87551        3.10703       0.689845     
  1131.41        500.000                 NaN   54.8187        1.22674        26.4367        5.84544        7.87551        3.10703       0.689845     
  1128.21        500.000                 NaN   54.8309        1.26757        26.4898        5.67524        7.87682        3.16506       0.694639     
  1125.00        500.000                 NaN   54.8309        1.26757        26.4898        5.67524        7.87682        3.16506       0.694639     
  1121.79        500.000                 NaN   54.8309        1.26757        26.4898        5.67524        7.87682        3.16506       0.694639     
  1118.59        500.000                 NaN   54.8309        1.26757        26.4898        5.67524        7.87682        3.16506       0.694639     
  1115.38        500.000                 NaN   54.8309        1.26757        26.4898        5.67524        7.87682        3.16506       0.694639     
  1112.18        500.000                 NaN   54.8309        1.26757        26.4898        5.67524        7.87682        3.16506       0.694639     
  1108.97        500.000                 NaN   54.8309        1.26757        26.4898        5.67524        7.87682        3.16506       0.694639     
  1105.77        500.000                 NaN   54.8309        1.26757        26.4898        5.67524        7.87682        3.16506       0.694639     
  1102.56        500.000                 NaN   54.8370        1.31059        26.5485        5.50901        7.87815        3.21775       0.699002     
  1099.36        500.000                 NaN   54.8370        1.31059        26.5485        5.50901        7.87815        3.21775       0.699002     
  1096.15        500.000                 NaN   54.8370        1.31059        26.5485        5.50901        7.87815        3.21775       0.699002     
  1092.95        500.000                 NaN   54.8370        1.31059        26.5485        5.50901        7.87815        3.21775       0.699002     
  1089.74        500.000                 NaN   54.8370        1.31059        26.5485        5.50901        7.87815        3.21775       0.699002     
  1086.54        500.000                 NaN   54.8370        1.31059        26.5485        5.50901        7.87815        3.21775       0.699002     
